date,close,open,high,low,volume,change_pct
"Jun 24, 2026",6.06,5.9,6.18,5.9,1069347,+0.83%
"Jun 23, 2026",6.01,6.2,6.2,6,1802971,-2.44%
"Jun 22, 2026",6.16,6.29,6.4,6.13,1017353,-1.75%
"Jun 19, 2026",6.27,6.57,6.57,6.17,3340610,-3.09%
"Jun 18, 2026",6.47,6.09,7,5.95,36477019,+7.83%
"Jun 17, 2026",6,6,6.16,5.91,2319970,+0.33%
"Jun 16, 2026",5.98,6.1,6.2,5.95,1653730,-0.83%
"Jun 15, 2026",6.03,6.1,6.25,6,2250708,+0.17%
"Jun 12, 2026",6.02,6.25,6.4,6,5861893,-1.31%
"Jun 11, 2026",6.1,5.9,6.29,5.9,6011261,+2.69%
"Jun 10, 2026",5.94,5.95,6,5.91,1242177,-0.50%
"Jun 09, 2026",5.97,5.95,6.12,5.91,3206340,+1.53%
"Jun 08, 2026",5.88,5.89,6.15,5.76,4609312,-1.01%
"Jun 05, 2026",5.94,5.82,6.12,5.71,9147200,+3.48%
"Jun 04, 2026",5.74,5.65,5.82,5.6,859811,+2.14%
"Jun 03, 2026",5.62,5.74,5.74,5.6,461096,-0.88%
"Jun 02, 2026",5.67,5.71,5.78,5.57,676740,+0.71%
"Jun 01, 2026",5.63,5.81,5.81,5.57,438657,-1.57%
"May 29, 2026",5.72,5.74,5.83,5.57,1099801,+0.18%
"May 25, 2026",5.71,5.76,5.91,5.7,774748,+1.06%
"May 22, 2026",5.65,5.76,5.8,5.62,598807,+0.00%
"May 21, 2026",5.65,5.5,5.86,5.5,1549491,+1.07%
"May 20, 2026",5.59,5.55,5.66,5.5,288504,+0.18%
"May 19, 2026",5.58,5.66,5.66,5.56,330657,+0.72%
"May 18, 2026",5.54,5.77,5.78,5.52,1057603,-4.15%
"May 15, 2026",5.78,5.85,5.94,5.75,1069165,-0.34%
"May 14, 2026",5.8,5.96,6.08,5.75,3823334,-2.68%
"May 13, 2026",5.96,5.9,6.24,5.87,5160762,+0.34%
"May 12, 2026",5.94,5.87,5.99,5.81,1047738,+1.19%
"May 11, 2026",5.87,5.89,5.95,5.83,953366,-1.18%
"May 08, 2026",5.94,5.82,6.12,5.77,5063255,+1.19%
"May 07, 2026",5.87,5.95,5.97,5.82,1677583,-0.51%
"May 06, 2026",5.9,5.83,6.08,5.81,2378962,+2.97%
"May 05, 2026",5.73,5.85,5.85,5.67,842388,-2.05%
"May 04, 2026",5.85,6.25,6.25,5.78,5503327,-3.31%
"Apr 30, 2026",6.05,6.13,6.14,5.76,3026346,+0.17%
"Apr 29, 2026",6.04,6.2,6.56,5.92,17226190,-3.82%
"Apr 28, 2026",6.28,5.53,6.49,5.53,17545870,+9.22%
"Apr 27, 2026",5.75,5.87,5.87,5.6,918131,-0.35%
"Apr 24, 2026",5.77,5.98,5.98,5.72,852387,-2.04%
"Apr 23, 2026",5.89,5.8,6.04,5.66,6350479,+3.88%
"Apr 22, 2026",5.67,5.96,5.96,5.62,1906400,-2.91%
"Apr 21, 2026",5.84,5.89,6.07,5.8,2942858,-0.85%
"Apr 20, 2026",5.89,5.93,6.18,5.53,6884557,-0.84%
"Apr 17, 2026",5.94,5.75,6.19,5.75,11845115,+5.51%
"Apr 16, 2026",5.63,5.72,5.89,5.59,3390132,+0.54%
"Apr 15, 2026",5.6,5.35,5.74,5.35,4007708,+5.07%
"Apr 14, 2026",5.33,5.3,5.43,5.2,1983054,+2.50%
"Apr 13, 2026",5.2,5.3,5.59,5.19,2240043,-8.45%
"Apr 10, 2026",5.68,5.68,5.83,5.52,1912881,+1.97%
"Apr 09, 2026",5.57,5.9,5.9,5.57,1588071,-5.59%
"Apr 08, 2026",5.9,6,6,5.9,5772742,+11.53%
"Apr 07, 2026",5.29,5.21,5.29,5.21,683637,+0.19%
"Apr 06, 2026",5.28,5.35,5.35,5.28,1881299,-1.31%
"Apr 03, 2026",5.35,5.06,5.35,5.06,10188297,+3.68%
"Apr 02, 2026",5.16,5.21,5.21,5.16,466251,-3.91%
"Apr 01, 2026",5.37,5.17,5.37,5.17,2694091,+7.19%
"Mar 31, 2026",5.01,4.88,5.01,4.88,1226649,+2.66%
"Mar 30, 2026",4.88,5.23,5.23,4.88,1255738,-5.06%
"Mar 27, 2026",5.14,5.15,5.15,5.14,1020673,-0.19%
"Mar 26, 2026",5.15,5.44,5.44,5.15,881495,-5.33%
"Mar 25, 2026",5.44,5.43,5.44,5.43,2919756,+3.82%
"Mar 24, 2026",5.24,5.36,5.36,5.24,1074708,+0.00%
"Mar 19, 2026",5.24,5,5.24,5,4598880,-0.38%
"Mar 18, 2026",5.26,5.19,5.26,5.19,1054165,+2.73%
"Mar 17, 2026",5.12,5.09,5.12,5.09,1299525,+4.28%
"Mar 16, 2026",4.91,5.03,5.03,4.91,813674,-3.54%
"Mar 13, 2026",5.09,5.03,5.09,5.03,764160,+0.79%
