date,close,open,high,low,volume,change_pct
2026-07-01,10.17,10.11,10.39,10.1,61969,+0.59%
2026-06-30,10.11,10.21,10.21,10.01,169494,+0.00%
2026-06-29,10.11,10.45,10.45,10.04,378915,-0.69%
2026-06-24,10.18,10.38,10.4,10.1,60949,-1.93%
2026-06-23,10.38,10.47,10.47,10.2,36349,+1.57%
2026-06-22,10.22,10.49,10.55,10.11,505786,-1.92%
2026-06-19,10.42,10.59,10.59,10.11,178386,+0.00%
2026-06-18,10.42,10.27,10.6,10.27,141660,-0.10%
2026-06-17,10.43,10.38,10.64,10.25,109834,+0.77%
2026-06-16,10.35,10.55,10.9,10.3,588542,-1.80%
2026-06-15,10.54,10.75,10.85,10.25,357011,+2.13%
2026-06-12,10.32,10.21,11.25,10.21,260786,-0.77%
2026-06-11,10.4,10.4,10.5,10.1,342776,+0.00%
2026-06-10,10.4,10.49,10.72,10.3,264323,-1.42%
2026-06-09,10.55,10.35,10.88,10.1,659741,+3.74%
2026-06-08,10.17,10.51,11.09,10.05,1403211,-1.74%
2026-06-05,10.35,9.39,10.35,9.28,893766,+10.70%
2026-06-04,9.35,9.3,9.48,9.28,107574,+1.19%
2026-06-03,9.24,9.16,9.49,9.15,71750,+0.11%
2026-06-02,9.23,9.65,9.65,9.07,368654,-2.84%
2026-06-01,9.5,9.4,9.67,9.35,76379,+0.00%
2026-05-29,9.5,9.65,9.65,9.4,51020,+1.06%
2026-05-25,9.4,9.74,9.74,9.3,31063,-0.74%
2026-05-22,9.47,9.41,9.68,9.27,40947,-0.73%
2026-05-21,9.54,9.6,9.67,9.2,90595,+0.63%
2026-05-20,9.48,9.3,9.6,9.25,53391,+0.11%
2026-05-19,9.47,9.25,9.64,9.25,121006,+0.00%
2026-05-18,9.47,9.84,9.89,9.4,79340,-2.17%
2026-05-15,9.68,10.27,10.27,9.6,184444,-2.91%
2026-05-14,9.97,10.2,10.21,9.91,83133,-1.77%
2026-05-13,10.15,10.02,10.5,9.9,270252,-1.26%
2026-05-12,10.28,10.54,10.65,10.25,106718,-1.06%
2026-05-11,10.39,10.8,10.8,10.28,314394,-3.80%
2026-05-08,10.8,10.2,11.25,10.16,1276108,+3.25%
2026-05-07,10.46,11,11.05,10.25,509790,-5.51%
2026-05-06,11.07,11.49,12.03,10.75,2423270,+1.19%
2026-05-05,10.94,10.25,10.94,9.77,3385478,+10.06%
2026-05-04,9.94,8.88,9.94,8.88,1138974,+11.19%
2026-04-30,8.94,8.97,9.18,8.7,63398,+0.22%
2026-04-29,8.92,9.2,9.59,8.9,125102,-3.04%
2026-04-28,9.2,8.9,9.39,8.9,50651,+1.55%
