date,close,open,high,low,volume,change_pct
"Jun 23, 2026",103.3,101.0,104.3,100.45,19000000,+2.52%
"Jun 22, 2026",100.76,101.89,102.25,100.2,8550000,+0.24%
"Jun 19, 2026",100.52,103.4,104.0,98.3,23840000,-1.90%
"Jun 18, 2026",102.47,100.01,103.19,100.01,32650000,+3.77%
"Jun 17, 2026",98.75,98.4,99.5,96.65,22840000,+1.11%
"Jun 16, 2026",97.67,99.0,99.83,97.4,28290000,-0.47%
"Jun 15, 2026",98.13,98.45,98.59,95.0,45550000,+8.41%
"Jun 12, 2026",90.52,88.11,91.9,88.01,35900000,+4.64%
"Jun 11, 2026",86.51,84.9,86.99,84.51,35480000,+1.06%
"Jun 10, 2026",85.6,85.51,87.25,85.15,15470000,-0.48%
"Jun 09, 2026",86.01,86.9,87.12,85.77,14570000,+0.77%
"Jun 08, 2026",85.35,86.0,86.14,84.24,10330000,-2.35%
"Jun 05, 2026",87.4,88.9,89.6,87.05,14970000,-0.74%
"Jun 04, 2026",88.05,87.16,89.0,86.75,19270000,+1.78%
"Jun 03, 2026",86.51,86.5,87.8,85.9,10500000,-1.56%
"Jun 02, 2026",87.88,88.9,90.15,87.3,11260000,-0.16%
"Jun 01, 2026",88.02,90.61,91.24,87.78,9840000,-3.87%
"May 29, 2026",91.56,90.26,93.0,90.21,19020000,+2.44%
"May 25, 2026",89.38,88.47,89.89,87.2,17490000,+5.95%
"May 22, 2026",84.36,86.25,86.49,84.1,4130000,-1.38%
"May 21, 2026",85.54,85.61,86.99,85.1,11260000,+2.37%
"May 20, 2026",83.56,82.4,83.99,80.61,8920000,+1.95%
"May 19, 2026",81.96,83.4,84.39,81.65,4840000,-0.58%
"May 18, 2026",82.44,83.8,83.8,80.81,6900000,-1.75%
"May 15, 2026",83.91,83.39,84.44,82.06,7480000,+0.14%
"May 14, 2026",83.79,84.5,85.75,83.2,7450000,-0.62%
"May 13, 2026",84.31,83.85,85.36,83.5,5040000,+0.50%
"May 12, 2026",83.89,87.12,88.29,83.5,7740000,-3.87%
"May 11, 2026",87.27,87.0,88.3,86.0,5950000,-1.90%
"May 08, 2026",88.96,88.0,91.47,87.0,19500000,-0.74%
"May 07, 2026",89.62,87.35,92.1,85.3,36500000,+3.42%
"May 06, 2026",86.66,81.49,86.78,81.0,21600000,+9.85%
"May 05, 2026",78.89,76.0,79.27,76.0,5110000,+1.31%
"May 04, 2026",77.87,81.98,83.39,76.5,12830000,-2.19%
"Apr 30, 2026",79.61,79.25,80.89,74.75,12840000,-1.40%
"Apr 29, 2026",80.74,81.5,83.85,79.5,7260000,-1.14%
"Apr 28, 2026",81.67,81.5,82.5,80.25,5360000,-2.62%
"Apr 27, 2026",83.87,86.55,87.75,83.07,5180000,-4.23%
"Apr 24, 2026",87.57,85.02,88.79,82.66,8790000,+1.21%
"Apr 23, 2026",86.52,88.0,88.0,85.63,4310000,-2.67%
"Apr 22, 2026",88.89,90.01,90.47,87.6,9540000,-3.42%
"Apr 21, 2026",92.04,94.0,94.9,91.2,7120000,-1.35%
"Apr 20, 2026",93.3,94.0,95.87,89.11,11640000,-2.68%
"Apr 17, 2026",95.87,95.25,96.4,94.01,10920000,+1.81%
"Apr 16, 2026",94.17,96.98,97.56,93.0,12860000,-1.10%
"Apr 15, 2026",95.22,97.0,100.8,94.5,20000000,+1.51%
"Apr 14, 2026",93.8,90.0,94.39,88.5,20990000,+7.99%
"Apr 13, 2026",86.86,88.0,90.49,85.38,11930000,-6.12%
"Apr 10, 2026",92.52,88.2,94.59,88.2,24900000,+5.56%
"Apr 09, 2026",87.65,83.55,89.6,79.25,28890000,+5.37%
"Apr 08, 2026",83.18,83.18,83.18,83.18,2330000,+10.00%
"Apr 07, 2026",75.62,74.43,76.08,72.85,4380000,+0.89%
"Apr 06, 2026",74.95,73.21,76.33,71.0,8450000,+2.39%
"Apr 03, 2026",73.2,71.5,74.24,71.0,4050000,-2.87%
"Apr 02, 2026",75.36,74.99,75.64,73.0,5240000,-4.09%
"Apr 01, 2026",78.57,75.3,80.88,75.3,20480000,+6.85%
"Mar 31, 2026",73.53,73.02,75.37,73.0,6040000,+0.91%
"Mar 30, 2026",72.87,79.8,79.8,71.53,9490000,-7.79%
"Mar 27, 2026",79.03,80.65,81.5,78.5,3830000,-2.01%
"Mar 26, 2026",80.65,84.1,84.98,80.08,6270000,-6.06%
"Mar 25, 2026",85.85,82.39,86.55,82.0,12850000,+5.25%
"Mar 24, 2026",81.57,85.0,86.5,81.02,6720000,-0.52%
"Mar 19, 2026",82.0,81.99,82.5,79.4,6060000,-1.47%
"Mar 18, 2026",83.22,80.9,84.31,79.3,7970000,+4.31%
"Mar 17, 2026",79.78,79.0,81.2,78.85,3580000,+1.46%
"Mar 16, 2026",78.63,79.2,81.8,77.21,8199999,-0.46%
"Mar 13, 2026",78.99,77.0,79.6,76.53,4690000,+1.70%
"Mar 12, 2026",77.67,78.99,78.99,77.0,6210000,-3.60%
"Mar 11, 2026",80.57,82.01,83.5,79.55,9130000,-0.05%
"Mar 10, 2026",80.61,83.41,83.41,79.0,11430000,+6.30%
"Mar 09, 2026",75.83,77.55,77.55,75.83,2280000,-10.00%
"Mar 06, 2026",84.26,86.0,86.0,82.8,11060000,-2.33%
"Mar 05, 2026",86.27,84.1,87.1,83.01,10830000,+2.63%
"Mar 04, 2026",84.06,83.01,86.3,81.1,11670000,-0.57%
"Mar 03, 2026",84.54,79.0,86.5,79.0,18740000,-1.12%
"Mar 02, 2026",85.5,85.5,88.5,85.5,14030000,-10.00%
"Feb 27, 2026",95.0,96.37,97.4,93.0,5960000,-1.73%
"Feb 26, 2026",96.67,93.29,98.0,90.0,12610000,+3.62%
"Feb 25, 2026",93.29,97.0,98.0,92.5,9280000,-3.04%
"Feb 24, 2026",96.21,101.82,103.75,94.89,14100000,-5.51%
"Feb 23, 2026",101.82,108.5,109.5,100.5,3900000,-6.10%
"Feb 20, 2026",108.43,102.87,110.0,97.03,5340000,+7.95%
"Feb 19, 2026",100.44,108.95,108.95,97.71,4910000,-7.22%
"Feb 18, 2026",108.26,106.35,109.1,103.81,4870000,+2.91%
"Feb 17, 2026",105.2,106.0,108.3,103.5,4730000,-0.99%
"Feb 16, 2026",106.25,113.44,113.44,104.55,5370000,-5.87%
"Feb 13, 2026",112.87,110.0,113.8,109.52,2820000,+1.39%
"Feb 12, 2026",111.32,113.6,114.59,109.0,4480000,-1.40%
"Feb 11, 2026",112.9,109.95,113.8,108.99,4050000,+3.44%
"Feb 10, 2026",109.15,109.85,110.6,108.06,1610000,-0.64%
"Feb 09, 2026",109.85,113.0,113.5,108.99,3510000,-2.23%
"Feb 06, 2026",112.36,114.39,114.7,111.1,3160000,-1.77%
"Feb 04, 2026",114.39,114.52,116.0,114.05,2130000,-0.11%
"Feb 03, 2026",114.52,115.01,115.99,114.0,3500000,-0.43%
"Feb 02, 2026",115.01,115.2,116.5,114.5,2620000,-0.16%
"Jan 30, 2026",115.19,114.0,119.0,113.62,4510000,+1.47%
"Jan 29, 2026",113.52,117.0,117.75,112.11,6440000,-3.02%
"Jan 28, 2026",117.06,117.7,119.15,116.7,4970000,-0.53%
"Jan 27, 2026",117.68,119.94,119.94,117.0,6300000,-3.17%
"Jan 26, 2026",121.53,120.4,122.9,120.4,8460000,+1.02%
"Jan 23, 2026",120.3,122.3,122.4,120.0,4010000,-1.54%
"Jan 22, 2026",122.18,120.87,123.5,120.0,8930000,+1.31%
"Jan 21, 2026",120.6,122.9,123.8,120.0,8150000,-1.53%
"Jan 20, 2026",122.48,119.4,123.25,118.25,18460000,+2.97%
"Jan 19, 2026",118.95,116.4,119.45,116.26,6890000,+2.61%
"Jan 16, 2026",115.93,115.61,117.9,115.5,5380000,+0.75%
"Jan 15, 2026",115.07,117.49,118.0,114.2,5800000,-1.60%
"Jan 14, 2026",116.94,118.1,119.73,116.66,7420000,-0.72%
"Jan 13, 2026",117.79,117.32,118.7,116.55,7910000,+0.43%
"Jan 12, 2026",117.29,117.99,120.0,116.65,6050000,-0.59%
"Jan 09, 2026",117.99,120.2,120.2,117.0,5440000,-1.42%
"Jan 08, 2026",119.69,121.44,122.95,118.6,7930000,-0.99%
"Jan 07, 2026",120.89,118.76,122.25,118.76,10870000,+1.79%
"Jan 06, 2026",118.76,117.25,120.01,116.3,10010000,+1.63%
"Jan 05, 2026",116.85,116.76,120.8,116.35,12370000,+0.08%
"Jan 02, 2026",116.76,118.54,119.4,116.3,5760000,-1.09%
"Jan 01, 2026",118.05,118.02,119.69,117.11,3690000,+0.53%
"Dec 31, 2025",117.43,121.0,121.5,115.0,12220000,-1.72%
