date,close,open,high,low,volume,change_pct
2026-07-01,107.43,107.48,107.89,105.8,20049680,+0.49%
2026-06-30,106.91,107,107.75,106.11,10339990,+0.38%
2026-06-29,106.51,107,108.75,106,20938720,-0.60%
2026-06-24,107.15,104.05,107.55,104.01,27194830,+3.73%
2026-06-23,103.3,101,104.3,100.45,19003790,+2.52%
2026-06-22,100.76,101.89,102.25,100.2,8546058,+0.24%
2026-06-19,100.52,103.4,104,98.3,23842930,-1.90%
2026-06-18,102.47,100.01,103.19,100.01,32650380,+3.77%
2026-06-17,98.75,98.4,99.5,96.65,22843440,+1.11%
2026-06-16,97.67,99,99.83,97.4,28293780,-0.47%
2026-06-15,98.13,98.45,98.59,95,45547710,+8.41%
2026-06-12,90.52,88.11,91.9,88.01,35896470,+4.64%
2026-06-11,86.51,84.9,86.99,84.51,35476080,+1.06%
2026-06-10,85.6,85.51,87.25,85.15,15465690,-0.48%
2026-06-09,86.01,86.9,87.12,85.77,14574790,+0.77%
2026-06-08,85.35,86,86.14,84.24,10327920,-2.35%
2026-06-05,87.4,88.9,89.6,87.05,14973631,-0.74%
2026-06-04,88.05,87.16,89,86.75,19271450,+1.78%
2026-06-03,86.51,86.5,87.8,85.9,10496220,-1.56%
2026-06-02,87.88,88.9,90.15,87.3,11262860,-0.16%
2026-06-01,88.02,90.61,91.24,87.78,9840463,-3.87%
2026-05-29,91.56,90.26,93,90.21,19021700,+2.44%
2026-05-25,89.38,88.47,89.89,87.2,17487220,+5.95%
2026-05-22,84.36,86.25,86.49,84.1,4130482,-1.38%
2026-05-21,85.54,85.61,86.99,85.1,11257700,+2.37%
2026-05-20,83.56,82.4,83.99,80.61,8917688,+1.95%
2026-05-19,81.96,83.4,84.39,81.65,4836220,-0.58%
2026-05-18,82.44,83.8,83.8,80.81,6897296,-1.75%
2026-05-15,83.91,83.39,84.44,82.06,7479551,+0.14%
2026-05-14,83.79,84.5,85.75,83.2,7445291,-0.62%
2026-05-13,84.31,83.85,85.36,83.5,5042838,+0.50%
2026-05-12,83.89,87.12,88.29,83.5,7735072,-3.87%
2026-05-11,87.27,87,88.3,86,5950591,-1.90%
2026-05-08,88.96,88,91.47,87,19499160,-0.74%
2026-05-07,89.62,87.35,92.1,85.3,36500650,+3.42%
2026-05-06,86.66,81.49,86.78,81,21597880,+9.85%
2026-05-05,78.89,76,79.27,76,5108883,+1.31%
2026-05-04,77.87,81.98,83.39,76.5,12828410,-2.19%
2026-04-30,79.61,79.25,80.89,74.75,12843170,-1.40%
2026-04-29,80.74,81.5,83.85,79.5,7262367,-1.14%
2026-04-28,81.67,81.5,82.5,80.25,5364907,-2.62%
2026-04-27,83.87,86.55,87.75,83.07,5179018,-4.23%
2026-04-24,87.57,85.02,88.79,82.66,8785204,+1.21%
2026-04-23,86.52,88,88,85.63,4308587,-2.67%
2026-04-22,88.89,90.01,90.47,87.6,9543226,-3.42%
2026-04-21,92.04,94,94.9,91.2,7119071,-1.35%
2026-04-20,93.3,94,95.87,89.11,11639940,-2.68%
2026-04-17,95.87,95.25,96.4,94.01,10916160,+1.81%
2026-04-16,94.17,96.98,97.56,93,12855320,-1.10%
2026-04-15,95.22,97,100.8,94.5,20002950,+1.51%
2026-04-14,93.8,90,94.39,88.5,20991070,+7.99%
2026-04-13,86.86,88,90.49,85.38,11934460,-6.12%
2026-04-10,92.52,88.2,94.59,88.2,24901820,+5.56%
2026-04-09,87.65,83.55,89.6,79.25,28894160,+5.37%
2026-04-08,83.18,83.18,83.18,83.18,2332507,+10.00%
2026-04-07,75.62,74.43,76.08,72.85,4375283,+0.89%
2026-04-06,74.95,73.21,76.33,71,8451521,+2.39%
2026-04-03,73.2,71.5,74.24,71,4053201,-2.87%
2026-04-02,75.36,74.99,75.64,73,5239081,-4.09%
2026-04-01,78.57,75.3,80.88,75.3,20481330,+6.85%
2026-03-31,73.53,73.02,75.37,73,6044143,+0.91%
2026-03-30,72.87,79.8,79.8,71.53,9488003,-7.79%
2026-03-27,79.03,80.65,81.5,78.5,3830577,-2.01%
2026-03-26,80.65,84.1,84.98,80.08,6267655,-6.06%
2026-03-25,85.85,82.39,86.55,82,12853010,+5.25%
2026-03-24,81.57,85,86.5,81.02,6718854,-0.52%
2026-03-19,82,81.99,82.5,79.4,6061434,-1.47%
2026-03-18,83.22,80.9,84.31,79.3,7973035,+4.31%
2026-03-17,79.78,79,81.2,78.85,3582631,+1.46%
2026-03-16,78.63,79.2,81.8,77.21,8195712,-0.46%
2026-03-13,78.99,77,79.6,76.53,4685506,+1.70%
2026-03-12,77.67,78.99,78.99,77,6208356,-3.60%
2026-03-11,80.57,82.01,83.5,79.55,9133915,-0.05%
2026-03-10,80.61,83.41,83.41,79,11429710,+6.30%
2026-03-09,75.83,77.55,77.55,75.83,2284792,-10.00%
2026-03-06,84.26,86,86,82.8,11055952,-2.33%
2026-03-05,86.27,84.1,87.1,83.01,10829560,+2.63%
2026-03-04,84.06,83.01,86.3,81.1,11666790,-0.57%
2026-03-03,84.54,79,86.5,79,18735170,-1.12%
2026-03-02,85.5,85.5,88.5,85.5,14033920,-10.00%
2026-02-27,95,96.37,97.4,93,5956379,-1.73%
2026-02-26,96.67,93.29,98,90,12610870,+3.62%
2026-02-25,93.29,97,98,92.5,9283892,-3.04%
2026-02-24,96.21,101.82,103.75,94.89,14096410,-5.51%
2026-02-23,101.82,108.5,109.5,100.5,3895329,-6.10%
2026-02-20,108.43,102.87,110,97.03,5336405,+7.95%
2026-02-19,100.44,108.95,108.95,97.71,4900749,-7.22%
2026-02-18,108.26,106.35,109.1,103.81,4867844,+2.91%
2026-02-17,105.2,106,108.3,103.5,4733246,-0.99%
2026-02-16,106.25,113.44,113.44,104.55,5372281,-5.87%
2026-02-13,112.87,110,113.8,109.52,2824279,+1.39%
2026-02-12,111.32,113.6,114.59,109,4478272,-1.40%
2026-02-11,112.9,109.95,113.8,108.99,4049647,+3.44%
2026-02-10,109.15,109.85,110.6,108.06,1613819,-0.64%
2026-02-09,109.85,113,113.5,108.99,3508467,-2.23%
2026-02-06,112.36,114.39,114.7,111.1,3155523,-1.77%
2026-02-04,114.39,114.52,116,114.05,2128518,-0.11%
2026-02-03,114.52,115.01,115.99,114,3497756,-0.43%
2026-02-02,115.01,115.2,116.5,114.5,2618372,-0.16%
2026-01-30,115.19,114,119,113.62,4509070,+1.47%
2026-01-29,113.52,117,117.75,112.11,6444326,-3.02%
2026-01-28,117.06,117.7,119.15,116.7,4971525,-0.53%
2026-01-27,117.68,119.94,119.94,117,6299536,-3.17%
2026-01-26,121.53,120.4,122.9,120.4,8462736,+1.02%
2026-01-23,120.3,122.3,122.4,120,4011367,-1.54%
2026-01-22,122.18,120.87,123.5,120,8929196,+1.31%
2026-01-21,120.6,122.9,123.8,120,8151363,-1.53%
2026-01-20,122.48,119.4,123.25,118.25,18462080,+2.97%
2026-01-19,118.95,116.4,119.45,116.26,6893560,+2.61%
2026-01-16,115.93,115.61,117.9,115.5,5383244,+0.75%
2026-01-15,115.07,117.49,118,114.2,5799356,-1.60%
2026-01-14,116.94,118.1,119.73,116.66,7421312,-0.72%
2026-01-13,117.79,117.32,118.7,116.55,7908210,+0.43%
2026-01-12,117.29,117.99,120,116.65,6048415,-0.59%
2026-01-09,117.99,120.2,120.2,117,5443365,-1.42%
2026-01-08,119.69,121.44,122.95,118.6,7927503,-0.99%
2026-01-07,120.89,118.76,122.25,118.76,10874400,+1.79%
2026-01-06,118.76,117.25,120.01,116.3,10007000,+1.63%
2026-01-05,116.85,116.76,120.8,116.35,12370810,+0.08%
2026-01-02,116.76,118.54,119.4,116.3,5760092,-1.09%
2026-01-01,118.05,118.02,119.69,117.11,3693932,+0.53%
2025-12-31,117.43,121,121.5,115,12221020,-1.72%
2025-12-30,119.48,121.49,122.29,118.9,3932226,-1.65%
2025-12-29,121.49,123,125,120.5,4432371,-0.37%
2025-12-26,121.94,117.86,125,117,11104540,+3.99%
2025-12-24,117.26,118.66,119.25,116.95,2644654,-0.55%
2025-12-23,117.91,119.5,120.75,117,4149040,-1.17%
2025-12-22,119.31,118.7,122.54,117,12631510,+0.28%
2025-12-19,118.98,125,125.47,117.5,11761470,-3.99%
2025-12-18,123.93,128.34,129.94,123,12515500,-2.52%
2025-12-17,127.13,126.39,130.5,126.07,8788354,+0.58%
2025-12-16,126.4,132.9,132.9,125.5,12590790,-3.05%
2025-12-15,130.38,124,132.99,123,22034040,+5.71%
2025-12-12,123.34,119.8,124.25,118,10495200,+3.19%
2025-12-11,119.53,123.6,126.35,118.61,22621130,-2.04%
2025-12-10,122.02,111,122.02,111,22694030,+10.00%
2025-12-09,110.93,106.5,111.98,106.26,26095710,+4.67%
2025-12-08,105.98,105.11,106.89,104.8,5457026,+0.83%
2025-12-05,105.11,106,107.24,104.61,8064109,+0.28%
2025-12-04,104.82,104.94,105.9,103.82,5761447,+0.67%
2025-12-03,104.12,106,106.25,103.9,4056334,-1.21%
2025-12-02,105.39,105.9,107.97,104.12,9519361,+0.09%
2025-12-01,105.3,105,106.5,103.6,7568979,-0.09%
2025-11-28,105.4,104.9,106,104.11,7799344,+0.76%
2025-11-27,104.6,102.5,105,102.5,4707541,+2.06%
2025-11-26,102.49,103.1,103.5,99.5,7524515,-0.55%
2025-11-25,103.06,104.67,105.25,102.6,3213506,-1.54%
2025-11-24,104.67,102.9,105.18,102,5800345,+1.84%
2025-11-21,102.78,105.1,106,102,4796688,-2.78%
2025-11-20,105.72,105.48,107.05,103.83,9700956,+1.21%
2025-11-19,104.46,102.88,108.39,100.63,25418560,+3.28%
2025-11-18,101.14,102.99,105.89,99.2,20223600,-1.41%
2025-11-17,102.59,105.47,105.9,101.82,14287400,-3.02%
2025-11-14,105.79,105,108,103.3,27755400,+6.70%
2025-11-13,99.15,92.9,99.15,92.9,22759440,+10.00%
2025-11-12,90.14,90.82,92.49,89.75,3410337,-0.27%
2025-11-11,90.38,95.47,95.47,89.75,5808627,-4.31%
2025-11-10,94.45,92.5,96.48,91.01,5872627,+3.46%
2025-11-07,91.29,91.99,93.39,91.01,3190763,-0.59%
2025-11-06,91.83,95.9,95.9,90.5,3126303,-2.69%
2025-11-05,94.37,95.35,96,92.25,4525576,-1.03%
2025-11-04,95.35,97.2,97.5,94.9,2172659,-1.71%
2025-11-03,97.01,96.6,98,95.98,2120136,+1.17%
2025-10-31,95.89,93.2,96.5,93.01,3258567,+4.06%
2025-10-30,92.15,92.98,93.8,90.55,3996884,-0.15%
2025-10-29,92.29,94.13,95.4,92,2028851,-1.95%
2025-10-28,94.13,97,98.98,93,2942175,-3.79%
2025-10-27,97.84,97.5,98.99,95.1,1837866,+0.35%
2025-10-24,97.5,99.2,99.8,96.92,2144532,-1.36%
2025-10-23,98.84,101.6,101.6,97.52,2909047,-2.24%
2025-10-22,101.1,102.1,102.7,100.5,2395660,-0.28%
2025-10-21,101.38,101.4,102.55,101.01,3080039,-0.02%
2025-10-20,101.4,102,102.38,100.01,3162526,+0.44%
2025-10-17,100.96,102.7,103.9,100,5954788,-1.54%
2025-10-16,102.54,103.48,104.87,102.05,7301562,+0.07%
2025-10-15,102.47,107.49,107.49,102.01,5098090,-2.94%
2025-10-14,105.57,104.3,106,102.39,5605124,+5.08%
