date,close,open,high,low,volume,change_pct
2026-07-01,18.43,19.96,19.96,18.13,19462000,-6.30%
2026-06-30,19.67,19.67,19.67,19.66,1590500,-1.06%
2026-06-29,19.88,19.4,19.88,19.4,758500,-9.84%
2026-06-24,22.05,21.4,22.49,21.4,1372000,+13.43%
2026-06-23,22.94,22.45,23.22,22.15,2998500,+4.04%
2026-06-22,22.05,21.55,22.47,21.45,3432500,+2.32%
2026-06-19,21.55,21.74,21.89,21.3,1062000,-0.87%
2026-06-18,21.74,21.75,21.8,21.62,806000,+0.98%
2026-06-17,21.53,21.73,21.73,21.35,1062000,+0.14%
2026-06-16,21.5,21.1,21.54,21.1,1218500,+0.99%
2026-06-15,21.29,22,22,21,1693000,+3.05%
2026-06-12,20.66,20.35,20.77,20.35,679000,+1.77%
2026-06-11,20.3,20.25,20.39,20.13,525000,-0.44%
2026-06-10,20.39,20.3,20.6,19.8,523000,-0.20%
2026-06-09,20.43,20.3,20.52,20.3,579000,-0.05%
2026-06-08,20.44,20.4,20.85,20.14,650000,-0.29%
2026-06-05,20.5,20.63,20.78,20.43,607500,-0.29%
2026-06-04,20.56,20.54,20.61,20.45,857000,+0.88%
2026-06-03,20.38,20.52,20.58,20.32,786000,-0.68%
2026-06-02,20.52,20.32,20.66,20.32,534500,-0.10%
2026-06-01,20.54,21,21.09,20.48,1359000,-2.42%
2026-05-29,21.05,20.24,21.11,20.24,1281500,+1.99%
2026-05-25,20.64,20.5,20.99,20.46,1118000,+1.88%
2026-05-22,20.26,20.4,20.4,20.15,674000,+0.05%
2026-05-21,20.25,19.82,20.34,19.82,618500,+2.43%
2026-05-20,19.77,19.99,19.99,19.59,724000,+0.71%
2026-05-19,19.63,19.81,19.81,19.56,511000,+0.56%
2026-05-18,19.52,20.02,20.02,19.5,996000,-2.59%
2026-05-15,20.04,20.22,20.22,19.91,739000,-0.79%
2026-05-14,20.2,20.49,20.49,20.17,579000,-0.20%
2026-05-13,20.24,20.49,20.49,20.22,652000,-0.39%
2026-05-12,20.32,20.49,20.69,20.29,615500,-0.97%
2026-05-11,20.52,20.71,20.71,20.38,1030000,-0.92%
2026-05-08,20.71,20.55,20.9,20.55,527000,-1.10%
2026-05-07,20.94,21,21,20.72,1061000,+0.87%
2026-05-06,20.76,20.15,20.83,20.15,1601000,+4.64%
2026-05-05,19.84,19.97,19.98,19.5,793500,+0.35%
2026-05-04,19.77,20.15,20.29,19.01,954500,-0.45%
2026-04-30,19.86,20.44,20.44,19.42,1613000,-1.83%
2026-04-29,20.23,20.59,20.67,20.12,795000,-1.17%
2026-04-28,20.47,20.25,20.56,20.25,322000,-0.87%
2026-04-27,20.65,20.6,20.91,20.59,612500,-0.82%
2026-04-24,20.82,20.66,21,20.32,993500,+0.73%
2026-04-23,20.67,20.98,20.98,20.51,611500,-1.24%
2026-04-22,20.93,21.02,21.09,20.8,1076000,-0.43%
2026-04-21,21.02,20.8,21.25,20.8,1264000,+1.06%
2026-04-20,20.8,20.7,21.26,20.6,1964000,-1.42%
2026-04-17,21.1,20.8,21.25,20.79,855500,+1.83%
2026-04-16,20.72,20.72,20.9,20.57,837500,+0.97%
2026-04-15,20.52,20.3,20.87,20.3,1199500,+1.89%
2026-04-14,20.14,19.88,20.2,19.88,711500,+2.76%
2026-04-13,19.6,19.94,20,19.52,1309000,-4.30%
2026-04-10,20.48,20.54,20.69,20.39,970000,+0.69%
2026-04-09,20.34,20.5,20.51,19.88,1357500,-0.88%
2026-04-08,20.52,20.42,20.52,20,1358500,+10.20%
2026-04-07,18.62,18.26,18.7,18.26,600000,-0.16%
2026-04-06,18.65,18.43,18.83,18.12,845500,+1.19%
2026-04-03,18.43,18.3,18.76,18.2,1064500,-0.97%
2026-04-02,18.61,18.41,18.88,18.33,808000,-2.16%
2026-04-01,19.02,18.46,19.35,18.46,872500,+4.16%
2026-03-31,18.26,18.4,18.49,18.12,754500,+1.33%
2026-03-30,18.02,18.8,18.8,17.66,1365000,-3.69%
2026-03-27,18.71,18.67,19.09,18.6,601000,-1.06%
2026-03-26,18.91,19.5,19.5,18.89,1172500,-3.37%
2026-03-25,19.57,19.25,19.66,19.21,1097000,+2.84%
2026-03-24,19.03,18.88,19.35,18.87,656500,+1.82%
2026-03-19,18.69,18.7,18.78,18.34,497000,-0.74%
2026-03-18,18.83,18.57,18.9,18.25,508500,+3.01%
2026-03-17,18.28,18.35,18.45,18.01,828500,+0.55%
2026-03-16,18.18,19,19,18.03,1224000,-3.61%
2026-03-13,18.86,19.09,19.09,18.65,487500,-1.15%
2026-03-12,19.08,19,19.36,18.78,462000,-0.88%
2026-03-11,19.25,19.78,19.95,19.2,1027000,-1.69%
2026-03-10,19.58,18.55,19.6,18.55,612500,+9.20%
2026-03-09,17.93,18.31,18.5,17.48,1808500,-6.22%
2026-03-06,19.12,20,20,18.96,1899000,-3.87%
2026-03-05,19.89,18.9,20,18.8,1167000,+6.25%
2026-03-04,18.72,19.2,19.2,18.52,1189500,-0.48%
2026-03-03,18.81,18.34,18.99,17.96,1798500,+2.56%
2026-03-02,18.34,18.19,22.07,18.06,2219000,-8.80%
2026-02-27,20.11,20.2,20.34,19.76,794000,-0.74%
2026-02-26,20.26,19.75,20.33,19.24,859000,+3.74%
2026-02-25,19.53,19.95,19.99,19.46,737000,-1.71%
2026-02-24,19.87,20.18,20.2,19.4,1335000,-0.75%
2026-02-23,20.02,20.74,20.8,19.9,751000,-3.42%
2026-02-20,20.73,20.8,20.84,20.15,644500,+0.83%
2026-02-19,20.56,21.39,21.39,20.43,836000,-3.84%
2026-02-18,21.38,20.95,21.55,20.95,525500,+2.10%
2026-02-17,20.94,21.1,21.31,20.75,1167000,-0.85%
2026-02-16,21.12,21.8,21.8,20.9,1106500,-2.45%
2026-02-13,21.65,22.11,22.11,21.4,821500,-0.69%
2026-02-12,21.8,22.11,22.11,21.51,1098000,-1.40%
2026-02-11,22.11,21.91,22.29,21.87,407500,+0.82%
2026-02-10,21.93,21.95,21.98,21.64,774500,+1.06%
2026-02-09,21.7,22.4,22.4,21.49,1331500,-1.54%
2026-02-06,22.04,22.7,22.7,21.94,1379500,-2.09%
2026-02-04,22.51,22.47,22.6,22.36,533500,+0.09%
2026-02-03,22.49,22.5,22.57,22.43,546500,+0.72%
2026-02-02,22.33,22.23,22.5,21.98,682000,+0.50%
2026-01-30,22.22,22.69,22.69,21.82,913000,+0.73%
2026-01-29,22.06,23,23,21.91,2098500,-3.54%
2026-01-28,22.87,23.32,23.49,22.78,515000,+0.00%
2026-01-27,22.87,23.16,25.29,22.7,1265000,-0.95%
2026-01-26,23.09,23.17,23.49,22.97,1229000,-0.26%
2026-01-23,23.15,22.86,23.17,22.8,619500,+1.14%
2026-01-22,22.89,22.81,22.95,22.6,623000,+0.84%
2026-01-21,22.7,22.65,22.99,22.6,602500,-0.57%
2026-01-20,22.83,22.4,22.84,22.4,758000,+1.24%
2026-01-19,22.55,22.26,22.67,22.26,724500,+1.81%
2026-01-16,22.15,21.84,22.39,21.77,586000,+2.22%
2026-01-15,21.67,21.79,21.87,21.45,499500,+0.05%
2026-01-14,21.66,21.79,21.92,21.6,433500,-0.41%
2026-01-13,21.75,21.85,21.85,21.47,589000,+0.55%
2026-01-12,21.63,22,22,21.6,643500,-1.14%
2026-01-09,21.88,22.1,22.18,21.75,620000,-1.26%
2026-01-08,22.16,22.35,22.44,22.06,744000,-0.27%
2026-01-07,22.22,22,22.5,22,825000,+1.41%
2026-01-06,21.91,21.99,21.99,21.53,1071500,+0.55%
2026-01-05,21.79,21.5,22.1,21,1354000,+1.30%
2026-01-02,21.51,21.31,21.7,21.26,730000,+1.27%
2026-01-01,21.24,21.21,21.3,21.13,812500,+0.09%
2025-12-31,21.22,21.06,21.34,21.06,451500,+0.28%
2025-12-30,21.16,21.15,21.2,21.09,582000,+0.33%
2025-12-29,21.09,20.87,21.21,20.87,599000,+1.05%
2025-12-26,20.87,20.69,20.97,20.68,194500,+1.11%
2025-12-24,20.64,20.94,20.94,20.61,873500,-0.48%
2025-12-23,20.74,20.89,20.9,20.71,328500,-0.77%
2025-12-22,20.9,20.85,21,20.63,552500,+0.53%
2025-12-19,20.79,20.87,20.99,20.77,312000,+0.19%
2025-12-18,20.75,20.61,20.82,20.51,578500,+0.73%
2025-12-17,20.6,20.98,20.98,20.45,633000,-0.63%
2025-12-16,20.73,21,21.01,20.65,524500,-0.62%
2025-12-15,20.86,20.71,20.91,20.71,314000,+0.77%
2025-12-12,20.7,20.32,20.79,20.32,596500,+0.34%
2025-12-11,20.63,20.9,20.9,20.52,352000,-0.91%
2025-12-10,20.82,20.75,20.94,20.75,428500,+0.53%
2025-12-09,20.71,20.8,20.8,20.61,444500,+0.10%
2025-12-08,20.69,20.9,21,20.65,321000,+0.05%
2025-12-05,20.68,20.3,20.83,20.3,524000,+2.07%
2025-12-04,20.26,20.3,20.3,20.1,296000,+0.60%
2025-12-03,20.14,20.56,20.56,20.06,475000,-0.79%
2025-12-02,20.3,20.55,20.56,20.25,426500,-0.34%
2025-12-01,20.37,20.11,20.44,20.01,500000,+1.29%
2025-11-28,20.11,19.89,20.14,19.89,391000,+1.51%
2025-11-27,19.81,19.5,19.91,19.5,1846500,+1.49%
2025-11-26,19.52,19.55,19.55,19.14,233000,+0.77%
2025-11-25,19.37,19.35,19.62,19.3,193500,-0.82%
2025-11-24,19.53,19.4,19.68,17.58,283000,-0.26%
2025-11-21,19.58,19.65,19.77,19.56,253000,+0.00%
2025-11-20,19.58,19.4,19.67,19.4,381500,+0.98%
2025-11-19,19.39,19.42,19.49,19.32,199000,-0.05%
2025-11-18,19.4,19.6,19.6,19.25,1618000,-0.36%
2025-11-17,19.47,19.52,19.71,19.43,1274500,-0.26%
2025-11-14,19.52,19.49,19.86,19.43,643000,+0.46%
2025-11-13,19.43,19.29,19.47,19.15,152000,+2.16%
2025-11-12,19.02,19.48,19.48,18.95,346000,-0.83%
2025-11-11,19.18,19.71,19.71,19.12,417500,-2.14%
2025-11-10,19.6,19.79,19.79,19.34,285000,+1.29%
2025-11-07,19.35,19.31,19.46,19.2,217500,+0.36%
2025-11-06,19.28,19.46,19.46,19.14,246500,-0.41%
2025-11-05,19.36,19.68,19.69,19.3,229000,-1.53%
2025-11-04,19.66,19.89,19.89,19.51,320500,-0.91%
2025-11-03,19.84,19.8,19.9,19.45,296000,+0.81%
2025-10-31,19.68,19.44,19.8,19.44,407000,+1.81%
2025-10-30,19.33,19.68,19.68,19.15,397000,-0.92%
2025-10-29,19.51,19.51,19.83,19.44,456500,-1.32%
2025-10-28,19.77,20.1,20.16,19.71,520500,-1.15%
2025-10-27,20,20.18,20.18,19.9,558500,-0.89%
2025-10-24,20.18,20.14,20.3,19.97,1638500,+0.20%
2025-10-23,20.14,20.26,20.4,20.1,346000,-1.47%
2025-10-22,20.44,20.43,20.64,20.34,239500,+0.44%
2025-10-21,20.35,20.44,20.5,20.29,406000,+0.30%
2025-10-20,20.29,20.18,20.43,20.17,379000,+0.55%
2025-10-17,20.18,20.41,20.41,20.09,317500,-0.44%
2025-10-16,20.27,20.55,20.58,20.11,409500,-1.17%
2025-10-15,20.51,20.6,20.73,20.41,442000,+1.23%
2025-10-14,20.26,19.84,20.5,19.8,947500,+3.74%
2025-10-13,19.53,20.2,20.2,19.33,1422000,-3.94%
2025-10-10,20.33,20.5,21.25,20.05,835500,-0.78%
2025-10-09,20.49,20.33,20.68,20.3,686000,+0.54%
2025-10-08,20.38,20.92,20.92,20.3,771000,-1.26%
2025-10-07,20.64,21,21.04,20.49,722500,-1.05%
2025-10-06,20.86,21.56,21.56,20.62,1729500,-2.20%
2025-10-03,21.33,21.65,21.65,21.19,479500,+0.38%
