date,close,open,high,low,volume,change_pct
2026-07-01,205.01,199.9,205.98,198.57,15996690,+3.28%
2026-06-30,198.5,199.97,203.5,196.99,4203307,-0.63%
2026-06-29,199.76,201.9,204.5,196.56,11283900,-0.98%
2026-06-24,201.73,200,202.92,199.01,6728453,+0.77%
2026-06-23,200.18,202.98,203.89,198,2559266,-1.39%
2026-06-22,203,205,205.99,195,4435417,-0.25%
2026-06-19,203.51,207.1,208.99,201.11,5125036,-1.91%
2026-06-18,207.47,208.3,208.5,206,3841979,+0.27%
2026-06-17,206.92,208.55,209,203.5,4972407,+0.15%
2026-06-16,206.61,201.1,208.9,199.5,13751330,+4.17%
2026-06-15,198.33,197.41,200,194.75,7929693,+4.29%
2026-06-12,190.17,186.94,193.75,185.42,6824707,+3.19%
2026-06-11,184.3,182.99,185,180.5,1974026,+0.37%
2026-06-10,183.62,184.5,186.5,183.01,1785733,-0.75%
2026-06-09,185,184.99,185.98,184,1795413,+2.05%
2026-06-08,181.29,183,183,180,2214488,-1.60%
2026-06-05,184.24,187,187.54,183,2496681,-1.20%
2026-06-04,186.48,186,187.9,186,1290359,+0.71%
2026-06-03,185.16,186,187.74,184.01,1460710,-1.35%
2026-06-02,187.69,189,190.99,186.02,2293829,-0.74%
2026-06-01,189.09,194,194,188.5,2529292,-2.67%
2026-05-29,194.27,197.01,200.5,192.8,8874378,-0.27%
2026-05-25,194.79,192,196,190.26,7491700,+4.99%
2026-05-22,185.53,187.5,191.48,184.6,5546913,-0.64%
2026-05-21,186.73,185,189.33,183.15,6814369,+3.53%
2026-05-20,180.36,177.5,181.7,175.5,3231385,+1.65%
2026-05-19,177.43,179.99,179.99,175.81,2539914,+1.34%
2026-05-18,175.09,177.9,177.9,173,4946488,-2.59%
2026-05-15,179.74,181.9,182.65,178.5,2783597,-0.67%
2026-05-14,180.95,182.3,183.79,180.03,2100996,-0.78%
2026-05-13,182.38,186.84,188.4,181.7,2301744,-2.33%
2026-05-12,186.73,189.88,192.4,185.9,3417030,-1.51%
2026-05-11,189.6,190,191,188.5,2404432,-1.54%
2026-05-08,192.56,192,194,189.05,3681373,-1.27%
2026-05-07,195.04,196,201.5,193.6,10234330,+0.78%
2026-05-06,193.54,181,193.73,180.82,10524050,+9.89%
2026-05-05,176.12,174,178,171,5254338,+0.19%
2026-05-04,175.79,179,185,174,4636730,+0.02%
2026-04-30,175.76,182.1,182.1,172,12160630,-5.49%
2026-04-29,185.97,202.5,205,183.25,15394960,-8.16%
2026-04-28,202.49,201.05,206.24,199.12,4377521,-1.57%
2026-04-27,205.73,215,215.5,203.33,7146199,-3.52%
2026-04-24,213.23,207,216,199.1,10242680,+3.55%
2026-04-23,205.91,208.5,211,205.05,4031712,-1.30%
2026-04-22,208.62,212.54,214.79,208,4757367,-1.61%
2026-04-21,212.04,217.97,221.2,210,9628654,-1.74%
2026-04-20,215.8,212,224.49,205.1,21664400,+1.38%
2026-04-17,212.86,195.5,212.86,195,17630970,+10.00%
2026-04-16,193.51,191,195.6,191,5015620,+1.80%
2026-04-15,190.08,195,195.85,188.01,6085764,+0.76%
2026-04-14,188.64,185,190,183.5,4989970,+4.96%
