date,close,open,high,low,volume,change_pct
"Jun 24, 2026",64.12,64.12,64.75,63.9,2844484,+0.00%
"Jun 23, 2026",64.12,64.8,65.2,63.9,1879096,-0.77%
"Jun 22, 2026",64.62,66.08,66.21,64.5,2970299,-1.69%
"Jun 19, 2026",65.73,68,68.04,65.1,4471564,-3.04%
"Jun 18, 2026",67.79,67,68.25,66.9,11645261,+1.51%
"Jun 17, 2026",66.78,67,67.2,65.4,8320944,+0.75%
"Jun 16, 2026",66.28,66.98,67,65,6410905,+0.08%
"Jun 15, 2026",66.23,66.7,67.01,64.84,9069481,+2.59%
"Jun 12, 2026",64.56,64.69,65.3,63.7,5412930,+2.07%
"Jun 11, 2026",63.25,63,63.75,62.71,1581253,-0.05%
"Jun 10, 2026",63.28,63.31,64.23,63.15,1752993,-1.12%
"Jun 09, 2026",64,64.49,65.34,63.71,4386878,+1.28%
"Jun 08, 2026",63.19,63.68,64.12,63.01,1972980,-2.00%
"Jun 05, 2026",64.48,63.98,66.25,63.05,6939200,+1.42%
"Jun 04, 2026",63.58,63.5,63.98,63,1591447,+0.09%
"Jun 03, 2026",63.52,63.88,63.88,63.01,1626702,-0.58%
"Jun 02, 2026",63.89,64.03,64.88,63.5,3067964,-0.20%
"Jun 01, 2026",64.02,66.4,66.4,63.9,4309190,-3.64%
"May 29, 2026",66.44,65.8,67.62,65.5,6786096,+0.96%
"May 25, 2026",65.81,66.01,66.97,65.18,4983304,+1.79%
"May 22, 2026",64.65,65.9,66.23,64.35,3224679,-1.43%
"May 21, 2026",65.59,65.15,66.8,65.15,6752895,+2.52%
"May 20, 2026",63.98,62.97,64.26,62.15,2905382,+2.35%
"May 19, 2026",62.51,63.4,63.75,62.23,2817350,+0.56%
"May 18, 2026",62.16,64,64.98,61.66,4347293,-5.07%
"May 15, 2026",65.48,65.6,66.42,64.5,3497228,-0.17%
"May 14, 2026",65.59,66.41,67.24,65.25,5398391,+0.68%
"May 13, 2026",65.15,66,67.2,64.87,3982673,-1.38%
"May 12, 2026",66.06,67.9,68.7,65.8,3132209,-2.55%
"May 11, 2026",67.79,66.01,68.59,66.01,4156647,-1.73%
"May 08, 2026",68.98,68.97,69.98,68.02,5282709,-2.87%
"May 07, 2026",71.02,71,71.74,70.1,10702866,+0.58%
"May 06, 2026",70.61,68.5,71.4,68.2,18172534,+6.15%
"May 05, 2026",66.52,65.49,66.99,64.9,7256082,+0.48%
"May 04, 2026",66.2,67.9,68.98,64.7,8253199,+1.77%
"Apr 30, 2026",65.05,65,65.55,62.3,9774394,-3.07%
"Apr 29, 2026",67.11,70.41,71.45,66.52,12189430,-4.59%
"Apr 28, 2026",70.34,74.89,77,69.23,30883172,-6.69%
"Apr 27, 2026",75.38,73.2,77.1,72.6,21705497,+1.52%
"Apr 24, 2026",74.25,70.62,75.6,69.56,17901992,+3.20%
"Apr 23, 2026",71.95,73.4,73.8,71.06,9265125,-2.94%
"Apr 22, 2026",74.13,75.15,77.39,73.71,15026574,-2.29%
"Apr 21, 2026",75.87,71.8,78.17,71.6,42316421,+6.32%
"Apr 20, 2026",71.36,70.82,72.43,68.6,20784317,-1.50%
"Apr 17, 2026",72.45,70.51,72.99,70.51,16177320,+3.13%
"Apr 16, 2026",70.25,71.65,71.99,69.6,13177700,-0.40%
"Apr 15, 2026",70.53,71.95,72.6,69.55,22017630,+3.49%
"Apr 14, 2026",68.15,66,68.68,66,18193469,+6.80%
"Apr 13, 2026",63.81,66.1,67.29,63.12,18225956,-8.59%
"Apr 10, 2026",69.81,66.99,70.8,66.99,27274308,+5.23%
"Apr 09, 2026",66.34,65.12,66.34,65.12,22384778,+1.86%
"Apr 08, 2026",65.13,65.13,65.13,65.13,7600356,+10.00%
"Apr 07, 2026",59.21,59,59.21,59,6961294,-0.70%
"Apr 06, 2026",59.63,58,59.63,58,12478998,+3.72%
"Apr 03, 2026",57.49,56,57.49,56,6788827,-1.20%
"Apr 02, 2026",58.19,57.55,58.19,57.55,9968645,-5.70%
"Apr 01, 2026",61.71,60,61.71,60,14046654,+7.55%
"Mar 31, 2026",57.38,56.45,57.38,56.45,8870834,+1.99%
"Mar 30, 2026",56.26,59.9,59.9,56.26,8237830,-7.39%
"Mar 27, 2026",60.75,60.9,60.9,60.75,7935794,-0.05%
"Mar 26, 2026",60.78,63.75,63.75,60.78,11768000,-5.99%
"Mar 25, 2026",64.65,61.25,64.65,61.25,24387082,+7.68%
"Mar 24, 2026",60.04,62.89,62.89,60.04,10081591,+1.32%
"Mar 19, 2026",59.26,59.01,59.26,59.01,6432187,-2.79%
"Mar 18, 2026",60.96,59.1,60.96,59.1,9110029,+3.30%
"Mar 17, 2026",59.01,59,59.01,59,11831317,+1.60%
"Mar 16, 2026",58.08,63,63,58.08,8951883,-8.28%
"Mar 13, 2026",63.32,64,64,63.32,5098925,-2.42%
"Mar 12, 2026",64.89,64.4,64.89,64.4,6339797,-3.06%
"Mar 11, 2026",66.94,64.75,66.94,64.75,12021585,+3.46%
"Mar 10, 2026",64.7,62.9,64.7,62.9,7000782,+9.98%
"Mar 09, 2026",58.83,60.26,60.26,58.83,5509057,-10.00%
"Mar 06, 2026",65.37,67.6,67.6,65.37,12958520,-4.44%
"Mar 05, 2026",68.41,64.99,68.41,64.99,16745497,+5.28%
"Mar 04, 2026",64.98,66.62,66.62,64.98,8306001,-2.94%
"Mar 03, 2026",66.95,65,66.95,65,20291733,-0.10%
"Mar 02, 2026",67.02,67.02,67.02,67.02,9757008,-10.00%
"Feb 27, 2026",74.47,67.99,74.47,67.99,24268273,+8.87%
"Feb 26, 2026",68.4,62.2,68.4,62.2,12749371,+10.00%
"Feb 25, 2026",62.18,66.01,66.01,62.18,6934779,-4.62%
"Feb 24, 2026",65.19,63.5,65.19,63.5,23441686,+0.76%
"Feb 23, 2026",64.7,71,71,64.7,9544121,-9.43%
"Feb 20, 2026",71.44,74,74,71.44,13090259,-2.35%
"Feb 19, 2026",73.16,80.76,80.76,73.16,10376250,-9.69%
"Feb 18, 2026",81.01,80.02,81.01,80.02,15018125,+2.84%
"Feb 17, 2026",78.77,79,79,78.77,15476473,+0.23%
"Feb 16, 2026",78.59,83.78,83.78,78.59,21333785,-4.60%
"Feb 13, 2026",82.38,78.5,82.38,78.5,20540585,+5.74%
"Feb 12, 2026",77.91,78.99,78.99,77.91,16266261,+0.92%
"Feb 11, 2026",77.2,82.05,82.05,77.2,26045054,-5.91%
"Feb 10, 2026",82.05,86,86,82.05,10828452,-4.56%
"Feb 09, 2026",85.97,86.11,86.11,85.97,10522292,+1.22%
"Feb 06, 2026",84.93,85.11,85.11,84.93,18090987,-0.60%
"Feb 04, 2026",85.44,87.1,87.1,85.44,11674658,-1.77%
"Feb 03, 2026",86.98,87.35,87.35,86.98,14777732,+0.31%
"Feb 02, 2026",86.71,83.4,86.71,83.4,29331188,+4.39%
"Jan 30, 2026",83.06,77.56,83.06,77.56,22678073,+8.65%
"Jan 29, 2026",76.45,79.7,79.7,76.45,21503077,-2.99%
"Jan 28, 2026",78.81,75.49,78.81,75.49,47820103,+6.69%
"Jan 27, 2026",73.87,67,73.87,67,25629288,+9.03%
"Jan 26, 2026",67.75,69.45,69.45,67.75,7974257,+0.37%
"Jan 23, 2026",67.5,66,67.5,66,8035925,+2.80%
"Jan 22, 2026",65.66,65.86,65.86,65.66,12755246,-0.27%
"Jan 21, 2026",65.84,71.17,71.17,65.84,13536944,-6.76%
"Jan 20, 2026",70.61,73.8,73.8,70.61,9895588,-1.74%
"Jan 19, 2026",71.86,74,74,71.86,20614810,-1.83%
"Jan 16, 2026",73.2,72.25,73.2,72.25,32544008,+3.07%
"Jan 15, 2026",71.02,71.89,71.89,71.02,36695540,+1.14%
"Jan 14, 2026",70.22,67.98,70.22,67.98,36653824,+9.99%
"Jan 13, 2026",63.84,62.99,63.84,62.99,30775882,+9.99%
"Jan 12, 2026",58.04,58.04,58.04,58.04,12127516,+10.01%
"Jan 09, 2026",52.76,53.33,53.33,52.76,13876226,-0.96%
"Jan 08, 2026",53.27,54.82,54.82,53.27,7262974,-2.77%
"Jan 07, 2026",54.79,54.89,54.89,54.79,10266215,+1.46%
"Jan 06, 2026",54,49,54,49,25233900,+10.00%
"Jan 05, 2026",49.09,47.03,49.09,47.03,13779514,+5.57%
"Jan 02, 2026",46.5,49.02,49.02,46.5,11959032,-6.68%
"Jan 01, 2026",49.83,50.77,50.77,49.83,7747970,-1.15%
"Dec 31, 2025",50.41,51.41,51.41,50.41,3571988,-1.95%
"Dec 30, 2025",51.41,49.65,51.41,49.65,4155907,+3.57%
"Dec 29, 2025",49.64,50.6,50.6,49.64,2257433,-1.21%
"Dec 26, 2025",50.25,51.8,51.8,50.25,18036999,-2.28%
"Dec 24, 2025",51.42,52.02,52.02,51.42,10486716,-3.09%
"Dec 23, 2025",53.06,59.31,59.31,53.06,10869901,-9.99%
"Dec 22, 2025",58.95,56.9,58.95,56.9,19283707,+4.97%
"Dec 19, 2025",56.16,52,56.16,52,22906260,+9.62%
"Dec 18, 2025",51.23,51,51.23,51,11268345,+1.91%
"Dec 17, 2025",50.27,51,51,50.27,6796894,-0.89%
"Dec 16, 2025",50.72,52.98,52.98,50.72,18301663,+2.61%
"Dec 15, 2025",49.43,46,49.43,46,14768283,+9.99%
"Dec 12, 2025",44.94,48,48,44.94,20997020,-1.27%
"Dec 11, 2025",45.52,43.99,45.52,43.99,1800632,+10.00%
"Dec 10, 2025",41.38,37.97,41.38,37.97,9458288,+10.02%
