date,close,open,high,low,volume,change_pct
2026-07-01,160.42,159,161.5,157.51,2719803,+1.62%
2026-06-30,157.86,159.58,161.01,156.5,4427931,-0.63%
2026-06-29,158.86,158.5,162.9,157,3291281,-0.21%
2026-06-24,159.2,155.98,161,154.5,4550512,+3.12%
2026-06-23,154.38,155.04,156.69,153.9,1229195,-0.43%
2026-06-22,155.04,159.24,159.24,153.53,2000274,-0.88%
2026-06-19,156.42,160.55,160.99,154.61,2978649,-2.27%
2026-06-18,160.06,159.11,164.45,157.5,7398133,+1.54%
2026-06-17,157.63,158.5,160.9,154.97,4450888,+0.29%
2026-06-16,157.18,156.02,161.5,156.02,5509762,+1.67%
2026-06-15,154.6,153,155.45,149.52,3915012,+5.64%
2026-06-12,146.34,145.26,148.99,144.51,1873514,+1.79%
2026-06-11,143.77,142.5,144.85,142.01,628090,+0.29%
2026-06-10,143.36,143.1,145.2,143,630123,-0.36%
2026-06-09,143.88,143,144.8,143,545618,+1.37%
2026-06-08,141.93,143.1,143.1,140.66,372440,-1.59%
2026-06-05,144.23,146.44,147.5,143.9,1907501,-0.98%
2026-06-04,145.66,145,146,143.2,1245454,+1.18%
2026-06-03,143.96,143.51,146.35,142.01,3084480,+0.31%
2026-06-02,143.51,142.85,145.11,140.21,9037800,+1.64%
2026-06-01,141.19,146.8,146.8,140.1,1262345,-3.84%
2026-05-29,146.83,146.9,148.5,146.01,2123724,+0.37%
2026-05-25,146.29,146.01,147,143.15,3289566,+3.39%
2026-05-22,141.5,143.9,144.35,141,1557938,-0.90%
2026-05-21,142.79,142.8,144.75,140.81,2598672,+2.72%
2026-05-20,139.01,137.34,139.4,137.25,703312,+1.23%
2026-05-19,137.32,142,142.8,136.5,762656,-0.38%
2026-05-18,137.85,143.8,144,137,1450446,-4.48%
2026-05-15,144.32,146.99,146.99,142.77,1526426,-1.52%
2026-05-14,146.55,148.03,149.25,145.8,1432219,-1.62%
2026-05-13,148.97,150.55,151.99,148.11,670408,-1.47%
2026-05-12,151.19,153.6,156,150.67,1231634,-1.57%
2026-05-11,153.6,150,155.45,149,1191949,+0.79%
2026-05-08,152.39,153.2,153.99,150,1430103,-1.94%
2026-05-07,155.41,155.17,156.8,152.03,4212501,+2.69%
2026-05-06,151.34,140,151.34,140,4090373,+10.00%
2026-05-05,137.58,135.01,138.51,135,626591,+0.56%
2026-05-04,136.81,145,145,135.01,1800450,-1.41%
2026-04-30,138.77,143.99,144,135.35,2549833,-4.88%
2026-04-29,145.89,150.03,151.87,145.03,1013748,-2.47%
2026-04-28,149.59,152,152.6,149,1318345,-1.99%
2026-04-27,152.62,155.25,157.25,151,2307185,-2.73%
2026-04-24,156.9,150,157.99,150,1266745,+1.72%
2026-04-23,154.25,157,157.9,152.5,1389795,-1.81%
2026-04-22,157.09,160.55,162.2,156.11,2049098,-1.81%
2026-04-21,159.98,155.25,162.98,154.55,7396970,+3.90%
2026-04-20,153.98,156,157.74,148.5,4665704,-2.56%
2026-04-17,158.02,155.25,159.48,154.76,3701752,+2.49%
2026-04-16,154.18,155,156.5,152.33,1786711,+0.46%
2026-04-15,153.48,154.1,161,152.32,4371812,+1.63%
2026-04-14,151.02,148.01,152,146.95,3810791,+5.60%
