date,close,open,high,low,volume,change_pct
"Jun 24, 2026",74.14,74,75,73.57,1257436,+0.34%
"Jun 23, 2026",73.89,73.76,74.96,72.96,1472624,-0.42%
"Jun 22, 2026",74.2,76.51,77.39,73.4,1884257,-2.42%
"Jun 19, 2026",76.04,79.39,79.55,74.1,3980466,-3.33%
"Jun 18, 2026",78.66,77.99,79,77.06,7480015,+2.00%
"Jun 17, 2026",77.12,76.1,77.87,74.61,3884083,+1.97%
"Jun 16, 2026",75.63,75.55,76.4,67.46,3302213,+0.91%
"Jun 15, 2026",74.95,75,75.9,72.2,5553116,+4.69%
"Jun 12, 2026",71.59,70.1,73.1,70,2372067,+3.19%
"Jun 11, 2026",69.38,69,69.99,68.5,578407,-0.37%
"Jun 10, 2026",69.64,70,71.1,69.2,816704,-2.15%
"Jun 09, 2026",71.17,69.5,72.18,69.3,2394819,+3.46%
"Jun 08, 2026",68.79,70,70,68.51,1086825,-2.59%
"Jun 05, 2026",70.62,68.88,72.29,68.24,3790321,+3.50%
"Jun 04, 2026",68.23,68.16,68.94,67.5,683166,+0.15%
"Jun 03, 2026",68.13,69,69.5,68,1074360,-1.93%
"Jun 02, 2026",69.47,69.2,70.2,69.06,1071633,+0.26%
"Jun 01, 2026",69.29,71.5,71.5,69.11,1899854,-3.25%
"May 29, 2026",71.62,71.31,72.7,70.5,2172894,+0.45%
"May 25, 2026",71.3,71.1,72.2,70.87,2465660,+1.99%
"May 22, 2026",69.91,71.26,71.68,69.51,1702561,-1.78%
"May 21, 2026",71.18,70.8,72.05,70.6,3015597,+2.36%
"May 20, 2026",69.54,68.95,69.92,67.26,1916974,+1.86%
"May 19, 2026",68.27,69,71,68.11,2038060,+0.26%
"May 18, 2026",68.09,71.03,71.48,67.9,2735128,-4.96%
"May 15, 2026",71.64,71.69,72.15,70.9,1596541,-0.07%
"May 14, 2026",71.69,72.89,73.73,71.05,2150358,-0.15%
"May 13, 2026",71.8,72.3,73.44,71.12,2763207,-0.60%
"May 12, 2026",72.23,74.9,75.79,71.9,1891717,-3.49%
"May 11, 2026",74.84,74.3,75.59,74,1867725,-1.50%
"May 08, 2026",75.98,76.12,76.89,75.15,2206718,-3.07%
"May 07, 2026",78.39,79,79.39,77.9,4291392,-0.11%
"May 06, 2026",78.48,75.6,79.49,75.42,8201834,+6.03%
"May 05, 2026",74.02,73.01,74.3,72.25,2900590,+0.39%
"May 04, 2026",73.73,77,77,72.7,4324075,+1.24%
"Apr 30, 2026",72.83,72.1,74.4,70.61,4808078,-2.87%
"Apr 29, 2026",74.98,79,79.9,74.3,7934020,-4.99%
"Apr 28, 2026",78.92,82.3,85.89,77.27,17634030,-5.17%
"Apr 27, 2026",83.22,80.62,85.4,80.15,11996743,+1.80%
"Apr 24, 2026",81.75,76.99,83.73,75.5,7374584,+4.78%
"Apr 23, 2026",78.02,81.5,81.5,77.27,6729204,-4.01%
"Apr 22, 2026",81.28,84,84.99,81,8296439,-3.06%
"Apr 21, 2026",83.85,80.5,86.35,80.2,21037024,+5.35%
"Apr 20, 2026",79.59,78.85,80.39,74.95,12683784,-1.06%
"Apr 17, 2026",80.44,78.95,80.7,78,8448294,+3.77%
"Apr 16, 2026",77.52,79.5,79.7,76.6,6052399,-0.73%
"Apr 15, 2026",78.09,78,81,77.26,12742544,+3.84%
"Apr 14, 2026",75.2,74.95,75.89,73.6,8928464,+5.99%
"Apr 13, 2026",70.95,74.25,74.78,70.3,6710496,-8.42%
"Apr 10, 2026",77.47,74.1,78.47,74.1,11511298,+6.07%
"Apr 09, 2026",73.04,71.49,73.04,71.49,15032006,+1.84%
"Apr 08, 2026",71.72,71.72,71.72,71.72,4850792,+10.00%
"Apr 07, 2026",65.2,64.39,65.2,64.39,3806519,-0.17%
"Apr 06, 2026",65.31,64,65.31,64,9119385,+2.83%
"Apr 03, 2026",63.51,62.25,63.51,62.25,4305312,-1.96%
"Apr 02, 2026",64.78,66.4,66.4,64.78,4586877,-5.82%
"Apr 01, 2026",68.78,66.41,68.78,66.41,9368186,+6.78%
"Mar 31, 2026",64.41,64.05,64.41,64.05,3408260,+2.16%
"Mar 30, 2026",63.05,65.15,65.15,63.05,3668783,-5.42%
"Mar 27, 2026",66.66,67.25,67.25,66.66,4314399,-0.37%
"Mar 26, 2026",66.91,69.02,69.02,66.91,9078513,-5.76%
"Mar 25, 2026",71,67,71,67,10710459,+7.38%
"Mar 24, 2026",66.12,68.75,68.75,66.12,5418475,+1.02%
"Mar 19, 2026",65.45,64.49,65.45,64.49,3338959,-1.21%
"Mar 18, 2026",66.25,64.1,66.25,64.1,4070850,+3.43%
"Mar 17, 2026",64.05,64,64.05,64,5992712,+1.94%
"Mar 16, 2026",62.83,68,68,62.83,5023694,-7.86%
"Mar 13, 2026",68.19,68.16,68.19,68.16,2375001,-2.17%
"Mar 12, 2026",69.7,69,69.7,69,5980241,-1.69%
"Mar 11, 2026",70.9,67.87,70.9,67.87,14835558,+4.46%
"Mar 10, 2026",67.87,64.5,67.87,64.5,3361253,+10.00%
"Mar 09, 2026",61.7,67,67,61.7,3092541,-9.99%
"Mar 06, 2026",68.55,72.95,72.95,68.55,7083946,-6.81%
"Mar 05, 2026",73.56,70,73.56,70,6056352,+6.09%
"Mar 04, 2026",69.34,71.9,71.9,69.34,3362485,-3.96%
"Mar 03, 2026",72.2,70,72.2,70,8968033,-1.10%
"Mar 02, 2026",73,73,73,73,5426649,-10.00%
"Feb 27, 2026",81.11,74,81.11,74,15143169,+7.30%
"Feb 26, 2026",75.59,69.89,75.59,69.89,7294749,+10.00%
"Feb 25, 2026",68.72,72.95,72.95,68.72,3541751,-4.73%
"Feb 24, 2026",72.13,68.5,72.13,68.5,9056355,+5.42%
"Feb 23, 2026",68.42,75.49,75.49,68.42,4192428,-9.35%
"Feb 20, 2026",75.48,80,80,75.48,7889376,-3.75%
"Feb 19, 2026",78.42,86.4,86.4,78.42,4031172,-9.37%
"Feb 18, 2026",86.53,86.51,86.53,86.51,4434487,+1.61%
"Feb 17, 2026",85.16,86.17,86.17,85.16,4201354,-1.17%
"Feb 16, 2026",86.17,90,90,86.17,7072294,-3.53%
"Feb 13, 2026",89.32,85.1,89.32,85.1,8441858,+4.96%
"Feb 12, 2026",85.1,86,86,85.1,6151225,-0.42%
"Feb 11, 2026",85.46,88.8,88.8,85.46,10493032,-4.19%
"Feb 10, 2026",89.2,92.5,92.5,89.2,4043601,-3.50%
"Feb 09, 2026",92.44,94.45,94.45,92.44,5129002,-0.02%
"Feb 06, 2026",92.46,93.06,93.06,92.46,18353540,-0.66%
"Feb 04, 2026",93.07,96.65,96.65,93.07,10268693,-3.70%
"Feb 03, 2026",96.65,96.5,96.65,96.5,15295858,+0.76%
"Feb 02, 2026",95.92,96.5,96.5,95.92,34713839,-3.02%
"Jan 30, 2026",98.91,92,98.91,92,21049082,+8.61%
"Jan 29, 2026",91.07,94.99,94.99,91.07,8977680,-3.80%
"Jan 28, 2026",94.67,92,94.67,92,30250074,+3.67%
"Jan 27, 2026",91.32,83.99,91.32,83.99,15242617,+8.24%
"Jan 26, 2026",84.37,88,88,84.37,3812394,-2.99%
"Jan 23, 2026",86.97,85.74,86.97,85.74,4155972,+2.03%
"Jan 22, 2026",85.24,85,85.24,85,6797294,+0.46%
"Jan 21, 2026",84.85,88.62,88.62,84.85,5645178,-4.25%
"Jan 20, 2026",88.62,89.76,89.76,88.62,3772611,-0.97%
"Jan 19, 2026",89.49,89,89.49,89,12722591,+1.11%
"Jan 16, 2026",88.51,93.85,93.85,88.51,16925046,-4.54%
"Jan 15, 2026",92.72,96.6,96.6,92.72,14118282,-3.92%
"Jan 14, 2026",96.5,90,96.5,90,42605091,+7.92%
"Jan 13, 2026",89.42,87.49,89.42,87.49,25151700,+10.00%
"Jan 12, 2026",81.29,81.29,81.29,81.29,6716214,+10.00%
"Jan 09, 2026",73.9,72,73.9,72,11789748,+2.87%
"Jan 08, 2026",71.84,73.75,73.75,71.84,5300943,-2.11%
"Jan 07, 2026",73.39,72.45,73.39,72.45,9888096,+4.71%
"Jan 06, 2026",70.09,64.99,70.09,64.99,16861179,+9.98%
"Jan 05, 2026",63.73,61.77,63.73,61.77,12584469,+6.66%
"Jan 02, 2026",59.75,65.5,65.5,59.75,8998870,-9.37%
"Jan 01, 2026",65.93,66.67,66.67,65.93,2338605,-1.10%
"Dec 31, 2025",66.66,68.5,68.5,66.66,1822394,-2.66%
"Dec 30, 2025",68.48,68.6,68.6,68.48,4327381,+0.41%
"Dec 29, 2025",68.2,70.9,70.9,68.2,3748289,-2.22%
"Dec 26, 2025",69.75,66.1,69.75,66.1,7011436,+4.28%
"Dec 24, 2025",66.89,69,69,66.89,10227908,-5.03%
"Dec 23, 2025",70.43,79,79,70.43,12655408,-9.97%
"Dec 22, 2025",78.23,75,78.23,75,13735370,+8.79%
"Dec 19, 2025",71.91,66.51,71.91,66.51,17210999,+10.00%
"Dec 18, 2025",65.37,64.62,65.37,64.62,6875178,+1.70%
"Dec 17, 2025",64.28,63.15,64.28,63.15,6959332,+1.82%
"Dec 16, 2025",63.13,65.48,65.48,63.13,16318445,+2.15%
"Dec 15, 2025",61.8,58.9,61.8,58.9,15232631,+10.00%
"Dec 12, 2025",56.18,60,60,56.18,15303853,-0.07%
"Dec 11, 2025",56.22,54.22,56.22,54.22,2672392,+10.00%
"Dec 10, 2025",51.11,47.44,51.11,47.44,12608675,+10.01%
"Dec 09, 2025",46.46,44,46.46,44,11556590,+7.72%
"Dec 08, 2025",43.13,41.9,43.13,41.9,5777527,+5.09%
"Dec 05, 2025",41.04,41.99,41.99,41.04,2813244,-1.44%
"Dec 04, 2025",41.64,38.12,41.64,38.12,8800229,+9.26%
