date,close,open,high,low,volume,change_pct
"Jun 24, 2026",19.22,19.79,19.79,19.22,3560343,-2.88%
"Jun 23, 2026",19.79,22.3,22.3,19.79,20852263,-9.92%
"Jun 22, 2026",21.97,20.08,21.97,20.08,27894240,+10.02%
"Jun 19, 2026",19.97,20.5,20.5,19.97,3712180,-2.06%
"Jun 18, 2026",20.39,19.42,20.39,19.42,16928575,+4.99%
"Jun 17, 2026",19.42,20.5,20.5,19.42,4975047,-4.99%
"Jun 16, 2026",20.44,23.11,23.11,20.44,24817058,-8.99%
"Jun 15, 2026",22.46,20.5,22.46,20.5,20157493,+9.99%
"Jun 12, 2026",20.42,22.51,22.51,20.42,33427696,-7.77%
"Jun 11, 2026",22.14,20.4,22.14,20.4,10484714,+9.99%
"Jun 10, 2026",20.13,18.5,20.13,18.5,30164755,+8.81%
"Jun 09, 2026",18.5,17.3,18.5,17.3,10268445,+9.99%
"Jun 08, 2026",16.82,15.66,16.82,15.66,15494920,+10.01%
"Jun 05, 2026",15.29,15.37,15.37,15.29,11946295,+1.39%
"Jun 04, 2026",15.08,15.5,15.5,15.08,5671524,-1.76%
"Jun 03, 2026",15.35,14.99,15.35,14.99,10155266,+1.19%
"Jun 02, 2026",15.17,16.46,16.46,15.17,19518799,+1.40%
"Jun 01, 2026",14.96,14.96,14.96,14.96,1773182,+10.00%
"May 29, 2026",13.6,12.96,13.6,12.96,7694707,+4.70%
"May 25, 2026",12.99,13.65,13.65,12.99,4165493,-2.33%
"May 22, 2026",13.3,12.52,13.3,12.52,11102769,+4.89%
"May 21, 2026",12.68,13.45,13.45,12.68,10865153,-0.78%
"May 20, 2026",12.78,12.09,12.78,12.09,1630423,+9.98%
"May 19, 2026",11.62,10.66,11.62,10.66,5165076,+10.04%
"May 18, 2026",10.56,11.36,11.36,10.56,3634097,-8.81%
"May 15, 2026",11.58,12.22,12.22,11.58,15030305,+0.26%
"May 14, 2026",11.55,11.55,11.55,11.55,3090116,+10.00%
"May 13, 2026",10.5,9.64,10.5,9.64,2678278,+10.53%
"May 12, 2026",9.5,9.85,9.85,9.5,370276,-1.55%
"May 11, 2026",9.65,9.51,9.65,9.51,387351,-1.13%
"May 08, 2026",9.76,9.84,9.84,9.76,593453,-1.21%
"May 07, 2026",9.88,9.99,9.99,9.88,1043307,-0.90%
"May 06, 2026",9.97,9.71,9.97,9.71,2754298,+4.84%
"May 05, 2026",9.51,9.38,9.51,9.38,423316,+0.96%
"May 04, 2026",9.42,9.45,9.45,9.42,756247,-0.21%
"Apr 30, 2026",9.44,9.16,9.44,9.16,1354004,+2.16%
"Apr 29, 2026",9.24,9.8,9.8,9.24,1301924,-3.65%
"Apr 28, 2026",9.59,9.28,9.59,9.28,1811184,+2.68%
"Apr 27, 2026",9.34,9.5,9.5,9.34,1006101,-0.95%
"Apr 24, 2026",9.43,9.6,9.6,9.43,825269,-2.98%
"Apr 23, 2026",9.72,9.78,9.78,9.72,2051474,-0.31%
"Apr 22, 2026",9.75,9.6,9.75,9.6,4377763,+2.96%
"Apr 21, 2026",9.47,9.1,9.47,9.1,2207346,+6.05%
"Apr 20, 2026",8.93,9.39,9.39,8.93,1265813,-3.04%
"Apr 17, 2026",9.21,9.19,9.21,9.19,1881831,+1.77%
"Apr 16, 2026",9.05,9.08,9.08,9.05,1331787,+0.67%
"Apr 15, 2026",8.99,9.14,9.14,8.99,893472,+1.12%
"Apr 14, 2026",8.89,8.95,8.95,8.89,762927,+2.30%
"Apr 13, 2026",8.69,8.99,8.99,8.69,446946,-5.95%
"Apr 10, 2026",9.24,8.81,9.24,8.81,889466,+5.96%
"Apr 09, 2026",8.72,8.94,8.94,8.72,367787,-2.68%
"Apr 08, 2026",8.96,8.51,8.96,8.51,1876049,+10.48%
"Apr 07, 2026",8.11,8.35,8.35,8.11,355995,-0.98%
"Apr 06, 2026",8.19,8.39,8.39,8.19,428506,+0.37%
"Apr 03, 2026",8.16,8.3,8.3,8.16,245666,-0.24%
"Apr 02, 2026",8.18,8.3,8.3,8.18,92370,-1.68%
"Apr 01, 2026",8.32,8.3,8.32,8.3,369113,+3.10%
"Mar 31, 2026",8.07,8.25,8.25,8.07,123172,+1.25%
"Mar 30, 2026",7.97,8.49,8.49,7.97,170514,-4.32%
"Mar 27, 2026",8.33,8.55,8.55,8.33,229816,+0.73%
"Mar 26, 2026",8.27,8.26,8.27,8.26,450891,-3.95%
