date,close,open,high,low,volume,change_pct
2026-07-01,334.91,335,337.3,333,3716723,+0.01%
2026-06-30,334.87,335.8,339.7,332.81,4510910,-0.10%
2026-06-29,335.2,340,340.5,333.51,2691219,-1.40%
2026-06-24,339.96,338.25,340.75,337,3779720,+0.53%
2026-06-23,338.17,335.4,340.6,335.25,9873720,+1.17%
2026-06-22,334.25,334,334.75,330.99,11154880,+0.90%
2026-06-19,331.28,339,339.49,329,9526189,-1.76%
2026-06-18,337.2,335,337.96,333.6,7936728,+0.95%
2026-06-17,334.04,328.9,335,325.8,9568482,+1.95%
2026-06-16,327.64,326.5,329.9,324,5305472,+0.93%
2026-06-15,324.63,325,325.65,319.6,5774424,+2.09%
2026-06-12,317.99,319.95,321.22,317.01,3228564,+0.57%
2026-06-11,316.2,315.65,318,314.01,2336208,-0.15%
2026-06-10,316.68,317.01,320.75,316,1366369,-0.92%
2026-06-09,319.63,321,322.45,319.4,2778242,+0.49%
2026-06-08,318.07,318,320,314.1,2805226,-0.70%
2026-06-05,320.31,325,326.39,319.75,2032744,-1.31%
2026-06-04,324.56,321.51,325.2,321,2362888,+1.44%
2026-06-03,319.96,320,323.25,319,2339418,-0.19%
2026-06-02,320.58,320.25,324.51,319.99,2144427,+0.08%
2026-06-01,320.33,330,330,319.05,3947944,-3.03%
2026-05-29,330.33,330,331.9,321,3972556,+0.08%
2026-05-25,330.05,328,330.9,326.7,4384086,+2.02%
2026-05-22,323.51,326.8,327.6,321,2072490,-0.71%
2026-05-21,325.82,322,326.8,322,5129543,+2.29%
2026-05-20,318.53,317.7,319.9,315.5,3194694,+0.58%
2026-05-19,316.7,312,318.39,312,4685426,+2.04%
2026-05-18,310.37,319.98,319.98,309.15,4951514,-3.54%
2026-05-15,321.75,326,326,318.5,3609510,-0.61%
2026-05-14,323.72,326,328,322.72,2021160,-0.52%
2026-05-13,325.41,327.99,328.9,324.32,1706584,-0.28%
2026-05-12,326.32,325.14,331.6,325.14,4800902,-0.28%
2026-05-11,327.22,324.8,328,321,3452488,+0.24%
2026-05-08,329.68,330.11,332.2,328.15,4956910,-1.21%
2026-05-07,333.72,328.59,334.9,325,10178250,+1.62%
2026-05-06,328.39,319.98,333.88,318,18183260,+5.45%
2026-05-05,311.42,302.03,312.89,301.25,3893802,+1.52%
2026-05-04,306.75,307.9,312.85,304.2,4889986,+1.18%
2026-04-30,303.17,304.63,307.89,297.02,5863557,-2.20%
2026-04-29,309.99,319,320.45,307.94,3739485,-2.66%
2026-04-28,318.45,316.66,320.45,316.1,2871347,-0.21%
2026-04-27,319.11,323.9,325.88,318.01,3282147,-2.08%
2026-04-24,325.9,316.01,328.9,313.1,4675630,+2.05%
