date,close,open,high,low,volume,change_pct
2026-07-01,11.1,11.24,11.25,11.05,1503432,+0.27%
2026-06-30,11.07,11.02,11.2,10.9,2699476,+0.45%
2026-06-29,11.02,11.49,11.49,10.96,6256630,-2.48%
2026-06-24,11.3,11.3,11.47,11.22,6159742,+0.09%
2026-06-23,11.29,11.51,11.63,11.23,3773240,-1.74%
2026-06-22,11.49,11.25,11.55,11.25,7106932,+2.50%
2026-06-19,11.21,11.7,11.74,11.18,4036719,-3.11%
2026-06-18,11.57,11.7,11.88,11.5,5390079,-0.86%
2026-06-17,11.67,11.8,11.9,11.51,3326863,-0.77%
2026-06-16,11.76,11.8,11.94,11.6,6222204,-0.08%
2026-06-15,11.77,11.79,11.96,11.56,6797315,+2.08%
2026-06-12,11.53,11.83,11.92,11.45,6461881,-1.03%
2026-06-11,11.65,11.55,12.06,11.51,11864960,-0.26%
2026-06-10,11.68,12.1,12.18,11.61,13412570,-2.83%
2026-06-09,12.02,11.74,12.55,11.63,46226087,+4.25%
2026-06-08,11.53,11.58,12.07,11.35,26338977,-0.77%
2026-06-05,11.62,10.8,11.79,10.65,41811510,+8.40%
2026-06-04,10.72,10.72,10.82,10.52,1294815,+1.32%
2026-06-03,10.58,10.95,10.99,10.45,6718988,-2.13%
2026-06-02,10.81,10.49,11.13,10.49,7937845,+3.25%
2026-06-01,10.47,10.67,10.81,9.66,2601074,-1.78%
2026-05-29,10.66,10.7,10.83,10.55,3379236,+0.66%
2026-05-25,10.59,10.85,10.88,10.52,2157702,+0.38%
2026-05-22,10.55,10.85,10.88,10.5,2452377,-2.13%
2026-05-21,10.78,10.79,10.98,10.71,2894974,+1.41%
2026-05-20,10.63,10.6,10.7,10,2914181,+0.76%
2026-05-19,10.55,10.74,11,10.5,1758888,-0.09%
2026-05-18,10.56,11.01,11.01,10.5,2020166,-4.09%
2026-05-15,11.01,10.68,11.25,10.5,6556666,+2.99%
2026-05-14,10.69,10.81,11.14,10.6,2393777,-1.47%
2026-05-13,10.85,11.28,11.28,10.8,1873898,-1.63%
2026-05-12,11.03,11.04,11.3,10.95,5350995,-0.09%
2026-05-11,11.04,11.29,11.49,10.95,10259260,-2.30%
2026-05-08,11.3,11.5,12.23,11.02,23411930,-2.92%
2026-05-07,11.64,11.69,11.85,11.4,6299148,+1.48%
2026-05-06,11.47,11.25,11.7,11.21,9631714,+5.42%
2026-05-05,10.88,10.89,11.14,10.7,2047569,-1.36%
2026-05-04,11.03,11.31,11.68,10.86,6437417,-1.87%
2026-04-30,11.24,11.5,11.7,10.84,22454880,-6.64%
2026-04-29,12.04,12.87,13.09,11.8,18394110,-6.81%
2026-04-28,12.92,12.11,13.37,12.11,28262760,+4.45%
2026-04-27,12.37,12.59,12.77,12.3,5259227,-1.36%
2026-04-24,12.54,12.7,12.89,12.36,9434217,-0.40%
2026-04-23,12.59,12.1,13.1,12.02,21652380,+4.14%
2026-04-22,12.09,12.2,12.45,11.95,7048646,-0.98%
2026-04-21,12.21,12.49,12.94,12.1,8136906,-1.21%
2026-04-20,12.36,12.8,13.47,11.77,21662930,-5.43%
2026-04-17,13.07,12.6,13.55,12.4,28402680,+5.74%
2026-04-16,12.36,11.72,12.72,11.5,33919000,+6.83%
2026-04-15,11.57,10.9,11.85,10.8,44263810,+7.43%
2026-04-14,10.77,10.29,10.9,10.29,7944138,+5.28%
2026-04-13,10.23,10.15,10.6,10.1,3510250,-5.63%
2026-04-10,10.84,10.29,11.08,10.12,7167473,+6.27%
2026-04-09,10.2,10.7,10.7,10.1,2274706,-4.05%
2026-04-08,10.63,10.29,10.63,10.29,4194254,+10.38%
2026-04-07,9.63,9.74,9.74,9.48,1352288,+0.00%
2026-04-06,9.63,9.26,9.8,9.26,897776,+0.52%
2026-04-03,9.58,9.45,9.9,9.35,2335961,-1.74%
2026-04-02,9.75,9.9,9.95,9.5,2145798,-5.52%
2026-04-01,10.32,9.7,10.44,9.5,7116415,+9.32%
2026-03-31,9.44,9.2,9.6,9,1924365,+3.28%
2026-03-30,9.14,9.33,9.33,8.75,2268409,-2.25%
2026-03-27,9.35,9.45,9.7,9.2,2936136,-1.89%
2026-03-26,9.53,10.25,10.39,9.45,6412814,-7.66%
2026-03-25,10.32,10.13,10.65,10.01,8952241,+2.18%
2026-03-24,10.1,10.8,10.86,10,6248853,-4.17%
2026-03-19,10.54,10.29,10.9,10.05,9069968,+3.54%
2026-03-18,10.18,9.26,10.18,9.25,11199330,+10.89%
2026-03-17,9.18,9.02,9.3,9,301929,+0.99%
2026-03-16,9.09,9.4,9.73,9,730750,-3.30%
2026-03-13,9.4,9.45,9.47,9.03,799208,+0.43%
2026-03-12,9.36,9.4,9.69,9.03,1163880,+0.65%
2026-03-11,9.3,9.3,9.57,8.7,2160891,+2.20%
2026-03-10,9.1,8.64,9.28,8.5,1709353,+9.90%
2026-03-09,8.28,8.28,9,8.24,1654041,-10.39%
2026-03-06,9.24,9.65,9.65,9.16,1311732,-3.25%
2026-03-05,9.55,8.75,9.65,8.75,3921710,+9.52%
2026-03-04,8.72,9.4,9.5,8.68,4168564,-6.84%
2026-03-03,9.36,9.5,10.1,9.14,3497160,-7.87%
2026-03-02,10.16,10.16,10.25,10.16,827348,-10.01%
2026-02-27,11.29,11,11.7,10.64,5804710,+1.53%
2026-02-26,11.12,10.3,11.17,9.84,9162543,+9.56%
2026-02-25,10.15,10.15,10.83,9.56,6006670,+2.01%
2026-02-24,9.95,10,10.5,9.72,4392259,-4.97%
2026-02-23,10.47,11.49,11.75,10.39,3691753,-9.27%
2026-02-20,11.54,12.25,12.47,10.9,5303444,-4.39%
2026-02-19,12.07,13.5,13.51,12,4842416,-9.45%
2026-02-18,13.33,13,13.55,12.31,5528089,+3.65%
2026-02-17,12.86,14.2,14.27,12.6,7110370,-8.14%
2026-02-16,14,15,15,13.85,3989297,-6.98%
2026-02-13,15.05,15.44,15.44,14.51,1938125,+0.94%
2026-02-12,14.91,15.5,15.5,14.3,5656606,-2.49%
2026-02-11,15.29,15.65,15.8,15.2,4608278,-1.61%
2026-02-10,15.54,16.95,16.95,15.29,39397200,-8.53%
2026-02-09,16.99,17,17.2,16.2,2972442,-0.41%
2026-02-06,17.06,17.2,17.57,16.95,7387767,-0.23%
2026-02-04,17.1,16.5,17.45,16.24,12247780,+3.64%
2026-02-03,16.5,15.9,16.61,15.9,4623372,+3.90%
2026-02-02,15.88,16.4,16.48,15.81,3636896,-3.76%
2026-01-30,16.5,16.8,17.49,16.35,15848640,-1.49%
2026-01-29,16.75,15.73,16.94,15.5,19124870,+6.48%
2026-01-28,15.73,15.15,16.48,15.15,19504530,+2.68%
2026-01-27,15.32,15,15.57,14.56,8466184,+2.27%
2026-01-26,14.98,15.7,15.8,14.85,10891350,-4.53%
2026-01-23,15.69,16.19,16.19,15.6,8369893,-2.79%
2026-01-22,16.14,15.75,16.92,15.6,23942500,+3.46%
2026-01-21,15.6,15.9,16,15.5,2765217,-1.83%
2026-01-20,15.89,16,16.15,15.7,3325161,+1.02%
2026-01-19,15.73,15.51,16.5,15.45,12083550,-0.88%
2026-01-16,15.87,16,16.7,15.75,9539302,-0.38%
2026-01-15,15.93,16.43,16.65,15.7,15089570,-3.10%
2026-01-14,16.44,18.08,18.3,16.43,45362650,-9.97%
2026-01-13,18.26,18.97,19.5,18.15,5926309,-3.69%
2026-01-12,18.96,20,20.73,18.81,19655620,-3.85%
2026-01-09,19.72,17.85,19.72,17.85,17811230,+9.98%
2026-01-08,17.93,18.45,18.5,17.87,3318759,-2.77%
2026-01-07,18.44,18.05,18.65,17.75,11318910,+2.16%
2026-01-06,18.05,17.96,18.22,16.8,12693440,+2.44%
2026-01-05,17.62,18.1,18.48,17.55,4929132,-3.08%
2026-01-02,18.18,19.05,19.2,17.91,6665830,-3.81%
2026-01-01,18.9,18.97,19.5,18.65,8176139,+0.11%
2025-12-31,18.88,18.74,19.09,18.25,5462102,+1.72%
2025-12-30,18.56,18.05,18.83,18.03,3345539,+2.83%
2025-12-29,18.05,18.46,18.79,16.61,8098929,-2.22%
2025-12-26,18.46,19.2,19.2,18.4,5518465,-2.69%
2025-12-24,18.97,19.15,19.3,18.8,4881541,-0.42%
2025-12-23,19.05,19.2,19.3,18.9,4446776,+0.21%
2025-12-22,19.01,19.2,19.55,18.85,3913981,-0.99%
2025-12-19,19.2,18.98,20.14,18.75,20201460,+2.62%
2025-12-18,18.71,18.73,19.33,18.4,14295990,-0.05%
2025-12-17,18.72,19.9,20.05,18.26,25514300,-6.68%
2025-12-16,20.06,22.39,22.53,20.06,18080900,-10.00%
2025-12-15,22.29,22.3,23,21.7,14291250,+1.13%
2025-12-12,22.04,20.2,22.04,20.07,27245010,+9.98%
2025-12-11,20.04,19.99,20.44,19.7,5443153,+0.10%
2025-12-10,20.02,20.1,20.79,19.9,12019280,-0.15%
2025-12-09,20.05,19.21,20.69,19.02,13728970,+4.37%
2025-12-08,19.21,19.97,20.09,18.9,9424258,-3.61%
2025-12-05,19.93,20,20.69,19.82,17301220,+3.26%
2025-12-04,19.3,20.5,20.5,19.18,20588760,-9.43%
2025-12-03,21.31,23.88,23.88,21.31,16363050,-10.01%
2025-12-02,23.68,24.3,25.05,23.45,23724100,-2.47%
2025-12-01,24.28,22.05,24.28,21.5,21775680,+10.01%
2025-11-28,22.07,21,22.8,20.98,16831260,+5.85%
2025-11-27,20.85,21.05,21.5,19.75,15913080,+1.16%
2025-11-26,20.61,23.03,23.2,20.44,25224520,-9.25%
2025-11-25,22.71,25.3,25.3,22.69,28458760,-9.92%
2025-11-24,25.21,25.88,26,24.93,5232466,-1.14%
2025-11-21,25.5,26.18,26.18,25.08,6024479,-1.39%
2025-11-20,25.86,25.5,26.2,24.8,18285310,+2.70%
2025-11-19,25.18,27.49,28.2,24.8,31638810,-7.87%
2025-11-18,27.33,27.35,28.61,27.1,23773960,+0.26%
2025-11-17,27.26,27.65,28.05,26.85,7942832,-1.27%
2025-11-14,27.61,29.15,30.5,26.61,51755780,-5.06%
2025-11-13,29.08,28.8,29.7,28.01,18185970,+3.34%
2025-11-12,28.14,28.79,29.2,27.5,9508491,-1.54%
2025-11-11,28.58,29.69,30.2,28.25,22865880,-2.36%
2025-11-10,29.27,28.9,30.27,28.75,10343490,+0.55%
2025-11-07,29.11,28.98,31,28.61,47517350,+2.54%
2025-11-06,28.39,26,28.39,25.55,33747820,+10.00%
2025-11-05,25.81,25.99,26.7,25.45,11319100,+0.78%
2025-11-04,25.61,26.83,26.83,24.7,25224440,-3.58%
2025-11-03,26.56,27,27.8,26.1,32206560,+0.91%
2025-10-31,26.32,24.55,26.32,24.4,34886090,+9.99%
2025-10-30,23.93,24.38,24.38,23,19210190,+1.57%
2025-10-29,23.56,22,23.56,22,21012160,+9.99%
2025-10-28,21.42,24.06,25,21.27,31090260,-9.35%
2025-10-27,23.63,21.7,23.63,21.7,15358850,+10.01%
2025-10-24,21.48,21.99,23.5,19.82,28501910,-2.45%
2025-10-23,22.02,25,25.2,21.95,69127360,-9.72%
2025-10-22,24.39,24.9,25.8,23.9,26359910,-2.28%
2025-10-21,24.96,25,25.49,24,38164110,+7.73%
2025-10-20,23.17,21.6,23.17,21.6,16889840,+10.02%
2025-10-17,21.06,23.14,23.5,20.8,55621990,-6.44%
2025-10-16,22.51,21.46,22.51,21.35,30555820,+10.02%
2025-10-15,20.46,19.24,20.46,18.82,30702140,+10.00%
2025-10-14,18.6,19.69,21.1,18,74773660,-3.02%
2025-10-13,19.18,18.29,20.24,18.06,46463420,+4.24%
2025-10-10,18.4,16.81,18.4,16.25,20108129,+9.98%
2025-10-09,16.73,18.19,18.19,15.7,47738790,-2.11%
2025-10-08,17.09,16.59,17.09,16.2,16435890,+9.97%
2025-10-07,15.54,14.3,15.54,14.01,54133470,+9.98%
2025-10-06,14.13,14.01,15.1,13.5,28038550,-0.56%
2025-10-03,14.21,13.34,14.51,12.95,44873980,+7.73%
2025-10-02,13.19,13.7,14.1,12.81,34145230,-3.30%
2025-10-01,13.64,14.75,15.2,13.15,57065900,-2.64%
2025-09-30,14.01,13.14,14.01,13.1,29269090,+9.97%
2025-09-29,12.74,11.89,12.74,11.76,18757010,+10.02%
2025-09-26,11.58,10.63,11.58,10.59,36244920,+9.97%
2025-09-25,10.53,10.74,10.85,10.35,9851358,-0.57%
2025-09-24,10.59,10.3,11.19,10.27,36764430,+2.22%
2025-09-23,10.36,11.12,12.56,10.36,89162320,-9.99%
2025-09-22,11.51,12.84,13.2,11.4,42721070,-9.16%
2025-09-19,12.67,12.05,12.67,11.97,21743200,+9.98%
2025-09-18,11.52,10.7,11.52,10.7,19865750,+10.03%
2025-09-17,10.47,10,10.47,9.65,81967120,+10.56%
2025-09-16,9.47,8.75,9.47,8.75,32370200,+11.81%
2025-09-15,8.47,7.58,8.47,7.43,77815690,+13.39%
2025-09-12,7.47,7.5,7.59,7.2,28959287,+2.61%
2025-09-11,7.28,6.83,7.42,6.8,53551980,+7.22%
2025-09-10,6.79,6.78,6.88,6.7,3498664,+0.15%
2025-09-09,6.78,6.74,7,6.68,7968323,+1.04%
2025-09-08,6.71,6.78,6.87,6.65,4263414,-1.03%
2025-09-05,6.78,6.95,7,6.72,5767859,-1.88%
2025-09-04,6.91,7,7.12,6.84,12246690,-0.58%
2025-09-03,6.95,6.99,7.66,6.84,89287130,+0.43%
2025-09-02,6.92,7.39,7.63,6.89,30727550,-6.36%
2025-09-01,7.39,7.84,8.2,7.35,17732840,-5.38%
2025-08-29,7.81,8.15,9.06,7.65,53562190,-3.10%
2025-08-28,8.06,7.1,8.06,6.82,71482270,+14.16%
2025-08-27,7.06,6.15,7.06,6.04,87764230,+16.50%
2025-08-26,6.06,6.05,6.18,5.97,8135989,+1.51%
2025-08-25,5.97,6,6.09,5.9,6642318,+0.67%
2025-08-22,5.93,5.94,6.1,5.81,3945481,+2.60%
2025-08-21,5.78,5.85,5.96,5.7,2787246,-1.20%
2025-08-20,5.85,5.99,6,5.81,1718002,-1.68%
2025-08-19,5.95,6.05,6.05,5.92,1328851,+0.68%
2025-08-18,5.91,5.95,6,5.85,972518,+0.17%
2025-08-15,5.9,6,6,5.7,1102088,-0.17%
2025-08-13,5.91,5.86,6.08,5.82,2047785,+0.68%
2025-08-12,5.87,5.95,5.96,5.81,2821726,-1.18%
2025-08-11,5.94,5.91,5.99,5.8,1755242,+0.17%
2025-08-08,5.93,6,6.09,5.91,1176444,-1.00%
2025-08-07,5.99,5.92,6.06,5.88,3470092,+1.87%
2025-08-06,5.88,5.82,5.99,5.8,2701654,+1.03%
2025-08-05,5.82,5.76,5.88,5.76,929123,+0.34%
