date,close,open,high,low,volume,change_pct
"Jun 24, 2026",44.49,43.89,44.9,43.51,31348609,+2.35%
"Jun 23, 2026",43.47,43.5,43.82,43.15,12298958,+0.91%
"Jun 22, 2026",43.08,43.3,43.63,42.8,11486138,+0.77%
"Jun 19, 2026",42.75,43.98,44.2,42.35,12980870,-2.24%
"Jun 18, 2026",43.73,43.03,44.55,42.95,30786304,+1.82%
"Jun 17, 2026",42.95,43.75,43.75,42.85,13568349,-1.40%
"Jun 16, 2026",43.56,43.61,44.35,43.25,23626897,+1.09%
"Jun 15, 2026",43.09,42,43.25,41.7,28439162,+4.92%
"Jun 12, 2026",41.07,40.5,41.5,40.35,14726882,+2.78%
"Jun 11, 2026",39.96,39.99,40.18,39.79,4499632,-0.77%
"Jun 10, 2026",40.27,39.85,41.18,39.52,11378743,+0.15%
"Jun 09, 2026",40.21,40.12,40.9,40.07,7475962,+2.06%
"Jun 08, 2026",39.4,39.75,39.8,39.1,2628674,-2.11%
"Jun 05, 2026",40.25,40.14,40.9,40.01,6281766,+0.78%
"Jun 04, 2026",39.94,39.45,40.27,39.44,4806149,+1.32%
"Jun 03, 2026",39.42,39.99,39.99,39.01,3179035,-1.62%
"Jun 02, 2026",40.07,40.39,40.71,39.92,3117471,-0.87%
"Jun 01, 2026",40.42,41.25,41.49,40.3,9751090,-2.34%
"May 29, 2026",41.39,40.15,41.6,39.9,15392977,+3.40%
"May 25, 2026",40.03,40.44,40.45,39.6,11194913,+2.46%
"May 22, 2026",39.07,40.5,40.5,38.88,4316893,-1.34%
"May 21, 2026",39.6,39.7,40.2,39.19,9228316,+2.09%
"May 20, 2026",38.79,37.6,39.25,37.25,5289769,+3.52%
"May 19, 2026",37.47,37.94,38.32,37.3,2357962,+0.54%
"May 18, 2026",37.27,38.2,38.6,37.1,2903797,-3.12%
"May 15, 2026",38.47,38.99,39.19,38.05,2940042,-0.80%
"May 14, 2026",38.78,39.3,39.85,38.5,3259981,-1.10%
"May 13, 2026",39.21,39.2,39.48,38.71,2779984,+0.15%
"May 12, 2026",39.15,40.05,40.63,39,4833159,-2.32%
"May 11, 2026",40.08,40.45,40.45,39.2,5771987,-1.88%
"May 08, 2026",40.85,40.9,41.3,40.25,5782623,-0.97%
"May 07, 2026",41.25,41.75,42,40.9,9854888,+0.12%
"May 06, 2026",41.2,39.55,41.6,39.25,16798363,+6.54%
"May 05, 2026",38.67,38.02,38.97,37.75,4905967,+0.70%
"May 04, 2026",38.4,38.7,40,38.03,9263201,+2.18%
"Apr 30, 2026",37.58,38.49,38.49,36.6,9493006,-4.01%
"Apr 29, 2026",39.15,41.2,41.2,38.7,12702825,-3.24%
"Apr 28, 2026",40.46,40.02,41.24,40.02,6477238,-2.13%
"Apr 27, 2026",41.34,42.24,42.65,41.01,7588251,-2.20%
"Apr 24, 2026",42.27,41.5,43,40.5,13223634,+0.88%
"Apr 23, 2026",41.9,42.3,42.3,41.21,7266056,-1.74%
"Apr 22, 2026",42.64,43,43.49,42.4,9427658,-2.63%
"Apr 21, 2026",43.79,44.25,45,43.6,32686338,+0.64%
"Apr 20, 2026",43.51,42.51,44.49,41.27,58104626,+1.33%
"Apr 17, 2026",42.94,41,43.74,40.57,43159658,+5.84%
"Apr 16, 2026",40.57,41.72,42,40.25,15742528,-1.93%
"Apr 15, 2026",41.37,40.45,42.74,40.45,41399709,+5.00%
"Apr 14, 2026",39.4,38.61,40.07,38.12,15320024,+5.66%
"Apr 13, 2026",37.29,38.39,38.39,36.85,7466938,-5.45%
"Apr 10, 2026",39.44,39,39.84,38.81,16625073,+2.71%
"Apr 09, 2026",38.4,36.95,38.4,36.95,22016503,+3.67%
"Apr 08, 2026",37.04,37.05,37.05,37.04,2510197,+9.98%
"Apr 07, 2026",33.68,32.8,33.68,32.8,6110795,+1.60%
"Apr 06, 2026",33.15,32.5,33.15,32.5,5534273,+2.03%
"Apr 03, 2026",32.49,32.01,32.49,32.01,10192746,-1.93%
"Apr 02, 2026",33.13,33.2,33.2,33.13,6694213,-5.59%
"Apr 01, 2026",35.09,33.95,35.09,33.95,7049236,+5.69%
"Mar 31, 2026",33.2,33.3,33.3,33.2,7734096,+1.10%
"Mar 30, 2026",32.84,35.78,35.78,32.84,8147924,-8.47%
"Mar 27, 2026",35.88,36.99,36.99,35.88,4909393,-2.05%
"Mar 26, 2026",36.63,38.6,38.6,36.63,6527362,-6.08%
"Mar 25, 2026",39,38.3,39,38.3,9031306,+2.42%
"Mar 24, 2026",38.08,39.02,39.02,38.08,3635549,+1.25%
"Mar 19, 2026",37.61,37.48,37.61,37.48,4632163,-0.74%
"Mar 18, 2026",37.89,35.78,37.89,35.78,7723434,+8.13%
"Mar 17, 2026",35.04,36,36,35.04,12528491,-1.49%
"Mar 16, 2026",35.57,37.35,37.35,35.57,4015215,-3.60%
"Mar 13, 2026",36.9,37.9,37.9,36.9,3178614,-2.69%
"Mar 12, 2026",37.92,38.98,38.98,37.92,2901605,-2.79%
"Mar 11, 2026",39.01,40,40,39.01,5165773,-1.59%
"Mar 10, 2026",39.64,39.69,39.69,39.64,6802331,+9.87%
"Mar 09, 2026",36.08,37.02,37.02,36.08,4181781,-9.73%
"Mar 06, 2026",39.97,41.15,41.15,39.97,4273660,-4.45%
"Mar 05, 2026",41.83,40,41.83,40,6411575,+4.65%
"Mar 04, 2026",39.97,39,39.97,39,15671285,+1.63%
"Mar 03, 2026",39.33,41.05,41.05,39.33,38234339,-9.04%
"Mar 02, 2026",43.24,43.24,43.24,43.24,8475404,-9.99%
"Feb 27, 2026",48.04,48.99,48.99,48.04,2142133,-2.34%
"Feb 26, 2026",49.19,47.98,49.19,47.98,5216300,+2.08%
"Feb 25, 2026",48.19,50,50,48.19,3599664,-1.45%
"Feb 24, 2026",48.9,48,48.9,48,11359436,+1.94%
"Feb 23, 2026",47.97,48.5,48.5,47.97,8901909,-1.86%
"Feb 20, 2026",48.88,49.15,49.15,48.88,6802723,-0.55%
"Feb 19, 2026",49.15,54.04,54.04,49.15,5996864,-9.02%
"Feb 18, 2026",54.02,52.07,54.02,52.07,6021194,+4.45%
"Feb 17, 2026",51.72,52.8,52.8,51.72,3492287,-1.95%
"Feb 16, 2026",52.75,54.79,54.79,52.75,3739573,-2.21%
"Feb 13, 2026",53.94,53.02,53.94,53.02,4712312,+1.28%
"Feb 12, 2026",53.26,55,55,53.26,6829731,-2.95%
"Feb 11, 2026",54.88,56,56,54.88,3227346,-1.26%
"Feb 10, 2026",55.58,56.9,56.9,55.58,2046601,-1.59%
"Feb 09, 2026",56.48,55.9,56.48,55.9,3039201,+1.25%
"Feb 06, 2026",55.78,57.69,57.69,55.78,3735972,-2.65%
"Feb 04, 2026",57.3,58,58,57.3,2761243,-0.68%
"Feb 03, 2026",57.69,56.94,57.69,56.94,4535682,+1.98%
"Feb 02, 2026",56.57,56.19,56.57,56.19,2355002,+0.68%
"Jan 30, 2026",56.19,56.7,56.7,56.19,5456896,-0.09%
"Jan 29, 2026",56.24,57.35,57.35,56.24,10879370,-1.70%
"Jan 28, 2026",57.21,58.03,58.03,57.21,3876103,-0.64%
"Jan 27, 2026",57.58,59.2,59.2,57.58,10831260,-3.01%
"Jan 26, 2026",59.37,60.75,60.75,59.37,13864995,-2.29%
"Jan 23, 2026",60.76,61.9,61.9,60.76,3901514,-1.67%
"Jan 22, 2026",61.79,61.51,61.79,61.51,14499321,+0.88%
"Jan 21, 2026",61.25,62,62,61.25,12933196,-1.34%
"Jan 20, 2026",62.08,63.01,63.01,62.08,11555954,-1.04%
"Jan 19, 2026",62.73,63.05,63.05,62.73,35774076,+0.06%
