date,close,open,high,low,volume,change_pct
"Jun 24, 2026",21.83,22.13,22.49,21.75,1969612,-0.91%
"Jun 23, 2026",22.03,21.6,23.39,21.6,13322507,+2.90%
"Jun 22, 2026",21.41,22,22.2,21.3,1564816,-2.59%
"Jun 19, 2026",21.98,22.55,22.98,21.8,4907540,-1.43%
"Jun 18, 2026",22.3,22,22.7,22,4817691,+1.78%
"Jun 17, 2026",21.91,22.21,22.59,21.75,4088894,+0.78%
"Jun 16, 2026",21.74,21.9,22.36,21.55,4349968,+1.45%
"Jun 15, 2026",21.43,22.25,22.79,21.26,3750699,-3.42%
"Jun 12, 2026",22.19,25.1,25.3,22.02,7102815,-9.32%
"Jun 11, 2026",24.47,24.31,25.7,23.7,9872034,-1.53%
"Jun 10, 2026",24.85,24.97,26.19,23.9,6827218,-3.38%
"Jun 09, 2026",25.72,29.39,29.39,25.72,11484804,-10.01%
"Jun 08, 2026",28.58,28,29.4,26.65,20711222,+2.18%
"Jun 05, 2026",27.97,26.38,27.97,26.1,3921255,+9.99%
"Jun 04, 2026",25.43,23.98,25.43,23.12,14324285,+9.99%
"Jun 03, 2026",23.12,23.12,23.12,22.6,8812513,+9.99%
"Jun 02, 2026",21.02,21.02,21.02,21.02,526000,+9.99%
"Jun 01, 2026",19.11,17.22,19.11,17.2,5958502,+10.02%
"May 29, 2026",17.37,17.58,17.8,17.2,102303,-1.14%
"May 25, 2026",17.57,17.5,17.9,17.5,95280,+0.92%
"May 22, 2026",17.41,17.04,17.7,17.04,120187,-0.74%
"May 21, 2026",17.54,17.55,17.56,17.02,173216,+2.10%
"May 20, 2026",17.18,17.45,17.45,16.92,81958,-0.12%
"May 19, 2026",17.2,17.24,17.5,17.01,51986,-0.17%
"May 18, 2026",17.23,17.49,17.49,17.07,24360,+0.00%
"May 15, 2026",17.23,17.3,17.6,17.17,84684,-0.17%
"May 14, 2026",17.26,17.42,17.6,17.25,73559,-0.23%
"May 13, 2026",17.3,17.3,17.75,17.28,100483,-0.86%
"May 12, 2026",17.45,17.54,17.8,17.4,133154,-0.51%
"May 11, 2026",17.54,17.99,17.99,17.5,137685,-0.06%
"May 08, 2026",17.55,18.26,18.26,17.01,366197,-1.90%
"May 07, 2026",17.89,18.48,18.48,17.81,66430,-0.72%
"May 06, 2026",18.02,18.4,18.4,17.01,629226,-0.28%
"May 05, 2026",18.07,17.51,18.25,17.51,190017,-0.77%
"May 04, 2026",18.21,18.49,19.65,18.06,235347,+1.39%
"Apr 30, 2026",17.96,17.2,18.2,17.1,301152,+2.22%
"Apr 29, 2026",17.57,18.2,18.65,17.45,186556,-2.12%
"Apr 28, 2026",17.95,18.09,18.15,17.71,111165,+0.22%
"Apr 27, 2026",17.91,18,18.25,17.7,118543,-0.28%
"Apr 24, 2026",17.96,17.71,19.58,17.5,244654,+0.90%
"Apr 23, 2026",17.8,17.83,18,17.51,88591,-0.78%
"Apr 22, 2026",17.94,18.01,18.25,17.83,160367,-5.43%
"Apr 21, 2026",18.97,19.49,19.49,17.51,388265,-1.35%
"Apr 20, 2026",19.23,19.07,19.99,18.6,669052,-0.83%
"Apr 17, 2026",19.39,19.31,19.5,19,726125,+1.36%
"Apr 16, 2026",19.13,18.89,19.49,18.6,294094,+3.41%
"Apr 15, 2026",18.5,18.89,19.2,17.25,1231863,+0.27%
"Apr 14, 2026",18.45,18.85,18.85,18.3,365279,+1.26%
"Apr 13, 2026",18.22,18.19,18.29,17.51,400305,-1.03%
"Apr 10, 2026",18.41,18.4,18.91,18.1,1229109,+0.82%
"Apr 09, 2026",18.26,18.3,18.3,18.26,1035115,-0.22%
"Apr 08, 2026",18.3,18.1,18.3,18.1,765642,+5.78%
"Apr 07, 2026",17.3,17.7,17.7,17.3,110064,-0.40%
"Apr 06, 2026",17.37,17.27,17.37,17.27,80109,+0.58%
"Apr 03, 2026",17.27,17,17.27,17,70317,-1.60%
"Apr 02, 2026",17.55,17.33,17.55,17.33,48226,-3.47%
"Apr 01, 2026",18.18,17.65,18.18,17.65,257694,+3.65%
"Mar 31, 2026",17.54,17.01,17.54,17.01,57016,-0.40%
"Mar 30, 2026",17.61,17.13,17.61,17.13,59255,-1.18%
"Mar 27, 2026",17.82,18.01,18.01,17.82,19776,-1.05%
"Mar 26, 2026",18.01,18.12,18.12,18.01,63212,-0.61%
"Mar 25, 2026",18.12,18.97,18.97,18.12,111926,+1.91%
"Mar 24, 2026",17.78,19.28,19.28,17.78,98898,+0.51%
"Mar 19, 2026",17.69,18,18,17.69,21995,-2.70%
"Mar 18, 2026",18.18,18.25,18.25,18.18,103251,+3.77%
"Mar 17, 2026",17.52,17.86,17.86,17.52,26231,-1.90%
"Mar 16, 2026",17.86,17.85,17.86,17.85,156259,+3.42%
"Mar 13, 2026",17.27,16.91,17.27,16.91,541527,+1.71%
"Mar 12, 2026",16.98,17.02,17.02,16.98,39615,-0.24%
"Mar 11, 2026",17.02,18.4,18.4,17.02,58504,+0.59%
"Mar 10, 2026",16.92,16.16,16.92,16.16,127762,+7.22%
"Mar 09, 2026",15.78,16.79,16.79,15.78,338117,-6.68%
"Mar 06, 2026",16.91,17.99,17.99,16.91,90537,-1.97%
"Mar 05, 2026",17.25,17,17.25,17,206370,+1.71%
"Mar 04, 2026",16.96,17.55,17.55,16.96,356016,-2.47%
"Mar 03, 2026",17.39,16.2,17.39,16.2,247958,+6.23%
"Mar 02, 2026",16.37,16.8,16.8,16.37,621490,-9.71%
"Feb 27, 2026",18.13,18.49,18.49,18.13,159189,-2.26%
"Feb 26, 2026",18.55,17.13,18.55,17.13,278737,+8.23%
"Feb 25, 2026",17.14,17.49,17.49,17.14,183215,-0.70%
"Feb 24, 2026",17.26,17.12,17.26,17.12,792260,-2.15%
"Feb 23, 2026",17.64,18.35,18.35,17.64,368354,-5.21%
"Feb 20, 2026",18.61,19.01,19.01,18.61,330246,-2.72%
"Feb 19, 2026",19.13,19.88,19.88,19.13,257380,-3.77%
"Feb 18, 2026",19.88,19.71,19.88,19.71,272232,+3.01%
"Feb 17, 2026",19.3,20.7,20.7,19.3,996959,-4.12%
"Feb 16, 2026",20.13,20.75,20.75,20.13,362220,-2.52%
"Feb 13, 2026",20.65,20.6,20.65,20.6,194079,-0.43%
"Feb 12, 2026",20.74,21.39,21.39,20.74,492226,-2.12%
"Feb 11, 2026",21.19,21.9,21.9,21.19,1391765,-3.68%
"Feb 10, 2026",22,22.71,22.71,22,888580,-2.44%
"Feb 09, 2026",22.55,22.12,22.55,22.12,3015852,+2.78%
"Feb 06, 2026",21.94,22.1,22.1,21.94,318833,-0.72%
"Feb 04, 2026",22.1,22.05,22.1,22.05,432798,+0.91%
"Feb 03, 2026",21.9,21.89,21.9,21.89,170514,+1.20%
"Feb 02, 2026",21.64,22,22,21.64,529504,-1.55%
"Jan 30, 2026",21.98,22.2,22.2,21.98,296801,+0.50%
"Jan 29, 2026",21.87,22.88,22.88,21.87,789684,-3.53%
"Jan 28, 2026",22.67,22.99,22.99,22.67,252089,+0.04%
"Jan 27, 2026",22.66,22.8,22.8,22.66,400491,-1.26%
"Jan 26, 2026",22.95,23.47,23.47,22.95,1011624,-2.22%
"Jan 23, 2026",23.47,23.7,23.7,23.47,1629840,-0.64%
"Jan 22, 2026",23.62,23.1,23.62,23.1,3688923,+2.96%
"Jan 21, 2026",22.94,22.15,22.94,22.15,3461463,+4.13%
"Jan 20, 2026",22.03,22.49,22.49,22.03,4420677,-0.86%
"Jan 19, 2026",22.22,22.34,22.34,22.22,1472826,-0.54%
"Jan 16, 2026",22.34,22.65,22.65,22.34,1036283,+1.27%
"Jan 15, 2026",22.06,22.47,22.47,22.06,1437744,-0.41%
"Jan 14, 2026",22.15,23.29,23.29,22.15,1596914,-4.69%
"Jan 13, 2026",23.24,23.01,23.24,23.01,1815737,+1.00%
"Jan 12, 2026",23.01,23.3,23.3,23.01,809905,-1.58%
"Jan 09, 2026",23.38,23.7,23.7,23.38,1270121,-1.64%
"Jan 08, 2026",23.77,24.4,24.4,23.77,1788877,-2.14%
"Jan 07, 2026",24.29,23.71,24.29,23.71,4968639,+2.49%
"Jan 06, 2026",23.7,22.46,23.7,22.46,5628914,+3.27%
"Jan 05, 2026",22.95,23.98,23.98,22.95,6866176,-4.30%
"Jan 02, 2026",23.98,23.98,23.98,23.98,35325054,+10.00%
"Jan 01, 2026",21.8,21.8,21.8,21.8,718151,+9.99%
"Dec 31, 2025",19.82,19.82,19.82,19.82,612298,
