date,close,open,high,low,volume,change_pct
"Jun 24, 2026",16.82,17.05,17.2,16.5,2514557,-0.53%
"Jun 23, 2026",16.91,17.25,17.39,16.8,1190686,-0.35%
"Jun 22, 2026",16.97,17.3,17.65,16.91,1495241,-0.99%
"Jun 19, 2026",17.14,17.79,17.8,16.55,2790249,-3.44%
"Jun 18, 2026",17.75,18,18.43,17.68,9445827,-0.78%
"Jun 17, 2026",17.89,16.49,18.06,16.25,17137566,+8.95%
"Jun 16, 2026",16.42,16.18,16.5,16.1,1038428,+1.48%
"Jun 15, 2026",16.18,16.5,16.75,16.1,1893453,-0.86%
"Jun 12, 2026",16.32,16.44,16.7,16.3,1867469,+0.55%
"Jun 11, 2026",16.23,16.18,16.42,16.04,885487,+0.31%
"Jun 10, 2026",16.18,16,16.65,15.95,5548160,+1.51%
"Jun 09, 2026",15.94,15.9,16.07,15.4,4620708,+1.66%
"Jun 08, 2026",15.68,15.75,15.99,15.49,420292,-1.13%
"Jun 05, 2026",15.86,16.21,16.21,15.75,626717,-0.38%
"Jun 04, 2026",15.92,16,16.05,15.85,342499,+0.06%
"Jun 03, 2026",15.91,16.2,16.3,15.8,279869,-1.36%
"Jun 02, 2026",16.13,16.5,16.5,16.02,317293,-1.35%
"Jun 01, 2026",16.35,16.5,16.75,16.27,183879,-1.92%
"May 29, 2026",16.67,16.15,17.4,16,2452551,+3.41%
"May 25, 2026",16.12,16.09,16.49,15.9,973811,+1.51%
"May 22, 2026",15.88,16.03,16.03,15.61,89059,-0.69%
"May 21, 2026",15.99,15.6,16.29,15.41,1456837,+3.09%
"May 20, 2026",15.51,15.44,15.7,15.11,184434,+1.44%
"May 19, 2026",15.29,15.57,15.57,15.15,1271631,+1.53%
"May 18, 2026",15.06,15.52,15.65,14.91,347250,-3.65%
"May 15, 2026",15.63,16,16,15.5,1492602,+1.23%
"May 14, 2026",15.44,15.43,15.7,15.35,1327944,+0.06%
"May 13, 2026",15.43,15.4,15.93,15.36,526930,-1.15%
"May 12, 2026",15.61,16.2,16.49,15.5,1014450,-3.04%
"May 11, 2026",16.1,16.1,16.18,15.8,762435,+0.44%
"May 08, 2026",16.03,15.9,16.14,15.7,562960,+0.19%
"May 07, 2026",16,15.89,16.1,15.61,419751,+2.76%
"May 06, 2026",15.57,15.8,16.3,15.5,2867739,-1.27%
"May 05, 2026",15.77,15.85,16.95,15.47,825354,-0.50%
"May 04, 2026",15.85,16.44,16.49,15.8,367355,-0.94%
"Apr 30, 2026",16,16.61,16.92,15.8,568430,-2.50%
"Apr 29, 2026",16.41,16.65,17.28,16.34,1265865,-0.73%
"Apr 28, 2026",16.53,16.69,16.69,16.35,558796,+0.67%
"Apr 27, 2026",16.42,16.93,16.93,16.25,1263895,-0.91%
"Apr 24, 2026",16.57,16.58,17.25,16.25,1581392,+2.41%
"Apr 23, 2026",16.18,16.77,16.77,16,488371,-1.76%
"Apr 22, 2026",16.47,16.75,16.89,16.4,450757,-6.47%
"Apr 21, 2026",17.61,17.9,17.97,17.5,538266,-0.79%
"Apr 20, 2026",17.75,18.16,18.16,17.4,758390,-1.39%
"Apr 17, 2026",18,18.01,18.4,17.9,2169322,+0.17%
"Apr 16, 2026",17.97,17.6,18.05,17.5,1697384,+3.39%
"Apr 15, 2026",17.38,17.59,17.68,17.01,3158009,-0.06%
"Apr 14, 2026",17.39,17.5,17.7,17.36,583788,+1.87%
"Apr 13, 2026",17.07,17.39,17.49,17.01,731344,-2.01%
"Apr 10, 2026",17.42,17.98,18.4,17.4,1667139,-1.91%
"Apr 09, 2026",17.76,18.29,18.29,17.76,733444,-2.95%
"Apr 08, 2026",18.3,17.88,18.3,17.88,2602363,+7.21%
"Apr 07, 2026",17.07,16.89,17.07,16.89,879645,+1.91%
"Apr 06, 2026",16.75,16.25,16.75,16.25,338146,+2.01%
"Apr 03, 2026",16.42,16.25,16.42,16.25,357500,-1.26%
"Apr 02, 2026",16.63,16.77,16.77,16.63,310740,-2.41%
"Apr 01, 2026",17.04,16.95,17.04,16.95,786306,+2.47%
"Mar 31, 2026",16.63,16.99,16.99,16.63,299978,+0.91%
"Mar 30, 2026",16.48,17.5,17.5,16.48,221621,-3.79%
"Mar 27, 2026",17.13,17.75,17.75,17.13,528651,-1.21%
"Mar 26, 2026",17.34,17.6,17.6,17.34,352101,-2.47%
"Mar 25, 2026",17.78,17.6,17.78,17.6,256736,+1.54%
"Mar 24, 2026",17.51,17.81,17.81,17.51,180413,+1.10%
"Mar 19, 2026",17.32,17,17.32,17,141266,+0.58%
"Mar 18, 2026",17.22,17.6,17.6,17.22,653411,+0.53%
"Mar 17, 2026",17.13,17.8,17.8,17.13,260574,-4.19%
"Mar 16, 2026",17.88,17.51,17.88,17.51,215949,+1.94%
"Mar 13, 2026",17.54,17.42,17.54,17.42,207406,+2.33%
"Mar 12, 2026",17.14,17.5,17.5,17.14,284626,-2.45%
"Mar 11, 2026",17.57,17.06,17.57,17.06,1294923,+0.63%
"Mar 10, 2026",17.46,16.61,17.46,16.61,829940,+6.59%
"Mar 09, 2026",16.38,17.52,17.52,16.38,947835,-8.85%
"Mar 06, 2026",17.97,18.48,18.48,17.97,1323421,-2.44%
"Mar 05, 2026",18.42,18.24,18.42,18.24,502846,+2.16%
"Mar 04, 2026",18.03,17.6,18.03,17.6,376925,-2.06%
"Mar 03, 2026",18.41,18,18.41,18,603557,+1.27%
"Mar 02, 2026",18.18,18.18,18.18,18.18,3479038,-10.00%
"Feb 27, 2026",20.2,20,20.2,20,361609,-0.15%
"Feb 26, 2026",20.23,19,20.23,19,856745,+3.58%
"Feb 25, 2026",19.53,19.19,19.53,19.19,1033699,+2.90%
"Feb 24, 2026",18.98,18.7,18.98,18.7,1083570,+1.23%
"Feb 23, 2026",18.75,19.99,19.99,18.75,581837,-4.82%
"Feb 20, 2026",19.7,20.48,20.48,19.7,281175,-1.75%
"Feb 19, 2026",20.05,21.15,21.15,20.05,336224,-4.16%
"Feb 18, 2026",20.92,21.19,21.19,20.92,172770,+0.34%
"Feb 17, 2026",20.85,21.25,21.25,20.85,505044,-0.48%
"Feb 16, 2026",20.95,21.99,21.99,20.95,551045,-3.59%
"Feb 13, 2026",21.73,21.24,21.73,21.24,2043121,+3.67%
"Feb 12, 2026",20.96,21.3,21.3,20.96,339442,-1.69%
"Feb 11, 2026",21.32,20.45,21.32,20.45,1116020,+4.82%
"Feb 10, 2026",20.34,21.4,21.4,20.34,813605,-3.69%
"Feb 09, 2026",21.12,21.59,21.59,21.12,440588,-1.03%
"Feb 06, 2026",21.34,21.65,21.65,21.34,386739,+0.76%
"Feb 04, 2026",21.18,21.4,21.4,21.18,261308,+1.97%
"Feb 03, 2026",20.77,21.2,21.2,20.77,513646,-1.28%
"Feb 02, 2026",21.04,20.94,21.04,20.94,1260710,+2.33%
"Jan 30, 2026",20.56,20.05,20.56,20.05,1112978,+0.93%
"Jan 29, 2026",20.37,21.3,21.3,20.37,1217831,-4.32%
"Jan 28, 2026",21.29,21.4,21.4,21.29,1128878,+0.52%
"Jan 27, 2026",21.18,21.79,21.79,21.18,763906,-1.76%
"Jan 26, 2026",21.56,22.25,22.25,21.56,880466,-2.09%
"Jan 23, 2026",22.02,22.11,22.11,22.02,986464,-1.52%
"Jan 22, 2026",22.36,22.38,22.38,22.36,1209602,+0.49%
"Jan 21, 2026",22.25,22.99,22.99,22.25,1226065,-2.84%
"Jan 20, 2026",22.9,22.45,22.9,22.45,2820941,+2.92%
"Jan 19, 2026",22.25,22.97,22.97,22.25,3302919,-2.28%
"Jan 16, 2026",22.77,22.09,22.77,22.09,2310331,+4.83%
"Jan 15, 2026",21.72,22.01,22.01,21.72,1928514,-3.68%
"Jan 14, 2026",22.55,23.9,23.9,22.55,2081121,-3.84%
"Jan 13, 2026",23.45,24,24,23.45,2033562,-2.62%
"Jan 12, 2026",24.08,25.26,25.26,24.08,3480905,-4.78%
"Jan 09, 2026",25.29,24.01,25.29,24.01,19372970,+5.86%
"Jan 08, 2026",23.89,23.43,23.89,23.43,5244765,+1.96%
"Jan 07, 2026",23.43,23.51,23.51,23.43,2280723,-1.06%
"Jan 06, 2026",23.68,24.33,24.33,23.68,3197469,-3.23%
"Jan 05, 2026",24.47,24.19,24.47,24.19,8605380,+3.12%
"Jan 02, 2026",23.73,23.24,23.73,23.24,14480462,+4.77%
"Jan 01, 2026",22.65,20.7,22.65,20.7,12061009,+10.00%
"Dec 31, 2025",20.59,20,20.59,20,6876658,+2.59%
