date,close,open,high,low,volume,change_pct
2026-07-01,2.7,2.65,2.8,2.65,1405212,+0.37%
2026-06-30,2.69,2.74,2.74,2.6,609722,+2.28%
2026-06-29,2.63,2.8,2.8,2.55,822906,-3.31%
2026-06-24,2.72,2.8,2.8,2.69,257213,+1.12%
2026-06-23,2.69,2.8,2.8,2.65,738431,-2.54%
2026-06-22,2.76,2.78,2.83,2.72,499262,+0.00%
2026-06-19,2.76,2.92,2.92,2.75,942441,-2.47%
2026-06-18,2.83,2.79,2.97,2.78,2727014,+1.80%
2026-06-17,2.78,2.82,2.85,2.76,830041,-0.71%
2026-06-16,2.8,2.8,2.88,2.79,1691735,-0.71%
2026-06-15,2.82,2.81,2.86,2.8,802808,+0.36%
2026-06-12,2.81,2.81,2.9,2.8,1307039,+0.00%
2026-06-11,2.81,2.83,2.9,2.79,2021684,+1.08%
2026-06-10,2.78,2.76,2.87,2.76,1304952,+0.72%
2026-06-09,2.76,2.74,2.88,2.74,2443656,+0.73%
2026-06-08,2.74,2.83,2.9,2.73,4118914,-4.53%
2026-06-05,2.87,2.8,3.09,2.79,22157440,+2.87%
2026-06-04,2.79,2.72,2.93,2.65,5085580,+4.89%
2026-06-03,2.66,2.64,2.72,2.61,1517292,+1.14%
2026-06-02,2.63,2.62,2.71,2.6,1119837,-0.75%
2026-06-01,2.65,2.76,2.77,2.64,714180,-3.99%
2026-05-29,2.76,2.79,2.83,2.73,1111256,-1.08%
2026-05-25,2.79,2.75,2.94,2.75,2645842,-0.71%
2026-05-22,2.81,3.35,3.4,2.75,34778390,-7.26%
2026-05-21,3.03,2.56,3.14,2.48,30795780,+22.67%
2026-05-20,2.47,2.5,2.55,2.45,326939,-0.40%
2026-05-19,2.48,2.54,2.57,2.4,387773,+2.90%
2026-05-18,2.41,2.65,2.65,2.37,1411432,-6.23%
2026-05-15,2.57,2.64,2.65,2.55,332798,+1.18%
2026-05-14,2.54,2.56,2.65,2.52,710710,-2.31%
2026-05-13,2.6,2.8,2.8,2.53,1440935,-0.38%
2026-05-12,2.61,2.7,2.88,2.58,1422629,-2.25%
2026-05-11,2.67,2.66,2.83,2.66,2072302,-5.65%
2026-05-08,2.83,2.7,3.18,2.6,19231190,+6.79%
2026-05-07,2.65,2.51,2.73,2.47,2357517,+5.58%
2026-05-06,2.51,2.5,2.63,2.4,1372277,+6.81%
2026-05-05,2.35,2.35,2.5,2.01,1039198,-5.62%
