date,close,open,high,low,volume,change_pct
"Jun 24, 2026",29.41,27.75,29.74,27.75,21872379,+6.98%
"Jun 23, 2026",27.49,27.34,27.68,26.75,7069081,+1.81%
"Jun 22, 2026",27,26.5,27.72,26.42,5417929,+2.62%
"Jun 19, 2026",26.31,27.07,27.17,26,2751996,-2.81%
"Jun 18, 2026",27.07,27.02,27.82,26.9,3230049,-0.99%
"Jun 17, 2026",27.34,28.01,28.3,27.19,3605714,-2.18%
"Jun 16, 2026",27.95,27.65,28.3,27.52,12285189,+2.19%
"Jun 15, 2026",27.35,26.5,27.52,26.06,9891785,+5.84%
"Jun 12, 2026",25.84,26,26.27,25.72,3831642,+0.66%
"Jun 11, 2026",25.67,25.8,25.98,25.5,967245,-0.50%
"Jun 10, 2026",25.8,25.7,26.3,25.5,3022930,+0.27%
"Jun 09, 2026",25.73,25.9,26.03,25.67,2030079,+0.39%
"Jun 08, 2026",25.63,25.99,26,25.53,1897268,-1.88%
"Jun 05, 2026",26.12,26.44,26.75,26.05,2435158,-0.19%
"Jun 04, 2026",26.17,26.31,26.5,26.01,1691080,-0.19%
"Jun 03, 2026",26.22,26.5,26.5,26,2297991,-1.02%
"Jun 02, 2026",26.49,26.75,27.45,26.41,4341260,-0.86%
"Jun 01, 2026",26.72,25.91,27.75,25.66,15813896,+3.05%
"May 29, 2026",25.93,26.25,26.33,25.5,2744717,-0.88%
"May 25, 2026",26.16,26.9,26.9,26,2386038,+0.23%
"May 22, 2026",26.1,26.49,26.74,26.03,4116983,-1.58%
"May 21, 2026",26.52,26.15,26.81,25.8,8927973,+2.99%
"May 20, 2026",25.75,25.7,26.05,25.41,2521735,-0.54%
"May 19, 2026",25.89,26.2,26.51,25.75,3725510,+0.74%
"May 18, 2026",25.7,25.6,26.81,25.3,10444759,+1.74%
"May 15, 2026",25.26,25.9,25.99,24.95,3273678,-2.06%
"May 14, 2026",25.79,26.89,27,25.55,6733954,-3.12%
"May 13, 2026",26.62,24.6,27.39,24.6,27034877,+6.91%
"May 12, 2026",24.9,25.05,25.7,24.48,9327864,-3.71%
"May 11, 2026",25.86,27,28.73,25.6,28723104,-1.18%
"May 08, 2026",26.17,25.39,26.17,24.56,6509893,+10.00%
"May 07, 2026",23.79,21.42,23.79,21.42,13917357,+9.99%
"May 06, 2026",21.63,21.5,21.95,21.24,4556916,+3.10%
"May 05, 2026",20.98,20.84,21.19,20.61,1436103,+0.10%
"May 04, 2026",20.96,20.06,21.67,20.06,6293433,+5.49%
"Apr 30, 2026",19.87,20.22,20.49,19.5,1467411,-2.07%
"Apr 29, 2026",20.29,21.47,21.6,20.08,3134892,-2.50%
"Apr 28, 2026",20.81,21.2,21.34,20.75,2001153,-1.98%
"Apr 27, 2026",21.23,21.51,21.56,21.1,1200727,-1.53%
"Apr 24, 2026",21.56,21.31,21.99,21.15,4872384,+1.22%
"Apr 23, 2026",21.3,21.35,21.4,21.02,1645506,+0.05%
"Apr 22, 2026",21.29,21.5,21.5,21,2174178,-1.07%
"Apr 21, 2026",21.52,21.75,21.8,21.3,4958980,+2.14%
"Apr 20, 2026",21.07,21.25,22,20.53,6405448,-2.72%
"Apr 17, 2026",21.66,21.19,21.85,20.51,5321612,+3.64%
"Apr 16, 2026",20.9,20.79,21.3,20.75,4389589,+0.72%
"Apr 15, 2026",20.75,20.65,21.32,20.65,5458495,+2.32%
"Apr 14, 2026",20.28,20,20.41,20,2507807,+2.89%
"Apr 13, 2026",19.71,20.3,20.4,19.57,3578908,-5.96%
"Apr 10, 2026",20.96,20.5,21.14,20.25,5305820,+3.61%
"Apr 09, 2026",20.23,21.1,21.1,20.23,4504774,-2.03%
"Apr 08, 2026",20.65,20.65,20.65,20.65,4881566,+10.02%
"Apr 07, 2026",18.77,18.4,18.77,18.4,936359,+0.59%
"Apr 06, 2026",18.66,18.57,18.66,18.57,2341064,+1.58%
"Apr 03, 2026",18.37,18.15,18.37,18.15,1179948,-2.29%
"Apr 02, 2026",18.8,19,19,18.8,927555,-2.69%
