date,close,open,high,low,volume,change_pct
2026-07-01,18.85,19.25,19.35,18.81,20096600,-1.21%
2026-06-30,19.08,18.3,19.27,18.25,58251830,+4.43%
2026-06-29,18.27,18.87,18.87,18.15,18749210,-1.98%
2026-06-24,18.64,18,19.17,18,73295100,+5.31%
2026-06-23,17.7,18,18.05,17.65,8267140,-0.78%
2026-06-22,17.84,18.2,18.32,17.78,11754330,-0.56%
2026-06-19,17.94,18.4,18.5,17.7,22379926,-1.54%
2026-06-18,18.22,18.5,18.62,18.09,20432660,-1.14%
2026-06-17,18.43,18.5,18.91,18.28,30692450,+0.44%
2026-06-16,18.35,18.09,18.55,17.75,49523210,+2.17%
2026-06-15,17.96,18,18.24,17.69,32236050,+2.57%
2026-06-12,17.51,17.5,17.86,17.36,24755100,+1.39%
2026-06-11,17.27,16.8,17.38,16.8,11728730,+1.35%
2026-06-10,17.04,17.31,17.4,17,7666893,-1.62%
2026-06-09,17.32,17.36,17.65,17.21,15523458,+0.99%
2026-06-08,17.15,16.97,17.47,16.75,12652100,+0.06%
2026-06-05,17.14,17.49,17.6,17.01,7588742,-1.04%
2026-06-04,17.32,16.65,17.66,16.65,32165200,+3.90%
2026-06-03,16.67,16.7,16.91,16.53,3769288,-0.54%
2026-06-02,16.76,16.7,17.05,16.63,4726414,+0.42%
2026-06-01,16.69,16.98,17,16.65,5121318,-1.82%
2026-05-29,17,16.99,17.16,16.7,11017490,+0.65%
2026-05-25,16.89,16.5,17.03,16.45,24880820,+4.13%
2026-05-22,16.22,16.6,16.6,16.15,4322203,-1.28%
2026-05-21,16.43,16.52,16.7,16.3,9463534,+1.55%
2026-05-20,16.18,15.95,16.25,15.82,4742836,+1.70%
2026-05-19,15.91,15.91,16.35,15.85,5866372,+0.38%
2026-05-18,15.85,16.35,16.48,15.75,10425480,-4.29%
2026-05-15,16.56,16.37,16.68,16.11,10345380,+2.22%
2026-05-14,16.2,16.75,16.94,16.12,9273442,-1.94%
2026-05-13,16.52,16.9,17,16.41,6587281,-2.19%
2026-05-12,16.89,17.5,17.69,16.81,22945690,-3.26%
2026-05-11,17.46,16.9,17.75,16.81,38615380,+1.93%
2026-05-08,17.13,16.65,17.6,16.25,32341850,+0.53%
2026-05-07,17.04,17,17.3,16.7,19992640,+0.71%
2026-05-06,16.92,16.01,17.07,16.01,46142360,+8.18%
2026-05-05,15.64,14.91,15.85,14.9,8471239,+2.83%
2026-05-04,15.21,15.3,16.01,15.01,15663170,+1.33%
2026-04-30,15.01,15,15.1,14.1,16165010,-1.44%
2026-04-29,15.23,15.79,16.2,14.75,18747750,-3.61%
2026-04-28,15.8,15.99,16.11,15.71,5775543,-2.11%
2026-04-27,16.14,16.31,16.36,16.03,5497723,-0.31%
2026-04-24,16.19,16,16.44,15.52,12509660,+0.94%
2026-04-23,16.04,16.5,16.5,15.83,11101180,-2.20%
2026-04-22,16.4,16.74,16.83,16.29,14804710,-2.03%
2026-04-21,16.74,17.14,17.37,16.4,38042620,-1.30%
2026-04-20,16.96,17.25,17.48,16.25,22800540,-3.20%
