date,close,open,high,low,volume,change_pct
2026-07-01,23.55,23.03,23.74,23,2107444,+2.26%
2026-06-30,23.03,22.25,23.15,22.25,542658,-0.56%
2026-06-29,23.16,23.15,23.5,22.8,1261252,-0.60%
2026-06-24,23.3,23.1,23.47,23.03,1801949,+1.17%
2026-06-23,23.03,23.1,23.36,22.73,2114711,+0.74%
2026-06-22,22.86,23.55,23.58,22.8,1316793,-1.08%
2026-06-19,23.11,23.79,24,22.51,8282577,-1.99%
2026-06-18,23.58,22.1,24.26,22.1,27848730,+6.94%
2026-06-17,22.05,22.15,22.39,21.77,2299745,-0.59%
2026-06-16,22.18,22.42,22.47,22.12,3194919,-0.05%
2026-06-15,22.19,22.5,22.51,21.81,8595981,+3.21%
2026-06-12,21.5,20.4,21.84,20.4,9095236,+5.81%
2026-06-11,20.32,20.49,20.5,20.05,781315,-1.74%
2026-06-10,20.68,20.3,20.87,20.21,1763759,+1.22%
2026-06-09,20.43,20.69,20.89,20.32,587557,+1.19%
2026-06-08,20.19,20.51,20.51,20,526093,-2.51%
2026-06-05,20.71,20.99,21.25,20.52,1352509,-0.14%
2026-06-04,20.74,20.35,20.9,20.25,720700,+1.47%
2026-06-03,20.44,20.8,20.99,20.3,1074748,-2.76%
2026-06-02,21.02,20.46,21.35,20.16,3148723,+2.74%
2026-06-01,20.46,21.98,21.98,20.2,2830203,-5.41%
2026-05-29,21.63,20.99,21.9,20.66,5041159,+5.26%
2026-05-25,20.55,20.58,20.7,20.18,2603094,+1.83%
2026-05-22,20.18,19.86,20.4,19.5,2464849,+1.77%
2026-05-21,19.83,19.74,20.1,19.45,4568120,+1.48%
2026-05-20,19.54,18.69,19.89,18.5,2006433,+4.83%
2026-05-19,18.64,18.64,18.94,18.26,206835,+0.38%
2026-05-18,18.57,18.91,18.99,18.5,229770,-2.42%
2026-05-15,19.03,18.8,19.25,18.8,2833776,+0.79%
2026-05-14,18.88,18.91,19.24,18.75,2771005,-0.11%
2026-05-13,18.9,19.21,19.4,18.85,1386402,-1.56%
2026-05-12,19.2,19.45,19.7,19.05,1733290,-1.44%
2026-05-11,19.48,19.51,19.89,19.19,509774,-0.92%
2026-05-08,19.66,19.32,20.08,19.3,2428693,-0.91%
2026-05-07,19.84,20,20.45,19.5,4137294,-1.15%
2026-05-06,20.07,18.6,20.29,18.6,8102896,+8.19%
2026-05-05,18.55,17.9,18.75,17.5,724976,+3.52%
2026-05-04,17.92,18.58,19.36,17.49,2755055,-3.55%
2026-04-30,18.58,18.25,18.69,18,1677885,-1.69%
2026-04-29,18.9,18.91,19.18,18.5,3950876,-0.47%
2026-04-28,18.99,18.85,19.17,18.7,3748842,-0.73%
2026-04-27,19.13,19.01,19.59,18.9,832204,-1.19%
2026-04-24,19.36,18.8,19.52,18.21,1840532,+2.54%
2026-04-23,18.88,19.35,19.39,18.72,1974044,-2.43%
2026-04-22,19.35,19.6,19.79,19.1,1160564,-2.07%
2026-04-21,19.76,19.99,20.49,19.6,3962938,+3.73%
2026-04-20,19.05,19.01,19.4,18.36,1399838,-2.61%
2026-04-17,19.56,19.55,19.68,19.36,834651,+1.03%
2026-04-16,19.36,19.22,19.4,19.05,715982,+1.10%
2026-04-15,19.15,19.9,19.9,19,1603597,-0.42%
2026-04-14,19.23,19.1,19.33,18.7,1171706,+3.78%
