date,close,open,high,low,volume,change_pct
"Jun 24, 2026",247.98,245.05,248.7,244.36,4102051,+1.50%
"Jun 23, 2026",244.32,243.97,246.5,242.55,4863762,+0.70%
"Jun 22, 2026",242.63,244.01,244.98,240.9,7075385,+0.29%
"Jun 19, 2026",241.94,250.49,252,240.16,12036538,-2.86%
"Jun 18, 2026",249.06,246.3,251.5,246.3,9554594,+1.42%
"Jun 17, 2026",245.58,241,247.1,239.5,12349535,+2.80%
"Jun 16, 2026",238.89,233.8,240.45,231.13,9142364,+2.62%
"Jun 15, 2026",232.78,233.9,233.9,226.7,8153501,+3.07%
"Jun 12, 2026",225.84,226.99,228.25,224,3398384,+1.42%
"Jun 11, 2026",222.67,224.88,224.88,221.8,2987442,-0.62%
"Jun 10, 2026",224.06,223.51,226,223.51,998269,-0.55%
"Jun 09, 2026",225.3,228.01,228.95,224.9,2489049,+0.21%
"Jun 08, 2026",224.82,227,227,224,2229616,-1.71%
"Jun 05, 2026",228.73,233.5,234.09,228.01,2750296,-1.74%
"Jun 04, 2026",232.78,229,233.88,228.5,4811743,+2.02%
"Jun 03, 2026",228.18,228.5,231.03,226.9,2425779,-0.95%
"Jun 02, 2026",230.37,227.98,234.9,227.51,3918931,+0.99%
"Jun 01, 2026",228.11,238,238.05,227,4205488,-3.97%
"May 29, 2026",237.53,240.68,241.45,236.62,3702125,-1.33%
"May 25, 2026",240.73,239.99,242,238.5,4808099,+2.33%
"May 22, 2026",235.26,235,236.89,232.56,4777183,+0.49%
"May 21, 2026",234.11,231.88,234.94,230,6167890,+3.23%
"May 20, 2026",226.79,223,227.9,222.24,2916477,+2.04%
"May 19, 2026",222.26,220.1,223.69,219.25,3496553,+2.00%
"May 18, 2026",217.9,224.01,225.99,217.35,3074000,-4.17%
"May 15, 2026",227.37,227.55,229,222,3198271,-0.07%
"May 14, 2026",227.54,230,232.1,226.8,2171756,-1.04%
"May 13, 2026",229.94,228,231.88,228,2519223,+0.04%
"May 12, 2026",229.84,231.8,235.78,228.5,6200930,-0.86%
"May 11, 2026",231.84,228.95,232.5,227,3278202,+0.83%
"May 08, 2026",229.93,230.5,233.69,228.51,5009796,-2.11%
"May 07, 2026",234.88,233.73,237.09,230.3,7070913,+0.93%
"May 06, 2026",232.72,222,237.38,222,17196634,+7.76%
"May 05, 2026",215.97,208,218,205.51,6318068,+3.25%
"May 04, 2026",209.17,210.89,216.4,207,6457740,+1.22%
"Apr 30, 2026",206.64,215.9,216,202.1,7936437,-5.16%
"Apr 29, 2026",217.89,226,227.89,216.5,5253360,-3.36%
"Apr 28, 2026",225.47,226,228.45,225,2827974,-1.36%
"Apr 27, 2026",228.59,230.5,234.95,227.5,3699011,-1.47%
"Apr 24, 2026",232,225.97,234.2,223.01,4898935,+1.65%
"Apr 23, 2026",228.23,233.4,233.5,226.51,2782143,-2.48%
"Apr 22, 2026",234.04,238,239.65,233.15,4634600,-2.30%
"Apr 21, 2026",239.56,242.01,243.45,238,6228671,-0.09%
"Apr 20, 2026",239.77,235,246.88,232,15032761,+0.56%
"Apr 17, 2026",238.43,230.25,241.8,227.5,13606643,+4.45%
"Apr 16, 2026",228.28,225.1,231,225.07,11449484,+2.84%
"Apr 15, 2026",221.97,226.9,226.9,221.06,6856960,+1.50%
"Apr 14, 2026",218.7,219,220.48,218,3366537,+1.97%
"Apr 13, 2026",214.47,220,221.9,213,5881650,-4.45%
"Apr 10, 2026",224.47,225,227,222.65,6554328,+0.17%
"Apr 09, 2026",224.09,225.98,225.98,224.09,8698610,-1.64%
"Apr 08, 2026",227.83,227.83,227.83,227.83,10190331,+10.00%
"Apr 07, 2026",207.12,204.94,207.12,204.94,4851678,-0.26%
"Apr 06, 2026",207.65,201.09,207.65,201.09,8689659,+3.27%
"Apr 03, 2026",201.08,196,201.08,196,6832475,-0.06%
"Apr 02, 2026",201.21,203.99,203.99,201.21,4639788,-3.96%
"Apr 01, 2026",209.51,205,209.51,205,12063067,+5.72%
"Mar 31, 2026",198.18,197,198.18,197,6638718,+0.76%
"Mar 30, 2026",196.68,202.99,202.99,196.68,12435449,-3.91%
"Mar 27, 2026",204.68,207.98,207.98,204.68,9022230,-2.94%
"Mar 26, 2026",210.88,219,219,210.88,5094295,-4.34%
"Mar 25, 2026",220.45,217,220.45,217,7654744,+2.65%
"Mar 24, 2026",214.76,220,220,214.76,5723725,+0.43%
"Mar 19, 2026",213.83,216.49,216.49,213.83,5061334,-2.53%
"Mar 18, 2026",219.37,208,219.37,208,6977036,+6.20%
"Mar 17, 2026",206.57,204,206.57,204,3162497,+2.14%
"Mar 16, 2026",202.25,210.11,210.11,202.25,2014102,-3.46%
"Mar 13, 2026",209.5,209.48,209.5,209.48,2830883,-0.53%
"Mar 12, 2026",210.62,210,210.62,210,3524255,-1.92%
"Mar 11, 2026",214.74,224.87,224.87,214.74,4188514,-2.55%
"Mar 10, 2026",220.36,219.8,220.36,219.8,7999142,+7.61%
"Mar 09, 2026",204.77,213.5,213.5,204.77,12834557,-4.65%
"Mar 06, 2026",214.75,218.59,218.59,214.75,8520034,-1.67%
"Mar 05, 2026",218.4,205.07,218.4,205.07,14694443,+6.95%
"Mar 04, 2026",204.21,199,204.21,199,21869075,+2.33%
"Mar 03, 2026",199.56,195,199.56,195,12292894,+2.30%
"Mar 02, 2026",195.08,195.08,195.08,195.08,13764333,-10.00%
"Feb 27, 2026",216.75,217.95,217.95,216.75,4604802,-1.51%
"Feb 26, 2026",220.08,211,220.08,211,9738299,+3.08%
"Feb 25, 2026",213.51,220.6,220.6,213.51,4912692,-2.77%
"Feb 24, 2026",219.59,221.24,221.24,219.59,8211875,-0.75%
"Feb 23, 2026",221.25,228.87,228.87,221.25,4854882,-3.39%
"Feb 20, 2026",229.02,224.9,229.02,224.9,6429530,+2.36%
"Feb 19, 2026",223.74,237,237,223.74,7692389,-5.54%
"Feb 18, 2026",236.86,236.5,236.86,236.5,27579038,+0.82%
"Feb 17, 2026",234.94,232.51,234.94,232.51,8118106,+1.67%
"Feb 16, 2026",231.09,237,237,231.09,11761441,-2.19%
"Feb 13, 2026",236.27,234,236.27,234,12912392,-0.38%
