date,close,open,high,low,volume,change_pct
"Jun 24, 2026",15.49,15.84,15.93,15.21,1262568,-0.71%
"Jun 23, 2026",15.6,15.07,16.22,14.6,3628030,+5.41%
"Jun 22, 2026",14.8,15.01,15.1,14.71,415035,-0.87%
"Jun 19, 2026",14.93,15.01,15.27,14.8,872747,-0.53%
"Jun 18, 2026",15.01,15.1,15.48,14.81,1748689,+0.74%
"Jun 17, 2026",14.9,14.91,15.25,14.8,1096496,-0.13%
"Jun 16, 2026",14.92,14.99,15.51,14.67,1965475,-0.40%
"Jun 15, 2026",14.98,15.7,15.96,14.8,1643556,-2.85%
"Jun 12, 2026",15.42,16.79,17.24,15.25,3407793,-7.94%
"Jun 11, 2026",16.75,16.85,17.85,16.32,4693922,+0.96%
"Jun 10, 2026",16.59,16.66,17.49,16.1,3989388,-4.33%
"Jun 09, 2026",17.34,19.49,19.8,16.53,12449597,-5.61%
"Jun 08, 2026",18.37,17,18.37,16.91,19802746,+10.00%
"Jun 05, 2026",16.7,16.3,16.7,16.02,11790948,+10.01%
"Jun 04, 2026",15.18,13.98,15.18,13.74,7004000,+10.00%
"Jun 03, 2026",13.8,14.26,14.75,13.44,1997523,-4.70%
"Jun 02, 2026",14.48,14.5,15.22,14.16,4610170,+4.62%
"Jun 01, 2026",13.84,13.25,14.09,11.84,1788678,+5.17%
"May 29, 2026",13.16,13,13.24,13,219896,+1.46%
"May 25, 2026",12.97,13.01,13.17,12.9,86630,+0.31%
"May 22, 2026",12.93,12.9,12.99,12.7,146897,+0.31%
"May 21, 2026",12.89,12.9,13,12.8,108363,+0.62%
"May 20, 2026",12.81,12.73,12.91,12.52,47265,+1.26%
"May 19, 2026",12.65,12.7,13,12.51,52220,-0.39%
"May 18, 2026",12.7,12.6,12.9,11.76,124659,-2.31%
"May 15, 2026",13,13.1,13.19,12.8,34730,+0.00%
"May 14, 2026",13,13.18,13.2,12.92,117263,-0.31%
"May 13, 2026",13.04,13.16,13.16,12.96,282040,+0.23%
"May 12, 2026",13.01,13.17,13.17,12.95,125270,+0.23%
"May 11, 2026",12.98,12.91,13.3,12.63,131056,-0.69%
"May 08, 2026",13.07,13.18,13.2,13,406669,-0.08%
"May 07, 2026",13.08,13.1,13.3,13,234560,-0.30%
"May 06, 2026",13.12,13.1,13.39,13.05,185418,+0.38%
"May 05, 2026",13.07,13,13.29,13,243210,-0.31%
"May 04, 2026",13.11,13,13.29,13,149962,+0.92%
"Apr 30, 2026",12.99,12.5,13.17,12.5,341580,+1.25%
"Apr 29, 2026",12.83,13.3,13.38,12.51,280201,-2.80%
"Apr 28, 2026",13.2,13.06,13.28,13.06,189962,-0.83%
"Apr 27, 2026",13.31,13.48,13.48,12.81,166111,-0.45%
"Apr 24, 2026",13.37,13.02,13.4,13.02,98245,+1.60%
"Apr 23, 2026",13.16,13.28,13.28,13.01,170970,-0.90%
"Apr 22, 2026",13.28,13.6,13.6,13.21,326377,-9.04%
"Apr 21, 2026",14.6,14.6,14.82,13.52,1811751,+0.07%
"Apr 20, 2026",14.59,14.5,14.95,14.3,1269962,-1.15%
"Apr 17, 2026",14.76,14.5,14.8,14.31,1383499,+2.86%
"Apr 16, 2026",14.35,14.6,14.75,14.2,766846,-1.03%
"Apr 15, 2026",14.5,14.49,14.9,14.11,1824944,+1.83%
"Apr 14, 2026",14.24,14.04,14.46,14.04,1437221,+1.50%
"Apr 13, 2026",14.03,13.49,14.46,13.49,3500449,+1.52%
"Apr 10, 2026",13.82,13.5,14.5,13.5,5625783,+4.86%
"Apr 09, 2026",13.18,12.3,13.18,12.3,5235557,+10.02%
"Apr 08, 2026",11.98,12.22,12.22,11.98,633161,+6.39%
"Apr 07, 2026",11.26,11.24,11.26,11.24,77519,+0.18%
"Apr 06, 2026",11.24,11.08,11.24,11.08,53300,+1.54%
"Apr 03, 2026",11.07,10.9,11.07,10.9,157896,-2.55%
"Apr 02, 2026",11.36,11.03,11.36,11.03,160960,-0.70%
"Apr 01, 2026",11.44,11,11.44,11,397166,+4.76%
"Mar 31, 2026",10.92,11.1,11.1,10.92,21101,+0.65%
"Mar 30, 2026",10.85,11.25,11.25,10.85,316962,-3.38%
"Mar 27, 2026",11.23,11.32,11.32,11.23,21503,-0.62%
"Mar 26, 2026",11.3,11.65,11.65,11.3,129429,-3.00%
"Mar 25, 2026",11.65,11.48,11.65,11.48,331881,+2.92%
"Mar 24, 2026",11.32,11.74,11.74,11.32,196985,-1.22%
"Mar 19, 2026",11.46,11.59,11.59,11.46,65703,-1.21%
"Mar 18, 2026",11.6,11.5,11.6,11.5,67723,+2.29%
"Mar 17, 2026",11.34,11.5,11.5,11.34,33492,+0.18%
"Mar 16, 2026",11.32,11.3,11.32,11.3,139152,-0.61%
"Mar 13, 2026",11.39,11.33,11.39,11.33,80804,-1.30%
"Mar 12, 2026",11.54,11.48,11.54,11.48,107169,+0.52%
"Mar 11, 2026",11.48,11.71,11.71,11.48,242636,-1.80%
"Mar 10, 2026",11.69,11.25,11.69,11.25,280122,+7.15%
"Mar 09, 2026",10.91,11,11,10.91,520876,-2.15%
"Mar 06, 2026",11.15,11.16,11.16,11.15,208130,+0.18%
"Mar 05, 2026",11.13,11.45,11.45,11.13,1784085,+1.00%
"Mar 04, 2026",11.02,11.8,11.8,11.02,735146,-5.08%
"Mar 03, 2026",11.61,12.59,12.59,11.61,4279058,-8.29%
"Mar 02, 2026",12.66,13,13,12.66,1206174,-9.51%
"Feb 27, 2026",13.99,13.25,13.99,13.25,4794607,+6.23%
"Feb 26, 2026",13.17,13.1,13.17,13.1,584529,+1.23%
"Feb 25, 2026",13.01,13.44,13.44,13.01,961900,-1.59%
"Feb 24, 2026",13.22,13.71,13.71,13.22,913288,-2.44%
"Feb 23, 2026",13.55,14.05,14.05,13.55,1787281,-3.56%
"Feb 20, 2026",14.05,14.14,14.14,14.05,1033192,+0.21%
"Feb 19, 2026",14.02,15.5,15.5,14.02,7931695,-7.03%
"Feb 18, 2026",15.08,14.2,15.08,14.2,12101732,+6.50%
"Feb 17, 2026",14.16,14.12,14.16,14.12,1910221,-1.05%
"Feb 16, 2026",14.31,14.96,14.96,14.31,2553301,-3.77%
"Feb 13, 2026",14.87,15.15,15.15,14.87,1391294,-1.26%
"Feb 12, 2026",15.06,16.45,16.45,15.06,4900105,-7.72%
"Feb 11, 2026",16.32,16.94,16.94,16.32,19617514,+5.97%
"Feb 10, 2026",15.4,15.4,15.4,15.4,385175,
