date,close,open,high,low,volume,change_pct
"Jun 24, 2026",36.02,35.54,36.9,35.02,5228508,+2.48%
"Jun 23, 2026",35.15,35.5,35.79,35,1782851,-0.37%
"Jun 22, 2026",35.28,36.45,36.55,35.15,2787353,-0.87%
"Jun 19, 2026",35.59,36.25,37.29,34.97,8230908,-0.53%
"Jun 18, 2026",35.78,34.99,36.15,34.5,3175507,+3.17%
"Jun 17, 2026",34.68,34.55,34.99,34.3,1248156,+0.61%
"Jun 16, 2026",34.47,35,35.59,34.38,3155078,-1.43%
"Jun 15, 2026",34.97,36.49,36.49,34.75,2557136,-1.27%
"Jun 12, 2026",35.42,36,36.8,35.25,3686003,-1.01%
"Jun 11, 2026",35.78,34.56,38.02,34.47,13973465,+3.53%
"Jun 10, 2026",34.56,33.78,35.25,33.5,3025804,+2.31%
"Jun 09, 2026",33.78,33.85,34.29,33.51,560731,+0.99%
"Jun 08, 2026",33.45,33.5,33.7,32.6,786336,-1.33%
"Jun 05, 2026",33.9,34.49,34.8,33.7,1013944,-0.62%
"Jun 04, 2026",34.11,34.7,34.85,34,1087719,-0.61%
"Jun 03, 2026",34.32,34.49,35.2,34,841016,-0.84%
"Jun 02, 2026",34.61,34.75,35.6,34.4,1040333,-0.32%
"Jun 01, 2026",34.72,35.06,35.39,34.55,1183712,-0.86%
"May 29, 2026",35.02,35.16,35.5,34.14,811666,-1.16%
"May 25, 2026",35.43,36.16,36.19,35.26,718571,+0.40%
"May 22, 2026",35.29,35.88,36.4,35.05,1526737,-0.70%
"May 21, 2026",35.54,35.99,36.4,35.42,1329979,-1.09%
"May 20, 2026",35.93,36.49,36.99,35.7,6212299,+2.16%
"May 19, 2026",35.17,33.5,35.17,32.6,3044404,+10.01%
"May 18, 2026",31.97,33.7,34,31.5,829153,-5.89%
"May 15, 2026",33.97,35,35,33.63,948211,-1.51%
"May 14, 2026",34.49,34.6,35.4,34.15,827435,+0.12%
"May 13, 2026",34.45,34.51,34.92,33.91,750938,-0.17%
"May 12, 2026",34.51,36.5,36.7,34.44,1484287,-4.30%
"May 11, 2026",36.06,33.8,36.99,33.5,3183258,+4.07%
"May 08, 2026",34.65,34.88,35.3,34.05,842761,-1.51%
"May 07, 2026",35.18,35.9,36,34.35,2020615,+1.00%
"May 06, 2026",34.83,34.18,35.3,34,2018686,+4.06%
"May 05, 2026",33.47,33.85,33.9,32.52,1013548,+1.58%
"May 04, 2026",32.95,32.3,34.41,32.3,2454789,+3.78%
"Apr 30, 2026",31.75,33.69,33.69,31.03,3744807,-7.89%
"Apr 29, 2026",34.47,35.75,36.7,33.4,1555359,-4.12%
"Apr 28, 2026",35.95,36.75,38.3,35.7,4246038,-4.41%
"Apr 27, 2026",37.61,37.01,39.25,36.55,10808531,+4.68%
"Apr 24, 2026",35.93,31.82,35.93,30.75,2558983,+10.05%
"Apr 23, 2026",32.65,34.3,34.3,32.16,1520889,-4.28%
"Apr 22, 2026",34.11,34.7,35.25,34,787474,-2.85%
"Apr 21, 2026",35.11,36.02,37.74,34.81,4992112,-1.60%
"Apr 20, 2026",35.68,35.99,37.9,34,3812786,-5.56%
"Apr 17, 2026",37.78,35.04,38,35.04,7328999,+8.72%
"Apr 16, 2026",34.75,32.88,34.75,32.5,5340438,+10.00%
"Apr 15, 2026",31.59,31,31.59,30.5,1766630,+9.99%
"Apr 14, 2026",28.72,26.5,28.72,26.5,1819791,+10.00%
"Apr 13, 2026",26.11,25.5,26.74,25.5,890937,-3.87%
"Apr 10, 2026",27.16,26.67,27.5,26.67,910305,+2.34%
"Apr 09, 2026",26.54,27.01,27.01,26.54,618068,-2.03%
"Apr 08, 2026",27.09,26.5,27.09,26.5,1053576,+9.99%
"Apr 07, 2026",24.63,24.01,24.63,24.01,188013,+1.69%
"Apr 06, 2026",24.22,24.05,24.22,24.05,290664,+1.09%
"Apr 03, 2026",23.96,23.5,23.96,23.5,258699,-1.07%
"Apr 02, 2026",24.22,24.34,24.34,24.22,233030,-1.86%
"Apr 01, 2026",24.68,24,24.68,24,680690,+4.40%
"Mar 31, 2026",23.64,23.97,23.97,23.64,249006,+0.42%
"Mar 30, 2026",23.54,25.02,25.02,23.54,499515,-6.10%
"Mar 27, 2026",25.07,26.48,26.48,25.07,550528,-3.80%
"Mar 26, 2026",26.06,27.09,27.09,26.06,699008,-3.84%
"Mar 25, 2026",27.1,26.5,27.1,26.5,790824,+2.46%
"Mar 24, 2026",26.45,26.5,26.5,26.45,312670,+1.57%
"Mar 19, 2026",26.04,25.8,26.04,25.8,275365,+0.50%
"Mar 18, 2026",25.91,25.85,25.91,25.85,409095,+0.74%
"Mar 17, 2026",25.72,26.49,26.49,25.72,205786,-0.85%
"Mar 16, 2026",25.94,26.79,26.79,25.94,281622,-2.11%
"Mar 13, 2026",26.5,26.7,26.7,26.5,252888,-0.71%
"Mar 12, 2026",26.69,26.64,26.69,26.64,288410,+0.15%
"Mar 11, 2026",26.65,26.67,26.67,26.65,511161,-0.19%
"Mar 10, 2026",26.7,26.98,26.98,26.7,1153155,+7.53%
"Mar 09, 2026",24.83,26.5,26.5,24.83,719876,-10.00%
