date,close,open,high,low,volume,change_pct
"Jun 24, 2026",35.29,35.65,35.65,35.2,5045907,-0.40%
"Jun 23, 2026",35.43,36.09,36.09,35.2,2424440,-1.20%
"Jun 22, 2026",35.86,36.4,36.65,35.6,5358251,-0.31%
"Jun 19, 2026",35.97,36.64,36.75,35.5,2891064,-1.83%
"Jun 18, 2026",36.64,37.49,37.8,36.42,6194295,-1.45%
"Jun 17, 2026",37.18,36.6,37.44,36.6,12324916,+2.51%
"Jun 16, 2026",36.27,35.89,36.48,35.85,7110857,+1.63%
"Jun 15, 2026",35.69,36,36.1,35.41,8882731,+3.06%
"Jun 12, 2026",34.63,34.55,34.98,34.4,3864167,+0.49%
"Jun 11, 2026",34.46,34.5,34.6,34.11,946667,-0.43%
"Jun 10, 2026",34.61,34.38,34.87,34.18,1609134,+0.67%
"Jun 09, 2026",34.38,34.4,34.75,34,1577855,+0.59%
"Jun 08, 2026",34.18,34.29,34.33,34.03,1347522,-0.90%
"Jun 05, 2026",34.49,35.1,35.1,34.37,4027305,-1.32%
"Jun 04, 2026",34.95,34.88,35.07,34.53,1592954,+0.78%
"Jun 03, 2026",34.68,35,35.3,34.55,2084843,-1.03%
"Jun 02, 2026",35.04,34.8,35.45,34.73,3356789,+0.72%
"Jun 01, 2026",34.79,34.7,35.34,34.56,4391491,+0.40%
"May 29, 2026",34.65,35.19,35.19,34.56,3148775,-1.03%
"May 25, 2026",35.01,35.25,35.5,34.8,3200863,+0.75%
"May 22, 2026",34.75,35.5,35.51,34.65,2141636,-1.19%
"May 21, 2026",35.17,35.2,35.46,34.95,2886851,+1.09%
"May 20, 2026",34.79,34.48,34.9,34.09,3385317,+1.25%
"May 19, 2026",34.36,34.51,34.95,34.25,2382090,+0.64%
"May 18, 2026",34.14,35.31,35.45,34,2528968,-4.13%
"May 15, 2026",35.61,35.3,36.14,35.3,4684332,+0.96%
"May 14, 2026",35.27,35.99,36.13,35.11,4564264,-1.23%
"May 13, 2026",35.71,35.9,36.15,35.36,5007971,-0.20%
"May 12, 2026",35.78,36.19,36.65,35.67,4985680,-0.72%
"May 11, 2026",36.04,35.9,36.8,35.72,3899705,-0.30%
"May 08, 2026",36.15,36.01,37.29,35.85,9618975,-0.85%
"May 07, 2026",36.46,36.6,36.8,35.82,8553627,+0.08%
"May 06, 2026",36.43,36.3,37.11,36.15,12456708,+1.73%
"May 05, 2026",35.81,34.4,36.02,34.35,8263575,+2.67%
"May 04, 2026",34.88,36,36.89,34.56,7354376,-2.95%
"Apr 30, 2026",35.94,36.75,37,35.3,9079986,-3.44%
"Apr 29, 2026",37.22,38.42,38.9,36.8,14226802,-2.62%
"Apr 28, 2026",38.22,37.1,38.6,37,10633997,+1.57%
"Apr 27, 2026",37.63,37.51,38.99,37.2,14942722,+0.56%
"Apr 24, 2026",37.42,37.11,37.87,36.56,13255261,-0.45%
"Apr 23, 2026",37.59,38,38.37,37.14,7144742,-1.60%
"Apr 22, 2026",38.2,39.5,39.79,37.98,26243223,-1.65%
"Apr 21, 2026",38.84,36.2,39.54,36.19,67570800,+7.98%
"Apr 20, 2026",35.97,35.45,36.9,35,16793936,+0.90%
"Apr 17, 2026",35.65,35.25,35.8,35.02,6812720,+1.60%
"Apr 16, 2026",35.09,35.5,35.9,33.01,7647292,-0.06%
"Apr 15, 2026",35.11,35.5,36.3,35,13958388,+0.23%
"Apr 14, 2026",35.03,34.9,35.34,34.75,7555378,+3.00%
"Apr 13, 2026",34.01,34.2,34.7,33.62,7341332,-1.71%
"Apr 10, 2026",34.6,35.51,35.93,34.31,8402914,-1.73%
"Apr 09, 2026",35.21,35.69,35.69,35.21,6485874,-2.60%
"Apr 08, 2026",36.15,36.11,36.15,36.11,21854811,+5.70%
"Apr 07, 2026",34.2,34.24,34.24,34.2,8616924,-1.61%
"Apr 06, 2026",34.76,32.79,34.76,32.79,28349134,+5.65%
"Apr 03, 2026",32.9,29.26,32.9,29.26,24216388,+10.00%
"Apr 02, 2026",29.91,29.15,29.91,29.15,6650206,-1.64%
"Apr 01, 2026",30.41,28.67,30.41,28.67,7749676,+8.03%
"Mar 31, 2026",28.15,27.89,28.15,27.89,2869918,+2.48%
"Mar 30, 2026",27.47,28.37,28.37,27.47,3549419,-3.17%
"Mar 27, 2026",28.37,29.6,29.6,28.37,3022603,-3.73%
"Mar 26, 2026",29.47,30.3,30.3,29.47,3769920,-3.19%
"Mar 25, 2026",30.44,30.4,30.44,30.4,4676569,+1.00%
"Mar 24, 2026",30.14,30.8,30.8,30.14,4681204,-0.26%
"Mar 19, 2026",30.22,29.9,30.22,29.9,4440384,+0.47%
"Mar 18, 2026",30.08,29.69,30.08,29.69,4426921,+2.45%
"Mar 17, 2026",29.36,29.9,29.9,29.36,2574885,-0.64%
"Mar 16, 2026",29.55,29.6,29.6,29.55,5068336,-0.10%
"Mar 13, 2026",29.58,28.95,29.58,28.95,3679477,+2.35%
"Mar 12, 2026",28.9,29.48,29.48,28.9,3915260,-2.40%
"Mar 11, 2026",29.61,29.9,29.9,29.61,8185767,+1.47%
"Mar 10, 2026",29.18,28.6,29.18,28.6,4656198,+9.58%
"Mar 09, 2026",26.63,27.56,27.56,26.63,9659973,-6.43%
"Mar 06, 2026",28.46,28.8,28.8,28.46,6607121,-1.18%
"Mar 05, 2026",28.8,26.3,28.8,26.3,10683914,+9.92%
"Mar 04, 2026",26.2,26.05,26.2,26.05,3126632,+0.89%
"Mar 03, 2026",25.97,23.5,25.97,23.5,6267441,+3.06%
"Mar 02, 2026",25.2,25.2,25.2,25.2,3315876,-10.00%
"Feb 27, 2026",28,27.49,28,27.49,4349769,-2.27%
"Feb 26, 2026",28.65,26.75,28.65,26.75,11318509,+5.76%
"Feb 25, 2026",27.09,28.5,28.5,27.09,5124967,-3.63%
"Feb 24, 2026",28.11,28,28.11,28,6863265,+0.14%
"Feb 23, 2026",28.07,31.01,31.01,28.07,6570425,-9.36%
"Feb 20, 2026",30.97,32,32,30.97,7514819,-3.04%
"Feb 19, 2026",31.94,34.25,34.25,31.94,3100707,-6.06%
"Feb 18, 2026",34,33.49,34,33.49,3582046,+2.84%
"Feb 17, 2026",33.06,34.59,34.59,33.06,6424778,-4.48%
"Feb 16, 2026",34.61,35.99,35.99,34.61,5110446,-3.57%
"Feb 13, 2026",35.89,36.01,36.01,35.89,1520860,-0.80%
"Feb 12, 2026",36.18,36.75,36.75,36.18,3518743,-1.42%
"Feb 11, 2026",36.7,36.5,36.7,36.5,4402609,+0.94%
"Feb 10, 2026",36.36,36.65,36.65,36.36,3338539,-0.44%
"Feb 09, 2026",36.52,36.99,36.99,36.52,2295163,-0.54%
"Feb 06, 2026",36.72,37.84,37.84,36.72,4498352,-3.47%
"Feb 04, 2026",38.04,38.44,38.44,38.04,4093699,-0.29%
"Feb 03, 2026",38.15,37.99,38.15,37.99,6585732,+0.95%
"Feb 02, 2026",37.79,36.83,37.79,36.83,10031498,+2.61%
"Jan 30, 2026",36.83,37.1,37.1,36.83,3563985,-0.51%
"Jan 29, 2026",37.02,37.89,37.89,37.02,4380936,-1.91%
"Jan 28, 2026",37.74,37.65,37.74,37.65,4241995,+0.35%
"Jan 27, 2026",37.61,38,38,37.61,4197545,-1.47%
"Jan 26, 2026",38.17,39,39,38.17,6438074,-1.32%
"Jan 23, 2026",38.68,38.3,38.68,38.3,23709383,+1.68%
"Jan 22, 2026",38.04,37.2,38.04,37.2,12647113,+3.03%
"Jan 21, 2026",36.92,38,38,36.92,8520387,-2.59%
"Jan 20, 2026",37.9,37.88,37.9,37.88,12582109,+1.45%
"Jan 19, 2026",37.36,37.13,37.36,37.13,6780878,+1.77%
"Jan 16, 2026",36.71,36.28,36.71,36.28,5673054,+2.20%
"Jan 15, 2026",35.92,36.7,36.7,35.92,4607035,-1.99%
"Jan 14, 2026",36.65,37.4,37.4,36.65,5820141,-1.53%
"Jan 13, 2026",37.22,37.25,37.25,37.22,6171951,-0.96%
"Jan 12, 2026",37.58,38.7,38.7,37.58,6854498,-2.99%
"Jan 09, 2026",38.74,38.89,38.89,38.74,9294092,-0.84%
"Jan 08, 2026",39.07,39.59,39.59,39.07,16746466,-0.64%
"Jan 07, 2026",39.32,39,39.32,39,25181671,+1.58%
"Jan 06, 2026",38.71,37.8,38.71,37.8,33525710,+2.43%
"Jan 05, 2026",37.79,38.39,38.39,37.79,10781130,-0.37%
"Jan 02, 2026",37.93,37.68,37.93,37.68,25600874,+1.72%
"Jan 01, 2026",37.29,36.65,37.29,36.65,9670337,+1.77%
"Dec 31, 2025",36.64,37.74,37.74,36.64,6821326,-2.81%
"Dec 30, 2025",37.7,36.2,37.7,36.2,18470151,+4.09%
"Dec 29, 2025",36.22,36.6,36.6,36.22,6648756,+0.25%
"Dec 26, 2025",36.13,36.44,36.44,36.13,5962679,+0.50%
"Dec 24, 2025",35.95,35.99,35.99,35.95,2868458,+0.28%
"Dec 23, 2025",35.85,35.75,35.85,35.75,2799663,+0.73%
"Dec 22, 2025",35.59,36.1,36.1,35.59,1640789,-0.75%
"Dec 19, 2025",35.86,36.5,36.5,35.86,1943500,-1.56%
"Dec 18, 2025",36.43,36.52,36.52,36.43,3041610,+0.58%
"Dec 17, 2025",36.22,36.1,36.22,36.1,3881152,+0.53%
"Dec 16, 2025",36.03,36.9,36.9,36.03,4182752,-1.99%
"Dec 15, 2025",36.76,37.28,37.28,36.76,1758493,+0.14%
"Dec 12, 2025",36.71,37,37,36.71,8258451,-1.24%
"Dec 11, 2025",37.17,37.4,37.4,37.17,10831542,-0.13%
"Dec 10, 2025",37.22,38.69,38.69,37.22,7585820,-2.77%
"Dec 09, 2025",38.28,38,38.28,38,14632333,+1.89%
"Dec 08, 2025",37.57,38,38,37.57,3513266,-0.37%
"Dec 05, 2025",37.71,37.39,37.71,37.39,13974010,+1.84%
"Dec 04, 2025",37.03,36.02,37.03,36.02,5566187,+2.18%
"Dec 03, 2025",36.24,36.74,36.74,36.24,3448875,-0.49%
"Dec 02, 2025",36.42,36.75,36.75,36.42,5066506,-0.25%
"Dec 01, 2025",36.51,35.15,36.51,35.15,9492518,+3.49%
"Nov 28, 2025",35.28,35.25,35.28,35.25,7499054,+0.48%
"Nov 27, 2025",35.11,34.95,35.11,34.95,3668893,+0.72%
"Nov 26, 2025",34.86,35.68,35.68,34.86,7230753,-2.22%
"Nov 25, 2025",35.65,36.35,36.35,35.65,3646145,-1.68%
"Nov 24, 2025",36.26,37.01,37.01,36.26,4376423,-2.68%
"Nov 21, 2025",37.26,37.99,37.99,37.26,13147814,-1.53%
"Nov 20, 2025",37.84,37.37,37.84,37.37,25264188,+2.49%
"Nov 19, 2025",36.92,37.02,37.02,36.92,11999854,-0.03%
"Nov 18, 2025",36.93,36.35,36.93,36.35,17830657,+1.48%
"Nov 17, 2025",36.39,36.65,36.65,36.39,10307449,+0.55%
"Nov 14, 2025",36.19,35.6,36.19,35.6,16439095,+1.77%
"Nov 13, 2025",35.56,34.85,35.56,34.85,4662386,+2.30%
