date,close,open,high,low,volume,change_pct
"Jun 24, 2026",49.72,49.1,50.1,48.73,1881724,+0.97%
"Jun 23, 2026",49.24,50.2,50.3,49,1518479,-0.77%
"Jun 22, 2026",49.62,52,52.4,49.36,3423856,-3.76%
"Jun 19, 2026",51.56,49.21,52.4,49,5591643,+3.78%
"Jun 18, 2026",49.68,52,52.75,49.13,3114980,-3.53%
"Jun 17, 2026",51.5,57.97,57.97,51.05,22496290,-2.28%
"Jun 16, 2026",52.7,52.6,52.7,52.5,2422907,+10.00%
"Jun 15, 2026",47.91,45,47.91,44.51,4812076,+10.01%
"Jun 12, 2026",43.55,43.6,45,43.2,1922837,+0.23%
"Jun 11, 2026",43.45,42.5,43.85,42.15,1678728,+2.00%
"Jun 10, 2026",42.6,43.89,44,42.01,875198,-3.25%
"Jun 09, 2026",44.03,44.61,44.87,42.82,3375895,-0.59%
"Jun 08, 2026",44.29,42.5,46.4,42.3,13078906,+3.99%
"Jun 05, 2026",42.59,39.01,42.59,39,7263781,+9.99%
"Jun 04, 2026",38.72,38.5,39.25,38.1,2837943,+1.73%
"Jun 03, 2026",38.06,37.99,39.55,37.53,2936794,-0.31%
"Jun 02, 2026",38.18,38.19,38.89,37.5,1631804,+1.27%
"Jun 01, 2026",37.7,38.69,38.69,37.1,325982,-1.77%
"May 29, 2026",38.38,38,38.78,38,582285,+2.05%
"May 25, 2026",37.61,37.9,37.9,37.01,466696,+2.28%
"May 22, 2026",36.77,37.45,37.5,36.6,1047722,-0.35%
"May 21, 2026",36.9,36.94,37.47,36.45,1150758,+2.19%
"May 20, 2026",36.11,36.45,36.45,35.5,238113,+0.19%
"May 19, 2026",36.04,35.7,39.3,35.7,945825,+0.75%
"May 18, 2026",35.77,36.81,37,35.11,487791,-2.37%
"May 15, 2026",36.64,37.84,37.84,35.16,268429,-1.27%
"May 14, 2026",37.11,37.84,37.84,37,263180,-0.88%
"May 13, 2026",37.44,37.6,38,37.3,152331,-0.43%
"May 12, 2026",37.6,37.96,38.4,37.5,188406,-0.95%
"May 11, 2026",37.96,38.48,38.5,37.51,816204,-1.84%
"May 08, 2026",38.67,39.01,39.01,38,413405,-2.03%
"May 07, 2026",39.47,39,40.48,38.99,1384276,+1.10%
"May 06, 2026",39.04,37.7,39.45,36.67,1670155,+6.75%
"May 05, 2026",36.57,36.4,36.79,35.01,192911,+0.36%
"May 04, 2026",36.44,37.1,38.99,36.01,1030207,+0.64%
"Apr 30, 2026",36.21,37.9,37.9,35.75,1655440,-5.09%
"Apr 29, 2026",38.15,39.5,39.5,38.01,872565,-1.19%
"Apr 28, 2026",38.61,38.52,39.95,38.49,1236478,-1.20%
"Apr 27, 2026",39.08,39.2,39.9,38.7,784136,-0.89%
"Apr 24, 2026",39.43,38.94,40,37.2,1421935,+1.23%
"Apr 23, 2026",38.95,39.71,40,38.51,738886,-1.91%
"Apr 22, 2026",39.71,40.01,40.33,39.06,825727,-1.00%
"Apr 21, 2026",40.11,40.3,41.45,39.75,2327776,+0.00%
"Apr 20, 2026",40.11,39.5,40.7,37,3911114,+0.68%
"Apr 17, 2026",39.84,40.4,40.75,39.5,1734836,-0.10%
"Apr 16, 2026",39.88,38.01,40.2,37.01,3155751,+6.23%
"Apr 15, 2026",37.54,38,38.25,37.05,1387362,+4.42%
"Apr 14, 2026",35.95,34.55,36.3,34.55,631713,+4.99%
"Apr 13, 2026",34.24,35,35.5,33.99,1091626,-5.70%
"Apr 10, 2026",36.31,35.41,37.1,35.41,2303403,+3.18%
"Apr 09, 2026",35.19,36,36,35.19,1832765,+0.28%
"Apr 08, 2026",35.09,35.09,35.09,35.09,2329710,+10.00%
"Apr 07, 2026",31.9,31.99,31.99,31.9,875987,+0.13%
"Apr 06, 2026",31.86,31.22,31.86,31.22,847318,+2.05%
"Apr 03, 2026",31.22,31.98,31.98,31.22,2621500,-2.65%
"Apr 02, 2026",32.07,30.95,32.07,30.95,486887,+0.31%
"Apr 01, 2026",31.97,30.52,31.97,30.52,1511187,+6.85%
"Mar 31, 2026",29.92,29.9,29.92,29.9,562417,-0.33%
"Mar 30, 2026",30.02,33.99,33.99,30.02,2350517,-9.99%
"Mar 27, 2026",33.35,34.99,34.99,33.35,264032,-1.45%
"Mar 26, 2026",33.84,36,36,33.84,1490144,-7.03%
"Mar 25, 2026",36.4,35.85,36.4,35.85,482262,+5.11%
"Mar 24, 2026",34.63,34.99,34.99,34.63,361708,+2.79%
"Mar 19, 2026",33.69,35.35,35.35,33.69,792152,-5.31%
"Mar 18, 2026",35.58,34.99,35.58,34.99,155970,+3.43%
"Mar 17, 2026",34.4,35.26,35.26,34.4,171457,-0.41%
"Mar 16, 2026",34.54,36,36,34.54,184291,-4.27%
"Mar 13, 2026",36.08,35.5,36.08,35.5,68997,+0.73%
"Mar 12, 2026",35.82,37,37,35.82,286489,-1.78%
"Mar 11, 2026",36.47,35,36.47,35,1292618,+6.73%
"Mar 10, 2026",34.17,35.48,35.48,34.17,1367216,+4.02%
"Mar 09, 2026",32.85,33.49,33.49,32.85,1411748,-10.00%
"Mar 06, 2026",36.5,38,38,36.5,550695,-3.21%
"Mar 05, 2026",37.71,38.95,38.95,37.71,420458,-0.76%
"Mar 04, 2026",38,36.4,38,36.4,582518,+4.02%
"Mar 03, 2026",36.53,36,36.53,36,1720013,+0.36%
"Mar 02, 2026",36.4,36.4,36.4,36.4,1140356,-9.99%
"Feb 27, 2026",40.44,39.92,40.44,39.92,779725,+1.30%
"Feb 26, 2026",39.92,39,39.92,39,3041865,+3.10%
"Feb 25, 2026",38.72,41.53,41.53,38.72,1540509,-6.74%
"Feb 24, 2026",41.52,43.4,43.4,41.52,1627189,-3.28%
"Feb 23, 2026",42.93,43.4,43.4,42.93,990374,-1.08%
"Feb 20, 2026",43.4,43.02,43.4,43.02,1455706,+1.05%
"Feb 19, 2026",42.95,46,46,42.95,1416445,-6.55%
"Feb 18, 2026",45.96,45.07,45.96,45.07,1668190,+2.00%
"Feb 17, 2026",45.06,46.99,46.99,45.06,3509298,-3.59%
"Feb 16, 2026",46.74,48,48,46.74,481800,-2.62%
"Feb 13, 2026",48,47.26,48,47.26,1301292,+1.59%
"Feb 12, 2026",47.25,48.39,48.39,47.25,505122,-1.19%
"Feb 11, 2026",47.82,48.49,48.49,47.82,513319,-0.60%
"Feb 10, 2026",48.11,48.5,48.5,48.11,504878,+0.17%
"Feb 09, 2026",48.03,47.8,48.03,47.8,1429651,+0.48%
"Feb 06, 2026",47.8,48.21,48.21,47.8,886272,-0.83%
"Feb 04, 2026",48.2,48.1,48.2,48.1,1319122,+0.25%
"Feb 03, 2026",48.08,48.72,48.72,48.08,1819685,-1.31%
"Feb 02, 2026",48.72,49.1,49.1,48.72,2428654,-2.40%
"Jan 30, 2026",49.92,51.5,51.5,49.92,1265339,-1.17%
"Jan 29, 2026",50.51,51,51,50.51,1151045,-1.37%
"Jan 28, 2026",51.21,51.5,51.5,51.21,705209,+0.18%
"Jan 27, 2026",51.12,52.3,52.3,51.12,492675,-0.49%
"Jan 26, 2026",51.37,52.36,52.36,51.37,815211,-1.83%
"Jan 23, 2026",52.33,52.8,52.8,52.33,951779,-0.02%
"Jan 22, 2026",52.34,52.3,52.34,52.3,848397,+0.50%
"Jan 21, 2026",52.08,53.48,53.48,52.08,695371,-2.11%
"Jan 20, 2026",53.2,53.5,53.5,53.2,822171,-0.21%
"Jan 19, 2026",53.31,52.8,53.31,52.8,3713315,+3.39%
"Jan 16, 2026",51.56,50.98,51.56,50.98,2197289,+2.85%
"Jan 15, 2026",50.13,49.01,50.13,49.01,12388852,+2.68%
"Jan 14, 2026",48.82,48.99,48.99,48.82,673824,-0.04%
"Jan 13, 2026",48.84,49,49,48.84,759418,+0.21%
"Jan 12, 2026",48.74,50.26,50.26,48.74,1780386,-3.02%
"Jan 09, 2026",50.26,50.4,50.4,50.26,509486,-0.10%
"Jan 08, 2026",50.31,51.74,51.74,50.31,1333836,-1.99%
"Jan 07, 2026",51.33,49.5,51.33,49.5,4241661,+4.03%
"Jan 06, 2026",49.34,48.9,49.34,48.9,1654535,+1.02%
"Jan 05, 2026",48.84,48.99,48.99,48.84,2011073,+0.33%
"Jan 02, 2026",48.68,48.1,48.68,48.1,1163528,+1.25%
"Jan 01, 2026",48.08,47.25,48.08,47.25,1409011,+2.34%
"Dec 31, 2025",46.98,47.99,47.99,46.98,434643,-1.74%
"Dec 30, 2025",47.81,47.99,47.99,47.81,679872,+0.17%
"Dec 29, 2025",47.73,47.99,47.99,47.73,1459088,+0.29%
"Dec 26, 2025",47.59,46.88,47.59,46.88,1077451,+1.78%
"Dec 24, 2025",46.76,47.4,47.4,46.76,1589101,+0.43%
"Dec 23, 2025",46.56,46.28,46.56,46.28,921147,+0.61%
"Dec 22, 2025",46.28,46.5,46.5,46.28,616360,+0.02%
"Dec 19, 2025",46.27,45,46.27,45,1879067,+2.80%
"Dec 18, 2025",45.01,44.9,45.01,44.9,272695,+0.90%
"Dec 17, 2025",44.61,45.1,45.1,44.61,372804,-0.82%
"Dec 16, 2025",44.98,45.5,45.5,44.98,927306,-1.12%
"Dec 15, 2025",45.49,45.77,45.77,45.49,505644,-0.33%
"Dec 12, 2025",45.64,45.52,45.64,45.52,1026839,+0.26%
"Dec 11, 2025",45.52,45.9,45.9,45.52,1132811,+0.26%
"Dec 10, 2025",45.4,45,45.4,45,1951282,+1.98%
"Dec 09, 2025",44.52,43.12,44.52,43.12,1816025,+3.32%
"Dec 08, 2025",43.09,43.36,43.36,43.09,570250,+0.42%
"Dec 05, 2025",42.91,42.65,42.91,42.65,1794594,+0.61%
"Dec 04, 2025",42.65,42.8,42.8,42.65,135942,-0.47%
"Dec 03, 2025",42.85,44,44,42.85,165004,-2.24%
"Dec 02, 2025",43.83,44,44,43.83,228198,-0.39%
"Dec 01, 2025",44,44.2,44.2,44,242117,-0.14%
"Nov 28, 2025",44.06,42.5,44.06,42.5,553918,+4.43%
"Nov 27, 2025",42.19,42.2,42.2,42.19,324796,+0.19%
"Nov 26, 2025",42.11,42,42.11,42,825262,+0.74%
"Nov 25, 2025",41.8,42,42,41.8,313693,-0.12%
"Nov 24, 2025",41.85,42.94,42.94,41.85,686321,-0.71%
"Nov 21, 2025",42.15,42.61,42.61,42.15,194701,-1.01%
"Nov 20, 2025",42.58,42.3,42.58,42.3,279237,+0.66%
"Nov 19, 2025",42.3,41.95,42.3,41.95,279463,+1.32%
"Nov 18, 2025",41.75,43,43,41.75,1479817,-2.88%
"Nov 17, 2025",42.99,43.32,43.32,42.99,667191,-1.17%
"Nov 14, 2025",43.5,43.43,43.5,43.43,1319166,-0.23%
"Nov 13, 2025",43.6,43.97,43.97,43.6,262266,-0.32%
"Nov 12, 2025",43.74,44,44,43.74,224145,-0.46%
"Nov 11, 2025",43.94,44.99,44.99,43.94,534528,-1.92%
"Nov 10, 2025",44.8,45,45,44.8,749729,-0.53%
"Nov 07, 2025",45.04,44.78,45.04,44.78,632715,+0.58%
"Nov 06, 2025",44.78,45,45,44.78,1462578,+0.00%
"Nov 05, 2025",44.78,44.25,44.78,44.25,517284,+0.04%
"Nov 04, 2025",44.76,46.5,46.5,44.76,610189,-3.70%
"Nov 03, 2025",46.48,47.49,47.49,46.48,538103,+0.45%
"Oct 31, 2025",46.27,44.51,46.27,44.51,1848968,+4.99%
"Oct 30, 2025",44.07,44.99,44.99,44.07,873645,-0.38%
"Oct 29, 2025",44.24,45.01,45.01,44.24,3012015,-1.40%
"Oct 28, 2025",44.87,46.51,46.51,44.87,3849116,-5.10%
"Oct 27, 2025",47.28,48.04,48.04,47.28,1047744,-1.46%
"Oct 24, 2025",47.98,48,48,47.98,9169270,+0.00%
"Oct 23, 2025",47.98,47.11,47.98,47.11,6461304,+0.69%
"Oct 22, 2025",47.65,46.56,47.65,46.56,19749340,+5.70%
"Oct 21, 2025",45.08,41.49,45.08,41.49,5605077,+10.00%
"Oct 20, 2025",40.98,40.73,40.98,40.73,3752185,-2.57%
"Oct 17, 2025",42.06,41.49,42.06,41.49,5856874,+2.49%
"Oct 16, 2025",41.04,39.65,41.04,39.65,4627331,+3.85%
"Oct 15, 2025",39.52,39.3,39.52,39.3,2198070,+0.48%
"Oct 14, 2025",39.33,38.75,39.33,38.75,3639381,+2.48%
"Oct 13, 2025",38.38,39.48,39.48,38.38,1822107,-2.76%
"Oct 10, 2025",39.47,38.05,39.47,38.05,4248001,+3.76%
"Oct 09, 2025",38.04,38.51,38.51,38.04,1428387,-0.47%
"Oct 08, 2025",38.22,38.77,38.77,38.22,1822208,-0.73%
"Oct 07, 2025",38.5,39.35,39.35,38.5,1700636,-2.01%
"Oct 06, 2025",39.29,39.6,39.6,39.29,3448058,-1.43%
"Oct 03, 2025",39.86,41,41,39.86,12139670,-0.94%
"Oct 02, 2025",40.24,36.9,40.24,36.9,21963521,+9.98%
"Oct 01, 2025",36.59,36.6,36.6,36.59,765401,-0.84%
"Sep 30, 2025",36.9,36.9,36.9,36.9,1576697,+0.00%
"Sep 29, 2025",36.9,37.49,37.49,36.9,1436587,-0.86%
"Sep 26, 2025",37.22,36.5,37.22,36.5,1678911,+1.75%
"Sep 25, 2025",36.58,36.25,36.58,36.25,1247354,+1.11%
"Sep 24, 2025",36.18,36.15,36.18,36.15,1333261,+0.47%
"Sep 23, 2025",36.01,36.27,36.27,36.01,2794640,-0.69%
"Sep 22, 2025",36.26,36.49,36.49,36.26,1002678,+0.14%
"Sep 19, 2025",36.21,36.83,36.83,36.21,3031892,-1.58%
"Sep 18, 2025",36.79,36.2,36.79,36.2,2530768,+2.17%
"Sep 17, 2025",36.01,36.69,36.69,36.01,824463,-0.58%
"Sep 16, 2025",36.22,36.75,36.75,36.22,4067353,-1.79%
"Sep 15, 2025",36.88,35.94,36.88,35.94,10154428,+4.03%
"Sep 12, 2025",35.45,36,36,35.45,1087836,-1.36%
"Sep 11, 2025",35.94,36.88,36.88,35.94,1763748,-2.50%
"Sep 10, 2025",36.86,37.25,37.25,36.86,1143520,-0.83%
