date,close,open,high,low,volume,change_pct
"Jun 24, 2026",66.14,65.25,66.66,65,4563047,+1.22%
"Jun 23, 2026",65.34,65.9,66.3,65.15,5496682,-0.76%
"Jun 22, 2026",65.84,66.28,66.28,65.1,3541565,+0.40%
"Jun 19, 2026",65.58,66.88,67.25,64,6483525,-2.15%
"Jun 18, 2026",67.02,67.25,67.67,66.8,5590774,-0.34%
"Jun 17, 2026",67.25,68.5,68.6,67.02,3932773,-1.07%
"Jun 16, 2026",67.98,68,69.23,67.51,12822913,+0.59%
"Jun 15, 2026",67.58,67.1,68.75,65.82,15095036,+4.58%
"Jun 12, 2026",64.62,65.2,66.4,64.4,9381177,+1.38%
"Jun 11, 2026",63.74,63.5,65.17,63.11,8147274,-0.39%
"Jun 10, 2026",63.99,65,66.26,63.8,7146356,-2.23%
"Jun 09, 2026",65.45,65.53,66.7,65.15,8685905,+0.57%
"Jun 08, 2026",65.08,66.11,66.9,64.6,5683377,-3.64%
"Jun 05, 2026",67.54,68,68.2,66.05,14725109,-0.03%
"Jun 04, 2026",67.56,65.15,67.99,65.15,21963763,+3.41%
"Jun 03, 2026",65.33,64.4,66.3,63.6,23376596,+1.27%
"Jun 02, 2026",64.51,62,65.2,62,13279530,+3.63%
"Jun 01, 2026",62.25,64.18,64.8,62,5822652,-3.02%
"May 29, 2026",64.19,61.98,65.3,61.75,15540874,+1.68%
"May 25, 2026",63.13,61,64,61,20724805,+7.27%
"May 22, 2026",58.85,56.7,60.15,56.11,26697686,+4.12%
"May 21, 2026",56.52,54,57.85,54,16811045,+6.14%
"May 20, 2026",53.25,51.98,53.35,51.3,4513148,+2.88%
"May 19, 2026",51.76,52.39,52.4,51.21,2484861,+1.03%
"May 18, 2026",51.23,51.99,52.94,51.01,3580884,-1.63%
"May 15, 2026",52.08,51.25,53.68,50.05,4820083,+1.54%
"May 14, 2026",51.29,52.7,52.97,51,3386642,-1.78%
"May 13, 2026",52.22,52.9,53.39,52.1,1634099,-1.12%
"May 12, 2026",52.81,54,55,52.3,2286216,-2.35%
"May 11, 2026",54.08,53.94,54.75,52.9,2411183,+0.13%
"May 08, 2026",54.01,54,54.89,53.8,3966643,-1.71%
"May 07, 2026",54.95,53.75,55.9,52.8,8656992,+2.38%
"May 06, 2026",53.67,51.51,54.75,51.1,10393509,+7.25%
"May 05, 2026",50.04,48,50.5,48,3891487,+1.23%
"May 04, 2026",49.43,50,52.1,47.9,7225966,+0.84%
"Apr 30, 2026",49.02,48.29,50.43,44.65,12162253,+0.60%
"Apr 29, 2026",48.73,50.05,50.8,48,6210912,-3.06%
"Apr 28, 2026",50.27,51.25,52.3,50.01,2309831,-3.33%
"Apr 27, 2026",52,53,53.35,51.7,2239013,-1.94%
