date,close,open,high,low,volume,change_pct
"Jun 24, 2026",34.72,33.86,35.39,33.86,2343630,+2.54%
"Jun 23, 2026",33.86,37.4,37.4,33.71,4227113,-9.61%
"Jun 22, 2026",37.46,34.37,37.6,33.52,3924147,+9.60%
"Jun 19, 2026",34.18,36.7,37.65,33.8,1205299,-6.71%
"Jun 18, 2026",36.64,37.6,38.1,36.3,761634,-2.55%
"Jun 17, 2026",37.6,39,39.25,37.4,784415,-3.86%
"Jun 16, 2026",39.11,38.7,41,38.29,3270338,+1.35%
"Jun 15, 2026",38.59,37.7,39,36.5,2059770,+3.63%
"Jun 12, 2026",37.24,38.9,38.9,36.3,961517,-1.69%
"Jun 11, 2026",37.88,35.5,38.51,35,1865733,+4.84%
"Jun 10, 2026",36.13,38,38.2,36,1116638,-5.39%
"Jun 09, 2026",38.19,39,39.46,38.01,3153577,+0.39%
"Jun 08, 2026",38.04,35.9,38.98,34.4,5500793,+5.81%
"Jun 05, 2026",35.95,35.99,37.7,35.71,6517976,+2.71%
"Jun 04, 2026",35,31.51,35.01,31,6130442,+9.96%
"Jun 03, 2026",31.83,31.61,32.7,31,2577276,+1.02%
"Jun 02, 2026",31.51,32.48,32.94,31,5141916,-1.01%
"Jun 01, 2026",31.83,29.15,31.83,28.24,5911195,+9.99%
"May 29, 2026",28.94,28.1,29.15,28.05,827096,+1.83%
"May 25, 2026",28.42,28.99,29.16,28.2,632363,+0.32%
"May 22, 2026",28.33,29.1,29.1,27.8,649218,-1.94%
"May 21, 2026",28.89,29.4,29.72,28.56,3063676,+0.87%
"May 20, 2026",28.64,27.88,29.12,27.15,1915725,+4.11%
"May 19, 2026",27.51,27.9,28.35,27.25,1222579,+0.77%
"May 18, 2026",27.3,27.5,29,27,3534673,+1.00%
"May 15, 2026",27.03,25.94,28.83,25.7,3884358,+3.13%
"May 14, 2026",26.21,26.45,26.96,25.82,590092,-1.61%
"May 13, 2026",26.64,27.25,27.89,26.5,767438,-1.95%
"May 12, 2026",27.17,27.2,28.49,26.9,2415255,-0.11%
"May 11, 2026",27.2,26.5,28.2,26,2790943,+1.87%
"May 08, 2026",26.7,27.12,27.86,26,2170741,-4.34%
"May 07, 2026",27.91,30.1,30.6,27.21,7649211,-2.89%
"May 06, 2026",28.74,27.55,28.74,27.11,7152265,+9.99%
"May 05, 2026",26.13,23.69,26.13,23.1,7780012,+10.02%
"May 04, 2026",23.75,22.5,24.07,22.49,1442089,+8.55%
"Apr 30, 2026",21.88,22.78,22.8,21.11,376478,-4.12%
"Apr 29, 2026",22.82,23.37,23.7,22.5,327533,-2.31%
"Apr 28, 2026",23.36,24.02,24.25,23.3,600572,-2.79%
