date,close,open,high,low,volume,change_pct
"Jun 24, 2026",9.77,9.8,9.97,9.05,7103854,+1.98%
"Jun 23, 2026",9.58,9.85,9.85,9.41,2034802,-1.74%
"Jun 22, 2026",9.75,9.89,9.93,9.74,824933,-0.31%
"Jun 19, 2026",9.78,9.75,9.83,9.41,516358,+0.31%
"Jun 18, 2026",9.75,9.78,9.78,9.67,560635,+1.56%
"Jun 17, 2026",9.6,9.7,9.72,9.56,373956,-0.62%
"Jun 16, 2026",9.66,9.74,9.78,9.65,366341,+0.21%
"Jun 15, 2026",9.64,9.87,9.87,9.52,640943,-0.21%
"Jun 12, 2026",9.66,9.82,9.84,9.62,334189,+0.21%
"Jun 11, 2026",9.64,9.6,9.8,9.55,220995,-0.52%
"Jun 10, 2026",9.69,9.8,9.9,9.64,1088283,+0.62%
"Jun 09, 2026",9.63,9.93,9.95,9.47,3813467,-3.02%
"Jun 08, 2026",9.93,9.51,9.98,9.51,129018,+0.10%
"Jun 05, 2026",9.92,9.9,10.11,9.8,367950,+1.12%
"Jun 04, 2026",9.81,9.83,10,9.7,198635,+0.93%
"Jun 03, 2026",9.72,9.74,9.97,9.68,486307,-0.82%
"Jun 02, 2026",9.8,9.99,9.99,9.66,147943,+0.00%
"Jun 01, 2026",9.8,9.85,9.94,9.65,278515,+0.20%
"May 29, 2026",9.78,9.95,10.18,9.63,253411,-1.61%
"May 25, 2026",9.94,9.75,10.09,9.7,123328,+2.16%
"May 22, 2026",9.73,9.9,10,9.61,200654,-1.12%
"May 21, 2026",9.84,10.34,10.34,9.62,838105,-2.19%
"May 20, 2026",10.06,10.13,10.42,9.91,779768,+0.60%
"May 19, 2026",10,9.95,10.14,9.65,284539,+4.49%
"May 18, 2026",9.57,10.25,10.25,9.51,379272,-7.27%
"May 15, 2026",10.32,10.38,10.4,9.91,90354,+1.28%
"May 14, 2026",10.19,10.07,10.34,9.93,82159,+1.70%
"May 13, 2026",10.02,10.44,10.44,9.91,142942,-2.43%
"May 12, 2026",10.27,10.33,10.78,10.25,1310541,-1.53%
"May 11, 2026",10.43,10.45,10.8,10.2,1541862,+1.76%
"May 08, 2026",10.25,10.24,10.6,9.71,1441932,+1.18%
"May 07, 2026",10.13,9.95,10.37,9.76,826474,+2.84%
"May 06, 2026",9.85,9.59,9.98,9.53,776810,+3.79%
"May 05, 2026",9.49,9.6,9.9,9.36,22574,-0.32%
"May 04, 2026",9.52,9.68,9.88,9.36,169476,-1.65%
"Apr 30, 2026",9.68,9.61,9.89,9.25,156330,+0.94%
"Apr 29, 2026",9.59,9.9,10,9.52,266048,-3.03%
"Apr 28, 2026",9.89,9.95,10,9.8,152375,-0.50%
"Apr 27, 2026",9.94,10.05,10.14,9.88,128545,-0.60%
"Apr 24, 2026",10,10.24,10.24,9.9,502754,-2.34%
"Apr 23, 2026",10.24,9.97,10.6,9.88,1951761,+3.12%
"Apr 22, 2026",9.93,10.1,10.28,9.65,191004,-0.50%
"Apr 21, 2026",9.98,10.3,10.42,9.9,477141,-0.80%
"Apr 20, 2026",10.06,10.29,10.77,9.89,915482,-1.28%
"Apr 17, 2026",10.19,10.35,10.65,10.1,1999412,+2.21%
"Apr 16, 2026",9.97,9.88,10.5,9.75,1362687,-1.38%
"Apr 15, 2026",10.11,10.15,10.49,9.92,337227,+1.92%
"Apr 14, 2026",9.92,9.98,9.99,9.8,52405,+1.43%
"Apr 13, 2026",9.78,9.69,10.1,9.43,91008,-1.41%
"Apr 10, 2026",9.92,10.29,10.29,9.28,879316,+1.12%
"Apr 09, 2026",9.81,9.92,9.92,9.81,546949,-1.11%
"Apr 08, 2026",9.92,9.9,9.92,9.9,1726583,+10.59%
"Apr 07, 2026",8.97,8.95,8.97,8.95,102198,+1.82%
"Apr 06, 2026",8.81,9.15,9.15,8.81,282240,-2.22%
"Apr 03, 2026",9.01,9.45,9.45,9.01,2263772,+1.46%
"Apr 02, 2026",8.88,8.98,8.98,8.88,998009,-1.00%
"Apr 01, 2026",8.97,9.97,9.97,8.97,3723342,-8.47%
"Mar 31, 2026",9.8,9.86,9.86,9.8,1505915,+4.37%
"Mar 30, 2026",9.39,9.7,9.7,9.39,1245861,-7.49%
"Mar 27, 2026",10.15,10.3,10.3,10.15,61398,-0.39%
"Mar 26, 2026",10.19,11.01,11.01,10.19,1718851,-7.28%
"Mar 25, 2026",10.99,11.8,11.8,10.99,599544,-2.74%
"Mar 24, 2026",11.3,11.6,11.6,11.3,16814,+3.01%
"Mar 19, 2026",10.97,11.2,11.2,10.97,17542,-2.75%
"Mar 18, 2026",11.28,11.4,11.4,11.28,58222,+0.71%
"Mar 17, 2026",11.2,11,11.2,11,38319,+3.32%
"Mar 16, 2026",10.84,11.25,11.25,10.84,2246,-0.46%
"Mar 13, 2026",10.89,10.73,10.89,10.73,27126,-0.73%
"Mar 12, 2026",10.97,10.84,10.97,10.84,162501,+0.83%
"Mar 11, 2026",10.88,11,11,10.88,40614,-1.89%
"Mar 10, 2026",11.09,10.8,11.09,10.8,670515,+5.42%
"Mar 09, 2026",10.52,11.23,11.23,10.52,632965,-10.01%
"Mar 06, 2026",11.69,12.15,12.15,11.69,494391,-2.01%
"Mar 05, 2026",11.93,11.98,11.98,11.93,357398,+5.11%
"Mar 04, 2026",11.35,12.19,12.19,11.35,18068,-4.62%
"Mar 03, 2026",11.9,11.13,11.9,11.13,69057,-0.08%
"Mar 02, 2026",11.91,12.05,12.05,11.91,503559,-9.98%
"Feb 27, 2026",13.23,12.61,13.23,12.61,325122,+1.69%
"Feb 26, 2026",13.01,12.5,13.01,12.5,1020247,+2.85%
"Feb 25, 2026",12.65,13.5,13.5,12.65,385877,-4.53%
"Feb 24, 2026",13.25,13.31,13.31,13.25,448379,-0.45%
"Feb 23, 2026",13.31,13.01,13.31,13.01,301231,-3.06%
"Feb 20, 2026",13.73,14,14,13.73,160920,-1.44%
"Feb 19, 2026",13.93,14.7,14.7,13.93,1114171,-4.13%
"Feb 18, 2026",14.53,14.25,14.53,14.25,4238843,+0.97%
"Feb 17, 2026",14.39,14.15,14.39,14.15,461402,+2.71%
"Feb 16, 2026",14.01,14.49,14.49,14.01,1118932,-3.11%
"Feb 13, 2026",14.46,14.49,14.49,14.46,122781,+0.77%
"Feb 12, 2026",14.35,15,15,14.35,233245,-3.37%
"Feb 11, 2026",14.85,15.1,15.1,14.85,653680,-0.54%
"Feb 10, 2026",14.93,14.75,14.93,14.75,3196184,+1.29%
"Feb 09, 2026",14.74,14.9,14.9,14.74,563097,+0.27%
"Feb 06, 2026",14.7,14.99,14.99,14.7,796801,-2.26%
"Feb 04, 2026",15.04,14.6,15.04,14.6,890033,+6.29%
"Feb 03, 2026",14.15,14.1,14.15,14.1,419661,+0.35%
"Feb 02, 2026",14.1,14,14.1,14,1045907,+0.93%
"Jan 30, 2026",13.97,14.29,14.29,13.97,119210,-0.57%
"Jan 29, 2026",14.05,14.5,14.5,14.05,2225551,-3.04%
"Jan 28, 2026",14.49,14.6,14.6,14.49,943502,+0.62%
"Jan 27, 2026",14.4,15.19,15.19,14.4,472025,-1.23%
"Jan 26, 2026",14.58,15.01,15.01,14.58,194215,-2.54%
"Jan 23, 2026",14.96,15.2,15.2,14.96,467854,-1.12%
"Jan 22, 2026",15.13,15.1,15.13,15.1,429247,+0.20%
"Jan 21, 2026",15.1,15.39,15.39,15.1,536595,-0.66%
"Jan 20, 2026",15.2,14.45,15.2,14.45,5022143,+5.56%
"Jan 19, 2026",14.4,14.3,14.4,14.3,507160,+1.69%
"Jan 16, 2026",14.16,14,14.16,14,835366,+1.22%
"Jan 15, 2026",13.99,14.3,14.3,13.99,662826,-0.36%
"Jan 14, 2026",14.04,15.29,15.29,14.04,884591,-6.40%
"Jan 13, 2026",15,15.45,15.45,15,3861238,-3.16%
"Jan 12, 2026",15.49,15.8,15.8,15.49,775257,-1.78%
"Jan 09, 2026",15.77,15.95,15.95,15.77,945823,-0.63%
"Jan 08, 2026",15.87,15.79,15.87,15.79,425398,-0.56%
"Jan 07, 2026",15.96,16,16,15.96,1215575,+0.57%
"Jan 06, 2026",15.87,16.2,16.2,15.87,1837084,-1.37%
"Jan 05, 2026",16.09,15.25,16.09,15.25,8419037,+6.49%
"Jan 02, 2026",15.11,15.24,15.24,15.11,772678,-0.46%
"Jan 01, 2026",15.18,14.35,15.18,14.35,1336650,+6.60%
"Dec 31, 2025",14.24,14.19,14.24,14.19,313461,+0.35%
"Dec 30, 2025",14.19,14.26,14.26,14.19,984555,-0.49%
"Dec 29, 2025",14.26,14.95,14.95,14.26,810347,-4.30%
"Dec 26, 2025",14.9,14.6,14.9,14.6,543288,+1.78%
"Dec 24, 2025",14.64,14.98,14.98,14.64,1115303,-2.53%
"Dec 23, 2025",15.02,15.5,15.5,15.02,697425,-1.64%
"Dec 22, 2025",15.27,15.59,15.59,15.27,3330710,-0.07%
"Dec 19, 2025",15.28,15.23,15.28,15.23,13722420,+0.20%
"Dec 18, 2025",15.25,14.99,15.25,14.99,13836706,+10.03%
"Dec 17, 2025",13.86,12.43,13.86,12.43,20076059,+10.00%
"Dec 16, 2025",12.6,12.9,12.9,12.6,971762,-2.55%
"Dec 15, 2025",12.93,13.2,13.2,12.93,834110,-1.90%
"Dec 12, 2025",13.18,13.59,13.59,13.18,787181,-0.75%
"Dec 11, 2025",13.28,14.14,14.14,13.28,5177013,-3.63%
"Dec 10, 2025",13.78,14.64,14.64,13.78,3306112,-3.91%
"Dec 09, 2025",14.34,14.89,14.89,14.34,7287069,+3.39%
"Dec 08, 2025",13.87,13.87,13.87,13.87,8920186,+9.99%
"Dec 05, 2025",12.61,12.61,12.61,12.61,654186,+10.03%
"Dec 04, 2025",11.46,11.8,11.8,11.46,42782,+0.44%
"Dec 03, 2025",11.41,11.52,11.52,11.41,24052,-0.87%
"Dec 02, 2025",11.51,11.69,11.69,11.51,105001,-0.95%
"Dec 01, 2025",11.62,11.5,11.62,11.5,60024,+1.04%
"Nov 28, 2025",11.5,11.96,11.96,11.5,42145,+0.44%
"Nov 27, 2025",11.45,11.22,11.45,11.22,86351,+2.42%
"Nov 26, 2025",11.18,11.5,11.5,11.18,32158,-0.27%
"Nov 25, 2025",11.21,11.75,11.75,11.21,78635,-3.69%
