date,close,open,high,low,volume,change_pct
2026-07-01,94.58,94.98,95.5,94,1983501,+0.04%
2026-06-30,94.54,95.2,95.2,94,1157935,+0.52%
2026-06-29,94.05,95.15,96.6,93.6,3858739,-1.51%
2026-06-24,95.49,93.99,96,93.49,4839610,+2.33%
2026-06-23,93.32,94,94.6,93,1650831,-0.28%
2026-06-22,93.58,95.02,95.88,93.26,3392370,-0.87%
2026-06-19,94.4,95.92,97.02,93.8,3206111,-1.58%
2026-06-18,95.92,96.99,97.78,95.7,3201832,-0.40%
2026-06-17,96.31,98.5,98.75,95.9,4520994,-1.72%
2026-06-16,98,95.6,98.8,94.5,10994710,+3.95%
2026-06-15,94.28,94.05,95.34,92.88,7356748,+3.17%
2026-06-12,91.38,91.26,92.5,90.71,2142413,+1.02%
2026-06-11,90.46,89.5,91.4,89.1,1238662,+0.41%
2026-06-10,90.09,90.3,91.3,89.51,1513440,-0.46%
2026-06-09,90.51,91.85,91.85,90.31,1327937,+1.02%
2026-06-08,89.6,90.51,90.51,88.82,2011638,-1.46%
2026-06-05,90.93,91.4,92.23,90.53,2609234,+0.00%
2026-06-04,90.93,90.13,91.75,90.01,2278668,+0.89%
2026-06-03,90.13,88.75,92.5,88.75,5625842,+0.28%
2026-06-02,89.88,88.7,91.15,88.7,1998865,+1.32%
2026-06-01,88.71,90.5,90.5,88.41,1471416,-1.37%
2026-05-29,89.94,90.95,90.97,89.51,1967986,-0.41%
2026-05-25,90.31,90.25,91.95,89.66,1873760,+2.44%
2026-05-22,88.16,89.74,90,87.6,1798649,-0.98%
2026-05-21,89.03,88.6,90.25,87.9,4266950,+2.22%
2026-05-20,87.1,86.4,87.47,85.2,1727628,+1.65%
2026-05-19,85.69,85,86.15,84.85,1147790,+1.87%
2026-05-18,84.12,86.15,87.08,83.63,1649284,-4.44%
2026-05-15,88.03,87.7,88.4,86.51,1179458,+0.34%
2026-05-14,87.73,88.15,88.95,87.5,866525,-0.16%
