date,close,open,high,low,volume,change_pct
"Jun 24, 2026",66.23,59,66.23,56.25,4070983,+10.00%
"Jun 23, 2026",60.21,70,73.59,60.21,4983347,-10.00%
"Jun 22, 2026",66.9,62.49,66.9,62,1382627,+10.00%
"Jun 19, 2026",60.82,57.6,60.82,56.52,2232434,+10.00%
"Jun 18, 2026",55.29,50.89,55.29,50.89,1979922,+10.01%
"Jun 17, 2026",50.26,52.5,52.5,49.81,470735,-2.56%
"Jun 16, 2026",51.58,52,54.6,50.26,2452199,+2.30%
"Jun 15, 2026",50.42,53.99,53.99,49.25,1684717,-3.65%
"Jun 12, 2026",52.33,55.7,56.2,51.51,1988979,-4.42%
"Jun 11, 2026",54.75,53.9,57,53.18,3180535,+1.28%
"Jun 10, 2026",54.06,54,56.99,52.1,3538392,+1.90%
"Jun 09, 2026",53.05,55.3,55.3,49.49,9329462,+5.53%
"Jun 08, 2026",50.27,46,50.27,45.5,2705242,+10.00%
"Jun 05, 2026",45.7,47.51,48.5,45.15,1078553,-3.40%
"Jun 04, 2026",47.31,46.01,49,45.99,2709988,+2.42%
"Jun 03, 2026",46.19,45.9,48.77,44.15,1293322,+0.39%
"Jun 02, 2026",46.01,49.49,52.49,43.41,6044309,-4.31%
"Jun 01, 2026",48.08,48.08,48.08,43.71,2033029,+10.00%
"May 29, 2026",43.71,43.71,43.71,43.71,88807,+9.99%
"May 25, 2026",39.74,39.7,39.74,37,2194217,+9.99%
"May 22, 2026",36.13,36.13,36.13,36.13,694750,-9.99%
"May 21, 2026",40.14,42.13,48.1,40.14,5077486,-10.00%
"May 20, 2026",44.6,44.6,44.6,44.6,323538,-9.99%
"May 19, 2026",49.55,50.52,55.81,49.55,2552900,-9.99%
"May 18, 2026",55.05,56.12,57.9,55.05,4835225,-10.00%
"May 15, 2026",61.17,64.26,72.87,61.17,4644080,-10.00%
"May 14, 2026",67.97,75,78,67.97,2244593,-10.00%
"May 13, 2026",75.52,75.38,86.8,75.38,3974546,-9.84%
"May 12, 2026",83.76,83.07,87.1,71.26,1743171,+5.78%
"May 11, 2026",79.18,75,79.18,75,1185351,+10.00%
"May 08, 2026",71.98,65.6,71.98,65.44,1468179,+9.99%
"May 07, 2026",65.44,65.44,65.44,59.49,4760902,+10.00%
"May 06, 2026",59.49,59.49,59.49,59.49,197671,+10.00%
"May 05, 2026",54.08,46.01,54.08,44.24,4794111,+10.01%
"May 04, 2026",49.16,46.11,52.21,44.6,5838883,+3.58%
"Apr 30, 2026",47.46,47.46,47.46,47.46,81715,-9.99%
"Apr 29, 2026",52.73,64.45,64.45,52.73,5714528,-10.00%
"Apr 28, 2026",58.59,58.58,58.59,48.56,3316311,+10.01%
"Apr 27, 2026",53.26,53.26,53.26,52,1490655,+10.00%
"Apr 24, 2026",48.42,45.55,48.42,45.55,2048497,+10.00%
"Apr 23, 2026",44.02,40.5,44.02,40.5,1641842,+10.00%
"Apr 22, 2026",40.02,36.37,40.02,36.37,4196362,+10.01%
"Apr 21, 2026",36.38,35.99,36.38,35,1048000,+10.01%
"Apr 20, 2026",33.07,30.06,33.07,30.06,6211810,+10.01%
"Apr 17, 2026",30.06,30.77,30.77,28.5,1877592,+0.67%
"Apr 16, 2026",29.86,30.35,32.3,29,3652550,-1.45%
"Apr 15, 2026",30.3,31.3,32.22,29.15,2756973,-1.30%
"Apr 14, 2026",30.7,29,30.97,28.55,3963234,+9.06%
"Apr 13, 2026",28.15,28,30.97,27.52,4944706,-5.31%
"Apr 10, 2026",29.73,29.73,29.73,29.73,436679,+9.99%
"Apr 09, 2026",27.03,27.03,27.03,27.03,1946895,+10.01%
"Apr 08, 2026",24.57,24.57,24.57,24.57,398417,+9.98%
"Apr 07, 2026",22.34,20.52,22.34,20.52,961664,+7.46%
"Apr 06, 2026",20.79,20,20.79,20,797035,+2.41%
"Apr 03, 2026",20.3,21,21,20.3,1037205,-4.38%
"Apr 02, 2026",21.23,19.1,21.23,19.1,1846347,+5.67%
"Apr 01, 2026",20.09,19.49,20.09,19.49,1565152,+5.35%
"Mar 31, 2026",19.07,18.6,19.07,18.6,1286389,+9.98%
"Mar 30, 2026",17.34,16.8,17.34,16.8,1172041,+10.03%
"Mar 27, 2026",15.76,15,15.76,15,1093669,+9.98%
"Mar 26, 2026",14.33,14.8,14.8,14.33,83640,-2.18%
"Mar 25, 2026",14.65,14.9,14.9,14.65,239647,-0.27%
"Mar 24, 2026",14.69,15,15,14.69,193202,+1.10%
"Mar 19, 2026",14.53,15,15,14.53,32117,-2.35%
"Mar 18, 2026",14.88,14.33,14.88,14.33,106415,+4.20%
"Mar 17, 2026",14.28,14.49,14.49,14.28,44735,+1.56%
"Mar 16, 2026",14.06,14.42,14.42,14.06,173930,-2.50%
"Mar 13, 2026",14.42,15.67,15.67,14.42,116791,-6.61%
"Mar 12, 2026",15.44,14.61,15.44,14.61,169880,-0.26%
"Mar 11, 2026",15.48,14.86,15.48,14.86,775264,+6.39%
"Mar 10, 2026",14.55,13.51,14.55,13.51,243817,+9.98%
"Mar 09, 2026",13.23,14.51,14.51,13.23,119724,-10.00%
"Mar 06, 2026",14.7,15.89,15.89,14.7,232272,-2.91%
"Mar 05, 2026",15.14,14.59,15.14,14.59,918329,+9.79%
"Mar 04, 2026",13.79,13.79,13.79,13.79,527113,+0.22%
"Mar 03, 2026",13.76,13.26,13.76,13.26,270473,-5.56%
"Mar 02, 2026",14.57,14.61,14.61,14.57,131113,-10.01%
"Feb 27, 2026",16.19,16.3,16.3,16.19,364258,-7.70%
