date,close,open,high,low,volume,change_pct
2026-07-01,25.28,25.38,25.78,25.22,12102110,-0.39%
2026-06-30,25.38,25.35,25.83,25.21,22410220,+1.24%
2026-06-29,25.07,24.7,25.55,24.37,21505280,+0.80%
2026-06-24,24.87,25.15,25.18,24.8,6782160,-0.36%
2026-06-23,24.96,25,25.29,24.85,11262740,+0.08%
2026-06-22,24.94,25,25.45,24.5,18498410,+0.85%
2026-06-19,24.73,25.3,25.3,24.55,22316460,-2.41%
2026-06-18,25.34,25.9,26.05,25.25,39714850,-2.16%
2026-06-17,25.9,25,26.25,24.25,189427400,+7.25%
2026-06-16,24.15,24.15,24.15,24.15,5171043,+10.02%
