date,close,open,high,low,volume,change_pct
2026-07-01,119.63,121.51,122,118.66,2057120,-1.08%
2026-06-30,120.93,119.73,121.59,117.56,4114084,+1.96%
2026-06-29,118.6,124,124,118.05,3973910,-3.71%
2026-06-24,123.17,126.4,126.4,122,5949478,-1.98%
2026-06-23,125.66,124.5,127.85,124.5,10277631,+2.28%
2026-06-22,122.86,118.8,123.89,118.3,11474920,+5.15%
2026-06-19,116.84,114,122.3,113.5,22073720,+2.54%
2026-06-18,113.95,115.99,116.38,113.39,2847813,-1.05%
2026-06-17,115.16,114.99,118.88,114.3,10853150,+1.97%
2026-06-16,112.94,104.11,112.94,104.11,15280840,+10.00%
2026-06-15,102.67,102.4,102.99,100.72,1837345,+2.24%
2026-06-12,100.42,100.4,102,99.31,1341303,+1.34%
2026-06-11,99.09,99,99.6,98.61,1200791,-0.99%
2026-06-10,100.08,99.22,102.14,99.22,1189237,-0.87%
2026-06-09,100.96,98.87,101.4,98.52,2994902,+3.50%
2026-06-08,97.55,97.89,99,97.01,899452,-1.30%
2026-06-05,98.83,99.8,101.75,98.4,1521421,-0.78%
2026-06-04,99.61,98.91,99.87,98.85,612965,+0.43%
2026-06-03,99.18,98.36,99.5,98.01,1410566,-0.18%
2026-06-02,99.36,98.3,99.89,98.14,1160911,+1.21%
2026-06-01,98.17,101.85,101.85,97.5,1258864,-3.61%
2026-05-29,101.85,102.25,103,101.03,1584976,-0.19%
2026-05-25,102.04,102.49,102.75,100.7,1832112,+1.38%
2026-05-22,100.65,101.99,102,98.51,1418587,-0.66%
2026-05-21,101.32,100.5,102.9,100.05,3388469,+1.79%
2026-05-20,99.54,99.5,100.25,98.75,2458108,+0.31%
2026-05-19,99.23,97.97,99.48,97.5,3204891,+2.03%
2026-05-18,97.26,96.74,97.7,95.5,4047265,+0.53%
2026-05-15,96.75,96.8,97.65,95.68,2173926,+0.72%
2026-05-14,96.06,96.5,97.7,95.83,717442,+0.16%
2026-05-13,95.91,97.09,97.99,95.3,1049837,-1.22%
2026-05-12,97.09,98.9,99.4,96.51,1366721,-1.79%
2026-05-11,98.86,99.1,99.94,97.7,1995175,-0.77%
2026-05-08,99.63,100.01,101.5,98.8,2591493,-1.77%
2026-05-07,101.43,102.98,103.5,100.1,2971176,-0.70%
2026-05-06,102.15,99.15,103.4,98.4,7668989,+4.91%
2026-05-05,97.37,97,98.4,95.7,2728444,-0.23%
2026-05-04,97.59,97.11,100.9,97,5406453,+2.23%
2026-04-30,95.46,98,98,94.3,2461495,-3.85%
2026-04-29,99.28,98.56,101,97.5,6595671,+0.20%
2026-04-28,99.08,99.32,101.85,98.01,2229481,-1.82%
2026-04-27,100.92,101.1,102.8,99.52,1687005,-0.44%
2026-04-24,101.37,100,102.2,98.26,4554755,+0.76%
2026-04-23,100.61,103.06,103.95,100,1471434,-3.42%
2026-04-22,104.17,105.55,106,103.76,1101487,-1.31%
2026-04-21,105.55,106.5,107.46,104.12,3352220,+0.30%
2026-04-20,105.23,105.02,108,102.12,3489474,-1.89%
2026-04-17,107.26,105.79,108,104.81,4271575,+2.36%
2026-04-16,104.79,106.85,106.85,103.8,2970332,-0.25%
2026-04-15,105.05,103.05,108.74,103.05,9714811,+3.30%
2026-04-14,101.69,100.03,102,100,2961835,+2.69%
2026-04-13,99.03,95.25,99.85,95.25,5942879,-2.95%
2026-04-10,102.04,97.51,103.9,97.51,8009165,+4.09%
2026-04-09,98.03,96.9,99.98,94.5,5065172,+0.68%
2026-04-08,97.37,97,97.37,94,4287370,+10.00%
2026-04-07,88.52,88.15,89.34,87.19,2908583,-0.16%
2026-04-06,88.66,88.93,89.4,86.53,2554126,+0.56%
2026-04-03,88.17,86.89,90.01,86.36,1988416,-0.66%
2026-04-02,88.76,89.48,89.95,86,1197036,-3.30%
2026-04-01,91.79,90,94.5,90,7406565,+3.59%
2026-03-31,88.61,89.25,91.47,88.2,2051780,-0.71%
2026-03-30,89.24,90,91.2,83.2,8979922,-0.91%
2026-03-27,90.06,91.45,92.19,88.52,4931379,-0.32%
2026-03-26,90.35,93.9,93.9,89,1681996,-4.09%
2026-03-25,94.2,91.1,94.7,91.1,2665242,+3.86%
2026-03-24,90.7,95.17,95.49,89.6,1849050,-1.84%
2026-03-19,92.4,91.5,93.5,90.02,1464739,-0.30%
2026-03-18,92.68,92,94.44,91.01,1766052,+1.48%
2026-03-17,91.33,90,91.84,89.4,1754657,+2.28%
2026-03-16,89.29,92.3,92.8,88,1083830,-3.32%
2026-03-13,92.36,92,93.5,90.5,718695,-0.48%
2026-03-12,92.81,93.29,96,90.5,1186907,-0.51%
2026-03-11,93.29,94.11,98.49,92.5,1794615,-2.88%
2026-03-10,96.06,97.99,99.46,95.26,2517554,+6.24%
2026-03-09,90.42,86.3,94.5,86.3,9164102,-5.70%
2026-03-06,95.89,99.7,99.71,95.21,1817375,-3.85%
2026-03-05,99.73,92.5,100.9,92.5,3781069,+8.01%
2026-03-04,92.33,90.16,93,89.03,3958793,+2.42%
2026-03-03,90.15,90,92.4,85.59,3151664,+1.12%
2026-03-02,89.15,89.15,93.5,89.15,4817606,-9.99%
2026-02-27,99.05,97,101.48,93.53,1675040,-0.10%
2026-02-26,99.15,92.4,100.47,90.1,3440659,+8.36%
2026-02-25,91.5,95.1,96.99,90.76,1521243,-3.26%
2026-02-24,94.58,96,97.88,90.01,3573498,-1.24%
2026-02-23,95.77,102,103.5,94.5,1879857,-6.19%
2026-02-20,102.09,101.89,103.49,97,1749390,+1.83%
2026-02-19,100.26,106.9,107.25,98.98,2444314,-5.81%
