date,close,open,high,low,volume,change_pct
2026-07-01,17,17.74,17.74,17,101164,-1.85%
2026-06-30,17.32,17.5,17.8,17.22,29743,-0.86%
2026-06-29,17.47,17.9,17.9,17.06,61082,-0.85%
2026-06-24,17.62,17.5,17.89,17.05,75066,+0.69%
2026-06-23,17.5,17.81,18,17.38,112813,-1.74%
2026-06-22,17.81,17.98,18.39,17.3,89177,+2.00%
2026-06-19,17.46,17.6,17.6,16.9,396762,+0.29%
2026-06-18,17.41,17.99,18,16.99,93039,-1.25%
2026-06-17,17.63,18.24,19.19,17.11,1048473,-1.67%
2026-06-16,17.93,16.8,17.93,16.2,3689691,+10.00%
2026-06-15,16.3,16.6,17.3,16,485342,-1.21%
2026-06-12,16.5,16.44,16.9,16.2,863000,+2.93%
2026-06-11,16.03,17.7,18.13,15.86,3582775,-8.92%
2026-06-10,17.6,15.99,17.6,15.11,4738260,+10.00%
2026-06-09,16,16.48,16.5,15.51,90294,-1.54%
2026-06-08,16.25,16.27,16.45,15.92,216792,-0.25%
2026-06-05,16.29,16.59,16.98,16.07,751008,+0.18%
2026-06-04,16.26,15.22,16.6,15.2,1043657,+6.21%
2026-06-03,15.31,15.7,15.7,14.9,436333,-1.23%
2026-06-02,15.5,15.51,15.99,15.1,2053648,+2.79%
2026-06-01,15.08,13.71,15.08,13.65,1825470,+9.99%
2026-05-29,13.71,13.74,13.99,13.67,126380,-1.30%
2026-05-25,13.89,14.05,14.39,13.57,350097,+0.22%
2026-05-22,13.86,14.8,15.1,13.71,572239,-6.10%
2026-05-21,14.76,15.4,15.79,14.71,700311,-4.71%
2026-05-20,15.49,16.05,17,15.48,3854685,-9.94%
2026-05-19,17.2,17.75,18.5,17.2,959957,-9.99%
2026-05-18,19.11,21.19,21.19,19.11,593952,-9.99%
2026-05-15,21.23,20.8,21.97,18,3930031,+6.31%
2026-05-14,19.97,19.6,19.97,19.5,609787,+10.03%
2026-05-13,18.15,17,18.15,17,1376483,+10.00%
2026-05-12,16.5,16.5,16.5,16.5,796858,+10.00%
