date,close,open,high,low,volume,change_pct
"Jun 24, 2026",51.58,51.02,53,50.85,664648,+0.62%
"Jun 23, 2026",51.26,51.76,52.52,50.85,831763,-0.52%
"Jun 22, 2026",51.53,52.1,54.26,51.3,2334816,-1.32%
"Jun 19, 2026",52.22,52.99,56.05,51.5,4324833,-0.68%
"Jun 18, 2026",52.58,55.9,56,52.35,2409511,-5.18%
"Jun 17, 2026",55.45,55.9,58.18,54.52,4818153,+0.29%
"Jun 16, 2026",55.29,50.85,55.45,50.36,9460118,+9.68%
"Jun 15, 2026",50.41,50.16,52.4,48.04,4101081,+2.69%
"Jun 12, 2026",49.09,45.6,49.94,45.6,9136496,+8.13%
"Jun 11, 2026",45.4,44.89,46.72,44.52,407153,+0.42%
"Jun 10, 2026",45.21,45,46.38,44.5,393321,+0.47%
"Jun 09, 2026",45,43.99,45.75,43.99,417013,+3.16%
"Jun 08, 2026",43.62,43.99,43.99,43,181002,-1.47%
"Jun 05, 2026",44.27,44.1,44.9,44,191409,+0.98%
"Jun 04, 2026",43.84,43.89,44.19,43,125832,+1.20%
"Jun 03, 2026",43.32,44.5,44.5,43.05,55300,-2.70%
"Jun 02, 2026",44.52,44.4,44.97,44,85864,+0.38%
"Jun 01, 2026",44.35,45.5,45.5,43.66,222546,-2.93%
"May 29, 2026",45.69,44.5,45.95,44.13,347029,+3.96%
"May 25, 2026",43.95,44.3,44.84,43.56,285030,+1.15%
"May 22, 2026",43.45,43.69,44.45,42.3,174006,-0.39%
"May 21, 2026",43.62,42.5,43.9,42.1,146206,+3.88%
"May 20, 2026",41.99,40.86,42.3,40.86,132912,+2.61%
"May 19, 2026",40.92,40.88,41.6,40.5,130085,+1.56%
"May 18, 2026",40.29,41.81,41.89,40.1,120287,-3.82%
"May 15, 2026",41.89,42.5,42.5,41.42,231722,-0.71%
"May 14, 2026",42.19,42.89,43.45,42,295519,-0.73%
"May 13, 2026",42.5,42.05,42.95,42.05,235371,-0.45%
"May 12, 2026",42.69,44.02,44.9,42.4,346758,-3.48%
"May 11, 2026",44.23,44.02,45.6,44,397929,-1.54%
"May 08, 2026",44.92,43.72,47.1,43.72,843878,-3.44%
"May 07, 2026",46.52,47.1,47.5,45,1706670,+5.15%
"May 06, 2026",44.24,40.94,44.24,40.94,909039,+10.00%
"May 05, 2026",40.22,39.7,40.24,39.7,27133,-0.17%
"May 04, 2026",40.29,39.72,41.45,39.72,70367,+1.46%
"Apr 30, 2026",39.71,40,40,38.91,127275,-3.43%
"Apr 29, 2026",41.12,42.1,42.46,40.91,112049,-2.33%
"Apr 28, 2026",42.1,42.49,42.49,41.24,148506,-0.96%
