date,close,open,high,low,volume,change_pct
"Jun 24, 2026",20.41,20.9,20.95,20.35,8729922,-1.73%
"Jun 23, 2026",20.77,20.51,21.35,20.42,12141217,+1.22%
"Jun 22, 2026",20.52,21.15,21.23,20.45,13943156,-2.66%
"Jun 19, 2026",21.08,21.84,21.84,20.9,6229739,-2.59%
"Jun 18, 2026",21.64,21.9,22.18,21.58,12001861,-1.01%
"Jun 17, 2026",21.86,22.2,22.4,21.8,10709205,-1.97%
"Jun 16, 2026",22.3,22.6,22.68,22.15,14521777,-0.36%
"Jun 15, 2026",22.38,22.4,22.79,21.61,19870477,+1.22%
"Jun 12, 2026",22.11,22.5,23.45,21.91,52648271,+2.08%
"Jun 11, 2026",21.66,19.75,21.66,19.75,53704295,+10.01%
"Jun 10, 2026",19.69,19.85,20.05,19.55,4331730,-1.60%
"Jun 09, 2026",20.01,20.1,20.3,19.95,4349940,+0.50%
"Jun 08, 2026",19.91,20.06,20.44,19.74,4617266,-1.34%
"Jun 05, 2026",20.18,20.15,20.64,20.15,10642580,+0.40%
"Jun 04, 2026",20.1,20.31,20.43,20.06,4848105,-0.15%
"Jun 03, 2026",20.13,19.3,20.77,19.06,25238548,+4.35%
"Jun 02, 2026",19.29,19.5,19.65,19.11,10783164,-1.43%
"Jun 01, 2026",19.57,20.15,20.16,19.51,10716739,-2.93%
"May 29, 2026",20.16,20.75,20.75,20.11,17160390,-2.98%
"May 25, 2026",20.78,21.5,21.87,20.72,21374401,-1.80%
"May 22, 2026",21.16,21.47,22.4,20.32,80101514,+1.78%
"May 21, 2026",20.79,20.79,20.79,20.79,56524085,
