date,close,open,high,low,volume,change_pct
"Jun 24, 2026",10.01,10.16,10.31,9.99,1593057,-1.48%
"Jun 23, 2026",10.16,10.02,10.7,10.02,5450498,+1.09%
"Jun 22, 2026",10.05,10.05,10.33,9.96,4980434,+0.50%
"Jun 19, 2026",10,9.3,10.31,9.3,28289747,+7.41%
"Jun 18, 2026",9.31,9.32,9.43,9.24,718761,+0.11%
"Jun 17, 2026",9.3,9.35,9.38,9.21,221075,+0.22%
"Jun 16, 2026",9.28,9.25,9.35,9.19,460251,+0.32%
"Jun 15, 2026",9.25,9.25,9.36,9.11,365285,+0.00%
"Jun 12, 2026",9.25,9.38,9.39,9.12,209022,-0.96%
"Jun 11, 2026",9.34,9.34,9.38,9.28,89691,+0.00%
"Jun 10, 2026",9.34,9.4,9.65,9.22,297697,-0.21%
"Jun 09, 2026",9.36,9.25,9.46,9.22,99603,+1.52%
"Jun 08, 2026",9.22,9.31,9.31,9.01,121730,-1.39%
"Jun 05, 2026",9.35,9.35,9.45,9.3,72895,+0.00%
"Jun 04, 2026",9.35,9.36,9.37,9.21,104589,-0.11%
"Jun 03, 2026",9.36,9.37,9.42,9.21,166250,-0.64%
"Jun 02, 2026",9.42,9.13,9.5,9.13,198037,+1.29%
"Jun 01, 2026",9.3,9.56,9.58,8.75,363064,-2.72%
"May 29, 2026",9.56,9.44,9.71,9.44,115547,+1.27%
"May 25, 2026",9.44,9.5,9.56,9.4,107755,+0.85%
"May 22, 2026",9.36,9.45,9.75,9.25,101936,-0.85%
"May 21, 2026",9.44,9.5,9.85,9.02,112997,-0.63%
"May 20, 2026",9.5,9.45,9.54,9.41,54985,+1.06%
"May 19, 2026",9.4,9.33,9.43,9.3,751034,+0.75%
"May 18, 2026",9.33,9.34,9.42,9.25,95938,-0.11%
"May 15, 2026",9.34,9.31,9.42,9.31,125759,-0.64%
"May 14, 2026",9.4,9.4,9.53,9.4,69284,+0.43%
"May 13, 2026",9.36,9.42,9.74,9.21,205232,-0.85%
"May 12, 2026",9.44,9.5,9.8,9.4,284419,-0.53%
"May 11, 2026",9.49,9.5,9.55,9.39,184978,+0.00%
"May 08, 2026",9.49,9.57,9.65,9.45,806772,-0.84%
"May 07, 2026",9.57,9.5,9.61,9.5,672367,+0.95%
"May 06, 2026",9.48,9.5,9.6,9.33,354970,+1.61%
"May 05, 2026",9.33,9.35,9.5,9.26,176089,-1.37%
"May 04, 2026",9.46,9.31,9.75,9.31,195713,+1.72%
"Apr 30, 2026",9.3,9.61,9.62,9.26,399439,-3.53%
"Apr 29, 2026",9.64,9.81,9.85,9.55,813202,-1.23%
"Apr 28, 2026",9.76,9.85,9.89,9.75,120984,-0.10%
"Apr 27, 2026",9.77,10,10,9.55,183023,+0.93%
"Apr 24, 2026",9.68,9.6,9.72,9.51,74337,+0.31%
"Apr 23, 2026",9.65,9.75,9.9,9.5,209211,-0.41%
"Apr 22, 2026",9.69,9.87,9.87,9.67,121847,+0.31%
"Apr 21, 2026",9.66,10,10,9.51,353165,-2.03%
"Apr 20, 2026",9.86,9.98,10.05,9.8,435448,-1.50%
"Apr 17, 2026",10.01,10.2,10.2,9.81,885510,-6.71%
"Apr 16, 2026",10.73,10.6,10.8,10.6,696080,+0.56%
"Apr 15, 2026",10.67,10.77,10.82,10.6,665594,+0.38%
"Apr 14, 2026",10.63,10.5,10.7,10.31,921232,+3.51%
"Apr 13, 2026",10.27,10.3,10.4,10.1,614341,-0.68%
"Apr 10, 2026",10.34,10.25,10.49,10.25,379992,+1.27%
"Apr 09, 2026",10.21,10.3,10.3,10.21,405473,-1.83%
"Apr 08, 2026",10.4,10,10.4,10,1093203,+5.91%
"Apr 07, 2026",9.82,9.81,9.82,9.81,174621,+0.20%
"Apr 06, 2026",9.8,9.66,9.8,9.66,328509,+1.45%
"Apr 03, 2026",9.66,9.6,9.66,9.6,207665,-0.10%
"Apr 02, 2026",9.67,9.66,9.67,9.66,219722,-1.43%
"Apr 01, 2026",9.81,9.7,9.81,9.7,317215,+1.34%
"Mar 31, 2026",9.68,9.61,9.68,9.61,167535,+0.52%
"Mar 30, 2026",9.63,9.7,9.7,9.63,295799,-0.62%
"Mar 27, 2026",9.69,9.73,9.73,9.69,363573,-0.21%
"Mar 26, 2026",9.71,9.49,9.71,9.49,1365250,+5.66%
"Mar 25, 2026",9.19,9.25,9.25,9.19,319791,+0.00%
"Mar 24, 2026",9.19,9.25,9.25,9.19,144151,+0.33%
"Mar 19, 2026",9.16,9.06,9.16,9.06,95787,+1.10%
"Mar 18, 2026",9.06,9.01,9.06,9.01,159889,+0.67%
"Mar 17, 2026",9,8.9,9,8.9,65995,+1.12%
"Mar 16, 2026",8.9,9.1,9.1,8.9,268577,-1.77%
"Mar 13, 2026",9.06,9.05,9.06,9.05,142263,+1.68%
"Mar 12, 2026",8.91,8.75,8.91,8.75,277659,+1.60%
"Mar 11, 2026",8.77,8.7,8.77,8.7,163080,+1.04%
"Mar 10, 2026",8.68,8.45,8.68,8.45,147058,+4.45%
"Mar 09, 2026",8.31,8.99,8.99,8.31,612827,-8.58%
"Mar 06, 2026",9.09,8.9,9.09,8.9,241392,+1.68%
"Mar 05, 2026",8.94,8.6,8.94,8.6,169054,+2.52%
"Mar 04, 2026",8.72,8.79,8.79,8.72,245956,-1.91%
"Mar 03, 2026",8.89,8.64,8.89,8.64,514715,+2.77%
"Mar 02, 2026",8.65,9,9,8.65,1278289,-10.36%
"Feb 27, 2026",9.65,9.75,9.75,9.65,150347,-1.33%
"Feb 26, 2026",9.78,9.76,9.78,9.76,195950,-0.51%
"Feb 25, 2026",9.83,10,10,9.83,185721,+0.10%
"Feb 24, 2026",9.82,9.97,9.97,9.82,544738,-1.11%
"Feb 23, 2026",9.93,10.24,10.24,9.93,237880,-3.03%
"Feb 20, 2026",10.24,10.25,10.25,10.24,268877,-0.29%
"Feb 19, 2026",10.27,10.5,10.5,10.27,68718,-1.91%
"Feb 18, 2026",10.47,10.25,10.47,10.25,347668,+2.85%
"Feb 17, 2026",10.18,10.55,10.55,10.18,188483,-1.07%
"Feb 16, 2026",10.29,10.7,10.7,10.29,338636,-3.02%
"Feb 13, 2026",10.61,10.72,10.72,10.61,170254,-0.56%
"Feb 12, 2026",10.67,10.81,10.81,10.67,251998,-1.84%
"Feb 11, 2026",10.87,10.93,10.93,10.87,349725,+0.00%
"Feb 10, 2026",10.87,10.95,10.95,10.87,217197,+0.74%
"Feb 09, 2026",10.79,10.94,10.94,10.79,706842,-1.10%
"Feb 06, 2026",10.91,11,11,10.91,553521,-0.55%
"Feb 04, 2026",10.97,11,11,10.97,1066606,+0.00%
"Feb 03, 2026",10.97,11.05,11.05,10.97,436720,-0.18%
"Feb 02, 2026",10.99,11.22,11.22,10.99,450404,-1.08%
"Jan 30, 2026",11.11,11.12,11.12,11.11,415158,+0.54%
"Jan 29, 2026",11.05,11.25,11.25,11.05,839905,-1.87%
"Jan 28, 2026",11.26,11.3,11.3,11.26,593751,-0.44%
"Jan 27, 2026",11.31,11.3,11.31,11.3,758181,+0.00%
"Jan 26, 2026",11.31,11.36,11.36,11.31,552199,-0.09%
"Jan 23, 2026",11.32,11.35,11.35,11.32,478258,+0.09%
