date,close,open,high,low,volume,change_pct
2026-07-01,16.2,16.26,16.45,16.17,68889,-0.37%
2026-06-30,16.26,16.03,16.5,16.03,101979,+0.68%
2026-06-29,16.15,16.1,16.51,16.09,157572,+0.06%
2026-06-24,16.14,16.03,16.16,16,3157860,-0.06%
2026-06-23,16.15,16.02,16.24,16.02,35769,+0.50%
2026-06-22,16.07,16.12,16.16,16,29235,-0.31%
2026-06-19,16.12,16.07,16.16,16.02,47650,-0.19%
2026-06-18,16.15,16.24,16.24,16.07,60967,+0.06%
2026-06-17,16.14,16.29,16.29,16.08,43342,+0.00%
2026-06-16,16.14,16.13,16.25,16.05,94094,+0.06%
2026-06-15,16.13,16.18,16.22,16.06,48399,+0.06%
2026-06-12,16.12,16.05,16.3,16.03,33439,-0.12%
2026-06-11,16.14,16.05,16.18,16.02,23811,-0.31%
2026-06-10,16.19,16.47,16.47,16.05,65061,+0.56%
2026-06-09,16.1,16.05,16.19,16.05,150335,+0.19%
2026-06-08,16.07,16.03,16.1,16.01,26458,+0.25%
2026-06-05,16.03,16.08,16.17,16,56133,-0.31%
2026-06-04,16.08,16.1,16.18,16.01,37134,-0.19%
2026-06-03,16.11,16,16.2,15.8,9961,+0.00%
2026-06-02,16.11,16.05,16.19,16.03,22354,+0.31%
2026-06-01,16.06,16.27,16.27,16,116263,-0.50%
2026-05-29,16.14,16.24,16.28,16.02,89105,-0.49%
2026-05-25,16.22,16.34,16.34,16.05,52235,-0.18%
2026-05-22,16.25,16.39,16.45,16.06,37562,-0.31%
2026-05-21,16.3,16.49,16.49,16.03,91315,-1.03%
2026-05-20,16.47,16.02,16.8,15.97,6705206,+1.67%
2026-05-19,16.2,16.15,16.3,16.01,29677,+1.25%
2026-05-18,16,16.23,16.49,15.95,2487648,-2.62%
2026-05-15,16.43,16.5,16.5,16.3,7316,+0.49%
2026-05-14,16.35,16.51,16.65,16.29,14412,-0.97%
2026-05-13,16.51,16.69,16.69,16.28,16939,+0.24%
2026-05-12,16.47,16.31,16.66,16.31,13599,-1.14%
2026-05-11,16.66,16.69,16.69,16.27,18359,-0.18%
2026-05-08,16.69,16.45,16.8,16.39,23597,+1.27%
2026-05-07,16.48,16.5,16.59,16.4,53804,-0.48%
2026-05-06,16.56,16.5,16.8,16.5,35988,-0.78%
2026-05-05,16.69,16.89,16.89,16.36,10841,+1.15%
2026-05-04,16.5,16.98,16.98,16.29,32327,+0.30%
2026-04-30,16.45,16.3,16.69,16.3,31675,-1.44%
2026-04-29,16.69,17,17.1,16.45,53784,-1.24%
2026-04-28,16.9,17,17,16.66,14658,-0.47%
2026-04-27,16.98,17.25,17.25,16.86,27480,-0.18%
2026-04-24,17.01,16.9,17.2,16.62,27024,+0.18%
2026-04-23,16.98,16.89,17.35,16.71,47579,+0.53%
2026-04-22,16.89,16.5,17.15,16.5,81748,+1.81%
2026-04-21,16.59,16.97,16.97,16.5,22029,-1.13%
2026-04-20,16.78,16.31,16.95,16.31,119885,+1.51%
2026-04-17,16.53,16.41,16.6,16.35,50824,+0.12%
2026-04-16,16.51,16.35,16.58,16.3,73157,+1.04%
2026-04-15,16.34,16.48,16.48,16.26,49654,+0.06%
2026-04-14,16.33,16.49,16.49,16.11,51838,+0.43%
2026-04-13,16.26,16.25,16.3,16.01,53138,-0.06%
2026-04-10,16.27,16.3,16.43,16.01,40917,+0.12%
2026-04-09,16.25,16.34,16.46,16.16,21927,-0.55%
2026-04-08,16.34,16.34,16.4,16.11,82388,+0.80%
2026-04-07,16.21,16.38,16.38,16.09,10493,+0.56%
2026-04-06,16.12,16.16,16.28,16.05,52017,-0.12%
2026-04-03,16.14,16.05,16.3,16.05,11541,-0.43%
2026-04-02,16.21,16,16.22,16,20492,+0.00%
2026-04-01,16.21,16.25,16.35,16.03,53784,+0.00%
2026-03-31,16.21,16.05,16.4,16.05,28828,+0.31%
2026-03-30,16.16,16.1,16.25,16,95721,-0.74%
2026-03-27,16.28,16.05,16.51,16.05,40660,+0.37%
2026-03-26,16.22,16.21,16.44,16.21,94003,-1.46%
2026-03-25,16.46,16.47,16.5,16.19,118788,+1.73%
2026-03-24,16.18,16.39,16.49,16.12,23264,+0.43%
2026-03-19,16.11,16.2,16.36,16.02,15773,-0.56%
2026-03-18,16.2,16.11,16.39,16.08,17623,+0.56%
2026-03-17,16.11,16.1,16.19,15.94,27923,-0.06%
2026-03-16,16.12,16.14,16.19,16.07,20161,-0.12%
2026-03-13,16.14,16.06,16.18,16.06,43169,-0.06%
2026-03-12,16.15,16.01,16.19,16,24014,+0.06%
2026-03-11,16.14,16.18,16.18,15.82,70673,+0.37%
2026-03-10,16.08,16.08,16.5,15.53,42270,+0.37%
2026-03-09,16.02,15.56,16.09,15.32,150692,-0.06%
2026-03-06,16.03,16.11,16.19,15.92,50463,-0.50%
2026-03-05,16.11,16.01,16.19,16.01,29136,+0.69%
2026-03-04,16,15.91,16.25,15.82,27789,-0.12%
2026-03-03,16.02,15.8,16.35,15.8,72653,+1.39%
2026-03-02,15.8,15.26,16.49,15.26,240470,-2.65%
2026-02-27,16.23,16.2,16.48,16.11,45435,+0.12%
2026-02-26,16.21,16.2,16.48,16.06,113062,+0.31%
2026-02-25,16.16,16.04,16.29,15.83,103441,+0.75%
2026-02-24,16.04,16.49,16.49,15.95,181747,-0.93%
2026-02-23,16.19,16.4,16.6,16.1,90398,-1.34%
2026-02-20,16.41,16.18,16.5,15.93,234043,+1.93%
2026-02-19,16.1,16.47,16.47,16.01,94251,-1.17%
2026-02-18,16.29,16.18,16.32,16.15,85806,+0.68%
2026-02-17,16.18,16.3,16.36,16.01,150338,-0.74%
2026-02-16,16.3,16.49,16.49,16.2,194451,-0.37%
2026-02-13,16.36,16.05,16.49,15.82,278077,+2.00%
2026-02-12,16.04,16.22,16.22,15.97,264932,-0.62%
2026-02-11,16.14,16.22,16.23,16.05,124568,+0.00%
2026-02-10,16.14,16.35,16.35,16.03,139580,+0.06%
2026-02-09,16.13,16.05,16.22,16.05,210670,+0.12%
2026-02-06,16.11,16.23,16.24,16.03,217808,-0.74%
2026-02-04,16.23,16.33,16.33,16.02,373485,-0.61%
2026-02-03,16.33,16.51,16.7,16.06,416989,-1.74%
2026-02-02,16.62,16.99,17,16.5,444538,-1.54%
2026-01-30,16.88,18,18,15.81,2251130,-3.38%
