date,close,open,high,low,volume,change_pct
2026-07-01,31.85,32.5,32.5,31.79,8089276,-0.72%
2026-06-30,32.08,30.85,32.39,30.8,21708950,+4.05%
2026-06-29,30.83,32.05,32.25,30.65,10538150,-3.78%
2026-06-24,32.04,33.2,33.3,31.8,20069542,-2.73%
2026-06-23,32.94,32.98,33.4,32.61,32348350,+2.20%
2026-06-22,32.23,31.93,32.7,31.58,33023290,+2.91%
2026-06-19,31.32,30.7,32.35,30.3,87347850,+2.25%
2026-06-18,30.63,31.8,31.8,30.54,12584760,-2.48%
2026-06-17,31.41,31,32.2,30.93,42645670,+3.22%
2026-06-16,30.43,28.25,30.43,28.25,42975270,+10.01%
2026-06-15,27.66,27.75,27.89,27.15,8085960,+2.56%
2026-06-12,26.97,27,27.27,26.9,4284825,+1.12%
2026-06-11,26.67,26.5,26.93,26.3,2033971,+0.26%
2026-06-10,26.6,26.5,27.15,26.47,3107268,-0.60%
2026-06-09,26.76,26.89,27.35,26.52,5003474,+1.71%
2026-06-08,26.31,26.59,26.6,26.01,2272256,-1.94%
2026-06-05,26.83,27.37,27.39,26.7,6882032,-1.25%
2026-06-04,27.17,26.84,27.38,26.64,4114081,+2.14%
2026-06-03,26.6,26.85,26.99,26.38,3005699,-1.37%
2026-06-02,26.97,27.51,27.51,26.88,5816275,-1.10%
2026-06-01,27.27,27.85,27.9,27.01,5356255,-1.66%
2026-05-29,27.73,27.14,28.1,26.84,17909140,+3.35%
2026-05-25,26.83,27.1,27.25,26.7,8185442,+2.33%
2026-05-22,26.22,26.82,27,26,7214413,-0.64%
2026-05-21,26.39,26.5,26.86,26.15,9829910,+1.77%
2026-05-20,25.93,25.02,26.7,25.02,25264810,+2.82%
2026-05-19,25.22,25.85,26.14,24.89,6641253,-1.14%
2026-05-18,25.51,26.5,26.6,25.4,3428460,-3.88%
2026-05-15,26.54,26.39,26.88,26.39,1662357,+0.34%
2026-05-14,26.45,27.15,27.36,26,5779240,-1.64%
2026-05-13,26.89,27.01,27.78,26,4525601,-0.52%
2026-05-12,27.03,27.68,28.08,26.9,3124837,-2.35%
2026-05-11,27.68,27.5,28.49,27.48,9666155,-0.82%
2026-05-08,27.91,28.68,28.68,27.51,8609683,-2.85%
2026-05-07,28.73,28.84,29.4,28.02,23321400,+0.88%
2026-05-06,28.48,28.65,29.05,28.2,29561470,+3.00%
2026-05-05,27.65,25.7,27.95,25.7,30889210,+4.26%
2026-05-04,26.52,25.01,27.17,24.94,49675260,+7.37%
2026-04-30,24.7,25.64,25.64,23.8,5846199,-5.76%
2026-04-29,26.21,27.25,27.88,25.42,9050480,-3.82%
2026-04-28,27.25,27.27,28.09,27,3668132,-1.98%
2026-04-27,27.8,28.05,29.15,27.6,9576209,-2.11%
2026-04-24,28.4,26.98,28.7,26.21,10596940,+4.11%
2026-04-23,27.28,28.74,28.74,27.01,7165395,-5.01%
2026-04-22,28.72,29.49,29.7,28.53,7035281,-2.61%
2026-04-21,29.49,28.85,30.38,28.6,27124550,+4.32%
2026-04-20,28.27,29.01,29.4,27.39,17762930,-4.69%
2026-04-17,29.66,30,30,28.9,19545170,+1.85%
2026-04-16,29.12,30.5,30.5,28.6,28447910,+2.00%
2026-04-15,28.55,26.8,28.55,26.55,29179180,+10.02%
2026-04-14,25.95,26.25,26.4,25.76,25610390,+3.18%
2026-04-13,25.15,24.7,26.6,24.5,60238400,-0.55%
2026-04-10,25.29,23.1,25.29,23.1,56498170,+10.00%
2026-04-09,22.99,23.98,23.98,22.81,8509464,-3.73%
2026-04-08,23.88,23.85,23.88,22.9,7453749,+10.00%
2026-04-07,21.71,20.77,22.14,20.7,7702010,+2.94%
2026-04-06,21.09,21.01,21.5,20.63,3852392,-0.47%
2026-04-03,21.19,19.11,21.4,19.11,8214189,+5.58%
2026-04-02,20.07,20.01,20.2,19.61,2122486,-2.67%
2026-04-01,20.62,20.01,21.24,20.01,6478839,+4.78%
2026-03-31,19.68,19.45,20.35,19.45,5438576,+1.29%
2026-03-30,19.43,20.7,20.7,19.02,5560012,-5.08%
2026-03-27,20.47,21.8,21.8,19.96,6202416,-4.75%
2026-03-26,21.49,22.39,22.39,21.35,3498069,-4.62%
2026-03-25,22.53,22.1,22.69,21.9,4675986,+2.69%
2026-03-24,21.94,23.25,23.4,21.8,2888204,-3.13%
2026-03-19,22.65,22.7,22.9,22.2,761416,-0.92%
2026-03-18,22.86,22.79,23.15,22.06,3118617,+1.60%
2026-03-17,22.5,22.65,23.4,22,635083,-0.66%
2026-03-16,22.65,23.2,23.89,22.5,1197784,-2.33%
2026-03-13,23.19,23,23.98,22.9,4160105,-0.13%
2026-03-12,23.22,23.45,24.28,22.85,3956706,-2.52%
2026-03-11,23.82,23.71,24.77,22.85,4129352,+0.46%
2026-03-10,23.71,23.99,23.99,22.52,3149642,+8.71%
2026-03-09,21.81,22.99,22.99,21.81,4708597,-9.99%
2026-03-06,24.23,23.81,24.7,23.45,4349459,+1.85%
2026-03-05,23.79,21.65,23.79,21.65,3610052,+9.99%
2026-03-04,21.63,20.4,21.95,19.9,2853758,+6.29%
2026-03-03,20.35,21.8,21.8,19.9,6551438,-7.96%
2026-03-02,22.11,22.11,22.44,22.11,2782192,-10.01%
2026-02-27,24.57,25.3,25.49,24.11,6856496,-5.75%
2026-02-26,26.07,26.26,26.75,24.85,8503359,-0.72%
2026-02-25,26.26,28,28,26,3733795,-5.03%
2026-02-24,27.65,27.9,28.66,27.35,3099379,-3.52%
2026-02-23,28.66,30.79,30.79,27.75,2304392,-6.40%
2026-02-20,30.62,30.5,31.15,28.6,1788249,+0.53%
2026-02-19,30.46,32.5,32.69,30.3,4179247,-4.75%
2026-02-18,31.98,29.2,31.98,29.15,9669225,+10.01%
2026-02-17,29.07,29.99,31.29,28.6,4405457,-5.03%
2026-02-16,30.61,32.5,33.1,29.9,2450067,-6.08%
2026-02-13,32.59,32.54,33.1,32.41,5201889,+0.15%
2026-02-12,32.54,33.15,33.24,32.04,4579688,-1.39%
2026-02-11,33,33.4,33.6,32.9,1369877,-1.05%
2026-02-10,33.35,33.51,33.83,33.2,2147872,-0.30%
2026-02-09,33.45,33.62,33.97,33.06,1341957,-0.42%
2026-02-06,33.59,33.83,34.14,33.42,2239246,-0.68%
2026-02-04,33.82,33.99,34.05,33.71,1385798,+0.06%
2026-02-03,33.8,34,34.25,33.51,2895557,-0.03%
2026-02-02,33.81,34,34.65,32.01,4537436,-0.70%
2026-01-30,34.05,34.43,35.4,33.9,7098224,-1.10%
2026-01-29,34.43,34.88,35.99,34.27,22550130,-0.81%
2026-01-28,34.71,33.7,35.5,33.63,9853605,+2.60%
2026-01-27,33.83,33.72,33.97,33.63,1742301,+0.36%
2026-01-26,33.71,34.2,34.2,33.66,1830572,-1.20%
2026-01-23,34.12,34.35,34.37,33.91,2353774,-0.32%
2026-01-22,34.23,34.65,34.65,34,2274168,-1.01%
2026-01-21,34.58,35.14,35.16,34.5,3382182,-0.89%
2026-01-20,34.89,35.2,35.25,34.82,2738600,-0.65%
2026-01-19,35.12,35.06,35.32,34.91,2740130,+0.17%
2026-01-16,35.06,35.09,35.48,35,3396089,+0.23%
2026-01-15,34.98,35.01,35.56,34.8,3549713,-0.60%
2026-01-14,35.19,35.25,36.4,35,7831993,-0.28%
2026-01-13,35.29,35.4,35.5,34.8,6547517,-0.28%
2026-01-12,35.39,35.8,36.1,35.28,2911312,-1.31%
2026-01-09,35.86,36.2,36.37,35.75,2483820,-0.66%
2026-01-08,36.1,36.05,36.8,35.84,7816452,+0.28%
2026-01-07,36,36.16,36.5,35.6,6486913,-0.39%
2026-01-06,36.14,36.7,36.7,36.08,4433538,-1.31%
2026-01-05,36.62,36.22,37.01,36.02,5864000,+1.05%
2026-01-02,36.24,36.2,36.88,36.16,3779320,+0.11%
2026-01-01,36.2,36,36.9,35.9,7646110,+0.78%
2025-12-31,35.92,36.8,37.15,35.8,9271905,-2.29%
2025-12-30,36.76,34.26,37.23,34.1,15101840,+7.74%
2025-12-29,34.12,34.65,34.7,34,6044712,+0.29%
2025-12-26,34.02,34.56,34.75,33.8,4335075,-1.56%
2025-12-24,34.56,33.9,34.8,32.97,7384978,+2.89%
2025-12-23,33.59,34.61,34.85,33.31,5968443,-2.95%
2025-12-22,34.61,34.1,34.9,33.65,7749281,-5.33%
2025-12-19,36.56,37.2,37.39,36.4,5432904,-1.48%
2025-12-18,37.11,37.49,37.7,36.9,6134722,-0.11%
2025-12-17,37.15,39.35,39.5,35.91,30790990,-5.37%
2025-12-16,39.26,40,40.4,39.05,12866590,-1.51%
2025-12-15,39.86,42.49,42.49,39.15,22533930,-3.70%
2025-12-12,41.39,42.75,42.8,41.02,31164240,-2.50%
2025-12-11,42.45,39.45,43.39,39.4,28828060,+7.50%
2025-12-10,39.49,40,40.1,39.4,3291477,-0.88%
2025-12-09,39.84,40.36,40.6,39.65,4589501,-0.65%
2025-12-08,40.1,40,40.4,39.4,6452100,+0.43%
2025-12-05,39.93,41.66,41.85,39.6,7826414,-2.94%
2025-12-04,41.14,41.16,41.65,40.7,5561800,-0.05%
2025-12-03,41.16,40.2,42.38,39.75,23082150,+3.13%
2025-12-02,39.91,40.7,40.89,39.63,6801071,-1.33%
2025-12-01,40.45,40.09,41.75,39.1,21149840,+2.48%
2025-11-28,39.47,36.7,39.47,36.7,39182070,+10.01%
2025-11-27,35.88,32.62,35.88,32.6,9375801,+9.99%
2025-11-26,32.62,32.85,32.96,32.35,2424668,-0.49%
2025-11-25,32.78,32.95,33.19,32.56,1575028,+0.58%
2025-11-24,32.59,33.4,33.5,32.5,2213772,-2.43%
2025-11-21,33.4,33.53,33.98,33.12,1437793,-0.33%
2025-11-20,33.51,33.33,33.66,33.3,809784,+0.60%
2025-11-19,33.31,34.4,34.47,30.63,3110206,-2.12%
2025-11-18,34.03,34.4,34.78,33.9,2963047,+0.10%
2025-11-17,34.49,33.49,35.3,33.11,14232400,+4.45%
2025-11-14,33.02,32.48,33.39,32.25,5676889,+2.04%
2025-11-13,32.36,32.62,32.95,31.92,3243737,-0.43%
2025-11-12,32.5,33.23,33.75,32.35,4054898,-2.20%
2025-11-11,33.23,34.45,34.6,33.01,3454061,-3.54%
2025-11-10,34.45,34.2,34.55,33.86,3105374,+1.12%
2025-11-07,34.07,34.01,34.75,33.93,6337981,-0.50%
2025-11-06,34.24,34.01,34.6,33.86,5034543,-1.21%
2025-11-05,34.66,33.6,36.11,33.45,23508400,+1.94%
2025-11-04,34,35.57,35.57,33.75,11284860,-4.41%
2025-11-03,35.57,36,36,34.9,6041708,-0.14%
2025-10-31,35.62,36.89,36.89,35.07,5954693,+1.86%
2025-10-30,34.97,37.55,37.8,34.25,8960557,-6.60%
2025-10-29,37.44,38.22,38.56,37.2,3489537,-1.99%
2025-10-28,38.2,38.8,39.75,37.9,5072666,-1.82%
2025-10-27,38.91,39.85,39.85,38.3,3209782,-2.29%
2025-10-24,39.82,40.34,40.49,39.62,2340578,-0.77%
2025-10-23,40.13,41.45,41.75,40,5289179,-1.79%
2025-10-22,40.86,40.15,41.49,39.95,7701374,+1.77%
2025-10-21,40.15,40.65,40.79,40.09,2761088,-0.84%
2025-10-20,40.49,40.5,40.55,39.91,2434641,+0.72%
2025-10-17,40.2,40.5,40.7,39.86,1413169,-0.07%
2025-10-16,40.23,41.25,41.5,40,3245716,-1.88%
2025-10-15,41,41,42.3,40.6,9916117,+0.89%
2025-10-14,40.64,39.51,41.3,39.51,8141680,+5.28%
2025-10-13,38.6,39.99,40.37,38.45,7192764,-5.35%
2025-10-10,40.78,40.95,41.25,40.26,4095240,-0.42%
2025-10-09,40.95,41.8,42.3,40.8,5323062,-1.89%
2025-10-08,41.74,42.9,42.9,41.51,3221858,-2.02%
2025-10-07,42.6,42.99,43.64,42.51,8467126,-0.44%
2025-10-06,42.79,42.3,43.15,40.8,9261920,+0.26%
2025-10-03,42.68,42.8,43.45,42.6,4557013,+0.19%
2025-10-02,42.6,42.4,42.9,42.4,4060436,+0.35%
2025-10-01,42.45,43.2,43.2,42.35,4002892,-1.28%
2025-09-30,43,43.49,43.84,42.92,6740529,-1.13%
2025-09-29,43.49,43.4,43.9,43.1,9178419,+0.37%
2025-09-26,43.33,44.25,44.29,43.12,7074465,-1.75%
2025-09-25,44.1,44.5,44.5,44,5186250,-0.36%
2025-09-24,44.26,44.5,44.75,44,6681891,+0.43%
2025-09-23,44.07,44.19,44.98,43.84,13508610,+0.30%
2025-09-22,43.94,44.3,44.49,43.5,7066363,-0.86%
2025-09-19,44.32,44.6,45.07,44.2,9305648,-0.14%
2025-09-18,44.38,44.38,44.65,43.92,8700288,+0.00%
2025-09-17,44.38,44.78,44.83,44.25,3546378,+0.07%
2025-09-16,44.35,44.5,45.15,44,6040904,+0.23%
2025-09-15,44.25,44.4,45.35,43.95,10535550,-1.03%
2025-09-12,44.71,45.98,46,44.5,17283835,-2.14%
2025-09-11,45.69,45.9,46.23,44.75,33995480,+2.74%
2025-09-10,44.47,42.1,45.5,42.1,56459750,+5.25%
2025-09-09,42.25,42.98,43.39,42.13,13334510,-0.73%
2025-09-08,42.56,41.2,42.84,41,29973890,+4.34%
2025-09-05,40.79,40.99,41.25,40.51,8611313,-0.20%
2025-09-04,40.87,41.58,41.99,40.57,16577990,-1.23%
2025-09-03,41.38,41.49,41.95,41.2,10827480,+0.36%
2025-09-02,41.23,41.25,41.59,40.82,9076026,+1.10%
2025-09-01,40.78,40.21,41.28,40.06,12236730,+1.90%
2025-08-29,40.02,40.1,40.55,39.8,7588470,-0.32%
2025-08-28,40.15,41.99,42.29,40.02,34631010,-4.52%
2025-08-27,42.05,43.01,43.67,41.9,13335370,-2.57%
2025-08-26,43.16,42.85,43.35,42.11,16376350,+2.11%
2025-08-25,42.27,40.84,43.5,40.31,27053420,+4.22%
2025-08-22,40.56,41.45,41.45,40.5,3503558,-0.83%
2025-08-21,40.9,41.5,41.65,40.33,4718974,-1.30%
2025-08-20,41.44,41.6,41.99,41.25,3191492,-0.31%
2025-08-19,41.57,41.5,42.14,41.31,5627718,+0.17%
2025-08-18,41.5,41.85,42,41.34,3707832,-0.65%
2025-08-15,41.77,42,42.48,41.64,3104298,-0.36%
2025-08-13,41.92,41.49,42.48,41.09,7345521,+1.65%
2025-08-12,41.24,42,42.15,41.15,6235892,-1.48%
2025-08-11,41.86,41.15,42.65,41.15,8271143,-0.95%
2025-08-08,42.26,43.3,43.5,42,9819857,-1.81%
2025-08-07,43.04,43.71,43.75,42.9,11923200,-1.01%
2025-08-06,43.48,43.16,43.68,42.95,7686103,+0.74%
2025-08-05,43.16,43.3,43.74,43.05,8503115,-0.32%
