date,close,open,high,low,volume,change_pct
"Jun 24, 2026",10.93,10.99,11.11,10.83,347855,+0.46%
"Jun 23, 2026",10.88,11.56,11.56,10.81,2268207,-3.63%
"Jun 22, 2026",11.29,11.72,11.72,11.25,494370,-1.48%
"Jun 19, 2026",11.46,11.5,12.22,11.38,4194032,+0.88%
"Jun 18, 2026",11.36,11.52,11.69,11.13,1680381,-1.73%
"Jun 17, 2026",11.56,11.83,12.1,11.5,552793,-2.86%
"Jun 16, 2026",11.9,11.94,12.29,11.81,902794,+0.85%
"Jun 15, 2026",11.8,12.22,12.4,11.68,1363578,-2.40%
"Jun 12, 2026",12.09,12.45,12.55,12.01,1588752,-1.71%
"Jun 11, 2026",12.3,12.1,12.95,11.99,5900551,+3.71%
"Jun 10, 2026",11.86,11.83,12.44,11.6,6146202,+1.89%
"Jun 09, 2026",11.64,11.85,12.19,11.4,6902688,+1.84%
"Jun 08, 2026",11.43,11.55,11.79,11.3,202131,-1.89%
"Jun 05, 2026",11.65,11.3,11.81,11.01,476410,+3.93%
"Jun 04, 2026",11.21,11.21,11.49,11.2,156913,+0.27%
"Jun 03, 2026",11.18,11.4,11.4,11.16,89671,-1.15%
"Jun 02, 2026",11.31,11.3,11.5,11,496744,+0.18%
"Jun 01, 2026",11.29,12,12.15,11.2,1204637,-6.46%
"May 29, 2026",12.07,11.8,12.15,11.65,181673,+1.43%
"May 25, 2026",11.9,11.65,12.15,11.55,273221,+3.12%
"May 22, 2026",11.54,12.18,12.18,11.51,821843,-4.39%
"May 21, 2026",12.07,11.7,12.86,11.5,4951014,+3.25%
"May 20, 2026",11.69,11.31,11.75,11.25,162815,+1.74%
"May 19, 2026",11.49,11.72,11.78,11.25,19723,-1.88%
"May 18, 2026",11.71,12.87,12.87,11.69,454958,+0.09%
"May 15, 2026",11.7,11.86,11.87,11.5,21565,+1.83%
"May 14, 2026",11.49,11.68,11.7,11.44,4588,+1.68%
"May 13, 2026",11.3,11.02,11.89,11.02,14962,-1.74%
"May 12, 2026",11.5,11.96,11.97,11.31,20413,-1.71%
"May 11, 2026",11.7,11.62,11.94,11.6,6686,-0.09%
"May 08, 2026",11.71,11.52,12.4,11.52,25082,-3.54%
"May 07, 2026",12.14,11.24,12.39,11.14,64985,+3.85%
"May 06, 2026",11.69,11.34,11.88,11.34,14294,+5.32%
"May 05, 2026",11.1,11.12,11.12,11.01,54346,+0.09%
"May 04, 2026",11.09,11.05,11.5,11.05,23646,+0.82%
"Apr 30, 2026",11,11.24,11.51,10.71,442522,-7.56%
"Apr 29, 2026",11.9,12,12.38,11.7,134118,+0.25%
"Apr 28, 2026",11.87,12.48,12.48,11.6,11423,-2.55%
"Apr 27, 2026",12.18,12.22,12.44,11.85,6064,-0.33%
"Apr 24, 2026",12.22,11.9,12.47,11.81,539371,+1.83%
"Apr 23, 2026",12,11.75,12.2,11.65,12578,+1.52%
"Apr 22, 2026",11.82,12.42,12.42,11.75,57641,-4.14%
"Apr 21, 2026",12.33,12.1,12.4,11.82,415500,+2.75%
"Apr 20, 2026",12,12.31,12.84,11.7,410151,-2.60%
"Apr 17, 2026",12.32,12.52,12.52,12.15,442939,+0.08%
"Apr 16, 2026",12.31,11.85,12.49,11.56,467050,+3.71%
"Apr 15, 2026",11.87,11.89,11.9,11.28,346406,+3.31%
"Apr 14, 2026",11.49,11.25,11.55,11,205261,+4.84%
"Apr 13, 2026",10.96,10.79,11.09,10.51,183800,-1.70%
"Apr 10, 2026",11.15,10.99,11.35,10.65,391462,+0.36%
"Apr 09, 2026",11.11,10.44,11.11,10.44,153288,+1.46%
"Apr 08, 2026",10.95,10.95,10.95,10.95,325834,+10.16%
"Apr 07, 2026",9.94,10,10,9.94,962658,+0.00%
"Apr 06, 2026",9.94,10,10,9.94,6656,-0.90%
"Apr 03, 2026",10.03,9.8,10.03,9.8,119029,-1.57%
"Apr 02, 2026",10.19,9.25,10.19,9.25,645556,+1.80%
"Apr 01, 2026",10.01,9.9,10.01,9.9,404554,+8.45%
"Mar 31, 2026",9.23,9.5,9.5,9.23,235816,+0.65%
"Mar 30, 2026",9.17,10.2,10.2,9.17,78033,-7.56%
"Mar 27, 2026",9.92,11.29,11.29,9.92,97395,-3.50%
"Mar 26, 2026",10.28,10.7,10.7,10.28,6659,-3.93%
"Mar 25, 2026",10.7,10.5,10.7,10.5,27995,+3.38%
"Mar 24, 2026",10.35,10.35,10.35,10.35,6968,+2.37%
"Mar 19, 2026",10.11,10,10.11,10,21739,+0.00%
"Mar 18, 2026",10.11,10.1,10.11,10.1,2545,+3.16%
"Mar 17, 2026",9.8,9.9,9.9,9.8,4445,-0.20%
"Mar 16, 2026",9.82,10,10,9.82,20301,-2.09%
"Mar 13, 2026",10.03,9.8,10.03,9.8,3024,+2.35%
"Mar 12, 2026",9.8,10,10,9.8,13652,-4.39%
"Mar 11, 2026",10.25,9.91,10.25,9.91,115043,+3.96%
"Mar 10, 2026",9.86,9.52,9.86,9.52,22208,+9.56%
"Mar 09, 2026",9,9,9,9,61753,-4.66%
"Mar 06, 2026",9.44,10,10,9.44,556174,-3.87%
"Mar 05, 2026",9.82,9.5,9.82,9.5,77396,+5.82%
"Mar 04, 2026",9.28,9.3,9.3,9.28,118199,-4.13%
"Mar 03, 2026",9.68,10.7,10.7,9.68,320696,-7.46%
"Mar 02, 2026",10.46,10.46,10.46,10.46,80915,-9.98%
"Feb 27, 2026",11.62,12.07,12.07,11.62,28493,-3.73%
"Feb 26, 2026",12.07,12,12.07,12,389681,+0.58%
"Feb 25, 2026",12,12.5,12.5,12,26364,-2.28%
"Feb 24, 2026",12.28,13.6,13.6,12.28,12956,-5.25%
"Feb 23, 2026",12.96,14.24,14.24,12.96,117743,-5.95%
"Feb 20, 2026",13.78,14.34,14.34,13.78,42610,-1.57%
"Feb 19, 2026",14,14.5,14.5,14,244454,-1.69%
"Feb 18, 2026",14.24,14.3,14.3,14.24,565059,-0.70%
"Feb 17, 2026",14.34,15.94,15.94,14.34,1344650,-1.58%
"Feb 16, 2026",14.57,14.76,14.76,14.57,93666,-4.02%
"Feb 13, 2026",15.18,15.68,15.68,15.18,23865,+0.60%
"Feb 12, 2026",15.09,15.56,15.56,15.09,195803,-2.58%
"Feb 11, 2026",15.49,15.4,15.49,15.4,115578,+2.65%
"Feb 10, 2026",15.09,15.34,15.34,15.09,1667,-0.72%
"Feb 09, 2026",15.2,15.37,15.37,15.2,30046,-1.17%
"Feb 06, 2026",15.38,15.5,15.5,15.38,57980,-1.98%
"Feb 04, 2026",15.69,15.21,15.69,15.21,43452,+0.00%
"Feb 03, 2026",15.69,15.58,15.69,15.58,179307,+1.29%
"Feb 02, 2026",15.49,15.5,15.5,15.49,44096,+0.52%
"Jan 30, 2026",15.41,15.21,15.41,15.21,65790,+1.38%
"Jan 29, 2026",15.2,15.49,15.49,15.2,28819,-1.75%
"Jan 28, 2026",15.47,15.8,15.8,15.47,23756,-0.45%
"Jan 27, 2026",15.54,15.5,15.54,15.5,100545,+0.06%
"Jan 26, 2026",15.53,15.52,15.53,15.52,71925,-0.70%
"Jan 23, 2026",15.64,15.7,15.7,15.64,22532,-1.08%
"Jan 22, 2026",15.81,16.04,16.04,15.81,206651,-1.00%
"Jan 21, 2026",15.97,15.75,15.97,15.75,656969,-0.19%
"Jan 20, 2026",16,16.19,16.19,16,83861,+0.57%
"Jan 19, 2026",15.91,15.53,15.91,15.53,498757,+0.06%
"Jan 16, 2026",15.9,16,16,15.9,164205,-0.50%
"Jan 15, 2026",15.98,15.8,15.98,15.8,461742,+1.46%
"Jan 14, 2026",15.75,16.34,16.34,15.75,853655,-0.13%
"Jan 13, 2026",15.77,15.8,15.8,15.77,113984,-0.63%
"Jan 12, 2026",15.87,15.7,15.87,15.7,1178294,+0.76%
"Jan 09, 2026",15.75,15.6,15.75,15.6,7282,+0.06%
"Jan 08, 2026",15.74,15.75,15.75,15.74,89430,-0.69%
"Jan 07, 2026",15.85,16.01,16.01,15.85,151565,-0.94%
"Jan 06, 2026",16,16.1,16.1,16,323311,-0.44%
"Jan 05, 2026",16.07,15.8,16.07,15.8,429230,+1.71%
"Jan 02, 2026",15.8,15.65,15.8,15.65,427276,+1.74%
"Jan 01, 2026",15.53,15.5,15.53,15.5,351859,+1.37%
"Dec 31, 2025",15.32,15.8,15.8,15.32,421564,-0.91%
"Dec 30, 2025",15.46,15.15,15.46,15.15,134054,+0.98%
"Dec 29, 2025",15.31,15.22,15.31,15.22,141132,-1.86%
"Dec 26, 2025",15.6,15.51,15.6,15.51,97853,-1.58%
"Dec 24, 2025",15.85,16.05,16.05,15.85,371000,+0.32%
"Dec 23, 2025",15.8,15.9,15.9,15.8,199353,+0.13%
"Dec 22, 2025",15.78,15.61,15.78,15.61,309680,+0.45%
"Dec 19, 2025",15.71,15.88,15.88,15.71,661354,+2.21%
"Dec 18, 2025",15.37,16,16,15.37,675834,-2.72%
"Dec 17, 2025",15.8,15.79,15.8,15.79,54250,+0.25%
"Dec 16, 2025",15.76,16.1,16.1,15.76,74511,-1.50%
"Dec 15, 2025",16,16.21,16.21,16,52171,-1.23%
"Dec 12, 2025",16.2,16.03,16.2,16.03,48341,-2.35%
"Dec 11, 2025",16.59,15.54,16.59,15.54,945813,+5.40%
"Dec 10, 2025",15.74,15.48,15.74,15.48,1528887,+5.00%
"Dec 09, 2025",14.99,14.89,14.99,14.89,20035,+1.56%
"Dec 08, 2025",14.76,14.9,14.9,14.76,161545,-0.34%
"Dec 05, 2025",14.81,15.7,15.7,14.81,418592,-2.76%
"Dec 04, 2025",15.23,15.95,15.95,15.23,152508,-2.99%
"Dec 03, 2025",15.7,15.99,15.99,15.7,109568,-0.38%
"Dec 02, 2025",15.76,15.99,15.99,15.76,85771,-0.32%
"Dec 01, 2025",15.81,15.74,15.81,15.74,30800,+2.00%
"Nov 28, 2025",15.5,16,16,15.5,28615,-2.45%
"Nov 27, 2025",15.89,15.5,15.89,15.5,132895,+3.72%
"Nov 26, 2025",15.32,16.2,16.2,15.32,113956,-2.92%
"Nov 25, 2025",15.78,16.5,16.5,15.78,59792,-3.19%
"Nov 24, 2025",16.3,16.49,16.49,16.3,30572,-1.09%
"Nov 21, 2025",16.48,17.08,17.08,16.48,99167,-3.46%
"Nov 20, 2025",17.07,16.9,17.07,16.9,289027,+0.53%
"Nov 19, 2025",16.98,16.45,16.98,16.45,1460138,+6.06%
"Nov 18, 2025",16.01,15.5,16.01,15.5,672240,+5.12%
"Nov 17, 2025",15.23,15.4,15.4,15.23,768495,+0.00%
"Nov 14, 2025",15.23,16.48,16.48,15.23,146264,-0.98%
"Nov 13, 2025",15.38,15.25,15.38,15.25,143243,+2.33%
"Nov 12, 2025",15.03,14.9,15.03,14.9,296167,+0.87%
"Nov 11, 2025",14.9,15.25,15.25,14.9,173442,-1.13%
"Nov 10, 2025",15.07,14.89,15.07,14.89,101925,+2.03%
"Nov 07, 2025",14.77,14.71,14.77,14.71,523611,+0.41%
"Nov 06, 2025",14.71,14.97,14.97,14.71,52071,-0.14%
"Nov 05, 2025",14.73,15.08,15.08,14.73,285059,-2.00%
"Nov 04, 2025",15.03,15.59,15.59,15.03,456391,-1.76%
"Nov 03, 2025",15.3,15.49,15.49,15.3,563072,+1.39%
"Oct 31, 2025",15.09,15.48,15.48,15.09,155675,+1.75%
