date,close,open,high,low,volume,change_pct
"Jun 24, 2026",8.42,8.45,8.7,8.35,994220,-0.24%
"Jun 23, 2026",8.44,8.5,8.53,8.24,1181628,+0.96%
"Jun 22, 2026",8.36,8.44,8.6,8.27,702131,-0.71%
"Jun 19, 2026",8.42,8.74,8.76,8.38,1308224,-2.77%
"Jun 18, 2026",8.66,8.67,8.9,8.6,2092783,-0.12%
"Jun 17, 2026",8.67,8.79,8.9,8.52,5256592,-2.58%
"Jun 16, 2026",8.9,9.99,10.4,8.79,43732572,-5.72%
"Jun 15, 2026",9.44,9.4,9.44,8.95,16495322,+11.85%
"Jun 12, 2026",8.44,7.95,8.71,7.65,5809629,+9.47%
"Jun 11, 2026",7.71,7.8,7.91,7.6,488743,-1.53%
"Jun 10, 2026",7.83,8.06,8.35,7.7,5331179,-1.39%
"Jun 09, 2026",7.94,7.6,8.3,7.6,8073251,+5.73%
"Jun 08, 2026",7.51,7.67,7.67,7.31,770875,-2.09%
"Jun 05, 2026",7.67,7.78,7.89,7.55,1408661,+1.05%
"Jun 04, 2026",7.59,7.56,7.75,7.5,1177142,+0.40%
"Jun 03, 2026",7.56,7.26,7.95,7.24,3711418,+4.28%
"Jun 02, 2026",7.25,7.45,7.45,7.15,731174,-0.28%
"Jun 01, 2026",7.27,7.33,7.51,7.25,755229,-0.68%
"May 29, 2026",7.32,7.59,7.59,7.02,560141,-2.40%
"May 25, 2026",7.5,7.51,7.64,7.33,407016,+0.81%
"May 22, 2026",7.44,7.65,7.65,7.3,280131,-0.93%
"May 21, 2026",7.51,7.48,7.79,7.15,1123473,+1.21%
"May 20, 2026",7.42,7.72,7.89,7.37,4169390,-4.01%
"May 19, 2026",7.73,7.07,7.83,6.78,7254975,+13.18%
"May 18, 2026",6.83,7.24,7.24,6.8,337178,-3.80%
"May 15, 2026",7.1,7.55,7.55,7.04,1804880,-3.53%
"May 14, 2026",7.36,7.62,7.74,7.32,1109635,-0.81%
"May 13, 2026",7.42,7.74,7.74,7.25,755395,-1.20%
"May 12, 2026",7.51,7.7,7.99,7.4,1318469,-1.96%
"May 11, 2026",7.66,7.27,7.7,7.2,1361553,+4.79%
"May 08, 2026",7.31,7.25,7.55,7.2,577081,+0.83%
"May 07, 2026",7.25,7.16,7.44,7.16,333655,+1.40%
"May 06, 2026",7.15,6.9,7.26,6.9,316831,+3.62%
"May 05, 2026",6.9,6.92,6.95,6.75,329876,-0.14%
"May 04, 2026",6.91,7.07,7.19,6.7,518401,+0.44%
"Apr 30, 2026",6.88,7.05,7.2,6.8,410727,-2.27%
"Apr 29, 2026",7.04,7.25,7.36,7.01,358396,-1.81%
"Apr 28, 2026",7.17,7.28,7.35,7.15,848816,-0.69%
"Apr 27, 2026",7.22,7.16,7.3,7.16,304066,+0.28%
"Apr 24, 2026",7.2,7.3,7.39,7.1,768595,-1.64%
"Apr 23, 2026",7.32,7.36,7.65,7.12,957328,+1.39%
"Apr 22, 2026",7.22,7.32,7.4,7.05,1009745,-1.37%
"Apr 21, 2026",7.32,7.2,7.5,7.2,454634,+0.41%
"Apr 20, 2026",7.29,7.4,7.8,6.85,1761848,-2.67%
"Apr 17, 2026",7.49,7.25,7.55,7.15,2034174,+5.64%
"Apr 16, 2026",7.09,7,7.3,6.85,770112,+2.01%
"Apr 15, 2026",6.95,6.93,7.05,6.81,963518,+2.36%
"Apr 14, 2026",6.79,6.79,6.8,6.58,351718,+4.46%
"Apr 13, 2026",6.5,6.69,6.7,6.45,253741,-5.25%
"Apr 10, 2026",6.86,6.54,7.21,6.54,2099715,+4.89%
"Apr 09, 2026",6.54,6.8,6.8,6.54,383484,-3.96%
"Apr 08, 2026",6.81,6.62,6.81,6.62,851930,+8.79%
"Apr 07, 2026",6.26,6.06,6.26,6.06,35628,+1.62%
"Apr 06, 2026",6.16,6.19,6.19,6.16,107196,+1.48%
"Apr 03, 2026",6.07,6.1,6.1,6.07,199267,-1.94%
"Apr 02, 2026",6.19,6.19,6.19,6.19,85359,-1.12%
"Apr 01, 2026",6.26,6.25,6.26,6.25,388105,+3.64%
"Mar 31, 2026",6.04,6.25,6.25,6.04,181151,+0.50%
"Mar 30, 2026",6.01,6.25,6.25,6.01,203071,-3.38%
"Mar 27, 2026",6.22,6.38,6.38,6.22,205794,-1.58%
"Mar 26, 2026",6.32,6.55,6.55,6.32,278815,-2.77%
"Mar 25, 2026",6.5,6.28,6.5,6.28,599490,+3.50%
"Mar 24, 2026",6.28,6.44,6.44,6.28,125817,+0.16%
"Mar 19, 2026",6.27,6.64,6.64,6.27,280328,-0.63%
"Mar 18, 2026",6.31,6.15,6.31,6.15,31498,+2.27%
"Mar 17, 2026",6.17,6.38,6.38,6.17,113790,-0.32%
"Mar 16, 2026",6.19,6.72,6.72,6.19,82148,-3.13%
"Mar 13, 2026",6.39,6.21,6.39,6.21,60989,+2.73%
"Mar 12, 2026",6.22,6.27,6.27,6.22,134928,-0.80%
"Mar 11, 2026",6.27,6.56,6.56,6.27,235284,-2.64%
"Mar 10, 2026",6.44,6.49,6.49,6.44,302147,+7.51%
"Mar 09, 2026",5.99,6.13,6.13,5.99,395683,-8.27%
"Mar 06, 2026",6.53,6.7,6.7,6.53,344245,-3.83%
"Mar 05, 2026",6.79,6.44,6.79,6.44,652316,+5.76%
"Mar 04, 2026",6.42,6.2,6.42,6.2,210557,+4.05%
"Mar 03, 2026",6.17,5.72,6.17,5.72,547332,+1.15%
"Mar 02, 2026",6.1,6.23,6.23,6.1,1548968,-14.08%
"Feb 27, 2026",7.1,7.2,7.2,7.1,250840,-1.25%
"Feb 26, 2026",7.19,7.12,7.19,7.12,924669,+1.55%
"Feb 25, 2026",7.08,7.65,7.65,7.08,1785797,-4.84%
"Feb 24, 2026",7.44,7.16,7.44,7.16,1222345,+3.91%
"Feb 23, 2026",7.16,7.78,7.78,7.16,483337,-7.85%
"Feb 20, 2026",7.77,7.9,7.9,7.77,961580,+0.78%
"Feb 19, 2026",7.71,8.12,8.12,7.71,264383,-5.86%
"Feb 18, 2026",8.19,8.29,8.29,8.19,300106,+2.37%
"Feb 17, 2026",8,8.28,8.28,8,551203,-0.25%
"Feb 16, 2026",8.02,8.59,8.59,8.02,1252536,-4.52%
"Feb 13, 2026",8.4,8.51,8.51,8.4,500758,-0.47%
"Feb 12, 2026",8.44,8.74,8.74,8.44,961752,-1.52%
"Feb 11, 2026",8.57,8.8,8.8,8.57,716344,-1.15%
"Feb 10, 2026",8.67,9,9,8.67,1202120,-3.67%
"Feb 09, 2026",9,9.15,9.15,9,1213298,-1.42%
"Feb 06, 2026",9.13,8.95,9.13,8.95,12693239,+3.28%
"Feb 04, 2026",8.84,8.61,8.84,8.61,1184839,+2.79%
"Feb 03, 2026",8.6,8.55,8.6,8.55,452642,+0.58%
"Feb 02, 2026",8.55,8.69,8.69,8.55,414642,-0.93%
