date,close,open,high,low,volume,change_pct
"Jun 24, 2026",149.93,150,150.84,149.25,1144815,+0.33%
"Jun 23, 2026",149.43,151.88,151.88,149,3130532,-0.41%
"Jun 22, 2026",150.05,152.75,153.4,149.52,968922,-0.75%
"Jun 19, 2026",151.18,155.16,155.69,150.14,1711788,-2.57%
"Jun 18, 2026",155.16,155.5,156,154.1,1920778,-0.24%
"Jun 17, 2026",155.54,156.5,158,154,2036077,-0.12%
"Jun 16, 2026",155.72,153.99,157,153.2,5696030,+1.33%
"Jun 15, 2026",153.68,154,155.31,151.5,2487366,+3.97%
"Jun 12, 2026",147.81,148,150.75,147.51,1984640,+0.61%
"Jun 11, 2026",146.91,146,147.5,146,359474,+0.31%
"Jun 10, 2026",146.46,146,147.5,146,689354,-0.85%
"Jun 09, 2026",147.72,147.8,148.2,146.9,431309,+0.72%
"Jun 08, 2026",146.66,147.9,147.93,145.5,745042,-0.89%
"Jun 05, 2026",147.97,149.5,150,147.85,1358190,-0.61%
"Jun 04, 2026",148.88,149.4,150.11,148,2987666,+0.01%
"Jun 03, 2026",148.86,147.5,150,147.5,1329800,+0.72%
"Jun 02, 2026",147.8,147.73,150.01,147.5,818206,+0.05%
"Jun 01, 2026",147.72,150.01,152.99,146.8,1628855,-1.44%
"May 29, 2026",149.88,151.5,151.78,148.5,2761164,-1.25%
"May 25, 2026",151.78,152.01,153.49,149,1167199,+1.19%
"May 22, 2026",150,152.41,152.8,148.75,939084,-1.19%
"May 21, 2026",151.81,151,152.3,150.01,458856,+1.38%
"May 20, 2026",149.74,148,149.95,147.3,333256,+1.64%
"May 19, 2026",147.32,148,151.24,146.16,989712,-0.12%
"May 18, 2026",147.5,149.3,149.99,146.5,676792,-1.35%
"May 15, 2026",149.52,150.88,151,149.1,1247482,+0.21%
"May 14, 2026",149.21,153.47,153.47,148.07,490305,-1.82%
"May 13, 2026",151.97,153.49,154.65,151.05,872693,-0.99%
"May 12, 2026",153.49,156,157,153,1213738,-1.17%
"May 11, 2026",155.3,153,157,152,1956484,+0.92%
"May 08, 2026",153.88,154,154.89,151,1478618,-0.98%
"May 07, 2026",155.41,155.49,156,153,2686131,+0.81%
"May 06, 2026",154.16,149,155,149,2296801,+4.34%
"May 05, 2026",147.75,144.01,148,144.01,573389,+0.44%
"May 04, 2026",147.1,146,150.01,146,916354,+1.21%
"Apr 30, 2026",145.34,149,149.01,145,1160686,-3.53%
"Apr 29, 2026",150.66,152,153.57,150.13,1177979,-0.99%
"Apr 28, 2026",152.16,150.5,153.74,150.01,4039995,+0.16%
"Apr 27, 2026",151.91,151,152.89,150.9,1151505,-0.29%
"Apr 24, 2026",152.35,149,154,146.02,1938691,+1.53%
"Apr 23, 2026",150.05,152,152.95,149.8,1961324,-1.58%
"Apr 22, 2026",152.46,154,154,150.98,638752,-0.90%
"Apr 21, 2026",153.84,154.5,155,152.52,1176877,+0.45%
"Apr 20, 2026",153.15,152.01,153.99,150.3,1832730,-0.89%
"Apr 17, 2026",154.53,154.5,155.01,152.2,2245618,+0.89%
"Apr 16, 2026",153.16,155.5,155.5,152.25,1925079,-0.28%
"Apr 15, 2026",153.59,155,156,153,2363465,+0.98%
"Apr 14, 2026",152.1,150.5,153,150.5,1959711,+2.22%
"Apr 13, 2026",148.8,149.5,151.5,141.01,2700117,-2.66%
"Apr 10, 2026",152.86,151.3,154.29,151.3,2974278,+1.13%
"Apr 09, 2026",151.15,153,153,151.15,3003874,-2.03%
"Apr 08, 2026",154.28,150,154.28,150,8888440,+10.00%
"Apr 07, 2026",140.26,138,140.26,138,2030009,+1.45%
"Apr 06, 2026",138.26,136,138.26,136,2141770,+1.67%
"Apr 03, 2026",135.99,135.01,135.99,135.01,919043,-2.75%
"Apr 02, 2026",139.84,140,140,139.84,1028506,-2.55%
"Apr 01, 2026",143.5,141,143.5,141,4146969,+3.36%
"Mar 31, 2026",138.83,136.5,138.83,136.5,2035308,+1.75%
"Mar 30, 2026",136.44,140.75,140.75,136.44,3061578,-2.75%
"Mar 27, 2026",140.3,137.99,140.3,137.99,2665951,+1.95%
"Mar 26, 2026",137.61,140,140,137.61,3650664,-2.58%
"Mar 25, 2026",141.25,131.99,141.25,131.99,5694929,+8.08%
"Mar 24, 2026",130.69,130.26,130.69,130.26,2098375,+3.37%
"Mar 19, 2026",126.43,125.01,126.43,125.01,1366589,-0.45%
"Mar 18, 2026",127,126.6,127,126.6,2913835,+0.68%
"Mar 17, 2026",126.14,125.05,126.14,125.05,1290847,+0.90%
"Mar 16, 2026",125.02,122.39,125.02,122.39,3435292,+2.15%
"Mar 13, 2026",122.39,122.5,122.5,122.39,934332,+0.20%
"Mar 12, 2026",122.14,115,122.14,115,3733638,+5.41%
"Mar 11, 2026",115.87,121,121,115.87,3800603,-1.30%
"Mar 10, 2026",117.4,116,117.4,116,1014832,+10.00%
"Mar 09, 2026",106.73,106.52,106.73,106.52,4460986,-9.36%
