date,close,open,high,low,volume,change_pct
2026-07-01,10.72,10.68,10.95,10.68,3916445,-0.09%
2026-06-30,10.73,10.7,10.82,10.69,2421691,+0.56%
2026-06-29,10.67,10.79,10.89,10.6,2559261,-2.47%
2026-06-24,10.94,10.61,11.14,10.61,8919360,+2.63%
2026-06-23,10.66,10.9,10.94,10.6,2232198,-0.93%
2026-06-22,10.76,10.85,11.12,10.65,5850524,+0.37%
2026-06-19,10.72,10.75,11.03,10.63,3655190,-1.65%
2026-06-18,10.9,10.75,11.07,10.75,4331049,+0.46%
2026-06-17,10.85,11.19,11.24,10.8,9030070,-2.16%
2026-06-16,11.09,10.7,11.18,10.54,13202430,+3.94%
2026-06-15,10.67,10.8,10.81,10.62,4842800,+1.14%
2026-06-12,10.55,10.83,10.84,10.52,4778781,-1.03%
2026-06-11,10.66,10.75,10.92,10.62,6368516,-1.39%
2026-06-10,10.81,10.59,11.15,10.45,18390670,+1.69%
2026-06-09,10.63,10.49,10.78,10.36,9011979,+3.10%
2026-06-08,10.31,10.35,10.5,10.11,6941160,-1.81%
2026-06-05,10.5,10.6,10.91,10.45,9033379,-0.66%
2026-06-04,10.57,10.81,10.88,10.53,9481901,-2.04%
2026-06-03,10.79,11.13,11.32,10.7,46642690,-0.28%
2026-06-02,10.82,9.81,10.82,9.79,41011890,+10.18%
2026-06-01,9.82,9.9,9.97,9.79,3728061,-1.01%
2026-05-29,9.92,9.95,10.06,9.8,3556722,-0.10%
2026-05-25,9.93,10.01,10.05,9.86,5514331,+2.16%
2026-05-22,9.72,9.99,9.99,9.69,1952111,-1.72%
2026-05-21,9.89,9.89,10.13,9.75,8291514,+1.54%
2026-05-20,9.74,9.83,9.83,9.61,1891068,+1.14%
2026-05-19,9.63,9.93,9.97,9.55,2107508,-1.03%
2026-05-18,9.73,10.33,10.33,9.65,6759588,-4.33%
2026-05-15,10.17,10.27,10.45,10.07,12792370,-1.07%
2026-05-14,10.28,10.4,10.96,10.13,56827230,-0.29%
2026-05-13,10.31,9.41,10.38,9.35,49808590,+9.80%
2026-05-12,9.39,9.68,9.7,9.35,2593163,-1.78%
2026-05-11,9.56,9.32,9.61,9.32,2982288,+0.74%
2026-05-08,9.49,9.19,9.64,9.12,7553575,+2.59%
2026-05-07,9.25,9.3,9.3,9.15,3072703,+0.43%
2026-05-06,9.21,9.1,9.3,9.1,3980057,+2.79%
2026-05-05,8.96,8.84,9.05,8.84,1104318,-0.55%
2026-05-04,9.01,9.03,9.25,8.93,2421765,+0.56%
2026-04-30,8.96,9.2,9.2,8.86,3394634,-3.66%
2026-04-29,9.3,9.51,9.74,9.25,7033941,-2.21%
2026-04-28,9.51,9.58,9.86,9.45,8675976,+0.53%
2026-04-27,9.46,9.35,9.64,9.35,2075744,-0.42%
2026-04-24,9.5,9.75,9.85,9.11,5492614,-2.76%
2026-04-23,9.77,9.68,9.96,9.57,9128450,+0.83%
2026-04-22,9.69,9.62,9.75,9.32,9425025,+1.89%
2026-04-21,9.51,9.49,9.71,9.1,6655824,+0.32%
2026-04-20,9.48,9.93,9.93,9.35,12570600,-4.63%
2026-04-17,9.94,10.09,10.15,9.9,77604730,-0.50%
2026-04-16,9.99,9.9,10.15,9.8,11999010,+1.01%
2026-04-15,9.89,9.88,10.25,9.8,7136290,+2.59%
2026-04-14,9.64,9.65,9.79,9.5,1616304,+2.12%
2026-04-13,9.44,9.6,9.79,9.31,1849884,-5.51%
2026-04-10,9.99,9.8,10.03,9.8,1642616,+2.04%
2026-04-09,9.79,10.04,10.04,9.72,1959495,-3.07%
2026-04-08,10.1,10.04,10.49,9.85,5491281,+5.76%
2026-04-07,9.55,9.5,9.59,9.4,368968,+0.63%
2026-04-06,9.49,9.47,9.6,9.42,678619,+0.74%
2026-04-03,9.42,9.26,9.75,9.26,515117,-1.36%
2026-04-02,9.55,9.5,9.66,9.41,446602,-3.05%
2026-04-01,9.85,9.9,10.02,9.7,2217113,+4.12%
2026-03-31,9.46,9.5,9.85,9.35,942177,-0.63%
2026-03-30,9.52,9.59,9.82,9.3,1968748,+1.49%
2026-03-27,9.38,9.49,9.59,9.11,475844,+0.43%
2026-03-26,9.34,9.7,9.7,9.25,720936,-3.11%
2026-03-25,9.64,9.5,10.18,9.4,3188307,+2.77%
2026-03-24,9.38,9.15,9.69,8.8,2595192,+5.27%
2026-03-19,8.91,8.75,9,8.7,739024,+0.34%
2026-03-18,8.88,8.89,8.99,8.8,440236,+0.57%
2026-03-17,8.83,8.98,8.98,8.51,300038,+1.26%
2026-03-16,8.72,8.51,9.05,8.51,685591,-1.69%
2026-03-13,8.87,8.99,8.99,8.83,531038,-0.22%
