date,close,open,high,low,volume,change_pct
"Jun 24, 2026",8.86,8.99,8.99,8.79,4400122,-0.56%
"Jun 23, 2026",8.91,9.2,9.22,8.8,4038875,-2.20%
"Jun 22, 2026",9.11,9.2,9.39,9.04,5295519,+0.44%
"Jun 19, 2026",9.07,9.21,9.3,8.98,4661628,-2.68%
"Jun 18, 2026",9.32,9.55,9.72,9.27,6609194,-2.20%
"Jun 17, 2026",9.53,9.78,9.88,9.31,18180497,+0.00%
"Jun 16, 2026",9.53,9.25,9.66,9.1,18099987,+3.70%
"Jun 15, 2026",9.19,9.25,9.3,9.05,7383006,+2.91%
"Jun 12, 2026",8.93,9.09,9.22,8.9,10248262,+0.22%
"Jun 11, 2026",8.91,8.85,9.2,8.83,9451937,-1.87%
"Jun 10, 2026",9.08,9,9.55,9,40409755,+1.34%
"Jun 09, 2026",8.96,8.45,9.12,8.42,15478560,+6.92%
"Jun 08, 2026",8.38,8.41,8.49,8.33,3266893,-1.64%
"Jun 05, 2026",8.52,8.69,8.85,8.5,8181325,-0.58%
"Jun 04, 2026",8.57,8.26,8.77,8.26,13508747,+3.63%
"Jun 03, 2026",8.27,8.4,8.45,8.21,3078527,-1.08%
"Jun 02, 2026",8.36,8.45,8.48,8.27,3597213,-0.24%
"Jun 01, 2026",8.38,8.3,8.5,8.21,4345018,+1.21%
"May 29, 2026",8.28,8.3,8.38,8.12,3487951,+0.36%
"May 25, 2026",8.25,8.32,8.35,8.2,2565587,+0.98%
"May 22, 2026",8.17,8.24,8.29,8.12,2694434,-0.49%
"May 21, 2026",8.21,8.29,8.3,8.15,3187197,+0.74%
"May 20, 2026",8.15,8.1,8.2,7.94,2045505,+1.62%
"May 19, 2026",8.02,8.1,8.19,8,2255567,+0.00%
"May 18, 2026",8.02,8.25,8.25,8,2779358,-2.55%
"May 15, 2026",8.23,8.33,8.37,8.15,2128941,-0.48%
"May 14, 2026",8.27,8.42,8.55,8.25,2490816,-1.78%
"May 13, 2026",8.42,8.41,8.68,8.33,2475090,-1.29%
"May 12, 2026",8.53,8.72,8.85,8.5,4926292,-1.73%
"May 11, 2026",8.68,8.59,8.87,8.5,8017177,-0.12%
"May 08, 2026",8.69,8.49,9.22,8.35,36418295,+1.88%
"May 07, 2026",8.53,8.4,8.68,8.25,9654739,+2.65%
"May 06, 2026",8.31,8.15,8.39,8.1,11665849,+3.62%
"May 05, 2026",8.02,7.75,8.17,7.73,4981784,+0.88%
"May 04, 2026",7.95,7.9,8.14,7.86,4172428,+1.92%
"Apr 30, 2026",7.8,8,8,7.63,6074397,-4.18%
"Apr 29, 2026",8.14,8.5,8.73,8.02,9991201,-3.90%
"Apr 28, 2026",8.47,8.41,8.65,8.41,4212803,-1.05%
"Apr 27, 2026",8.56,8.65,8.78,8.51,5356827,-1.50%
"Apr 24, 2026",8.69,8.49,8.95,8.45,12957355,+0.58%
"Apr 23, 2026",8.64,8.49,8.8,8.36,7881486,+1.41%
"Apr 22, 2026",8.52,8.65,8.75,8.41,6314216,-1.96%
"Apr 21, 2026",8.69,8.6,9.06,8.44,18998087,+2.96%
"Apr 20, 2026",8.44,8.6,8.88,8.2,12136874,-5.38%
"Apr 17, 2026",8.92,8.66,8.98,8.66,11610123,+3.12%
"Apr 16, 2026",8.65,8.54,8.79,8.35,13405492,+2.49%
"Apr 15, 2026",8.44,8.64,8.64,8.36,12528918,+1.69%
"Apr 14, 2026",8.3,8.1,8.52,8.07,17530617,+5.20%
"Apr 13, 2026",7.89,7.81,8.05,7.81,5827341,-5.05%
"Apr 10, 2026",8.31,8.1,8.39,8.1,15224085,+3.49%
"Apr 09, 2026",8.03,8.26,8.26,8.03,11429467,-4.29%
"Apr 08, 2026",8.39,8.2,8.39,8.2,20496385,+13.23%
"Apr 07, 2026",7.41,7.49,7.49,7.41,5095372,-2.11%
"Apr 06, 2026",7.57,7.66,7.66,7.57,6827272,-0.79%
"Apr 03, 2026",7.63,7.2,7.63,7.2,20744553,+2.83%
"Apr 02, 2026",7.42,7.12,7.42,7.12,7652086,+0.27%
"Apr 01, 2026",7.4,7.26,7.4,7.26,5795632,+4.23%
"Mar 31, 2026",7.1,7,7.1,7,2348202,+4.11%
"Mar 30, 2026",6.82,7.1,7.1,6.82,3422802,-4.21%
"Mar 27, 2026",7.12,7.35,7.35,7.12,4133719,-2.73%
"Mar 26, 2026",7.32,7.83,7.83,7.32,4793997,-6.15%
"Mar 25, 2026",7.8,7.4,7.8,7.4,7728839,+6.56%
"Mar 24, 2026",7.32,7.48,7.48,7.32,4426155,+1.67%
"Mar 19, 2026",7.2,7,7.2,7,3389235,+0.00%
"Mar 18, 2026",7.2,7.16,7.2,7.16,4445040,+0.56%
"Mar 17, 2026",7.16,7.25,7.25,7.16,2405860,+0.00%
"Mar 16, 2026",7.16,7.44,7.44,7.16,1799574,-2.45%
"Mar 13, 2026",7.34,7.12,7.34,7.12,2844465,+1.10%
"Mar 12, 2026",7.26,7.2,7.26,7.2,2669651,-0.27%
"Mar 11, 2026",7.28,7.26,7.28,7.26,5243577,+1.68%
"Mar 10, 2026",7.16,6.85,7.16,6.85,8992546,+12.40%
"Mar 09, 2026",6.37,6.5,6.5,6.37,7477557,-11.16%
"Mar 06, 2026",7.17,7.4,7.4,7.17,4161586,-3.50%
"Mar 05, 2026",7.43,6.89,7.43,6.89,8466434,+10.24%
"Mar 04, 2026",6.74,6.54,6.74,6.54,6884724,+1.20%
"Mar 03, 2026",6.66,6.65,6.66,6.65,25103572,-7.24%
"Mar 02, 2026",7.18,7.21,7.21,7.18,6103651,-12.22%
"Feb 27, 2026",8.18,8.9,8.9,8.18,14903637,-9.91%
"Feb 26, 2026",9.08,8.95,9.08,8.95,6427552,+1.68%
"Feb 25, 2026",8.93,8.64,8.93,8.64,24633523,+6.82%
"Feb 24, 2026",8.36,8.67,8.67,8.36,6293489,-2.90%
"Feb 23, 2026",8.61,9.74,9.74,8.61,7401386,-8.79%
"Feb 20, 2026",9.44,9.9,9.9,9.44,6457814,-4.45%
"Feb 19, 2026",9.88,10.59,10.59,9.88,2773387,-7.23%
"Feb 18, 2026",10.65,10.2,10.65,10.2,4684122,+5.03%
"Feb 17, 2026",10.14,10.47,10.47,10.14,6821851,-3.15%
"Feb 16, 2026",10.47,11.02,11.02,10.47,4942961,-5.42%
"Feb 13, 2026",11.07,11.4,11.4,11.07,5179382,-0.18%
"Feb 12, 2026",11.09,11.32,11.32,11.09,6488688,-2.12%
"Feb 11, 2026",11.33,11.66,11.66,11.33,2354734,-1.73%
"Feb 10, 2026",11.53,11.71,11.71,11.53,2327660,-1.28%
"Feb 09, 2026",11.68,11.85,11.85,11.68,3290113,+0.69%
"Feb 06, 2026",11.6,12.12,12.12,11.6,8898216,-3.33%
"Feb 04, 2026",12,11.84,12,11.84,11910431,+2.04%
"Feb 03, 2026",11.76,11.64,11.76,11.64,4904743,+1.64%
"Feb 02, 2026",11.57,11.35,11.57,11.35,2190620,+0.96%
"Jan 30, 2026",11.46,11.2,11.46,11.2,13025874,+1.06%
"Jan 29, 2026",11.34,11.65,11.65,11.34,6108753,-2.66%
"Jan 28, 2026",11.65,11.75,11.75,11.65,4967727,-0.94%
"Jan 27, 2026",11.76,11.66,11.76,11.66,6058829,+0.26%
"Jan 26, 2026",11.73,11.95,11.95,11.73,7334237,-1.51%
"Jan 23, 2026",11.91,12.13,12.13,11.91,9981969,-1.81%
"Jan 22, 2026",12.13,12.25,12.25,12.13,5947709,-0.25%
"Jan 21, 2026",12.16,12.98,12.98,12.16,12914128,-3.57%
"Jan 20, 2026",12.61,12.62,12.62,12.61,29274945,+0.80%
"Jan 19, 2026",12.51,11.92,12.51,11.92,26785358,+4.95%
"Jan 16, 2026",11.92,12.05,12.05,11.92,5829106,+1.53%
"Jan 15, 2026",11.74,12.05,12.05,11.74,10467978,-1.59%
"Jan 14, 2026",11.93,12.5,12.5,11.93,14289554,-2.85%
"Jan 13, 2026",12.28,12.21,12.28,12.21,7128273,+0.82%
"Jan 12, 2026",12.18,12.3,12.3,12.18,10359463,-1.06%
"Jan 09, 2026",12.31,12.78,12.78,12.31,10494739,-2.99%
"Jan 08, 2026",12.69,13.15,13.15,12.69,18297171,-2.83%
"Jan 07, 2026",13.06,13,13.06,13,46930240,+1.01%
"Jan 06, 2026",12.93,13.1,13.1,12.93,59350745,+0.47%
"Jan 05, 2026",12.87,11.94,12.87,11.94,74355620,+8.79%
"Jan 02, 2026",11.83,12.15,12.15,11.83,19543996,-1.91%
"Jan 01, 2026",12.06,11.5,12.06,11.5,37781686,+6.44%
"Dec 31, 2025",11.33,11.51,11.51,11.33,5339075,-1.05%
"Dec 30, 2025",11.45,11.64,11.64,11.45,10172845,-0.26%
"Dec 29, 2025",11.48,11.15,11.48,11.15,9094952,+3.24%
"Dec 26, 2025",11.12,11.28,11.28,11.12,8509785,-0.45%
"Dec 24, 2025",11.17,11.3,11.3,11.17,5015302,-0.89%
"Dec 23, 2025",11.27,11.45,11.45,11.27,5019325,-1.31%
"Dec 22, 2025",11.42,11.77,11.77,11.42,3803739,-2.14%
"Dec 19, 2025",11.67,12.05,12.05,11.67,12102140,-2.59%
"Dec 18, 2025",11.98,11.89,11.98,11.89,26981470,+1.78%
"Dec 17, 2025",11.77,11.49,11.77,11.49,17623050,+2.71%
"Dec 16, 2025",11.46,11.6,11.6,11.46,6602031,-0.35%
"Dec 15, 2025",11.5,11.69,11.69,11.5,4666135,-1.12%
"Dec 12, 2025",11.63,11.66,11.66,11.63,2233187,-0.43%
"Dec 11, 2025",11.68,11.66,11.68,11.66,4527342,+0.00%
"Dec 10, 2025",11.68,11.82,11.82,11.68,6670178,-0.85%
"Dec 09, 2025",11.78,12.05,12.05,11.78,11087668,-1.26%
"Dec 08, 2025",11.93,12.18,12.18,11.93,28218701,-1.57%
"Dec 05, 2025",12.12,11.7,12.12,11.7,58072392,+6.13%
"Dec 04, 2025",11.42,11.25,11.42,11.25,12949590,+2.42%
"Dec 03, 2025",11.15,11.32,11.32,11.15,3860021,-1.41%
"Dec 02, 2025",11.31,11.47,11.47,11.31,6889684,-1.39%
"Dec 01, 2025",11.47,11.02,11.47,11.02,16809536,+4.65%
"Nov 28, 2025",10.96,11.25,11.25,10.96,9304392,-1.62%
"Nov 27, 2025",11.14,11.11,11.14,11.11,7300561,+1.00%
"Nov 26, 2025",11.03,11.25,11.25,11.03,11996486,-0.99%
