date,close,open,high,low,volume,change_pct
2026-07-01,68.47,66,69,66,6237100,+4.28%
2026-06-30,65.66,65,66.5,64.55,984184,+1.03%
2026-06-29,64.99,66.5,67.37,64.65,1580479,-2.43%
2026-06-24,66.61,66.9,67.21,66.43,1639380,-0.16%
2026-06-23,66.72,67.3,67.3,66,2611447,+0.35%
2026-06-22,66.49,68,68.34,66.3,2253115,-1.67%
2026-06-19,67.62,69.35,69.94,67,1950672,-2.35%
2026-06-18,69.25,68.62,70.3,68.51,3817569,+1.82%
2026-06-17,68.01,69,69.67,67.75,2620285,-0.99%
2026-06-16,68.69,71,71.5,68,3162187,-2.69%
2026-06-15,70.59,71.89,72.64,70,4972110,+2.07%
2026-06-12,69.16,69.51,70.75,68.61,5071777,+1.01%
2026-06-11,68.47,66.99,70.49,65.13,5157353,+1.65%
2026-06-10,67.36,68.98,70.7,67,4844927,-3.00%
2026-06-09,69.44,70.49,72.2,69.11,10057064,+0.14%
2026-06-08,69.34,67,72,66.01,22712353,+4.84%
2026-06-05,66.14,61.38,66.14,61.1,12973590,+10.00%
2026-06-04,60.13,58.35,60.9,57.51,3192473,+2.79%
2026-06-03,58.5,59.4,59.4,57.2,2331095,-0.98%
2026-06-02,59.08,57.89,60.87,57.8,9498390,+2.82%
2026-06-01,57.46,54.1,58.33,53.1,10433250,+6.62%
2026-05-29,53.89,54.05,54.55,53,998020,+1.72%
2026-05-25,52.98,53,53.69,52.52,1037184,+1.67%
2026-05-22,52.11,53,53,51.8,389625,-0.55%
2026-05-21,52.4,52.99,53.24,52.2,446636,+0.52%
2026-05-20,52.13,51.5,52.78,51,694242,+1.11%
2026-05-19,51.56,52,52.49,51.41,758156,-0.25%
2026-05-18,51.69,53.5,53.5,51.4,543306,-2.51%
2026-05-15,53.02,53.76,53.8,52.5,151951,-0.24%
2026-05-14,53.15,53,54.3,52.8,428989,+0.00%
2026-05-13,53.15,53.71,53.99,52.5,456237,-0.93%
2026-05-12,53.65,54.94,55.5,53.5,768923,-2.95%
2026-05-11,55.28,54.05,55.9,54.05,434894,-0.84%
2026-05-08,55.75,55.5,56.99,55.4,1499359,-1.50%
2026-05-07,56.6,55.98,57.7,55.05,5528794,+2.20%
2026-05-06,55.38,54.2,56.25,53.51,2469227,+4.02%
2026-05-05,53.24,53.49,54,52,456965,-0.88%
2026-05-04,53.71,53,55,53,596913,+0.81%
2026-04-30,53.28,55.3,55.3,51.8,1095401,-4.26%
2026-04-29,55.65,57.19,57.19,55.1,1076114,-1.49%
2026-04-28,56.49,56.15,58,55,773611,-1.02%
2026-04-27,57.07,57.03,57.82,56.71,507063,-1.30%
2026-04-24,57.82,57,58.64,56.01,1131136,+0.91%
2026-04-23,57.3,56.92,57.7,56.5,985869,+0.67%
2026-04-22,56.92,57,57.59,56.1,358265,-1.96%
2026-04-21,58.06,57.73,58.98,57.7,732697,+0.64%
2026-04-20,57.69,59,59.47,56.2,985204,-3.63%
2026-04-17,59.86,60.21,60.5,59.5,1031356,+0.22%
2026-04-16,59.73,60,60.5,59.09,817361,+0.02%
2026-04-15,59.72,59.3,61.5,58.99,3771533,+3.00%
2026-04-14,57.98,57,58.97,57,1580711,+3.33%
2026-04-13,56.11,57.6,57.9,55.9,1214261,-6.90%
2026-04-10,60.27,59.05,61.26,59.05,1440988,+0.80%
2026-04-09,59.79,57.4,62,55.7,3638182,+2.59%
2026-04-08,58.28,58.2,58.28,56.1,1988035,+10.00%
2026-04-07,52.98,51.9,53.1,51.01,313634,+0.47%
2026-04-06,52.73,52.68,53.1,51.51,841171,+1.07%
2026-04-03,52.17,51,53.49,51,480151,-2.72%
2026-04-02,53.63,52.5,54,51.5,607617,-2.88%
2026-04-01,55.22,52.3,56.49,52.3,2245571,+6.17%
2026-03-31,52.01,52,52.95,50.95,568259,+0.44%
2026-03-30,51.78,52.9,52.9,48.08,1209184,-1.39%
2026-03-27,52.51,52,53.25,52,1853030,-0.57%
2026-03-26,52.81,52.5,53.5,51.9,2356211,+0.06%
2026-03-25,52.78,51.9,53.5,51.75,2177101,+2.59%
2026-03-24,51.45,53.01,53.01,51.25,852017,+0.35%
2026-03-19,51.27,51.35,51.6,50.05,479533,-2.08%
2026-03-18,52.36,51.25,53.4,50.26,873046,+2.17%
2026-03-17,51.25,50.09,51.7,50,1627601,+2.32%
2026-03-16,50.09,50.03,50.7,50,417404,-1.53%
2026-03-13,50.87,50.3,51.3,50.01,327617,+1.13%
2026-03-12,50.3,50.02,51.4,50,816365,-1.91%
2026-03-11,51.28,52,52.94,50,1484806,+0.63%
2026-03-10,50.96,50.58,51.93,50,1566829,+7.74%
2026-03-09,47.3,50.26,50.26,47.3,2079206,-9.99%
2026-03-06,52.55,54,54,51.51,915837,-1.70%
