date,close,open,high,low,volume,change_pct
"Jun 24, 2026",43.28,40.61,44.4,40.61,20043142,+7.23%
"Jun 23, 2026",40.36,40.67,41.4,40.11,3521630,-0.71%
"Jun 22, 2026",40.65,41.44,41.86,40.11,3549408,-2.05%
"Jun 19, 2026",41.5,42.49,43.89,40.25,14005743,-0.12%
"Jun 18, 2026",41.55,38.37,41.82,38.11,11723886,+9.28%
"Jun 17, 2026",38.02,38.91,38.91,37.85,1816290,-1.27%
"Jun 16, 2026",38.51,38.99,39.3,38.2,2574628,+0.21%
"Jun 15, 2026",38.43,39,39.49,37.85,2738899,+0.92%
"Jun 12, 2026",38.08,37.35,38.8,37.03,5343497,+2.53%
"Jun 11, 2026",37.14,38.23,39,37,8387739,-0.75%
"Jun 10, 2026",37.42,33.91,37.42,33.89,6302436,+9.99%
"Jun 09, 2026",34.02,34.4,34.49,33.95,614488,+0.68%
"Jun 08, 2026",33.79,34,34,33.5,540908,-1.40%
"Jun 05, 2026",34.27,34.97,34.99,34.12,672004,-0.44%
"Jun 04, 2026",34.42,34.11,34.75,34.04,472627,+1.00%
"Jun 03, 2026",34.08,34.29,34.75,33.97,392282,-0.93%
"Jun 02, 2026",34.4,34.2,34.56,33.8,354624,+0.58%
"Jun 01, 2026",34.2,34.71,34.8,34.05,816131,-1.64%
"May 29, 2026",34.77,35,35.14,34,679026,-0.23%
"May 25, 2026",34.85,35.18,35.38,34.66,1268837,+1.10%
"May 22, 2026",34.47,34.1,35.35,33.85,2805496,+1.47%
"May 21, 2026",33.97,33.89,34.1,33.35,836695,+2.07%
"May 20, 2026",33.28,33.03,33.6,32.6,331838,+0.76%
"May 19, 2026",33.03,33,33.69,32.5,393322,+0.76%
"May 18, 2026",32.78,33.9,33.9,32.66,611960,-3.45%
"May 15, 2026",33.95,34.02,34.43,33.56,564109,-1.16%
"May 14, 2026",34.35,34.6,34.9,34.26,655924,-0.84%
"May 13, 2026",34.64,34.8,34.99,34.25,500943,-0.43%
"May 12, 2026",34.79,35.75,36.34,34.6,2186934,-2.03%
"May 11, 2026",35.51,34.26,36.25,34.26,4661937,+1.89%
"May 08, 2026",34.85,34.89,35.89,34.26,1333921,-0.99%
"May 07, 2026",35.2,34.95,36.35,34.25,3368413,+4.23%
"May 06, 2026",33.77,32.12,34,32,1691312,+5.86%
"May 05, 2026",31.9,31.5,32.45,31.14,667068,-0.25%
"May 04, 2026",31.98,33,34,31.01,2094510,-1.39%
"Apr 30, 2026",32.43,32,32.68,31.11,1439024,-1.82%
"Apr 29, 2026",33.03,34,34,32.11,2011471,-3.93%
"Apr 28, 2026",34.38,34.02,36,33.8,1150042,-5.37%
"Apr 27, 2026",36.33,36.5,36.89,36.02,696944,-1.17%
"Apr 24, 2026",36.76,35.99,37.24,35.15,1306380,+0.99%
"Apr 23, 2026",36.4,36.01,36.7,36.01,739912,-0.33%
"Apr 22, 2026",36.52,37.02,37.02,36.3,725491,-1.78%
"Apr 21, 2026",37.18,37.26,37.78,37.01,1407781,+0.38%
"Apr 20, 2026",37.04,37.01,38.79,36.11,2533850,-4.07%
"Apr 17, 2026",38.61,38.75,38.9,38,2631566,+1.87%
"Apr 16, 2026",37.9,38.45,39,37.5,2208949,-0.37%
"Apr 15, 2026",38.04,39,39.49,37.9,5255442,+1.87%
"Apr 14, 2026",37.34,34.8,37.5,34.8,3334252,+9.41%
"Apr 13, 2026",34.13,34.51,34.99,33.2,2034474,-4.05%
"Apr 10, 2026",35.57,33.6,35.95,33.6,4135294,+4.86%
"Apr 09, 2026",33.92,34.98,34.98,33.92,1230745,-2.89%
"Apr 08, 2026",34.93,34.93,34.93,34.93,3842719,+10.02%
"Apr 07, 2026",31.75,30.2,31.75,30.2,4186857,+2.49%
"Apr 06, 2026",30.98,30.19,30.98,30.19,2469494,+2.86%
"Apr 03, 2026",30.12,29.9,30.12,29.9,777384,-1.57%
"Apr 02, 2026",30.6,30.7,30.7,30.6,1146398,-4.49%
"Apr 01, 2026",32.04,30.01,32.04,30.01,2951132,+8.83%
"Mar 31, 2026",29.44,29.5,29.5,29.44,768466,-0.51%
"Mar 30, 2026",29.59,30.89,30.89,29.59,1308425,-3.05%
"Mar 27, 2026",30.52,31.25,31.25,30.52,735038,-1.96%
"Mar 26, 2026",31.13,32.2,32.2,31.13,1664905,-3.17%
"Mar 25, 2026",32.15,31.1,32.15,31.1,4335132,+5.65%
"Mar 24, 2026",30.43,30.79,30.79,30.43,761985,+0.96%
"Mar 19, 2026",30.14,29.89,30.14,29.89,1688326,+0.40%
"Mar 18, 2026",30.02,30.1,30.1,30.02,1341536,+0.03%
"Mar 17, 2026",30.01,31.01,31.01,30.01,1317639,-2.85%
"Mar 16, 2026",30.89,31.25,31.25,30.89,357220,-2.83%
"Mar 13, 2026",31.79,31.55,31.79,31.55,504639,-0.19%
"Mar 12, 2026",31.85,31.87,31.87,31.85,292405,-0.44%
"Mar 11, 2026",31.99,32.9,32.9,31.99,647695,+0.88%
"Mar 10, 2026",31.71,31.1,31.71,31.1,1075939,+6.12%
"Mar 09, 2026",29.88,30.5,30.5,29.88,1496089,-10.00%
"Mar 06, 2026",33.2,34,34,33.2,769338,-3.24%
"Mar 05, 2026",34.31,33,34.31,33,2160945,+3.94%
"Mar 04, 2026",33.01,34.5,34.5,33.01,1168349,-3.90%
"Mar 03, 2026",34.35,33.23,34.35,33.23,1778591,+2.26%
"Mar 02, 2026",33.59,34.01,34.01,33.59,1637392,-9.99%
"Feb 27, 2026",37.32,36.53,37.32,36.53,995987,-1.97%
"Feb 26, 2026",38.07,35.88,38.07,35.88,2587348,+5.43%
"Feb 25, 2026",36.11,38.4,38.4,36.11,947575,-4.37%
"Feb 24, 2026",37.76,37.5,37.76,37.5,2640256,+0.05%
"Feb 23, 2026",37.74,41,41,37.74,1073458,-8.73%
"Feb 20, 2026",41.35,42.55,42.55,41.35,2560786,-2.64%
"Feb 19, 2026",42.47,47,47,42.47,1165276,-9.02%
"Feb 18, 2026",46.68,46.94,46.94,46.68,1430329,-0.72%
