date,close,open,high,low,volume,change_pct
2026-07-01,16.48,16.18,16.66,15.66,10760240,+3.52%
2026-06-30,15.92,16,16.41,15.72,13865543,+2.31%
2026-06-29,15.56,16.51,16.65,15.35,9721051,-5.24%
2026-06-24,16.42,16.69,16.78,16.2,6931369,-0.12%
2026-06-23,16.44,16.18,16.67,15.6,23482456,-0.48%
2026-06-22,16.52,16.75,17.29,16,59270990,+5.09%
2026-06-19,15.72,17.5,17.93,15.72,47045280,-10.02%
2026-06-18,17.47,16.84,18,16.11,24195490,+3.74%
2026-06-17,16.84,15.85,17.79,15.85,23996480,+4.01%
2026-06-16,16.19,16.03,16.79,15.6,34505200,+5.75%
2026-06-15,15.31,14.7,15.5,14.35,24525250,+8.66%
2026-06-12,14.09,15.1,15.16,13.6,25681000,-5.50%
2026-06-11,14.91,14.46,15.35,14.3,25374800,+1.43%
2026-06-10,14.7,14.9,15.1,13.6,40648460,+2.65%
2026-06-09,14.32,13.49,14.32,13.25,50805586,+9.98%
2026-06-08,13.02,12.21,13.19,12.21,43795123,+6.72%
2026-06-05,12.2,11.55,12.7,11.55,41999760,+4.18%
2026-06-04,11.71,11.8,12,11.63,8360170,+0.34%
2026-06-03,11.67,11.29,11.9,11.1,17752840,+3.37%
2026-06-02,11.29,11.46,11.48,11.23,1834384,-0.79%
2026-06-01,11.38,11.19,11.73,11.01,15614450,+2.15%
2026-05-29,11.14,11.13,11.2,10.9,2254340,+0.09%
2026-05-25,11.13,11.14,11.2,10.81,1830646,+2.11%
2026-05-22,10.9,11.15,11.23,10.85,3424229,-2.42%
2026-05-21,11.17,11.25,11.38,11,8071855,+1.09%
2026-05-20,11.05,10.79,11.25,10.6,6458110,+3.85%
2026-05-19,10.64,10.51,10.98,10.51,3420313,-0.65%
2026-05-18,10.71,11.19,11.55,10.6,8611163,-4.63%
2026-05-15,11.23,10.9,11.33,10.8,4706442,+2.65%
2026-05-14,10.94,11.01,11.23,10.84,4867398,-0.36%
2026-05-13,10.98,11.25,11.35,10.72,10651320,-1.52%
2026-05-12,11.15,10.95,11.97,10.65,67870080,+2.48%
2026-05-11,10.88,11.08,11.1,10.61,2504254,-2.07%
2026-05-08,11.11,11.4,11.4,10.75,10172510,+1.93%
2026-05-07,10.9,10.95,11.13,10.7,8799613,+1.77%
2026-05-06,10.71,10.2,11.01,10.2,12319150,+5.83%
2026-05-05,10.12,9.94,10.29,9.91,3331298,+0.10%
2026-05-04,10.11,9.9,10.39,9.9,7895131,+1.30%
2026-04-30,9.98,10,10.2,9.5,2339361,-2.92%
2026-04-29,10.28,10.51,10.94,9.77,10920160,-5.17%
2026-04-28,10.84,10.25,10.99,10.2,7858202,+4.33%
2026-04-27,10.39,10.66,10.84,10.14,5236372,-2.53%
2026-04-24,10.66,10.35,10.89,9.45,25919780,+6.92%
2026-04-23,9.97,8.9,9.97,8.9,12923200,+11.15%
2026-04-22,8.97,9.33,9.33,8.83,2057545,-1.21%
2026-04-21,9.08,9.66,9.89,8.91,4753002,-4.62%
2026-04-20,9.52,9.29,9.94,8.91,12489410,+0.95%
2026-04-17,9.43,8.43,9.43,8.43,12347060,+11.86%
2026-04-16,8.43,7.77,8.51,7.5,6256014,+12.25%
2026-04-15,7.51,7.37,7.87,7.35,2922671,+4.45%
2026-04-14,7.19,7.1,7.44,7.09,2755762,+3.16%
2026-04-13,6.97,7.01,7.07,6.9,658483,-3.86%
2026-04-10,7.25,7.15,7.5,7.05,3584715,+3.28%
2026-04-09,7.02,7.3,7.3,6.85,1483434,-2.50%
2026-04-08,7.2,7.2,7.2,6.72,4845908,+16.13%
2026-04-07,6.2,6.62,6.62,6.18,2682644,-4.47%
2026-04-06,6.49,6.78,6.78,6.42,612910,-1.67%
2026-04-03,6.6,6.45,6.77,6.19,912210,+2.33%
2026-04-02,6.45,6.7,6.7,6.13,322758,-4.02%
2026-04-01,6.72,6.39,6.99,6.38,846617,+6.16%
2026-03-31,6.33,6.24,6.5,6.06,455116,+3.77%
2026-03-30,6.1,6.98,6.98,6,1543891,-9.76%
2026-03-27,6.76,7,7.09,6.72,871476,-3.43%
2026-03-26,7,7.43,7.43,6.99,533035,-5.53%
2026-03-25,7.41,7.16,7.49,7.07,574041,+5.41%
2026-03-24,7.03,7.1,7.3,7,233058,+0.00%
2026-03-19,7.03,7.19,7.19,6.89,255833,-1.54%
2026-03-18,7.14,6.7,7.3,6.7,257131,+5.31%
2026-03-17,6.78,6.89,7,6.75,114016,-1.31%
2026-03-16,6.87,7.05,7.07,6.8,419318,-1.58%
2026-03-13,6.98,7.05,7.24,6.89,283159,-1.69%
2026-03-12,7.1,7.25,7.27,7.03,159602,+0.00%
2026-03-11,7.1,7.02,7.5,6.9,731608,-2.07%
2026-03-10,7.25,6.78,7.44,6.77,750756,+12.58%
2026-03-09,6.44,6.61,7.5,6.33,2935822,-12.14%
2026-03-06,7.33,7.9,7.9,7.25,433776,-6.39%
2026-03-05,7.83,7.23,7.93,7.2,498371,+9.21%
2026-03-04,7.17,6.89,7.3,6.6,804624,+7.82%
2026-03-03,6.65,6.5,6.98,6.06,716288,+1.99%
2026-03-02,6.52,6.52,6.69,6.52,2526529,-13.30%
2026-02-27,7.52,7.75,7.9,7.5,582679,-2.59%
2026-02-26,7.72,8.1,8.1,7.47,1157247,-3.02%
2026-02-25,7.96,8.28,8.45,7.9,587585,-2.33%
2026-02-24,8.15,7.95,8.35,7.05,1187974,+2.39%
2026-02-23,7.96,8.5,8.75,7.9,1058337,-6.57%
2026-02-20,8.52,8.97,8.97,8.15,1785776,-5.02%
2026-02-19,8.97,9.62,9.62,8.7,1039333,-5.58%
2026-02-18,9.5,9.59,9.64,9.42,824556,+0.74%
2026-02-17,9.43,9.5,10.16,9.23,3274057,-0.11%
2026-02-16,9.44,10.09,10.09,9.35,2176632,-5.69%
2026-02-13,10.01,9.9,10.06,9.61,4771307,+3.30%
2026-02-12,9.69,10.2,10.29,9.5,8026568,-2.02%
2026-02-11,9.89,10,10.15,9.59,4729241,-0.90%
2026-02-10,9.98,10.15,10.4,9.91,3800861,-1.77%
2026-02-09,10.16,10,10.44,9.91,5871745,+2.11%
2026-02-06,9.95,9.84,10.35,9.76,5328339,+1.02%
2026-02-04,9.85,9.4,10.14,9.25,9550887,+6.03%
2026-02-03,9.29,9.4,9.46,9.2,869625,+0.65%
2026-02-02,9.23,9.35,9.44,9.2,534530,-0.86%
2026-01-30,9.31,9.5,9.7,9.25,1168395,+0.22%
2026-01-29,9.29,9.4,9.8,9,3459144,-1.38%
2026-01-28,9.42,9.52,9.6,9.32,1031420,+0.00%
2026-01-27,9.42,9.63,9.68,9.4,991892,-3.48%
2026-01-26,9.76,9.5,9.86,9.39,993180,+1.88%
2026-01-23,9.58,9.95,10.05,9.5,2659419,-3.43%
