date,close,open,high,low,volume,change_pct
"Jun 24, 2026",27.29,27.29,27.29,26.6,83100,+10.00%
"Jun 23, 2026",24.81,24.4,24.81,23.51,382705,+10.02%
"Jun 22, 2026",22.55,22.55,22.55,22.01,18768017,+10.00%
"Jun 19, 2026",20.5,19.8,20.75,19.8,511,+3.90%
"Jun 18, 2026",19.73,19.5,20.5,19.5,1649,-1.25%
"Jun 17, 2026",19.98,19.7,20.7,19.7,2,+0.00%
"Jun 16, 2026",19.98,20.2,21,19.75,1894,-2.30%
"Jun 15, 2026",20.45,21,21,20.01,68,+0.00%
"Jun 12, 2026",20.45,19.51,22.04,19.51,3778,-2.39%
"Jun 11, 2026",20.95,21.5,21.5,20,1284,-2.42%
"Jun 10, 2026",21.47,21.94,21.94,19.2,40723,+3.32%
"Jun 09, 2026",20.78,20,21,20,1917,+6.02%
"Jun 08, 2026",19.6,19.6,22,19.6,3073,-8.54%
"Jun 05, 2026",21.43,19.5,21.99,18.8,4987,+7.10%
"Jun 04, 2026",20.01,18.5,20.05,18.5,517,+7.99%
"Jun 03, 2026",18.53,18.4,19.5,18.4,3,+0.00%
"Jun 02, 2026",18.53,18.01,19.7,18.01,2,+0.00%
"Jun 01, 2026",18.53,20.5,20.5,18.31,1530,-2.83%
"May 29, 2026",19.07,19.9,19.9,19.01,4,+0.00%
"May 25, 2026",19.07,19.01,20,19.01,97,+0.00%
"May 22, 2026",19.07,19.08,19.95,19.08,30,+0.00%
"May 21, 2026",19.07,19.1,21,19,1017,-5.97%
"May 20, 2026",20.28,17.65,20.67,17.5,4158,+7.93%
"May 19, 2026",18.79,21.74,21.74,18.77,10551,-9.92%
"May 18, 2026",20.86,23.18,23.18,20.86,35645,-10.01%
"May 15, 2026",23.18,23,23.18,23,515,+9.96%
"May 14, 2026",21.08,20.01,23.68,20.01,865,-2.18%
"May 13, 2026",21.55,21,25,21,1625,-6.39%
"May 11, 2026",23.02,25,25,21.52,21,+0.00%
"May 08, 2026",23.02,25.32,25.32,21.25,115,+0.00%
"May 07, 2026",23.02,22.25,23.02,22.25,802,-2.04%
"May 06, 2026",23.5,20.61,23.5,20.61,5434,+3.80%
"May 05, 2026",22.64,22.62,23.3,22.62,3246,+0.09%
"May 04, 2026",22.62,22.95,23.71,20.55,11502,+4.97%
"Apr 30, 2026",21.55,21,21.56,17.7,62862,+9.95%
"Apr 29, 2026",19.6,17.66,19.9,17.66,358,+0.00%
"Apr 28, 2026",19.6,18.01,19.98,18.01,45,+0.00%
"Apr 27, 2026",19.6,20.97,22.69,19.27,12975,-6.53%
"Apr 24, 2026",20.97,17.15,20.97,17.15,514,+10.08%
"Apr 23, 2026",19.05,20,20,18.91,7,+0.00%
"Apr 22, 2026",19.05,20.71,20.71,19,325,+0.00%
"Apr 21, 2026",19.05,20.2,20.97,18.12,213,+0.00%
"Apr 20, 2026",19.05,21.71,21.71,19,2020,-3.59%
"Apr 17, 2026",19.76,20,21.67,18.51,14,+0.00%
"Apr 16, 2026",19.76,19.9,19.9,17.11,1008,+6.01%
"Apr 15, 2026",18.64,17.29,19.97,17.29,504,+0.00%
"Apr 14, 2026",18.64,19.98,19.98,17.26,84,+0.00%
"Apr 13, 2026",18.64,20,20,17.21,120,+0.00%
"Apr 10, 2026",18.64,17.05,20.48,17.05,204,+0.00%
"Apr 09, 2026",18.64,17.05,19.5,17.05,290393,+0.00%
"Apr 08, 2026",18.64,16.05,18.64,16.05,5606,+7.19%
"Apr 07, 2026",17.39,15.75,17.39,15.75,4820,+7.15%
