date,close,open,high,low,volume,change_pct
2026-07-01,10.72,10.55,10.99,10.35,13190960,-0.09%
2026-06-30,10.73,10.25,10.81,10.25,9988499,+4.58%
2026-06-29,10.26,10.7,10.82,10.21,7310245,-2.93%
2026-06-24,10.57,10.8,11.01,10.4,7551552,-2.40%
2026-06-23,10.83,10.94,11.17,10.6,20400720,-1.10%
2026-06-22,10.95,10.99,11.26,10.52,56035510,+6.93%
2026-06-19,10.24,11.04,11.15,10,33155810,-7.25%
2026-06-18,11.04,11.17,11.29,10.92,5564880,-1.16%
2026-06-17,11.17,11.27,11.52,11.1,9551528,-0.89%
2026-06-16,11.27,11.48,11.97,11.15,31351340,-0.88%
2026-06-15,11.37,11.25,11.49,10.95,16523000,+4.31%
2026-06-12,10.9,11.33,11.54,10.4,19859540,-2.68%
2026-06-11,11.2,11.15,11.58,11.06,24233180,-1.93%
2026-06-10,11.42,11.52,11.78,10.74,64037180,+0.97%
2026-06-09,11.31,10.58,11.31,10.58,56532004,+10.02%
2026-06-08,10.28,9.19,10.33,9.1,60580800,+10.18%
2026-06-05,9.33,8.84,9.56,8.84,42057620,+6.51%
2026-06-04,8.76,8.23,8.87,8.23,23019550,+6.57%
2026-06-03,8.22,8.13,8.33,8.11,3221430,+0.49%
2026-06-02,8.18,8.3,8.3,8.15,1995214,+0.12%
2026-06-01,8.17,8.13,8.35,8.04,4507588,+0.62%
2026-05-29,8.12,8.2,8.34,8.1,4379368,-0.73%
2026-05-25,8.18,8.39,8.39,8.12,1804100,+0.99%
2026-05-22,8.1,8.43,8.43,8,8437514,-2.29%
2026-05-21,8.29,8.4,8.5,8.21,5834995,-0.12%
2026-05-20,8.3,8.14,8.4,8.06,2463268,+2.09%
2026-05-19,8.13,8.15,8.38,8,2409773,+0.00%
2026-05-18,8.13,8.55,8.63,8.05,5679737,-3.21%
2026-05-15,8.4,8.48,8.79,8.15,3353226,-0.36%
2026-05-14,8.43,8.52,8.75,8.38,3299622,-0.24%
2026-05-13,8.45,8.56,8.79,8.42,3090085,-1.17%
2026-05-12,8.55,8.65,8.87,8.42,13722140,+0.71%
2026-05-11,8.49,8.72,8.75,8.4,4643291,-1.85%
2026-05-08,8.65,8.55,8.92,8.45,12464650,-0.92%
2026-05-07,8.73,8.2,8.93,8.03,20848250,+7.12%
2026-05-06,8.15,8,8.25,7.79,11740630,+5.71%
2026-05-05,7.71,7.53,7.85,7.51,2355273,-0.13%
2026-05-04,7.72,7.73,8.04,7.64,6185044,+2.66%
2026-04-30,7.52,7.5,7.6,7.2,7389491,-1.70%
2026-04-29,7.65,7.92,8.18,7.6,13427290,-4.49%
2026-04-28,8.01,7.93,8.24,7.92,7897024,-2.08%
2026-04-27,8.18,8.88,8.88,7.99,28135710,-6.94%
2026-04-24,8.79,9,9.25,8.65,18220230,-2.98%
2026-04-23,9.06,8.5,9.29,8.5,26592390,+5.59%
2026-04-22,8.58,8.34,8.72,8.15,10637590,+1.90%
2026-04-21,8.42,8.57,8.83,8.39,9957447,-1.86%
2026-04-20,8.58,8.8,9.09,8.22,20070150,-3.70%
2026-04-17,8.91,8,8.96,8,28925770,+11.79%
2026-04-16,7.97,7.5,8.09,7.44,16036950,+6.84%
2026-04-15,7.46,7.57,7.71,7.4,7017115,+1.77%
2026-04-14,7.33,7,7.5,7,8681175,+6.70%
2026-04-13,6.87,7.03,7.03,6.8,3829321,-4.18%
2026-04-10,7.17,7.06,7.35,7.06,4810063,+2.14%
2026-04-09,7.02,7.32,7.32,6.93,4428447,-4.36%
2026-04-08,7.34,7.3,7.4,6.91,11640410,+13.80%
2026-04-07,6.45,6.52,6.53,6.32,1297260,-1.07%
2026-04-06,6.52,6.3,6.58,6.27,2826545,+2.84%
2026-04-03,6.34,6,6.46,6,2238769,-0.94%
2026-04-02,6.4,6.41,6.46,6.25,1887621,-3.90%
2026-04-01,6.66,6.51,6.84,6.51,5082747,+4.55%
2026-03-31,6.37,6.35,6.45,6.3,1066931,+1.92%
2026-03-30,6.25,6.55,6.55,6.2,2981074,-5.87%
2026-03-27,6.64,6.8,6.87,6.59,4247753,-2.21%
2026-03-26,6.79,7,7.05,6.75,3204678,-3.82%
2026-03-25,7.06,6.94,7.17,6.87,6216593,+2.47%
2026-03-24,6.89,7.25,7.25,6.84,5326268,+2.38%
2026-03-19,6.73,6.8,6.85,6.51,1145073,-1.46%
2026-03-18,6.83,6.88,7.05,6.8,4272277,-0.15%
2026-03-17,6.84,6.93,7.03,6.76,1211649,-1.30%
2026-03-16,6.93,6.99,7.34,6.81,1254781,-0.29%
2026-03-13,6.95,6.9,7.09,6.88,2713585,+0.58%
2026-03-12,6.91,7,7.1,6.73,1317040,-1.43%
2026-03-11,7.01,7.36,7.4,6.94,2135956,-2.91%
2026-03-10,7.22,7,7.35,7,2846460,+10.57%
2026-03-09,6.53,7.2,7.2,6.35,3180402,-10.55%
2026-03-06,7.3,7.77,7.77,7.21,2658682,-4.45%
2026-03-05,7.64,6.74,7.73,6.74,8510545,+13.35%
2026-03-04,6.74,6.56,6.99,6.45,6334187,+3.06%
2026-03-03,6.54,6.32,7,6.32,6699281,-2.10%
2026-03-02,6.68,6.8,6.98,6.68,5133942,-13.02%
2026-02-27,7.68,7.79,7.79,7.16,7506787,-1.79%
2026-02-26,7.82,8.31,8.32,7.81,25850620,-11.24%
2026-02-25,8.81,8.9,9.11,8.7,3254348,-1.12%
2026-02-24,8.91,9,9.2,8.75,3536512,-0.45%
2026-02-23,8.95,9.5,9.56,8.8,2920820,-6.28%
2026-02-20,9.55,9.99,10,9.15,4006003,-2.15%
2026-02-19,9.76,10.41,10.43,9.62,3363826,-6.33%
2026-02-18,10.42,10.22,10.5,10.13,3908031,+2.56%
2026-02-17,10.16,10.39,10.85,10.06,9459061,-2.31%
2026-02-16,10.4,11.07,11.3,10.1,8536959,-5.97%
2026-02-13,11.06,11.23,11.4,10.92,6684188,-1.51%
2026-02-12,11.23,11.65,11.9,10.94,6741553,-3.85%
2026-02-11,11.68,11.93,11.96,11.63,2530954,-2.10%
2026-02-10,11.93,12.44,12.47,11.86,5190048,-3.71%
2026-02-09,12.39,12.4,12.52,12.2,18448780,+1.06%
2026-02-06,12.26,12.15,12.37,12.05,12740140,+0.91%
2026-02-04,12.15,11.77,12.3,11.75,12696450,+3.93%
2026-02-03,11.69,11.68,11.77,11.5,4940737,+0.78%
2026-02-02,11.6,11.55,11.82,11.5,3259990,+0.26%
2026-01-30,11.57,11.69,11.83,11.5,9218488,-0.94%
2026-01-29,11.68,11.97,11.97,11.62,5985360,-1.18%
2026-01-28,11.82,11.75,12.08,11.75,3223145,-1.01%
2026-01-27,11.94,12.28,12.28,11.82,5750952,-1.49%
2026-01-26,12.12,12.25,12.55,12.05,6708128,-2.81%
2026-01-23,12.47,12.37,12.8,12.25,15201640,+0.32%
2026-01-22,12.43,12.3,12.6,12.1,11131220,+1.06%
2026-01-21,12.3,12.44,12.82,12.25,23872930,-0.89%
2026-01-20,12.41,12.22,12.55,11.86,30314110,+2.65%
2026-01-19,12.09,11.72,12.15,11.6,7194443,+3.51%
2026-01-16,11.68,11.55,11.85,11.55,6119381,+1.57%
2026-01-15,11.5,11.52,11.65,11.3,4336188,-0.43%
2026-01-14,11.55,12.05,12.08,11.4,5305861,-3.43%
2026-01-13,11.96,12.15,12.22,11.92,3809294,-1.40%
2026-01-12,12.13,12.5,12.5,12.06,5733701,-2.26%
2026-01-09,12.41,12.44,12.59,12.31,6576706,-0.40%
