date,close,open,high,low,volume,change_pct
"Jun 24, 2026",9.36,9.79,9.79,9.36,2320209,-3.41%
"Jun 23, 2026",9.69,9.84,9.84,9.69,172848,-0.51%
"Jun 22, 2026",9.74,9.9,9.9,9.74,3497525,-0.10%
"Jun 19, 2026",9.75,9.99,9.99,9.75,1320708,-1.81%
"Jun 18, 2026",9.93,10.05,10.05,9.93,2719849,-0.10%
"Jun 17, 2026",9.94,9.88,9.94,9.88,7466650,+2.05%
"Jun 16, 2026",9.74,9.75,9.75,9.74,9488372,+2.74%
"Jun 15, 2026",9.48,9.54,9.54,9.48,3334077,+0.21%
"Jun 12, 2026",9.46,10,10,9.46,12949495,-2.87%
"Jun 11, 2026",9.74,9.14,9.74,9.14,26676185,+7.27%
"Jun 10, 2026",9.08,9.2,9.2,9.08,20446123,+0.22%
"Jun 09, 2026",9.06,8.51,9.06,8.51,16207570,+10.09%
"Jun 08, 2026",8.23,8.1,8.23,8.1,298870,+2.75%
"Jun 05, 2026",8.01,7.71,8.01,7.71,357891,+0.12%
"Jun 04, 2026",8,7.98,8,7.98,97446,+1.01%
"Jun 03, 2026",7.92,7.8,7.92,7.8,17211,+0.25%
"Jun 02, 2026",7.9,7.99,7.99,7.9,5829,-0.63%
"Jun 01, 2026",7.95,8.09,8.09,7.95,83190,-0.62%
"May 29, 2026",8,7.94,8,7.94,98691,+0.25%
"May 25, 2026",7.98,8.14,8.14,7.98,43781,+1.01%
"May 22, 2026",7.9,8.13,8.13,7.9,298585,-1.25%
"May 21, 2026",8,8.23,8.23,8,17652463,-0.25%
"May 20, 2026",8.02,8.1,8.1,8.02,5294731,+0.12%
"May 19, 2026",8.01,8.2,8.2,8.01,201152,+0.00%
"May 18, 2026",8.01,8.34,8.34,8.01,6199925,-1.23%
"May 15, 2026",8.11,8.14,8.14,8.11,11051848,+1.37%
"May 14, 2026",8,8.35,8.35,8,151843,-2.32%
"May 13, 2026",8.19,7.95,8.19,7.95,9496578,+1.99%
"May 12, 2026",8.03,8.15,8.15,8.03,150304,-0.86%
"May 11, 2026",8.1,7.96,8.1,7.96,27683,+0.25%
"May 08, 2026",8.08,8.1,8.1,8.08,118962,-0.25%
"May 07, 2026",8.1,8.05,8.1,8.05,6473857,+1.25%
"May 06, 2026",8,7.85,8,7.85,374948,+1.27%
"May 05, 2026",7.9,7.71,7.9,7.71,171456,+1.28%
"May 04, 2026",7.8,8.49,8.49,7.8,4757929,-1.02%
"Apr 30, 2026",7.88,8.09,8.09,7.88,5455060,-2.72%
"Apr 29, 2026",8.1,8.2,8.2,8.1,21507674,-1.70%
"Apr 28, 2026",8.24,8,8.24,8,29255709,+3.13%
"Apr 27, 2026",7.99,7.99,7.99,7.99,98819,+0.00%
