date,close,open,high,low,volume,change_pct
"Jun 24, 2026",25.33,25.5,26.25,25.3,209205,+0.52%
"Jun 23, 2026",25.2,25.35,26.25,24.2,2030688,+0.64%
"Jun 22, 2026",25.04,25,25.74,25,2600313,+3.77%
"Jun 19, 2026",24.13,22.5,24.94,21.66,1345327,+6.44%
"Jun 18, 2026",22.67,22,23,21.62,589146,+2.44%
"Jun 17, 2026",22.13,22,23.5,21.01,634864,-0.27%
"Jun 16, 2026",22.19,22.89,22.89,22.17,29098,-0.40%
"Jun 15, 2026",22.28,22.89,23,22.18,55616,-1.46%
"Jun 12, 2026",22.61,21.78,23.25,21,1927463,+6.10%
"Jun 11, 2026",21.31,21.5,22.24,21.05,629492,-6.37%
"Jun 10, 2026",22.76,23,23.05,21.5,637167,-2.15%
"Jun 09, 2026",23.26,22.8,24.39,21,1011447,+4.92%
"Jun 08, 2026",22.17,23.27,23.27,21.9,2042251,+4.82%
"Jun 05, 2026",21.15,19.5,21.15,19.08,1749849,+9.98%
"Jun 04, 2026",19.23,19.45,19.9,19,525248,+0.68%
"Jun 03, 2026",19.1,18.5,19.5,17.81,555765,+5.00%
"Jun 02, 2026",18.19,18.76,18.76,18.15,82532,-1.57%
"Jun 01, 2026",18.48,18.5,18.86,18.05,330431,+0.49%
"May 29, 2026",18.39,17.6,18.5,17,1984374,+5.75%
"May 25, 2026",17.39,17.74,17.74,16.7,172345,+1.99%
"May 22, 2026",17.05,18.09,18.09,16.9,1615572,-4.16%
"May 21, 2026",17.79,17.4,18.1,17.4,2722750,-0.78%
"May 20, 2026",17.93,17.75,17.95,17.75,282256,+0.79%
"May 19, 2026",17.79,17.55,18.13,17.45,530760,-0.84%
"May 18, 2026",17.94,17.87,18,17.2,635916,+0.67%
"May 15, 2026",17.82,17.84,18.45,17.75,851726,-0.11%
"May 14, 2026",17.84,17.94,18.39,17.5,1998534,+0.34%
"May 13, 2026",17.78,18.21,18.49,17.5,2027242,-1.00%
"May 12, 2026",17.96,16.5,18.08,16.05,3239913,+9.25%
"May 11, 2026",16.44,15.82,16.5,15,1282114,+6.06%
"May 08, 2026",15.5,14.2,15.9,14.2,909039,+3.89%
"May 07, 2026",14.92,14.85,15.5,14.2,1714807,+0.61%
"May 06, 2026",14.83,13.5,14.83,13.5,5801976,+10.01%
"May 05, 2026",13.48,13.5,13.75,13.03,768845,+0.90%
"May 04, 2026",13.36,12.95,13.96,12.06,1611504,+4.54%
"Apr 30, 2026",12.78,12.01,12.95,11.98,1266212,+1.35%
"Apr 29, 2026",12.61,12.92,12.92,12.26,575900,-1.48%
"Apr 28, 2026",12.8,12.52,12.88,12.2,1586532,+2.24%
"Apr 27, 2026",12.52,11.95,12.74,11.5,2405479,+5.83%
"Apr 24, 2026",11.83,11.39,12.24,11.01,6637441,+4.23%
"Apr 23, 2026",11.35,10.99,11.58,10.12,2772991,+4.80%
"Apr 22, 2026",10.83,10.04,10.9,9.83,1351976,+7.98%
"Apr 21, 2026",10.03,10.79,11.25,9.75,4368226,-5.56%
"Apr 20, 2026",10.62,11.44,11.79,10.54,2148556,-7.25%
"Apr 17, 2026",11.45,11.05,12.14,11,10511422,+3.71%
"Apr 16, 2026",11.04,10.26,11.4,10.26,2996517,+3.95%
"Apr 15, 2026",10.62,10.7,11.08,10.4,4670148,+5.46%
"Apr 14, 2026",10.07,9.2,10.07,9,1600752,+11.03%
"Apr 13, 2026",9.07,9.26,9.64,8.79,2071960,-6.40%
"Apr 10, 2026",9.69,9.85,10.38,9,4765528,-2.02%
"Apr 09, 2026",9.89,9.5,9.89,9.5,2413044,+8.09%
"Apr 08, 2026",9.15,8.98,9.15,8.98,851236,+12.27%
"Apr 07, 2026",8.15,7.7,8.15,7.7,713616,+1.75%
"Apr 06, 2026",8.01,8.4,8.4,8.01,217191,-1.84%
"Apr 03, 2026",8.16,7.5,8.16,7.5,88981,-0.85%
"Apr 02, 2026",8.23,8.6,8.6,8.23,42366,-2.02%
"Apr 01, 2026",8.4,8.35,8.4,8.35,421906,+3.58%
"Mar 31, 2026",8.11,8,8.11,8,347447,+4.65%
"Mar 30, 2026",7.75,8.05,8.05,7.75,303732,-6.29%
"Mar 27, 2026",8.27,8.7,8.7,8.27,12803,-3.84%
"Mar 26, 2026",8.6,8.95,8.95,8.6,270552,-4.34%
"Mar 25, 2026",8.99,8.9,8.99,8.9,120269,+0.67%
"Mar 24, 2026",8.93,9.28,9.28,8.93,1391946,-2.19%
"Mar 19, 2026",9.13,9,9.13,9,18301,+0.66%
"Mar 18, 2026",9.07,9.19,9.19,9.07,8801,+0.22%
"Mar 17, 2026",9.05,8.98,9.05,8.98,121361,+1.23%
"Mar 16, 2026",8.94,9.64,9.64,8.94,157751,-5.30%
"Mar 13, 2026",9.44,9.3,9.44,9.3,82045,+1.51%
"Mar 12, 2026",9.3,9.46,9.46,9.3,176833,-1.69%
"Mar 11, 2026",9.46,9.7,9.7,9.46,229107,-0.73%
"Mar 10, 2026",9.53,8.61,9.53,8.61,1290729,+11.33%
"Mar 09, 2026",8.56,8.58,8.58,8.56,61609,-10.18%
"Mar 06, 2026",9.53,9.95,9.95,9.53,52733,-0.31%
"Mar 05, 2026",9.56,9.4,9.56,9.4,534541,+1.70%
"Mar 04, 2026",9.4,8.25,9.4,8.25,64585,+6.58%
"Mar 03, 2026",8.82,8.7,8.82,8.7,95827,-5.77%
"Mar 02, 2026",9.36,9.37,9.37,9.36,103321,-10.09%
"Feb 27, 2026",10.41,10,10.41,10,512639,+2.16%
"Feb 26, 2026",10.19,9.6,10.19,9.6,149335,+6.15%
"Feb 25, 2026",9.6,9.88,9.88,9.6,108536,+0.21%
"Feb 24, 2026",9.58,9.8,9.8,9.58,128224,-3.23%
"Feb 23, 2026",9.9,10.78,10.78,9.9,161358,-4.26%
"Feb 20, 2026",10.34,11.1,11.1,10.34,76032,-6.85%
"Feb 19, 2026",11.1,11.15,11.15,11.1,101753,-0.09%
"Feb 18, 2026",11.11,11.05,11.11,11.05,214492,+0.91%
"Feb 17, 2026",11.01,10.9,11.01,10.9,711131,+2.23%
"Feb 16, 2026",10.77,11.4,11.4,10.77,272518,-4.18%
"Feb 13, 2026",11.24,11.74,11.74,11.24,931563,-3.85%
"Feb 12, 2026",11.69,12.8,12.8,11.69,979121,-9.24%
"Feb 11, 2026",12.88,13.1,13.1,12.88,726144,-0.62%
"Feb 10, 2026",12.96,12.55,12.96,12.55,4396352,+3.51%
"Feb 09, 2026",12.52,12.6,12.6,12.52,234431,-2.87%
"Feb 06, 2026",12.89,13.2,13.2,12.89,421059,-2.35%
"Feb 04, 2026",13.2,12.15,13.2,12.15,3810500,+7.84%
"Feb 03, 2026",12.24,12.74,12.74,12.24,876969,-2.63%
"Feb 02, 2026",12.57,12.8,12.8,12.57,817525,-3.38%
"Jan 30, 2026",13.01,13.06,13.06,13.01,179042,-0.38%
"Jan 29, 2026",13.06,12.72,13.06,12.72,1768267,+2.67%
"Jan 28, 2026",12.72,13,13,12.72,63611,-0.39%
"Jan 27, 2026",12.77,13.1,13.1,12.77,95750,-2.00%
"Jan 26, 2026",13.03,13.24,13.24,13.03,954415,-0.23%
"Jan 23, 2026",13.06,13.5,13.5,13.06,2528429,-2.90%
"Jan 22, 2026",13.45,14.5,14.5,13.45,1285488,-6.34%
"Jan 21, 2026",14.36,14.64,14.64,14.36,2141155,-1.44%
"Jan 20, 2026",14.57,14.75,14.75,14.57,6714154,+0.41%
"Jan 19, 2026",14.51,13.4,14.51,13.4,5982104,+10.01%
"Jan 16, 2026",13.19,13.1,13.19,13.1,36683,+1.15%
"Jan 15, 2026",13.04,12.61,13.04,12.61,810748,-0.61%
"Jan 14, 2026",13.12,14.27,14.27,13.12,749991,-9.52%
"Jan 13, 2026",14.5,14.86,14.86,14.5,482842,-2.23%
"Jan 12, 2026",14.83,14.62,14.83,14.62,926186,+0.20%
"Jan 09, 2026",14.8,13.6,14.8,13.6,3232097,+8.82%
"Jan 08, 2026",13.6,14.3,14.3,13.6,1131160,-5.16%
"Jan 07, 2026",14.34,16.59,16.59,14.34,4380048,-8.89%
"Jan 06, 2026",15.74,15.74,15.74,15.74,759152,+9.99%
"Jan 05, 2026",14.31,13.88,14.31,13.88,3128646,+9.99%
"Jan 02, 2026",13.01,13.01,13.01,13.01,1967069,+9.97%
"Jan 01, 2026",11.83,10.55,11.83,10.55,2521422,+10.05%
"Dec 31, 2025",10.75,10.5,10.75,10.5,707564,-0.65%
"Dec 30, 2025",10.82,10.6,10.82,10.6,1515699,+2.46%
"Dec 29, 2025",10.56,10.88,10.88,10.56,842832,+0.38%
"Dec 26, 2025",10.52,10.01,10.52,10.01,607762,+5.31%
"Dec 24, 2025",9.99,10.05,10.05,9.99,179162,-0.10%
"Dec 23, 2025",10,10.21,10.21,10,469382,-4.31%
"Dec 22, 2025",10.45,11.1,11.1,10.45,968436,-4.30%
"Dec 19, 2025",10.92,10.25,10.92,10.25,2833817,+6.54%
"Dec 18, 2025",10.25,11.1,11.1,10.25,3056969,-4.30%
"Dec 17, 2025",10.71,9.9,10.71,9.9,9204012,+10.30%
"Dec 16, 2025",9.71,9.15,9.71,9.15,6088476,+5.66%
"Dec 15, 2025",9.19,9.18,9.19,9.18,610177,+0.11%
"Dec 12, 2025",9.18,9.7,9.7,9.18,2555861,-3.87%
"Dec 11, 2025",9.55,9.56,9.56,9.55,16877273,+11.57%
"Dec 10, 2025",8.56,7.87,8.56,7.87,3972507,+13.23%
"Dec 09, 2025",7.56,7.24,7.56,7.24,1877719,+5.00%
"Dec 08, 2025",7.2,6.99,7.2,6.99,486006,+4.20%
"Dec 05, 2025",6.91,7.1,7.1,6.91,93828,-1.00%
"Dec 04, 2025",6.98,7.1,7.1,6.98,57908,-0.29%
"Dec 03, 2025",7,7.1,7.1,7,52891,-0.14%
"Dec 02, 2025",7.01,7.1,7.1,7.01,58848,+0.00%
"Dec 01, 2025",7.01,6.98,7.01,6.98,128211,+0.57%
"Nov 28, 2025",6.97,6.93,6.97,6.93,78770,-0.43%
"Nov 27, 2025",7,7.02,7.02,7,54393,+1.45%
"Nov 26, 2025",6.9,7.35,7.35,6.9,348684,-4.17%
"Nov 25, 2025",7.2,7.28,7.28,7.2,30959,+0.42%
"Nov 24, 2025",7.17,7.3,7.3,7.17,42382,-0.69%
"Nov 21, 2025",7.22,7.3,7.3,7.22,62042,-1.63%
"Nov 20, 2025",7.34,7.25,7.34,7.25,44227,+0.96%
"Nov 19, 2025",7.27,7.44,7.44,7.27,104249,-0.95%
"Nov 18, 2025",7.34,7.57,7.57,7.34,151764,-2.13%
"Nov 17, 2025",7.5,7.74,7.74,7.5,848534,-1.06%
"Nov 14, 2025",7.58,7.1,7.58,7.1,1041875,+7.67%
"Nov 13, 2025",7.04,7.3,7.3,7.04,49313,-0.71%
"Nov 12, 2025",7.09,7.1,7.1,7.09,274343,+0.71%
"Nov 11, 2025",7.04,7.25,7.25,7.04,149318,-3.30%
"Nov 10, 2025",7.28,7.3,7.3,7.28,16002,-0.14%
"Nov 07, 2025",7.29,7.49,7.49,7.29,74931,+0.83%
"Nov 06, 2025",7.23,7.4,7.4,7.23,49075,-0.55%
"Nov 05, 2025",7.27,7.45,7.45,7.27,167152,-2.28%
"Nov 04, 2025",7.44,7.15,7.44,7.15,571489,+2.90%
"Nov 03, 2025",7.23,7.3,7.3,7.23,73555,-0.82%
"Oct 31, 2025",7.29,7.06,7.29,7.06,212553,+3.70%
"Oct 30, 2025",7.03,7.28,7.28,7.03,106766,-3.43%
"Oct 29, 2025",7.28,7.5,7.5,7.28,144719,+0.69%
"Oct 28, 2025",7.23,7.49,7.49,7.23,100325,-2.30%
"Oct 27, 2025",7.4,7.5,7.5,7.4,50147,-1.33%
"Oct 24, 2025",7.5,7.42,7.5,7.42,28921,+0.13%
"Oct 23, 2025",7.49,7.68,7.68,7.49,156659,-0.53%
"Oct 22, 2025",7.53,7.75,7.75,7.53,395331,-1.05%
"Oct 21, 2025",7.61,7.69,7.69,7.61,2513629,+0.13%
"Oct 20, 2025",7.6,7.77,7.77,7.6,103076,+0.00%
"Oct 17, 2025",7.6,7.6,7.6,7.6,503551,+2.01%
"Oct 16, 2025",7.45,7.55,7.55,7.45,94756,-0.80%
"Oct 15, 2025",7.51,7.56,7.56,7.51,168413,-0.66%
"Oct 14, 2025",7.56,7.21,7.56,7.21,230473,+4.85%
"Oct 13, 2025",7.21,7.5,7.5,7.21,376533,-4.38%
"Oct 10, 2025",7.54,7.59,7.59,7.54,463923,+0.53%
"Oct 09, 2025",7.5,7.3,7.5,7.3,251580,+2.88%
"Oct 08, 2025",7.29,7.55,7.55,7.29,392612,-2.67%
"Oct 07, 2025",7.49,7.64,7.64,7.49,283582,-0.93%
"Oct 06, 2025",7.56,7.65,7.65,7.56,234795,+0.67%
"Oct 03, 2025",7.51,7.79,7.79,7.51,350650,+0.00%
"Oct 02, 2025",7.51,7.88,7.88,7.51,420497,-3.10%
"Oct 01, 2025",7.75,7.7,7.75,7.7,304973,+0.13%
"Sep 30, 2025",7.74,7.95,7.95,7.74,247134,-0.77%
"Sep 29, 2025",7.8,7.9,7.9,7.8,335549,+0.00%
"Sep 26, 2025",7.8,7.96,7.96,7.8,686670,-0.26%
"Sep 25, 2025",7.82,7.96,7.96,7.82,810082,-1.39%
"Sep 24, 2025",7.93,8.03,8.03,7.93,563646,-1.12%
"Sep 23, 2025",8.02,8.06,8.06,8.02,508915,-0.50%
"Sep 22, 2025",8.06,8.11,8.11,8.06,586183,-0.62%
"Sep 19, 2025",8.11,8.36,8.36,8.11,1558811,-2.29%
"Sep 18, 2025",8.3,8.2,8.3,8.2,2596591,+1.84%
"Sep 17, 2025",8.15,8.18,8.18,8.15,2006209,+1.88%
"Sep 16, 2025",8,7.59,8,7.59,1485549,+6.95%
"Sep 15, 2025",7.48,7.51,7.51,7.48,47652,-0.53%
"Sep 12, 2025",7.52,7.75,7.75,7.52,231677,-2.08%
"Sep 11, 2025",7.68,7.8,7.8,7.68,546265,+0.39%
"Sep 10, 2025",7.65,7.65,7.65,7.65,379764,+0.00%
"Sep 09, 2025",7.65,7.79,7.79,7.65,99692,-0.13%
"Sep 08, 2025",7.66,7.79,7.79,7.66,474210,-0.13%
"Sep 05, 2025",7.67,7.78,7.78,7.67,203083,-0.39%
"Sep 04, 2025",7.7,7.75,7.75,7.7,630739,+0.13%
"Sep 03, 2025",7.69,7.77,7.77,7.69,982604,+0.79%
"Sep 02, 2025",7.63,7.78,7.78,7.63,624779,-0.39%
