date,close,open,high,low,volume,change_pct
2026-07-01,26,25.03,26.25,25.03,8843049,+3.54%
2026-06-30,25.11,24.99,25.35,24.85,2924434,+0.97%
2026-06-29,24.87,25.35,25.5,24.81,2985437,-1.70%
2026-06-24,25.3,25.01,25.43,25.01,3785743,+0.72%
2026-06-23,25.12,26,26,25.02,5237516,-2.33%
2026-06-22,25.72,26.11,26.29,25.65,3382592,-0.46%
2026-06-19,25.84,26.62,26.79,25.72,5129768,-2.86%
2026-06-18,26.6,26.62,27.29,26.51,10933650,-0.52%
2026-06-17,26.74,26.6,27.37,26.57,22719580,+1.87%
2026-06-16,26.25,25.5,26.6,25.25,16155230,+3.27%
2026-06-15,25.42,25.25,25.9,25,5477122,+3.17%
2026-06-12,24.64,25.05,25.05,24.6,1908305,-0.24%
2026-06-11,24.7,24.71,24.89,24.23,1345364,-0.04%
2026-06-10,24.71,24.25,25.24,24.03,6072501,+0.65%
2026-06-09,24.55,24.34,24.65,24.33,1438482,+1.45%
2026-06-08,24.2,24.05,24.28,23.95,1711332,-1.26%
2026-06-05,24.51,24.41,24.92,24.4,3117126,-0.12%
2026-06-04,24.54,24.6,24.95,24.32,2863625,+0.04%
2026-06-03,24.53,24.99,25.2,24.4,6068109,-1.88%
2026-06-02,25,24.17,25.6,24.01,14079730,+3.73%
2026-06-01,24.1,24.08,24.28,23.85,2034124,+0.08%
2026-05-29,24.08,24.25,24.38,23.87,2999568,-0.70%
2026-05-25,24.25,24.35,24.41,24.1,1884978,+1.25%
2026-05-22,23.95,24.25,24.28,23.81,1572548,-0.70%
2026-05-21,24.12,24.03,24.32,23.9,4392082,+1.82%
2026-05-20,23.69,23.89,23.93,23.53,2396926,-0.59%
2026-05-19,23.83,23.99,24.4,23.74,1280841,+0.04%
2026-05-18,23.82,24.78,24.9,23.7,2617797,-3.87%
2026-05-15,24.78,24.95,25.14,24.65,1055522,-0.84%
2026-05-14,24.99,25.2,25.8,24.9,4690977,-0.56%
2026-05-13,25.13,24.51,25.3,24.18,5578161,+1.25%
2026-05-12,24.82,25.55,26,24.7,4307308,-2.70%
2026-05-11,25.51,24.5,26.15,24.5,6238404,+1.96%
2026-05-08,25.02,24.99,25.4,24.65,3490422,-0.44%
2026-05-07,25.13,25.25,25.5,24.75,4137253,+0.12%
2026-05-06,25.1,24.25,25.24,24.16,5962722,+5.64%
2026-05-05,23.76,23.5,23.9,22.81,2930332,+0.30%
2026-05-04,23.69,24.15,24.89,23.4,5600248,+0.55%
2026-04-30,23.56,23.72,23.89,22.6,4277634,-2.85%
2026-04-29,24.25,26.19,26.35,23.9,9462581,-7.19%
2026-04-28,26.13,24.65,27.12,24.65,14456710,+3.53%
2026-04-27,25.24,25,25.6,25,2943519,+0.48%
2026-04-24,25.12,24.85,25.49,24,3705899,-0.28%
2026-04-23,25.19,25.35,25.6,24.91,1904258,-0.71%
2026-04-22,25.37,25.5,25.7,25.05,2380011,-0.51%
2026-04-21,25.5,25.74,26.15,25.4,4059858,-0.93%
2026-04-20,25.74,25.51,26.45,24.8,6770794,-2.76%
2026-04-17,26.47,26.3,26.79,26.15,6804065,+1.53%
2026-04-16,26.07,25.49,26.63,25.1,10888540,+3.70%
2026-04-15,25.14,25.15,25.94,24.9,11498600,+2.78%
2026-04-14,24.46,23.6,24.68,23.5,7510104,+5.89%
2026-04-13,23.1,23.6,23.9,22.9,4511857,-6.25%
2026-04-10,24.64,23.61,24.83,23.61,6283530,+4.85%
2026-04-09,23.5,23.99,24,23.25,4532712,-2.04%
2026-04-08,23.99,23.99,23.99,23.6,5380195,+10.00%
2026-04-07,21.81,21.25,22,20.8,3028000,+2.35%
2026-04-06,21.31,20.96,21.67,20.51,4072501,+2.60%
2026-04-03,20.77,19.55,21.48,19.55,3895286,-0.14%
2026-04-02,20.8,20.82,21.1,20.45,3963216,-3.88%
2026-04-01,21.64,21.01,22.1,20.65,6042167,+7.39%
2026-03-31,20.15,20.6,21.3,20,5509878,-2.42%
2026-03-30,20.65,21.8,21.8,19.87,3558451,-4.88%
2026-03-27,21.71,22.4,22.65,21.6,3188251,-2.38%
2026-03-26,22.24,22.66,23.18,22.1,2819765,-4.22%
2026-03-25,23.22,22.97,23.63,22.65,4784169,+2.56%
2026-03-24,22.64,22.51,23,22.11,7134655,+3.24%
2026-03-19,21.93,22.21,22.21,21.43,1331489,-2.58%
2026-03-18,22.51,21.29,22.7,21.12,1680825,+5.58%
2026-03-17,21.32,21.14,21.84,20.61,961277,+0.47%
2026-03-16,21.22,21.75,22.17,20.85,1895577,-3.68%
2026-03-13,22.03,21.81,22.48,21.8,1184459,-1.26%
2026-03-12,22.31,22.4,22.79,21.79,2711452,-1.54%
2026-03-11,22.66,22.15,23.25,22.1,2924602,+0.89%
2026-03-10,22.46,21.88,22.51,21.65,3721349,+9.78%
2026-03-09,20.46,21.07,21.09,20.46,3922039,-9.99%
2026-03-06,22.73,23.66,23.66,22.16,2424394,-3.93%
2026-03-05,23.66,21.75,23.86,21.75,4808740,+9.08%
2026-03-04,21.69,21.49,21.9,20.7,2534665,+1.12%
2026-03-03,21.45,19.77,21.69,19.77,4836286,-0.65%
2026-03-02,21.59,21.59,22.1,21.59,3961619,-10.00%
2026-02-27,23.99,24.45,24.69,23.11,4548195,-5.55%
2026-02-26,25.4,24.12,25.72,23.25,6645774,+5.31%
2026-02-25,24.12,24.94,24.94,23.81,2502870,-0.74%
2026-02-24,24.3,23.89,25.24,23,5541872,+1.08%
2026-02-23,24.04,26.25,26.41,23.51,4784534,-7.43%
2026-02-20,25.97,26.89,27.2,24.68,8746103,-3.64%
2026-02-19,26.95,29.81,29.95,26.68,4824815,-9.08%
2026-02-18,29.64,29.1,29.88,29.01,3186617,+2.95%
2026-02-17,28.79,28.5,29.18,27.85,6934043,+1.59%
2026-02-16,28.34,30.07,30.25,28,6414123,-5.47%
2026-02-13,29.98,30.5,30.6,29.73,4891899,-1.48%
2026-02-12,30.43,31.29,31.5,30,4866376,-2.50%
2026-02-11,31.21,32.22,32.49,31.03,6552822,-2.50%
2026-02-10,32.01,32.4,32.7,31.85,5154191,-0.93%
2026-02-09,32.31,33.5,33.6,32,4287442,-2.68%
2026-02-06,33.2,34,34.05,33,2533784,-2.15%
2026-02-04,33.93,34,34.25,33.77,3005607,+0.44%
2026-02-03,33.78,33.5,34.13,33.42,6181042,+0.99%
2026-02-02,33.45,32.8,33.63,32.71,4324658,+2.26%
2026-01-30,32.71,32.65,33.51,32.4,6675335,+0.25%
2026-01-29,32.63,33.99,33.99,32.33,8029503,-3.40%
2026-01-28,33.78,34.5,34.58,33.68,3423404,-1.08%
2026-01-27,34.15,34.05,34.75,34,5252449,-0.44%
2026-01-26,34.3,34.47,34.7,33.69,10284290,-0.46%
2026-01-23,34.46,34.8,35.08,34.11,4903841,-0.89%
2026-01-22,34.77,34.95,35.36,34.75,7105999,-0.26%
2026-01-21,34.86,36.25,37,34.67,22085150,-3.62%
2026-01-20,36.17,33.99,36.8,33.99,58610870,+7.71%
2026-01-19,33.58,33.7,34.64,33.25,14046850,+0.39%
2026-01-16,33.45,32.7,33.56,32.6,7566252,+3.66%
2026-01-15,32.27,32.9,33.14,32.01,4964617,-1.44%
2026-01-14,32.74,34.15,34.28,32.5,6774491,-4.16%
2026-01-13,34.16,33.5,34.4,33.2,8898371,+1.97%
2026-01-12,33.5,33.8,34.45,33.27,8420206,-0.71%
2026-01-09,33.74,34.07,34.55,33.22,11432880,-0.71%
2026-01-08,33.98,32.8,35.39,32.48,54056210,+4.59%
2026-01-07,32.49,31.9,32.89,31.87,12791530,+1.66%
2026-01-06,31.96,32.08,32.6,31.82,7574726,-0.37%
2026-01-05,32.08,31.92,32.65,31.75,7441414,+0.12%
2026-01-02,32.04,32.5,32.9,31.91,6165535,-0.74%
2026-01-01,32.28,31.65,32.8,31.65,10000030,+2.22%
2025-12-31,31.58,32.06,32.19,31.5,3825058,-0.82%
2025-12-30,31.84,31.39,32,31.01,4973672,+2.18%
2025-12-29,31.16,31.2,31.5,31.1,2161019,+0.74%
2025-12-26,30.93,30.88,31.12,30.7,3534917,+0.16%
2025-12-24,30.88,31.15,31.4,30.77,2455860,-0.45%
2025-12-23,31.02,31.44,31.44,31,3220830,-0.70%
2025-12-22,31.24,31.75,31.79,31.13,2667862,-1.11%
2025-12-19,31.59,32.13,32.3,31.53,5621845,-1.68%
2025-12-18,32.13,32.35,32.6,32.05,7721431,+0.82%
2025-12-17,31.87,31.22,32.15,31.05,7918167,+2.44%
2025-12-16,31.11,31.83,31.93,30.95,5442661,-1.71%
2025-12-15,31.65,31.9,31.93,31.54,1908454,-0.31%
2025-12-12,31.75,31.96,31.99,31.68,1863093,+0.09%
2025-12-11,31.72,32.03,32.39,31.6,2933819,-0.97%
2025-12-10,32.03,31.98,32.56,31.9,7207195,+0.60%
2025-12-09,31.84,31.99,32.31,31.79,7258382,+0.03%
2025-12-08,31.83,31.65,32.3,31.5,7102489,+0.57%
2025-12-05,31.65,32,32.2,31.48,3274062,-0.13%
2025-12-04,31.69,31.51,31.98,31.51,1204302,+0.09%
2025-12-03,31.66,32.02,32.25,31.59,3303338,-1.12%
2025-12-02,32.02,32.25,32.35,31.9,3503221,-0.68%
2025-12-01,32.24,32.25,32.65,32.07,5725703,-0.06%
2025-11-28,32.26,32.69,33,32.11,6529202,-0.77%
2025-11-27,32.51,31.51,32.74,31.4,11003240,+2.72%
2025-11-26,31.65,31.7,31.89,30.56,4619855,-0.25%
2025-11-25,31.73,31.7,32.61,31.55,5660591,+0.22%
2025-11-24,31.66,32,32.21,31.59,3846553,-1.06%
2025-11-21,32,32.69,32.75,31.89,5738724,-1.72%
2025-11-20,32.56,33.35,33.35,32.28,4309568,-0.82%
