date,close,open,high,low,volume,change_pct
2026-07-01,64.31,64.05,65.33,63.7,3732529,+1.01%
2026-06-30,63.67,63.68,64.5,63.5,2005403,+0.49%
2026-06-29,63.36,64.5,64.89,63,5256210,-1.61%
2026-06-24,64.4,65,66.08,64,5557363,-0.77%
2026-06-23,64.9,66.5,66.5,64.7,2533590,-1.59%
2026-06-22,65.95,67.7,67.7,65,4440941,-1.09%
2026-06-19,66.68,70.2,71.05,66.15,7995966,-4.52%
2026-06-18,69.84,70.42,71.2,69.65,6184621,-0.17%
2026-06-17,69.96,71,71.38,69.69,5587913,-0.65%
2026-06-16,70.42,69.5,71.75,69.11,9599086,+2.28%
2026-06-15,68.85,70.98,71,67.8,6957467,-1.33%
2026-06-12,69.78,71.5,72.1,69.3,6715558,-1.15%
2026-06-11,70.59,70.52,71.2,70.3,2613218,-0.55%
2026-06-10,70.98,71,72.4,70.35,4798074,-0.96%
2026-06-09,71.67,70.5,73.1,70.5,19523810,+3.06%
2026-06-08,69.54,70.06,70.5,68.9,5045154,-2.89%
2026-06-05,71.61,71.98,73.7,71.4,14096210,-0.20%
2026-06-04,71.75,69.8,72.48,69.2,16576430,+2.93%
2026-06-03,69.71,70.5,71.9,69.36,7208442,-1.30%
2026-06-02,70.63,73.98,73.98,69.8,17353780,-4.63%
2026-06-01,74.06,69.99,75.19,69.6,39407500,+7.07%
2026-05-29,69.17,64,69.52,62.5,34194870,+9.45%
2026-05-25,63.2,63.62,64.79,62.85,6029378,+0.85%
2026-05-22,62.67,63.06,64.74,62.35,5044537,-0.40%
2026-05-21,62.92,61.91,65.75,61.8,17655660,+2.78%
2026-05-20,61.22,60.99,61.67,60.1,4128643,+0.53%
2026-05-19,60.9,58.5,61.7,58.01,7806048,+5.18%
2026-05-18,57.9,62.49,63.2,57.44,6345545,-8.72%
2026-05-15,63.43,64.46,64.69,63.05,4162554,+0.33%
2026-05-14,63.22,63.5,64.5,62,9305805,+1.67%
2026-05-13,62.18,69,69.74,61.25,27126140,-7.43%
2026-05-12,67.17,67,67.17,66,4731445,+10.01%
2026-05-11,61.06,57.1,61.06,57.01,17270750,+10.00%
2026-05-08,55.51,54.98,56.39,54.2,3652639,+1.57%
2026-05-07,54.65,54.89,55.68,54.05,2194857,+0.59%
2026-05-06,54.33,52.51,54.68,52.51,3287555,+4.54%
