date,close,open,high,low,volume,change_pct
2026-07-01,16.31,16.5,16.7,16.25,965148,+0.25%
2026-06-30,16.27,15.14,16.5,14.01,1386148,+7.46%
2026-06-29,15.14,15.1,15.4,15,299992,-1.17%
2026-06-24,15.32,15.1,15.49,14.99,384791,+1.73%
2026-06-23,15.06,16.19,16.34,14.5,1005223,-5.87%
2026-06-22,16,16.35,16.35,16,170254,+0.00%
2026-06-19,16,16.3,16.39,15.95,221614,-0.62%
2026-06-18,16.1,16.15,16.5,15.8,360181,+0.50%
2026-06-17,16.02,16.5,16.5,15.9,783268,-1.66%
2026-06-16,16.29,16.5,16.62,16.25,263707,-0.24%
2026-06-15,16.33,16.39,16.63,16.12,236846,+0.55%
2026-06-12,16.24,16.25,16.85,16.05,498029,+0.43%
2026-06-11,16.17,16.2,16.3,16.06,266060,+0.50%
2026-06-10,16.09,16.24,16.24,15.9,319191,-0.12%
2026-06-09,16.11,15.98,16.46,15.86,622455,+1.00%
2026-06-08,15.95,16.56,16.59,15.7,438320,-3.68%
2026-06-05,16.56,15.99,17.39,15.85,2827352,+4.74%
2026-06-04,15.81,15.74,16,15.66,238859,+0.51%
2026-06-03,15.73,15.8,15.95,15.61,204971,-0.82%
2026-06-02,15.86,16,16.3,15.7,263373,+0.00%
2026-06-01,15.86,16.2,16.4,15.85,376240,-1.25%
2026-05-29,16.06,16.12,16.2,15.91,81306,+0.44%
2026-05-25,15.99,16,16.44,15.88,272208,-0.87%
2026-05-22,16.13,16.56,16.9,15.8,251426,-0.68%
2026-05-21,16.24,16.64,16.64,15.7,537047,+1.95%
2026-05-20,15.93,15.41,16.05,15.41,107150,+1.14%
2026-05-19,15.75,15.31,16.24,15.31,150525,+2.81%
2026-05-18,15.32,17.18,17.18,15.12,611928,-8.59%
2026-05-15,16.76,16.6,17.13,16.5,300132,-1.99%
2026-05-14,17.1,17.55,17.9,17,502879,-1.67%
2026-05-13,17.39,16.51,17.6,16.51,631114,+3.39%
2026-05-12,16.82,17.79,17.8,16.52,473716,-3.61%
2026-05-11,17.45,16.88,18.29,16.25,1212343,+2.29%
2026-05-08,17.06,17.9,18,17,1023369,-4.85%
2026-05-07,17.93,17.8,18.45,17.1,2382382,+6.35%
2026-05-06,16.86,15.6,16.86,14.8,957237,+9.98%
2026-05-05,15.33,15.06,16,15,330483,-1.54%
2026-05-04,15.57,14.9,16,14.9,1355243,+6.43%
2026-04-30,14.63,15.16,15.16,14.3,702110,-5.49%
2026-04-29,15.48,16.3,16.5,15.38,2096930,-9.26%
2026-04-28,17.06,20.5,20.8,17.06,8333968,-10.02%
2026-04-27,18.96,18.24,18.96,18.21,1104234,+9.98%
2026-04-24,17.24,16.01,17.24,15.7,2082863,+10.02%
2026-04-23,15.67,14.97,15.91,14.02,1610729,+7.92%
2026-04-22,14.52,14.6,15,14.2,109618,-0.75%
2026-04-21,14.63,14.35,14.8,14.1,288715,+1.95%
2026-04-20,14.35,14.4,14.89,14.01,401213,-3.69%
2026-04-17,14.9,14.99,15.15,14.56,286289,+0.68%
2026-04-16,14.8,15,15.16,14,238067,-1.33%
2026-04-15,15,15.06,15.3,14.9,583732,+0.54%
2026-04-14,14.92,14.15,15.25,14.15,716963,+4.63%
2026-04-13,14.26,14.7,14.78,14.1,278458,-4.68%
2026-04-10,14.96,15.18,15.39,14.85,526757,-0.53%
2026-04-09,15.04,15.4,15.78,15,521903,-4.26%
2026-04-08,15.71,15.8,16.24,15.55,1313772,+4.11%
2026-04-07,15.09,15.34,15.44,15,358943,-2.08%
