date,close,open,high,low,volume,change_pct
2026-07-01,1.75,1.76,1.78,1.74,2232038,-1.69%
2026-06-30,1.78,1.75,1.82,1.75,3569294,+2.30%
2026-06-29,1.74,1.8,1.83,1.73,5006637,-3.33%
2026-06-24,1.8,1.77,1.9,1.7,13508730,+3.45%
2026-06-23,1.74,1.78,1.81,1.73,5038024,-2.25%
2026-06-22,1.78,1.84,1.84,1.77,1786701,-0.56%
2026-06-19,1.79,1.8,1.83,1.77,7983216,-0.56%
2026-06-18,1.8,1.8,1.82,1.79,2993578,+0.00%
2026-06-17,1.8,1.8,1.85,1.79,2952495,+0.00%
2026-06-16,1.8,1.84,1.85,1.79,4759610,-0.55%
2026-06-15,1.81,1.81,1.89,1.79,22395590,+0.56%
2026-06-12,1.8,1.85,1.87,1.79,4026839,-0.55%
2026-06-11,1.81,1.8,1.88,1.77,4186949,+0.56%
2026-06-10,1.8,1.86,1.86,1.79,6456429,+0.00%
2026-06-09,1.8,1.79,1.86,1.79,2029317,+0.56%
2026-06-08,1.79,1.78,1.82,1.76,2338044,+0.00%
2026-06-05,1.79,1.79,1.92,1.77,9912968,+0.00%
2026-06-04,1.79,1.8,1.85,1.77,2686015,+0.00%
2026-06-03,1.79,1.8,1.81,1.76,2453540,-0.56%
2026-06-02,1.8,1.81,1.83,1.76,3815179,+0.00%
2026-06-01,1.8,1.82,1.83,1.76,2396090,-1.10%
2026-05-29,1.82,1.82,1.88,1.8,1569136,+0.00%
2026-05-25,1.82,1.95,1.95,1.81,1837292,+0.55%
2026-05-22,1.81,1.87,1.89,1.78,3683759,-2.69%
2026-05-21,1.86,1.86,1.93,1.81,4007369,+2.20%
2026-05-20,1.82,1.94,1.94,1.8,1344017,-0.55%
2026-05-19,1.83,1.83,1.9,1.79,2084539,+0.00%
2026-05-18,1.83,1.98,1.99,1.81,4049584,-8.04%
2026-05-15,1.99,2.01,2.05,1.94,7461686,-0.50%
2026-05-14,2,2,2.13,1.98,62760050,+1.01%
2026-05-13,1.98,1.75,2.05,1.67,26552910,+10.00%
2026-05-12,1.8,1.84,1.88,1.78,6372985,+0.00%
2026-05-11,1.8,1.89,1.89,1.79,4595329,-1.64%
2026-05-08,1.83,1.87,1.92,1.75,2117869,-2.14%
2026-05-07,1.87,1.84,1.89,1.82,3233611,+1.63%
2026-05-06,1.84,1.89,1.89,1.82,5361558,+2.79%
2026-05-05,1.79,1.84,1.84,1.78,10054590,-2.72%
2026-05-04,1.84,1.81,1.94,1.81,3585713,-1.08%
2026-04-30,1.86,1.68,1.9,1.68,11471270,+0.54%
2026-04-29,1.85,1.93,1.93,1.8,12006800,-2.63%
2026-04-28,1.9,1.96,1.99,1.87,7321747,-4.04%
2026-04-27,1.98,2.05,2.1,1.94,12845690,-1.98%
2026-04-24,2.02,2.09,2.15,1.99,36260400,-3.35%
2026-04-23,2.09,2.08,2.17,2.02,46935690,+0.48%
2026-04-22,2.08,2.14,2.14,2.04,14251750,-0.95%
2026-04-21,2.1,2.12,2.15,2.08,14166280,+2.44%
2026-04-20,2.05,2.05,2.15,1.94,26506060,+0.00%
2026-04-17,2.05,2.05,2.18,2,40753580,+0.00%
2026-04-16,2.05,2.11,2.18,1.99,23262440,-2.38%
2026-04-15,2.1,2.22,2.22,2.06,74509680,+9.38%
2026-04-14,1.92,1.84,2.06,1.75,55133500,+11.63%
2026-04-13,1.72,1.7,1.77,1.62,6208855,-3.91%
2026-04-10,1.79,1.8,1.83,1.7,9892246,+1.70%
2026-04-09,1.76,1.82,1.97,1.67,11143830,-3.30%
2026-04-08,1.82,1.6,2.04,1.49,67027410,+25.52%
2026-04-07,1.45,1.37,1.51,1.35,26371130,+5.07%
2026-04-06,1.38,1.4,1.42,1.35,9534529,+0.00%
2026-04-03,1.38,1.35,1.4,1.3,6688484,+0.00%
2026-04-02,1.38,1.43,1.44,1.26,12885900,-2.13%
2026-04-01,1.41,1.44,1.48,1.36,14637550,+1.44%
2026-03-31,1.39,1.39,1.49,1.27,20646240,-6.71%
2026-03-30,1.49,1.58,1.68,1.47,1006275,-5.70%
2026-03-27,1.58,1.69,1.73,1.51,606144,-1.86%
2026-03-26,1.61,1.71,1.74,1.6,1112855,-5.85%
2026-03-25,1.71,1.71,1.75,1.68,505365,+0.59%
2026-03-24,1.7,1.78,1.79,1.7,571222,-1.73%
2026-03-19,1.73,1.71,1.77,1.7,498074,+0.00%
2026-03-18,1.73,1.78,1.78,1.7,362109,+0.00%
2026-03-17,1.73,1.75,1.79,1.71,208358,+1.76%
2026-03-16,1.7,1.75,1.75,1.68,378315,-0.58%
2026-03-13,1.71,1.79,1.79,1.67,315021,+0.59%
2026-03-12,1.7,1.71,1.75,1.67,377702,-0.58%
2026-03-11,1.71,1.81,1.86,1.7,878382,-2.29%
2026-03-10,1.75,1.68,2,1.6,2075272,+13.64%
2026-03-09,1.54,1.45,1.72,1.36,654231,-7.78%
2026-03-06,1.67,1.78,1.78,1.62,807723,+4.37%
2026-03-05,1.6,1.46,1.7,1.45,2058139,+9.59%
2026-03-04,1.46,1.45,1.49,1.36,960906,+0.69%
2026-03-03,1.45,1.5,1.59,1.37,3213833,+0.69%
2026-03-02,1.44,1.31,1.6,1.21,1083542,-13.77%
2026-02-27,1.67,1.65,1.7,1.58,800262,-1.76%
2026-02-26,1.7,1.74,1.75,1.66,731522,+0.59%
2026-02-25,1.69,1.68,1.74,1.6,3307007,+6.29%
2026-02-24,1.59,1.59,1.7,1.49,7964755,+0.00%
2026-02-23,1.59,1.87,1.87,1.5,5054448,-11.17%
2026-02-20,1.79,2.08,2.08,1.51,2656264,-10.05%
2026-02-19,1.99,2.18,2.27,1.91,3716873,-8.72%
2026-02-18,2.18,2.3,2.3,1.8,6600310,-1.36%
2026-02-17,2.21,2.3,2.38,2.16,5353471,-3.49%
2026-02-16,2.29,2.04,2.79,1.92,27570150,+19.77%
2026-02-13,3.28,3.39,3.45,3.21,4299366,+0.00%
2026-02-12,3.28,3.36,3.46,3.25,3081561,-3.81%
2026-02-11,3.41,3.55,3.55,3.3,5145021,-1.16%
2026-02-10,3.45,3.43,3.57,3.37,2321836,+0.58%
2026-02-09,3.43,3.6,3.6,3.38,975978,-3.65%
2026-02-06,3.56,3.6,3.6,3.4,1238480,+1.71%
2026-02-04,3.5,3.45,3.55,3.38,2168218,+3.55%
2026-02-03,3.38,3.24,3.49,3.15,3852645,+5.96%
2026-02-02,3.19,3.4,3.43,3.15,2296221,-4.20%
2026-01-30,3.33,3.49,3.49,3.27,2269591,-1.48%
2026-01-29,3.38,3.63,3.63,3.35,3451021,-3.43%
2026-01-28,3.5,3.5,3.61,3.45,1941625,-2.23%
2026-01-27,3.58,3.59,3.63,3.5,2649740,-0.28%
2026-01-26,3.59,3.62,3.65,3.55,1490018,-0.83%
2026-01-23,3.62,3.71,3.76,3.6,2713024,-0.82%
2026-01-22,3.65,3.67,3.7,3.6,2710995,+0.00%
2026-01-21,3.65,3.75,3.78,3.63,6135994,-2.67%
2026-01-20,3.75,3.88,3.88,3.69,9258027,-3.85%
2026-01-19,3.9,3.81,4,3.74,4683916,+4.00%
2026-01-16,3.75,3.73,3.92,3.72,3238620,+0.54%
2026-01-15,3.73,3.77,3.85,3.69,4735046,-1.06%
2026-01-14,3.77,3.96,3.96,3.71,6853391,-4.07%
2026-01-13,3.93,3.96,3.97,3.86,6609331,-0.51%
2026-01-12,3.95,4,4.01,3.85,6665103,+0.00%
2026-01-09,3.95,4.2,4.2,3.9,18148610,-4.82%
2026-01-08,4.15,4.13,4.28,4.05,21488240,+1.72%
2026-01-07,4.08,3.98,4.18,3.95,31392840,+4.35%
2026-01-06,3.91,3.9,3.95,3.75,25603170,+3.44%
2026-01-05,3.78,3.88,3.91,3.7,14969870,-1.31%
2026-01-02,3.83,3.88,3.91,3.67,12994930,+1.32%
2026-01-01,3.78,3.92,3.97,3.54,50676920,-2.33%
2025-12-31,3.87,4.2,4.29,3.83,47115310,-3.01%
2025-12-30,3.99,3.49,4.2,3.45,57456430,+18.75%
2025-12-29,3.36,3.75,3.98,3.26,39954750,-15.11%
2025-12-26,3.958,3.844,4.027,3.731,38913340,+8.11%
2025-12-24,3.661,3.693,3.82,3.5,26936870,-0.71%
2025-12-23,3.687,3.51,3.821,3.51,17270810,+5.67%
2025-12-22,3.489,3.8,3.9,3.433,39752550,-8.28%
2025-12-19,3.804,3.99,4.19,3.742,40083080,-4.78%
2025-12-18,3.995,4.001,4.235,3.81,14408510,-3.10%
2025-12-17,4.123,3.7,4.17,3.7,23414320,+8.76%
2025-12-16,3.791,4.195,4.219,3.735,29219180,-8.65%
2025-12-15,4.15,4.403,4.474,4.1,14717130,-4.25%
2025-12-12,4.334,3.998,4.347,3.931,25825230,+9.67%
2025-12-11,3.952,4.002,4.048,3.89,9347030,-0.98%
2025-12-10,3.991,4.228,4.249,3.97,12329350,-3.55%
2025-12-09,4.138,4.525,4.525,4.076,37363350,-6.61%
2025-12-08,4.431,4.104,4.514,4.015,57228730,+7.97%
2025-12-05,4.104,3.752,4.104,3.715,19888290,+10.00%
2025-12-04,3.731,3.65,3.839,3.65,5374780,+1.80%
2025-12-03,3.665,4.15,4.445,3.637,53387270,-9.30%
2025-12-02,4.041,3.512,4.041,3.46,76427200,+9.99%
2025-12-01,3.674,3.701,4.339,3.674,90506430,-10.00%
2025-11-28,4.082,4.082,4.3,4.082,37448510,-9.99%
2025-11-27,4.535,4.7,4.7,4.535,3002960,-10.00%
2025-11-26,5.039,5.611,5.65,5.039,4642120,-10.00%
2025-11-25,5.599,5.676,5.785,5.345,5187840,-4.03%
2025-11-24,5.834,5.75,5.95,5.5,8020240,-1.24%
2025-11-21,5.907,6.205,6.29,5.718,8076570,-4.93%
2025-11-20,6.213,6.38,6.685,6.2,10371190,-1.72%
2025-11-19,6.322,5.99,6.565,5.76,24932980,+5.54%
2025-11-18,5.99,6.484,6.696,5.725,34150640,-5.19%
2025-11-17,6.318,5.91,6.318,5.699,17518980,+9.99%
2025-11-14,5.744,5.49,5.744,5.232,28712870,+10.00%
2025-11-13,5.222,5.222,5.222,4.875,23598680,+10.01%
2025-11-12,4.747,4.699,4.747,4.1,15576480,+10.01%
2025-11-11,4.315,4.315,4.315,4.315,4344260,+9.99%
2025-11-10,3.923,3.923,3.923,3.923,1733750,+10.01%
2025-11-07,3.566,3.5,3.566,3.442,16337990,+9.99%
2025-11-06,3.242,3.242,3.242,3.242,46037690,+10.01%
2025-11-05,2.947,2.947,2.947,2.947,226510,+10.00%
2025-11-04,2.679,2.679,2.679,2.679,81020,+10.02%
2025-11-03,2.435,2.349,2.435,2.3,8286900,+9.98%
2025-10-31,2.214,2.214,2.214,2.214,1892970,+9.99%
2025-10-30,2.013,2.013,2.013,2.013,981200,+10.00%
2025-10-29,1.83,1.83,1.83,1.83,371650,+9.98%
2025-10-28,1.664,1.664,1.664,1.664,1113060,+9.98%
2025-10-27,1.513,1.513,1.513,1.5,4874400,+10.04%
2025-10-24,1.375,1.2,1.375,1.2,795210,+10.00%
2025-10-23,1.25,1.25,1.25,1.25,20,+0.00%
2025-10-22,1.25,1.22,1.278,1.22,38920,+4.17%
2025-10-21,1.2,1.203,1.275,1.2,1105790,-4.00%
2025-10-20,1.25,1.2,1.283,1.2,20365830,+0.73%
2025-10-17,1.241,1.3,1.3,1.133,20913640,-1.43%
2025-10-16,1.259,1.26,1.265,1.145,2606460,+9.48%
2025-10-15,1.15,1.131,1.15,1.131,73000,-0.09%
2025-10-14,1.151,1.197,1.197,1.151,163430,+0.52%
2025-10-10,1.145,1.199,1.199,1.14,82000,+0.00%
2025-10-09,1.145,1.197,1.197,1.14,40970,-2.88%
2025-10-08,1.179,1.189,1.199,1.13,151520,-0.84%
2025-10-07,1.189,1.221,1.249,1.133,417640,-5.41%
2025-10-06,1.257,1.22,1.275,1.22,32380,+0.48%
2025-10-03,1.251,1.24,1.26,1.23,61500,+2.04%
2025-10-02,1.226,1.26,1.26,1.21,26020,-0.57%
2025-10-01,1.233,1.243,1.26,1.23,217860,-0.80%
2025-09-30,1.243,1.255,1.255,1.235,75090,-1.35%
2025-09-29,1.26,1.205,1.264,1.205,42200,-0.32%
2025-09-26,1.264,1.241,1.296,1.2,21010,+1.85%
2025-09-25,1.241,1.233,1.285,1.23,9160,+0.65%
2025-09-24,1.233,1.238,1.238,1.2,128600,-0.40%
2025-09-23,1.238,1.285,1.285,1.161,499850,-4.03%
2025-09-22,1.29,1.284,1.29,1.284,10010,-0.62%
2025-09-19,1.298,1.298,1.3,1.257,136150,+1.64%
2025-09-18,1.277,1.3,1.319,1.251,146780,-1.77%
2025-09-17,1.3,1.297,1.368,1.271,1286650,+4.00%
2025-09-16,1.25,1.27,1.3,1.25,281670,-1.96%
2025-09-15,1.275,1.235,1.287,1.234,22100,+3.41%
2025-09-12,1.233,1.252,1.288,1.22,345100,-4.42%
2025-09-11,1.29,1.271,1.299,1.181,423720,+1.49%
2025-09-10,1.271,1.271,1.325,1.271,880400,-0.31%
2025-09-09,1.275,1.302,1.302,1.275,125100,-2.30%
2025-09-08,1.305,1.275,1.31,1.275,23800,+0.38%
2025-09-05,1.3,1.316,1.321,1.277,2099460,-0.46%
2025-09-04,1.306,1.325,1.325,1.3,5070,-0.61%
2025-09-03,1.314,1.326,1.35,1.302,256640,-0.90%
