date,close,open,high,low,volume,change_pct
2026-07-01,479.73,449.5,484.98,449.5,8560443,+7.16%
2026-06-30,447.67,445,449.51,444.32,2358271,+1.10%
2026-06-29,442.79,440,453,436,12042130,-0.03%
2026-06-24,442.92,429.31,445,429.31,2491426,+3.17%
2026-06-23,429.31,441.4,441.4,427.99,2168024,-1.86%
2026-06-22,437.46,444,445,435.5,1316691,-0.16%
2026-06-19,438.18,445,445.99,428.5,3605352,-1.54%
2026-06-18,445.04,446.9,448,444,5270983,-0.04%
2026-06-17,445.2,456.8,458.5,442.6,4879298,-2.03%
2026-06-16,454.43,435.1,455.9,434.01,5684612,+6.16%
2026-06-15,428.07,413.99,430,413.51,4296022,+5.70%
2026-06-12,404.97,404.8,409,400,1857049,+1.50%
2026-06-11,399,396,401.01,393.5,1109853,+0.48%
2026-06-10,397.08,397,401.59,395.84,623419,-0.77%
2026-06-09,400.18,399.99,401.1,398.5,881933,+1.37%
2026-06-08,394.76,398,398,391.25,670308,-1.20%
2026-06-05,399.57,405.05,407,397.02,1485387,-1.27%
2026-06-04,404.72,405,407.45,403.5,905251,+0.06%
2026-06-03,404.47,405.51,407.85,402.5,345308,-0.61%
2026-06-02,406.97,404.7,411.8,402.11,1197933,+0.54%
2026-06-01,404.77,408.98,409.51,402,1713000,-0.97%
2026-05-29,408.73,415,417,405.5,3923435,-1.15%
2026-05-25,413.49,414.9,417,409.1,1418604,+2.34%
2026-05-22,404.05,411,414,402.05,1663751,-0.73%
2026-05-21,407.03,390.1,410,390.1,4473497,+4.71%
2026-05-20,388.73,384,389.9,380,938216,+1.74%
2026-05-19,382.07,374.85,384,374.85,1345462,+2.52%
2026-05-18,372.67,374.72,376.89,371,1326131,-1.80%
2026-05-15,379.5,383.1,383.1,376.05,3189104,-1.23%
2026-05-14,384.21,396.7,396.7,380.02,2042273,-2.50%
2026-05-13,394.05,400.1,403.99,391.3,1258589,-1.38%
2026-05-12,399.55,406,410,395,1374381,-1.46%
2026-05-11,405.48,412,413,404,1388057,-2.35%
2026-05-08,415.22,416.62,417.24,411,1458755,-1.54%
2026-05-07,421.71,416.5,423.75,413,3021667,+1.47%
2026-05-06,415.6,396.8,419.19,392,3739009,+7.92%
2026-05-05,385.11,380,387,380,1448268,-0.22%
2026-05-04,385.94,386,398,384,1096678,+1.24%
2026-04-30,381.23,380.01,389.7,370.26,3876233,-2.29%
2026-04-29,390.16,400.99,405,387.6,1411710,-2.62%
2026-04-28,400.67,402,405,396,3213382,-2.25%
2026-04-27,409.88,416.4,416.5,407,2099342,-1.54%
2026-04-24,416.31,405.05,419.01,402.05,3144070,+1.43%
2026-04-23,410.46,419,422,400,3574325,-1.62%
2026-04-22,425.2,445,445,422.01,5341027,-2.61%
2026-04-21,436.6,419,451.5,419,6379432,+4.99%
2026-04-20,415.84,404.31,420.99,395.01,8953976,+2.20%
2026-04-17,406.88,385,409.9,385,7693869,+6.69%
2026-04-16,381.38,375,384.49,373,4317842,+2.87%
2026-04-15,370.73,365.1,382.48,361.9,16139980,+4.16%
2026-04-14,355.93,350,359,350,2309702,+3.85%
2026-04-13,342.73,348.01,355,341.11,3704992,-4.89%
2026-04-10,360.34,360.01,368,355,5590841,+0.92%
2026-04-09,357.07,350,365,340.2,6749074,+3.01%
2026-04-08,346.65,346.65,346.65,346.65,3631740,+10.00%
2026-04-07,315.14,305,316.99,293.25,5563975,+2.95%
2026-04-06,306.1,327,328.75,294.1,14902520,-6.32%
2026-04-03,326.76,333,337.5,321.6,6694338,-4.07%
2026-04-02,340.62,340,344,336.6,2001736,-3.52%
2026-04-01,353.06,338,356,337,6032335,+6.36%
2026-03-31,331.95,340,344.98,328,2524630,-1.44%
2026-03-30,336.81,346,347,330,1633213,-2.22%
2026-03-27,344.45,350,354.5,339,2385166,-0.90%
2026-03-26,347.58,374.5,374.99,343,2917729,-7.07%
2026-03-25,374.01,372.02,376.88,369.4,1466624,+1.21%
2026-03-24,369.54,378.01,378.77,367.01,707600,+0.22%
2026-03-19,368.72,362.32,375,362.32,1169167,-1.43%
2026-03-18,382.07,365,387,365,1164731,+4.73%
2026-03-17,364.83,360.01,365.8,357.5,822144,+1.78%
2026-03-16,358.45,371.37,374.98,352.1,1020364,-3.48%
2026-03-13,371.37,365.22,376,362.56,688786,+1.68%
2026-03-12,365.22,373.98,373.98,362.5,1265998,-2.44%
2026-03-11,374.37,382.16,388.95,372.9,1198962,-1.87%
2026-03-10,381.49,397.47,397.47,379.4,2343117,+5.58%
2026-03-09,361.34,380,388,361.34,5325659,-10.00%
2026-03-06,401.49,418,418,399.01,2875618,-3.50%
2026-03-05,416.07,416,421.89,413.15,1102310,+0.78%
2026-03-04,412.85,420,420,403.7,2585696,-1.39%
2026-03-03,418.68,396,424,395,3163672,+5.72%
2026-03-02,396.03,395.82,415,395.82,3856859,-9.95%
2026-02-27,439.8,450,457,430,1416459,-2.52%
2026-02-26,451.19,450.1,457.99,443,1492825,+0.26%
2026-02-25,450.04,467,471.89,447,2942476,-2.47%
2026-02-24,461.46,470.1,479.98,459.99,1204649,-1.84%
2026-02-23,470.09,479.88,484.8,464.05,537586,-2.06%
2026-02-20,479.98,482.5,484.99,469,1053062,+0.49%
2026-02-19,477.65,490.5,490.5,465,1289120,-2.38%
2026-02-18,489.32,462,491.24,460.06,2275151,+7.41%
2026-02-17,455.57,463,468.5,446.18,2234597,-0.93%
2026-02-16,459.84,483,483.5,446,1629894,-4.20%
2026-02-13,479.98,488,488,478.02,1048900,-1.00%
2026-02-12,484.84,485.06,491.91,474,1814049,-0.05%
2026-02-11,485.06,491.99,491.99,482.9,643116,-0.56%
2026-02-10,487.77,491.99,492,483.01,775526,-0.05%
2026-02-09,487.99,494.01,502,482,2149906,-1.17%
2026-02-06,493.77,505,509,490,1551538,-1.86%
2026-02-04,503.14,499.99,506.5,498,1476748,+0.69%
2026-02-03,499.68,496,502,495,1740204,+0.89%
2026-02-02,495.26,487.5,497.03,483.5,2632185,+1.71%
2026-01-30,486.92,480,497,480,976817,+1.65%
2026-01-29,479,493,493,478,2002115,-2.82%
2026-01-28,492.91,484.8,498,484.05,2500629,+1.84%
2026-01-27,484.02,486.12,492,482,1168563,-0.23%
2026-01-26,485.12,484,491.9,484,687490,+0.29%
2026-01-23,483.73,486.76,490.25,480,1362851,-0.62%
2026-01-22,486.76,495,496,485.75,883788,-0.60%
2026-01-21,489.7,493.42,495.41,486.66,777549,-0.64%
2026-01-20,492.87,497.8,501,490.16,1696753,-0.39%
