date,close,open,high,low,volume,change_pct
"Jun 24, 2026",11.12,11.19,11.37,11.04,7087488,+0.82%
"Jun 23, 2026",11.03,11.29,11.35,11,5757698,-2.13%
"Jun 22, 2026",11.27,11.39,11.45,11.22,3285265,-0.18%
"Jun 19, 2026",11.29,11.66,11.66,11.23,4923316,-1.74%
"Jun 18, 2026",11.49,11.6,11.65,11.47,5583663,-0.61%
"Jun 17, 2026",11.56,11.59,11.62,11.47,3590826,-0.26%
"Jun 16, 2026",11.59,11.65,11.7,11.55,5454990,+0.09%
"Jun 15, 2026",11.58,11.88,11.88,11.5,5262690,+0.52%
"Jun 12, 2026",11.52,11.53,11.65,11.49,3425779,+0.70%
"Jun 11, 2026",11.44,11.37,11.63,11.35,4667505,-1.29%
"Jun 10, 2026",11.59,11.64,11.77,11.5,2527876,-0.17%
"Jun 09, 2026",11.61,11.35,11.9,11.35,6400543,+2.65%
"Jun 08, 2026",11.31,11.5,11.5,11.25,2624698,-2.16%
"Jun 05, 2026",11.56,11.7,11.8,11.4,15013265,-0.94%
"Jun 04, 2026",11.67,11.7,11.81,11.64,3680904,+0.00%
"Jun 03, 2026",11.67,11.69,11.94,11.62,2975197,-0.85%
"Jun 02, 2026",11.77,11.91,11.99,11.7,3259121,-1.18%
"Jun 01, 2026",11.91,12,12.19,11.9,6081806,-0.83%
"May 29, 2026",12.01,12.45,12.45,11.96,4727554,-0.99%
"May 25, 2026",12.13,12.4,12.49,12.01,7869231,+2.10%
"May 22, 2026",11.88,12.02,12.15,11.83,5618857,-1.08%
"May 21, 2026",12.01,11.93,12.22,11.8,14209362,+1.78%
"May 20, 2026",11.8,11.85,11.9,11.5,4122273,+1.20%
"May 19, 2026",11.66,11.78,11.95,11.55,4171674,+1.13%
"May 18, 2026",11.53,12.11,12.2,11.44,6157165,-5.72%
"May 15, 2026",12.23,12.29,12.4,12.05,3455274,-0.49%
"May 14, 2026",12.29,12.4,12.69,12.22,6641427,-1.99%
"May 13, 2026",12.54,12.45,12.65,12.31,5227267,+0.72%
"May 12, 2026",12.45,12.6,12.93,12.41,10669203,-2.28%
"May 11, 2026",12.74,12.6,12.99,12.6,10142484,-1.32%
"May 08, 2026",12.91,12.61,13.29,12.4,25086525,+0.39%
"May 07, 2026",12.86,12.95,12.95,12.5,22227106,+2.14%
"May 06, 2026",12.59,12.44,12.75,12.35,13308516,+4.39%
"May 05, 2026",12.06,12.05,12.25,11.85,8217098,-1.79%
"May 04, 2026",12.28,12.19,12.9,12,20917554,+2.85%
"Apr 30, 2026",11.94,12.25,12.25,11.31,16080324,-3.79%
"Apr 29, 2026",12.41,12.94,13.15,12.34,12249096,-4.10%
"Apr 28, 2026",12.94,12.71,13.33,12.6,26181367,-0.31%
"Apr 27, 2026",12.98,13.39,13.55,12.52,27892006,-3.35%
"Apr 24, 2026",13.43,12.37,13.6,11.8,98165192,+4.68%
"Apr 23, 2026",12.83,13.78,13.78,12.65,39943809,-5.17%
"Apr 22, 2026",13.53,13.38,13.79,12.54,133360828,+7.89%
"Apr 21, 2026",12.54,12,12.54,12,42750548,+10.00%
"Apr 20, 2026",11.4,10.24,11.4,10.03,92476334,+10.04%
"Apr 17, 2026",10.36,9.6,10.36,9.55,73638053,+10.68%
"Apr 16, 2026",9.36,8.49,9.41,8.29,70580883,+11.30%
"Apr 15, 2026",8.41,8.48,8.58,8.35,10378282,+0.72%
"Apr 14, 2026",8.35,8.21,8.43,8.21,5221015,+2.08%
"Apr 13, 2026",8.18,8.2,8.34,8.1,5349059,-3.88%
"Apr 10, 2026",8.51,8.49,8.6,8.4,7069550,+1.55%
"Apr 09, 2026",8.38,8.6,8.6,8.38,8212994,-3.57%
"Apr 08, 2026",8.69,8.7,8.7,8.69,21628626,+7.82%
"Apr 07, 2026",8.06,8,8.06,8,2857837,+0.50%
"Apr 06, 2026",8.02,8.1,8.1,8.02,3528769,+0.00%
"Apr 03, 2026",8.02,7.96,8.02,7.96,4997274,-0.50%
"Apr 02, 2026",8.06,8.17,8.17,8.06,4417068,-2.54%
"Apr 01, 2026",8.27,8.21,8.27,8.21,10376963,+3.25%
"Mar 31, 2026",8.01,7.98,8.01,7.98,5332011,+1.52%
"Mar 30, 2026",7.89,8.15,8.15,7.89,13639874,-4.13%
"Mar 27, 2026",8.23,8.3,8.3,8.23,18592898,-0.36%
"Mar 26, 2026",8.26,8.55,8.55,8.26,25118960,-3.62%
"Mar 25, 2026",8.57,8.1,8.57,8.1,72631903,+7.26%
"Mar 24, 2026",7.99,8.35,8.35,7.99,31582874,-2.44%
"Mar 19, 2026",8.19,8.5,8.5,8.19,9269535,-4.43%
"Mar 18, 2026",8.57,8.5,8.57,8.5,16966997,+1.66%
"Mar 17, 2026",8.43,8.56,8.56,8.43,4088778,-1.52%
"Mar 16, 2026",8.56,8.82,8.82,8.56,2590649,-3.28%
"Mar 13, 2026",8.85,8.84,8.85,8.84,1854459,+0.11%
"Mar 12, 2026",8.84,9.04,9.04,8.84,3826095,-2.54%
"Mar 11, 2026",9.07,9.35,9.35,9.07,5001418,-0.22%
"Mar 10, 2026",9.09,8.86,9.09,8.86,14732116,+6.94%
"Mar 09, 2026",8.5,9,9,8.5,17401472,-10.15%
"Mar 06, 2026",9.46,9.52,9.52,9.46,19052764,-6.15%
"Mar 05, 2026",10.08,9.53,10.08,9.53,48307983,+5.88%
"Mar 04, 2026",9.52,7.8,9.52,7.8,117209136,+10.70%
"Mar 03, 2026",8.6,8.6,8.6,8.6,29974829,-10.42%
"Mar 02, 2026",9.6,9.6,9.6,9.6,1483986,-10.03%
"Feb 27, 2026",10.67,11.71,11.71,10.67,50304604,-9.96%
"Feb 26, 2026",11.85,13.3,13.3,11.85,71443224,-10.02%
"Feb 25, 2026",13.17,13.7,13.7,13.17,6801206,-2.30%
"Feb 24, 2026",13.48,14.11,14.11,13.48,12341477,-7.10%
"Feb 23, 2026",14.51,15.21,15.21,14.51,2954522,-4.54%
"Feb 20, 2026",15.2,15.97,15.97,15.2,2841474,-3.98%
"Feb 19, 2026",15.83,16.99,16.99,15.83,2314013,-6.11%
"Feb 18, 2026",16.86,16.99,16.99,16.86,2493590,-0.06%
"Feb 17, 2026",16.87,17.59,17.59,16.87,3507619,-1.80%
"Feb 16, 2026",17.18,17.94,17.94,17.18,6629838,-2.72%
"Feb 13, 2026",17.66,18.92,18.92,17.66,9489062,-6.66%
"Feb 12, 2026",18.92,19.78,19.78,18.92,3412253,-4.06%
"Feb 11, 2026",19.72,19.81,19.81,19.72,1420330,-0.40%
"Feb 10, 2026",19.8,20.1,20.1,19.8,1608129,-0.10%
"Feb 09, 2026",19.82,19.95,19.95,19.82,1113099,-0.35%
"Feb 06, 2026",19.89,20.38,20.38,19.89,2776117,-2.40%
"Feb 04, 2026",20.38,20.15,20.38,20.15,3868612,+1.29%
"Feb 03, 2026",20.12,19.66,20.12,19.66,4149950,+2.34%
"Feb 02, 2026",19.66,19.89,19.89,19.66,1087606,-0.25%
"Jan 30, 2026",19.71,19.75,19.75,19.71,1628004,-0.40%
"Jan 29, 2026",19.79,20.29,20.29,19.79,4490507,-1.20%
"Jan 28, 2026",20.03,20,20.03,20,2400695,+0.15%
"Jan 27, 2026",20,20.25,20.25,20,4238144,-1.23%
"Jan 26, 2026",20.25,20.57,20.57,20.25,2660003,-0.93%
"Jan 23, 2026",20.44,20.9,20.9,20.44,2240148,-1.59%
"Jan 22, 2026",20.77,20.9,20.9,20.77,1907349,-0.62%
"Jan 21, 2026",20.9,21.18,21.18,20.9,2657272,-1.23%
"Jan 20, 2026",21.16,21.17,21.17,21.16,5892862,+1.34%
"Jan 19, 2026",20.88,20.85,20.88,20.85,1867650,+0.05%
"Jan 16, 2026",20.87,21,21,20.87,1882092,+0.63%
"Jan 15, 2026",20.74,21.25,21.25,20.74,1631502,-1.29%
"Jan 14, 2026",21.01,21.45,21.45,21.01,2634759,-1.64%
"Jan 13, 2026",21.36,21.61,21.61,21.36,3574469,-1.39%
"Jan 12, 2026",21.66,21.77,21.77,21.66,13556165,+0.65%
"Jan 09, 2026",21.52,21.35,21.52,21.35,17119093,+1.41%
"Jan 08, 2026",21.22,21.17,21.22,21.17,3936980,+0.81%
"Jan 07, 2026",21.05,21.03,21.05,21.03,3309687,+0.10%
"Jan 06, 2026",21.03,21.56,21.56,21.03,6213019,-2.55%
"Jan 05, 2026",21.58,21.12,21.58,21.12,5073482,+2.18%
"Jan 02, 2026",21.12,21.45,21.45,21.12,1664917,-1.40%
"Jan 01, 2026",21.42,21.35,21.42,21.35,7843806,+0.75%
"Dec 31, 2025",21.26,21.9,21.9,21.26,3943299,-1.62%
"Dec 30, 2025",21.61,20.23,21.61,20.23,49217647,+7.30%
"Dec 29, 2025",20.14,20.12,20.14,20.12,6422422,+0.10%
"Dec 26, 2025",20.12,20.9,20.9,20.12,6493535,-3.92%
"Dec 24, 2025",20.94,21.4,21.4,20.94,3655094,-1.51%
"Dec 23, 2025",21.26,21.51,21.51,21.26,2100768,-0.70%
"Dec 22, 2025",21.41,21.77,21.77,21.41,2764234,-1.06%
"Dec 19, 2025",21.64,21.86,21.86,21.64,1629347,-0.55%
"Dec 18, 2025",21.76,22.03,22.03,21.76,4541924,-1.49%
"Dec 17, 2025",22.09,22.15,22.15,22.09,3933277,-0.14%
"Dec 16, 2025",22.12,22.24,22.24,22.12,3342307,-0.18%
"Dec 15, 2025",22.16,22.16,22.16,22.16,3199731,+0.68%
"Dec 12, 2025",22.01,22.29,22.29,22.01,1684037,-0.81%
