date,close,open,high,low,volume,change_pct
"Jun 24, 2026",19.18,18.99,19.4,18.61,1022676,+1.21%
"Jun 23, 2026",18.95,19.28,19.58,18.8,1332183,-1.71%
"Jun 22, 2026",19.28,18.97,19.9,17.61,1987411,+3.10%
"Jun 19, 2026",18.7,18.97,19,18.61,254011,-0.85%
"Jun 18, 2026",18.86,19.01,19.2,18.81,532006,-0.63%
"Jun 17, 2026",18.98,18.71,19.23,18.71,1475344,+1.82%
"Jun 16, 2026",18.64,18.45,19.2,18.34,1525598,+0.87%
"Jun 15, 2026",18.48,18.78,18.87,18.04,1105863,-0.32%
"Jun 12, 2026",18.54,18.58,18.76,18.5,395477,-0.16%
"Jun 11, 2026",18.57,18.7,18.85,18.2,507107,-0.70%
"Jun 10, 2026",18.7,18.8,19.1,18.65,456252,-0.05%
"Jun 09, 2026",18.71,18.69,19.4,18.69,739421,+1.08%
"Jun 08, 2026",18.51,18.71,18.89,18.1,552706,-1.65%
"Jun 05, 2026",18.82,19.15,19.87,18.79,1880154,-1.98%
"Jun 04, 2026",19.2,18.69,19.37,18.38,1439709,+3.50%
"Jun 03, 2026",18.55,18.34,19.48,18.1,2221064,+0.38%
"Jun 02, 2026",18.48,18.89,18.89,18.05,468447,-1.02%
"Jun 01, 2026",18.67,19.3,19.3,18.5,1421620,-3.51%
"May 29, 2026",19.35,19.6,19.85,19.3,335630,-1.38%
"May 25, 2026",19.62,19.5,19.89,19,878756,+1.71%
"May 22, 2026",19.29,19.8,19.89,19.06,433330,-2.92%
"May 21, 2026",19.87,20.06,20.29,19.69,1765661,-0.40%
"May 20, 2026",19.95,20.48,20.75,19.75,3358528,-0.60%
"May 19, 2026",20.07,18.59,20.46,18.59,8572254,+7.90%
"May 18, 2026",18.6,18.75,19.1,18.5,1168239,-2.31%
"May 15, 2026",19.04,19.25,19.5,18.9,821824,+0.00%
"May 14, 2026",19.04,19.01,19.7,17.91,2216993,+0.00%
"May 13, 2026",19.04,19.85,19.85,19,1812362,-2.91%
"May 12, 2026",19.61,20.11,20.8,19.6,12615016,-9.96%
"May 11, 2026",21.78,21.78,21.78,21.78,6471703,+10.00%
"May 08, 2026",19.8,19.8,19.8,19.8,4258083,
