date,close,open,high,low,volume,change_pct
"Jun 24, 2026",5.43,5.5,5.6,5.37,722181,-0.18%
"Jun 23, 2026",5.44,5.74,5.74,5.4,506202,-2.68%
"Jun 22, 2026",5.59,5.56,5.8,5.55,471970,-1.41%
"Jun 19, 2026",5.67,5.82,5.92,5.51,385311,-2.58%
"Jun 18, 2026",5.82,5.9,5.92,5.76,482675,-0.34%
"Jun 17, 2026",5.84,5.9,5.94,5.6,1223451,+2.64%
"Jun 16, 2026",5.69,5.75,5.9,5.63,479237,+1.07%
"Jun 15, 2026",5.63,5.7,5.84,5.61,653773,-0.53%
"Jun 12, 2026",5.66,5.8,5.9,5.53,676534,-1.74%
"Jun 11, 2026",5.76,5.86,5.9,5.72,988640,-1.71%
"Jun 10, 2026",5.86,5.8,6.15,5.8,2117950,+0.69%
"Jun 09, 2026",5.82,5.49,6.18,5.36,4264478,+6.01%
"Jun 08, 2026",5.49,5.89,5.89,5.38,3013918,-7.42%
"Jun 05, 2026",5.93,6.13,6.24,5.8,2840194,-3.42%
"Jun 04, 2026",6.14,6.05,6.35,6.05,16167224,+3.89%
"Jun 03, 2026",5.91,4.94,5.91,4.9,7365535,+20.37%
"Jun 02, 2026",4.91,4.85,4.97,4.77,289937,+3.37%
"Jun 01, 2026",4.75,4.78,4.9,4.66,141807,-0.63%
"May 29, 2026",4.78,4.7,4.82,4.65,149124,+0.84%
"May 25, 2026",4.74,4.83,4.83,4.68,187062,+1.50%
"May 22, 2026",4.67,4.85,4.85,4.63,465941,-1.89%
"May 21, 2026",4.76,4.81,4.88,4.75,203151,-0.83%
"May 20, 2026",4.8,4.88,4.88,4.71,118493,+3.23%
"May 19, 2026",4.65,4.94,4.94,4.6,391239,-1.48%
"May 18, 2026",4.72,4.84,4.85,4.71,170947,-0.63%
"May 15, 2026",4.75,4.87,4.98,4.71,397488,-2.66%
"May 14, 2026",4.88,4.9,5,4.88,188498,+0.00%
"May 13, 2026",4.88,4.91,5.14,4.85,383950,+0.83%
"May 12, 2026",4.84,4.92,5.05,4.8,593250,-2.42%
