date,close,open,high,low,volume,change_pct
"Jun 24, 2026",10.9,11,11.04,10.8,4158569,-0.27%
"Jun 23, 2026",10.93,11.2,11.29,10.83,1869721,-2.06%
"Jun 22, 2026",11.16,11.44,11.44,11.05,1320747,+1.00%
"Jun 19, 2026",11.05,11.38,11.7,10.97,8194710,-1.95%
"Jun 18, 2026",11.27,11.3,11.45,11.2,3338894,+0.00%
"Jun 17, 2026",11.27,11.6,11.62,11.25,1905444,-1.14%
"Jun 16, 2026",11.4,11.45,11.57,11.35,4586189,+1.33%
"Jun 15, 2026",11.25,11.58,11.65,11.05,7251200,+0.81%
"Jun 12, 2026",11.16,11.22,11.58,11.01,6787356,+0.45%
"Jun 11, 2026",11.11,10.95,11.49,10.73,4843613,+1.18%
"Jun 10, 2026",10.98,11.3,11.4,10.8,4906394,-4.10%
"Jun 09, 2026",11.45,11.3,11.75,11.11,9879491,+3.81%
"Jun 08, 2026",11.03,10.98,11.15,10.52,13592782,+0.46%
"Jun 05, 2026",10.98,10.02,10.98,10.02,12358994,+10.02%
"Jun 04, 2026",9.98,9.95,10.11,9.89,1566347,+0.40%
"Jun 03, 2026",9.94,10.11,10.11,9.85,9242506,-0.70%
"Jun 02, 2026",10.01,10.12,10.22,9.96,2228406,-0.99%
"Jun 01, 2026",10.11,10.08,10.25,10,5481570,+0.50%
"May 29, 2026",10.06,10.3,10.31,9.75,2076241,-1.76%
"May 25, 2026",10.24,10.02,10.34,10,1622970,+3.64%
"May 22, 2026",9.88,10.03,10.1,9.81,765519,-1.40%
"May 21, 2026",10.02,10.06,10.15,9.9,1049781,+1.62%
"May 20, 2026",9.86,9.95,10.02,9.82,769456,+0.61%
"May 19, 2026",9.8,9.94,10.05,9.75,538281,-0.31%
"May 18, 2026",9.83,10,10.16,9.65,1750566,-2.96%
"May 15, 2026",10.13,10.3,10.3,9.95,2158966,-0.78%
"May 14, 2026",10.21,10.21,10.33,10.15,1076280,+0.20%
"May 13, 2026",10.19,10.36,10.36,9.98,3486094,-0.49%
"May 12, 2026",10.24,10.51,10.6,10.15,1747704,-1.82%
"May 11, 2026",10.43,10.61,10.7,10.31,1171062,-2.43%
"May 08, 2026",10.69,10.75,10.89,10.56,1844091,-0.83%
"May 07, 2026",10.78,10.42,10.95,10.42,6687849,+3.75%
"May 06, 2026",10.39,9.78,10.44,9.78,4159554,+7.00%
"May 05, 2026",9.71,9.7,9.89,9.5,1508419,-1.42%
"May 04, 2026",9.85,9.9,10.12,9.8,893841,+1.86%
"Apr 30, 2026",9.67,9.76,9.76,9.47,1536335,-2.22%
"Apr 29, 2026",9.89,10.1,10.3,9.8,1374739,-1.88%
"Apr 28, 2026",10.08,10.34,10.34,10.02,1303105,-2.61%
"Apr 27, 2026",10.35,10.3,10.45,10.25,1063859,-0.29%
"Apr 24, 2026",10.38,10.42,10.45,10.13,1247737,-0.38%
"Apr 23, 2026",10.42,10.5,10.54,10.1,1119989,-0.48%
"Apr 22, 2026",10.47,10.75,10.75,10.34,2449275,-2.60%
"Apr 21, 2026",10.75,10.82,11.03,10.7,3679837,-0.19%
"Apr 20, 2026",10.77,11.18,11.24,10.45,7552784,-4.10%
"Apr 17, 2026",11.23,10.52,11.38,10.52,7955093,+7.67%
"Apr 16, 2026",10.43,10.4,10.47,10.01,2588205,+0.97%
