date,close,open,high,low,volume,change_pct
"Jun 24, 2026",8.9,8.92,9.01,8.86,1852212,-0.11%
"Jun 23, 2026",8.91,9.1,9.18,8.8,1295173,-2.20%
"Jun 22, 2026",9.11,9.25,9.3,9.05,1230068,+0.00%
"Jun 19, 2026",9.11,9.31,9.45,9.01,3673141,-2.15%
"Jun 18, 2026",9.31,9.38,9.54,9.25,5235867,-0.53%
"Jun 17, 2026",9.36,9.5,9.59,9.29,5751585,-0.21%
"Jun 16, 2026",9.38,9.5,9.76,9.34,12066918,+0.00%
"Jun 15, 2026",9.38,10.05,10.1,9.29,12197432,-3.89%
"Jun 12, 2026",9.76,9.88,10.21,9.41,20120122,+3.39%
"Jun 11, 2026",9.44,9.11,9.8,9.05,13380935,+3.62%
"Jun 10, 2026",9.11,9.53,9.61,9.05,4853064,-4.21%
"Jun 09, 2026",9.51,9.16,9.85,9.15,23147389,+4.62%
"Jun 08, 2026",9.09,8.98,9.62,8.95,24327780,+1.22%
"Jun 05, 2026",8.98,8.02,8.98,8.02,17319572,+12.53%
"Jun 04, 2026",7.98,8,8.07,7.91,395971,+1.40%
"Jun 03, 2026",7.87,8,8.08,7.85,390563,-1.50%
"Jun 02, 2026",7.99,7.93,8.07,7.9,325978,+0.76%
"Jun 01, 2026",7.93,8.01,8.18,7.88,728160,-1.12%
"May 29, 2026",8.02,8.2,8.2,7.85,700138,-0.74%
"May 25, 2026",8.08,7.71,8.19,7.71,2705877,+5.07%
"May 22, 2026",7.69,7.85,7.9,7.6,1157450,-1.16%
"May 21, 2026",7.78,7.8,7.91,7.72,1018887,+0.65%
"May 20, 2026",7.73,7.97,7.97,7.7,1013082,+0.13%
"May 19, 2026",7.72,7.8,7.97,7.7,201972,-0.13%
"May 18, 2026",7.73,8.01,8.05,7.68,1203973,-3.37%
"May 15, 2026",8,8.11,8.38,7.99,890906,-2.79%
"May 14, 2026",8.23,8.11,8.48,8.11,1600053,+1.11%
"May 13, 2026",8.14,8.2,8.36,8.05,714471,-0.61%
"May 12, 2026",8.19,8.41,8.6,8.15,924351,-2.50%
"May 11, 2026",8.4,8.48,8.48,8.32,2535557,-1.41%
"May 08, 2026",8.52,8.45,8.78,8.32,2283959,-0.35%
"May 07, 2026",8.55,8.59,8.59,8.36,3157800,+2.40%
"May 06, 2026",8.35,7.9,8.47,7.9,2756389,+5.70%
"May 05, 2026",7.9,7.72,7.96,7.61,250055,-1.13%
"May 04, 2026",7.99,7.89,8.1,7.8,1379148,+2.57%
"Apr 30, 2026",7.79,7.95,7.95,7.6,1169452,-2.99%
"Apr 29, 2026",8.03,8.26,8.47,8.01,745329,-2.78%
"Apr 28, 2026",8.26,8.43,8.5,8.2,1158240,-1.90%
"Apr 27, 2026",8.42,8.48,8.48,8.31,2635681,+1.94%
"Apr 24, 2026",8.26,8.3,8.33,8.16,817512,-1.20%
"Apr 23, 2026",8.36,8.34,8.57,8.33,1360936,+0.24%
"Apr 22, 2026",8.34,8.69,8.7,8.27,1666197,-3.92%
"Apr 21, 2026",8.68,8.65,8.79,8.5,4985349,+0.35%
"Apr 20, 2026",8.65,8.18,8.7,8.03,6709566,+3.72%
"Apr 17, 2026",8.34,7.99,8.41,7.9,7675294,+5.97%
"Apr 16, 2026",7.87,7.8,7.99,7.7,1735700,+1.29%
"Apr 15, 2026",7.77,7.89,7.93,7.65,2269407,+2.37%
"Apr 14, 2026",7.59,7.5,7.68,7.5,1893000,+2.71%
"Apr 13, 2026",7.39,7.6,7.69,7.26,1667461,-5.50%
"Apr 10, 2026",7.82,7.74,7.87,7.71,1386046,+2.62%
"Apr 09, 2026",7.62,8,8,7.62,3870887,-7.30%
"Apr 08, 2026",8.22,8.1,8.22,8.1,6112401,+9.02%
"Apr 07, 2026",7.54,7.49,7.54,7.49,4338302,+1.34%
"Apr 06, 2026",7.44,7.15,7.44,7.15,1281974,+3.05%
"Apr 03, 2026",7.22,7.2,7.22,7.2,910278,-1.37%
"Apr 02, 2026",7.32,7.45,7.45,7.32,872555,-3.43%
"Apr 01, 2026",7.58,7.36,7.58,7.36,1656158,+5.72%
"Mar 31, 2026",7.17,7.18,7.18,7.17,2291155,+1.70%
"Mar 30, 2026",7.05,7.5,7.5,7.05,1372883,-5.62%
"Mar 27, 2026",7.47,7.8,7.8,7.47,531515,-1.45%
"Mar 26, 2026",7.58,7.9,7.9,7.58,969770,-4.89%
"Mar 25, 2026",7.97,7.74,7.97,7.74,1456649,+4.87%
"Mar 24, 2026",7.6,7.75,7.75,7.6,862032,-0.39%
"Mar 19, 2026",7.63,7.6,7.63,7.6,340283,-0.78%
"Mar 18, 2026",7.69,7.6,7.69,7.6,283217,+2.53%
"Mar 17, 2026",7.5,7.52,7.52,7.5,262371,-0.13%
"Mar 16, 2026",7.51,7.74,7.74,7.51,1135354,-2.85%
"Mar 13, 2026",7.73,7.79,7.79,7.73,748703,+1.05%
"Mar 12, 2026",7.65,7.56,7.65,7.56,426549,+1.32%
"Mar 11, 2026",7.55,7.6,7.6,7.55,427607,-0.13%
"Mar 10, 2026",7.56,7.5,7.56,7.5,2238961,+7.08%
"Mar 09, 2026",7.06,7.98,7.98,7.06,1575808,-11.53%
"Mar 06, 2026",7.98,8.24,8.24,7.98,550921,-3.51%
"Mar 05, 2026",8.27,7.82,8.27,7.82,1333339,+5.75%
"Mar 04, 2026",7.82,7.6,7.82,7.6,5692535,+3.44%
"Mar 03, 2026",7.56,7.5,7.56,7.5,5819244,-1.18%
"Mar 02, 2026",7.65,8,8,7.65,1819218,-11.56%
"Feb 27, 2026",8.65,9,9,8.65,2428714,-3.89%
"Feb 26, 2026",9,8.93,9,8.93,892815,+0.90%
"Feb 25, 2026",8.92,9.45,9.45,8.92,1016955,-1.65%
"Feb 24, 2026",9.07,9.25,9.25,9.07,1728684,-3.92%
"Feb 23, 2026",9.44,9.87,9.87,9.44,709146,-1.97%
"Feb 20, 2026",9.63,9.79,9.79,9.63,2779564,-0.62%
"Feb 19, 2026",9.69,10.39,10.39,9.69,1836767,-6.56%
"Feb 18, 2026",10.37,10.01,10.37,10.01,2316418,+6.03%
"Feb 17, 2026",9.78,10.22,10.22,9.78,2985208,-4.40%
"Feb 16, 2026",10.23,10.76,10.76,10.23,2114962,-4.57%
"Feb 13, 2026",10.72,10.75,10.75,10.72,2069507,-0.28%
