date,close,open,high,low,volume,change_pct
2026-07-01,1.29,1.25,1.3,1.25,23251240,+3.20%
2026-06-30,1.25,1.25,1.26,1.24,14544840,+0.81%
2026-06-29,1.24,1.27,1.29,1.22,75531950,-1.59%
2026-06-24,1.26,1.25,1.29,1.24,38761160,+0.80%
2026-06-23,1.25,1.27,1.28,1.24,71244700,-0.79%
2026-06-22,1.26,1.3,1.31,1.23,59558100,-2.33%
2026-06-19,1.29,1.32,1.33,1.28,31520390,-1.53%
2026-06-18,1.31,1.29,1.32,1.29,56134730,+1.55%
2026-06-17,1.29,1.29,1.3,1.28,15385200,+0.00%
2026-06-16,1.29,1.29,1.32,1.28,37091770,+0.00%
2026-06-15,1.29,1.32,1.32,1.28,28784800,+1.57%
2026-06-12,1.27,1.29,1.29,1.26,40511470,+0.00%
2026-06-11,1.27,1.26,1.29,1.26,17647610,+0.79%
2026-06-10,1.26,1.28,1.28,1.25,22009420,-1.56%
2026-06-09,1.28,1.27,1.29,1.26,25502243,+0.79%
2026-06-08,1.27,1.26,1.29,1.25,20813453,-0.78%
2026-06-05,1.28,1.27,1.28,1.25,18104460,+1.59%
2026-06-04,1.26,1.3,1.3,1.25,31103870,-1.56%
2026-06-03,1.28,1.29,1.3,1.27,14753650,-0.78%
2026-06-02,1.29,1.28,1.31,1.26,42983822,+0.78%
2026-06-01,1.28,1.29,1.3,1.27,34958250,-0.78%
2026-05-29,1.29,1.3,1.32,1.28,22881000,-0.77%
2026-05-25,1.3,1.33,1.33,1.28,22559090,+0.00%
2026-05-22,1.3,1.32,1.32,1.28,13517520,+0.00%
2026-05-21,1.3,1.34,1.34,1.28,20949860,+0.00%
2026-05-20,1.3,1.29,1.32,1.28,22784030,+0.78%
2026-05-19,1.29,1.3,1.32,1.28,7946965,+0.00%
2026-05-18,1.29,1.32,1.33,1.27,17382600,-2.27%
2026-05-15,1.32,1.36,1.36,1.31,17111500,-2.94%
2026-05-14,1.36,1.36,1.38,1.34,25000620,+0.74%
2026-05-13,1.35,1.36,1.38,1.34,14140970,+0.00%
2026-05-12,1.35,1.34,1.41,1.34,29763720,+0.00%
2026-05-11,1.35,1.33,1.36,1.32,15782250,+0.00%
2026-05-08,1.35,1.36,1.38,1.32,27499880,-0.74%
2026-05-07,1.36,1.39,1.39,1.35,24198410,+0.00%
2026-05-06,1.36,1.3,1.38,1.29,51306050,+5.43%
2026-05-05,1.29,1.3,1.3,1.27,30173870,-0.77%
2026-05-04,1.3,1.32,1.35,1.29,30020960,+0.00%
2026-04-30,1.3,1.35,1.35,1.26,75382140,-3.70%
2026-04-29,1.35,1.42,1.44,1.33,35421990,-4.26%
2026-04-28,1.41,1.45,1.48,1.41,12563740,-2.76%
2026-04-27,1.45,1.46,1.47,1.43,16291820,-0.68%
2026-04-24,1.46,1.42,1.53,1.42,86029480,+2.82%
2026-04-23,1.42,1.38,1.43,1.37,33668370,+2.90%
2026-04-22,1.38,1.38,1.43,1.35,56318000,+0.00%
2026-04-21,1.38,1.44,1.45,1.36,63949950,-2.82%
2026-04-20,1.42,1.5,1.5,1.4,59977030,-5.33%
2026-04-17,1.5,1.49,1.53,1.48,46568120,+0.00%
2026-04-16,1.5,1.54,1.54,1.47,30630500,-0.66%
2026-04-15,1.51,1.59,1.6,1.5,76856450,-1.95%
2026-04-14,1.54,1.54,1.56,1.5,100187700,+4.76%
2026-04-13,1.47,1.36,1.51,1.33,176627700,+3.52%
2026-04-10,1.42,1.44,1.46,1.39,56950170,+3.65%
2026-04-09,1.37,1.36,1.44,1.27,105838200,+0.74%
2026-04-08,1.36,1.34,1.38,1.27,97313630,+12.40%
2026-04-07,1.21,1.21,1.22,1.18,16145860,+0.00%
2026-04-06,1.21,1.18,1.24,1.17,30552980,+2.54%
2026-04-03,1.18,1.17,1.23,1.15,28342170,+0.00%
2026-04-02,1.18,1.2,1.2,1.17,17561060,-1.67%
2026-04-01,1.2,1.18,1.24,1.18,21179070,+2.56%
2026-03-31,1.17,1.17,1.21,1.15,27971820,+0.86%
2026-03-30,1.16,1.18,1.19,1.13,26937930,-2.52%
2026-03-27,1.19,1.23,1.23,1.18,18988460,+0.00%
2026-03-26,1.19,1.27,1.27,1.18,23208080,-5.56%
2026-03-25,1.26,1.23,1.27,1.22,20273640,+2.44%
2026-03-24,1.23,1.25,1.27,1.22,9086644,+0.82%
2026-03-19,1.22,1.29,1.29,1.2,9409871,-2.40%
2026-03-18,1.25,1.23,1.26,1.2,12557340,+5.04%
2026-03-17,1.19,1.23,1.26,1.17,17871110,-1.65%
2026-03-16,1.21,1.24,1.26,1.2,10183720,-2.42%
2026-03-13,1.24,1.26,1.27,1.23,7011306,+0.00%
2026-03-12,1.24,1.28,1.28,1.23,25038460,-3.13%
2026-03-11,1.28,1.3,1.34,1.26,23814040,-0.78%
2026-03-10,1.29,1.24,1.3,1.23,13907670,+10.26%
2026-03-09,1.17,1.24,1.24,1.15,25327770,-7.14%
2026-03-06,1.26,1.32,1.32,1.25,11873900,-2.33%
2026-03-05,1.29,1.25,1.31,1.22,31929470,+4.88%
2026-03-04,1.23,1.22,1.25,1.19,15041710,+1.65%
2026-03-03,1.21,1.13,1.22,1.13,50045660,+8.04%
2026-03-02,1.12,1.1,1.22,1.1,82602450,-13.18%
2026-02-27,1.29,1.32,1.34,1.28,28248640,-3.73%
2026-02-26,1.34,1.33,1.35,1.3,28999120,+1.52%
2026-02-25,1.32,1.35,1.38,1.31,28889280,+0.76%
2026-02-24,1.31,1.34,1.37,1.28,45981930,-0.76%
2026-02-23,1.32,1.39,1.43,1.29,33673160,-4.35%
2026-02-20,1.38,1.4,1.42,1.35,46207990,-1.43%
2026-02-19,1.4,1.56,1.57,1.36,84183810,-9.68%
2026-02-18,1.55,1.53,1.58,1.53,15157780,+1.97%
2026-02-17,1.52,1.54,1.57,1.51,35505620,-0.65%
2026-02-16,1.53,1.63,1.64,1.52,62243480,-6.13%
2026-02-13,1.63,1.65,1.65,1.62,33828790,-1.21%
2026-02-12,1.65,1.69,1.72,1.63,29825590,-2.37%
2026-02-11,1.69,1.73,1.75,1.68,20487010,-0.59%
2026-02-10,1.7,1.64,1.82,1.61,117046700,+3.66%
2026-02-09,1.64,1.64,1.68,1.63,22180130,+0.00%
2026-02-06,1.64,1.68,1.72,1.62,41090360,-2.38%
2026-02-04,1.68,1.66,1.7,1.64,12919940,+1.20%
2026-02-03,1.66,1.65,1.69,1.63,26727940,+0.61%
2026-02-02,1.65,1.64,1.68,1.63,14301010,+0.61%
2026-01-30,1.64,1.67,1.72,1.63,53707690,-1.80%
2026-01-29,1.67,1.71,1.72,1.66,48363240,-2.34%
2026-01-28,1.71,1.72,1.77,1.7,32134490,+0.00%
2026-01-27,1.71,1.74,1.74,1.69,30105670,+0.00%
2026-01-26,1.71,1.75,1.77,1.69,37146580,-2.29%
2026-01-23,1.75,1.79,1.81,1.74,15904880,-2.23%
2026-01-22,1.79,1.87,1.87,1.78,26304470,-0.56%
2026-01-21,1.8,1.78,1.84,1.75,42546970,+2.86%
2026-01-20,1.75,1.75,1.76,1.74,19300350,+0.57%
2026-01-19,1.74,1.74,1.79,1.73,30455270,+0.00%
2026-01-16,1.74,1.72,1.76,1.72,24021960,+1.16%
2026-01-15,1.72,1.76,1.77,1.72,20982610,-1.15%
2026-01-14,1.74,1.81,1.82,1.73,55670690,-3.87%
2026-01-13,1.81,1.86,1.87,1.8,43448460,-1.09%
2026-01-12,1.83,1.8,1.85,1.8,51257690,+1.67%
2026-01-09,1.8,1.84,1.84,1.77,20258510,-1.10%
2026-01-08,1.82,1.87,1.88,1.81,31186180,-1.62%
2026-01-07,1.85,1.86,1.87,1.81,43065550,+0.54%
2026-01-06,1.84,1.87,1.87,1.8,31944990,+0.00%
2026-01-05,1.84,1.8,1.86,1.77,57180150,+2.79%
2026-01-02,1.79,1.82,1.85,1.77,25188440,-1.10%
2026-01-01,1.81,1.75,1.82,1.73,38802870,+5.23%
2025-12-31,1.72,1.77,1.78,1.69,43921210,-1.71%
2025-12-30,1.75,1.73,1.76,1.71,24438400,+2.34%
2025-12-29,1.71,1.68,1.78,1.67,52850160,+3.01%
2025-12-26,1.66,1.75,1.79,1.64,79320910,-4.05%
2025-12-24,1.73,1.76,1.77,1.72,29866420,-1.14%
2025-12-23,1.75,1.79,1.79,1.74,31022190,-1.69%
2025-12-22,1.78,1.79,1.82,1.77,18682260,-0.56%
2025-12-19,1.79,1.83,1.83,1.79,18612010,-1.10%
2025-12-18,1.81,1.81,1.85,1.8,21342930,+0.56%
2025-12-17,1.8,1.85,1.85,1.79,30626930,-0.55%
2025-12-16,1.81,1.89,1.89,1.8,52080220,-1.09%
2025-12-15,1.83,1.83,1.86,1.8,17296580,+0.00%
2025-12-12,1.83,1.78,1.86,1.77,40811090,+2.23%
2025-12-11,1.79,1.81,1.82,1.78,18042230,-0.56%
2025-12-10,1.8,1.82,1.84,1.79,22230490,-0.55%
2025-12-09,1.81,1.84,1.86,1.79,31720210,-1.63%
2025-12-08,1.84,1.85,1.87,1.82,28918470,+0.00%
2025-12-05,1.84,1.88,1.88,1.82,35327070,+0.55%
2025-12-04,1.83,1.88,1.88,1.81,23343430,-1.61%
2025-12-03,1.86,1.91,1.98,1.84,78638790,+3.33%
