date,close,open,high,low,volume,change_pct
"Jun 24, 2026",5.9,5.99,5.99,5.9,2038242,-0.17%
"Jun 23, 2026",5.91,5.92,5.92,5.91,795918,-0.51%
"Jun 22, 2026",5.94,6.15,6.15,5.94,1368632,-1.49%
"Jun 19, 2026",6.03,6.37,6.37,6.03,4061752,-3.05%
"Jun 18, 2026",6.22,6.24,6.24,6.22,11961347,+2.30%
"Jun 17, 2026",6.08,5.86,6.08,5.86,15210861,+2.53%
"Jun 16, 2026",5.93,6,6,5.93,2486473,-0.50%
"Jun 15, 2026",5.96,6.05,6.05,5.96,4030750,+1.53%
"Jun 12, 2026",5.87,5.88,5.88,5.87,3657994,-0.17%
"Jun 11, 2026",5.88,5.95,5.95,5.88,3440598,-2.00%
"Jun 10, 2026",6,6.05,6.05,6,3351959,+0.50%
"Jun 09, 2026",5.97,5.89,5.97,5.89,6388649,+3.65%
"Jun 08, 2026",5.76,5.76,5.76,5.76,1563451,-2.37%
"Jun 05, 2026",5.9,6,6,5.9,1343902,-0.67%
"Jun 04, 2026",5.94,6.07,6.07,5.94,1704885,-1.16%
"Jun 03, 2026",6.01,6,6.01,6,3190102,+0.17%
"Jun 02, 2026",6,5.84,6,5.84,10547271,+4.17%
"Jun 01, 2026",5.76,5.95,5.95,5.76,1455205,-1.20%
"May 29, 2026",5.83,5.82,5.83,5.82,2369981,+2.28%
"May 25, 2026",5.7,5.96,5.96,5.7,2184560,-1.04%
"May 22, 2026",5.76,5.81,5.81,5.76,1458430,-2.21%
"May 21, 2026",5.89,5.91,5.91,5.89,1681580,+0.17%
"May 20, 2026",5.88,5.91,5.91,5.88,1186409,+0.17%
"May 19, 2026",5.87,6.25,6.25,5.87,2604004,-2.65%
"May 18, 2026",6.03,5.97,6.03,5.97,10242303,+4.15%
"May 15, 2026",5.79,5.85,5.85,5.79,2707830,-1.53%
"May 14, 2026",5.88,5.9,5.9,5.88,5665740,+0.86%
"May 13, 2026",5.83,6.18,6.18,5.83,2640520,-5.66%
"May 12, 2026",6.18,6.3,6.3,6.18,4516971,-1.59%
"May 11, 2026",6.28,6.28,6.28,6.28,3136562,+0.00%
"May 08, 2026",6.28,6.3,6.3,6.28,2762900,-1.10%
"May 07, 2026",6.35,6.57,6.57,6.35,5917499,-2.31%
"May 06, 2026",6.5,6.5,6.5,6.5,7725198,+3.01%
"May 05, 2026",6.31,6.25,6.31,6.25,6784669,-0.94%
"May 04, 2026",6.37,6.49,6.49,6.37,28374324,+2.25%
"Apr 30, 2026",6.23,6.5,6.5,6.23,24177089,-10.10%
"Apr 29, 2026",6.93,7.55,7.55,6.93,37355314,-12.61%
"Apr 28, 2026",7.93,9,9,7.93,92442988,-11.20%
"Apr 27, 2026",8.93,7.51,8.93,7.51,53100339,+12.61%
"Apr 24, 2026",7.93,8.11,8.11,7.93,72531224,+2.59%
"Apr 23, 2026",7.73,6.7,7.73,6.7,58862399,+14.86%
"Apr 22, 2026",6.73,6.01,6.73,6.01,54713017,+17.45%
"Apr 21, 2026",5.73,4.82,5.73,4.82,17145200,+21.14%
"Apr 20, 2026",4.73,4.71,4.73,4.71,1880076,+0.42%
"Apr 17, 2026",4.71,4.68,4.71,4.68,1413154,-0.21%
"Apr 16, 2026",4.72,4.76,4.76,4.72,3849413,+2.83%
"Apr 15, 2026",4.59,4.45,4.59,4.45,3632325,+5.28%
"Apr 14, 2026",4.36,4.3,4.36,4.3,649271,+3.56%
"Apr 13, 2026",4.21,4.26,4.26,4.21,1188186,-10.43%
"Apr 10, 2026",4.7,4.43,4.7,4.43,5643951,+8.80%
"Apr 09, 2026",4.32,4.52,4.52,4.32,748341,-4.21%
"Apr 08, 2026",4.51,4.25,4.51,4.25,1543018,+11.63%
"Apr 07, 2026",4.04,4.09,4.09,4.04,112156,-0.74%
"Apr 06, 2026",4.07,4.11,4.11,4.07,211911,+2.26%
"Apr 03, 2026",3.98,3.91,3.98,3.91,366593,-0.50%
"Apr 02, 2026",4,4.11,4.11,4,149411,-2.68%
"Apr 01, 2026",4.11,3.99,4.11,3.99,328066,+5.12%
"Mar 31, 2026",3.91,3.9,3.91,3.9,132340,+2.89%
"Mar 30, 2026",3.8,4.01,4.01,3.8,416834,-5.71%
"Mar 27, 2026",4.03,4.15,4.15,4.03,302992,-1.23%
"Mar 26, 2026",4.08,4.29,4.29,4.08,522900,-4.90%
"Mar 25, 2026",4.29,4.15,4.29,4.15,935334,+4.13%
"Mar 24, 2026",4.12,4.3,4.3,4.12,277075,-1.90%
