date,close,open,high,low,volume,change_pct
"Jun 08, 2026",169070.16,169178.66,169360.55,168432.45,37100000,-0.83%
"Jun 05, 2026",170478.94,171651.48,172102.91,170254.66,174950000,-0.41%
"Jun 04, 2026",171175.52,170598.48,171455.77,170563.41,216200000,+0.58%
"Jun 03, 2026",170190.64,170462.91,171624.45,169790.34,163720000,-0.49%
"Jun 02, 2026",171021.77,170615.48,171856.36,170248.47,189720000,+0.25%
"Jun 01, 2026",170600.20,174157.61,174171.64,170396.84,246940000,-1.93%
"May 29, 2026",173962.81,172118.02,174106.34,171545.47,313690000,+1.30%
"May 25, 2026",171725.30,170747.30,171920.81,170161.66,261560000,+2.31%
"May 22, 2026",167844.25,169539.16,169624.78,167480.67,170380000,-0.40%
"May 21, 2026",168514.45,166638.56,168869.19,166638.56,270580000,+2.23%
"May 20, 2026",164831.42,163514.39,165081.70,162895.73,172530000,+1.19%
"May 19, 2026",162896.69,163033.72,164309.66,162563.58,169980000,+0.67%
"May 18, 2026",161805.02,164799.34,164939.09,161613.52,195970000,-2.29%
"May 15, 2026",165596.06,166890.05,166924.48,165291.53,264750000,-0.54%
"May 14, 2026",166498.84,167979.48,168528.88,166398.91,185040000,-0.57%
"May 13, 2026",167451.14,169038.94,169687.30,167329.34,208510000,-0.87%
"May 12, 2026",168916.22,170758.16,171571.56,168823.31,424800000,-0.93%
"May 11, 2026",170506.31,170279.55,171304.11,169583.45,634150000,-0.36%
"May 08, 2026",171115.81,171465.06,172287.45,170393.13,431760000,-1.03%
